Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.34,0.34,0.34,0.34,337000,0.34
2011-08-03,0.34,0.34,0.34,0.34,769000,0.34
2011-08-02,0.35,0.35,0.34,0.34,846000,0.34
2011-08-01,0.35,0.35,0.34,0.35,388000,0.35
2011-07-29,0.35,0.35,0.34,0.34,390000,0.34
2011-07-28,0.35,0.35,0.34,0.35,755000,0.35
2011-07-27,0.35,0.36,0.35,0.35,1101000,0.35
2011-07-26,0.34,0.35,0.34,0.35,1792000,0.35
2011-07-25,0.34,0.34,0.34,0.34,218000,0.34
2011-07-22,0.34,0.35,0.34,0.35,435000,0.35
2011-07-21,0.34,0.34,0.34,0.34,202000,0.34
2011-07-20,0.34,0.34,0.34,0.34,810000,0.34
2011-07-19,0.34,0.34,0.34,0.34,687000,0.34
2011-07-18,0.34,0.34,0.34,0.34,283000,0.34
2011-07-15,0.34,0.34,0.34,0.34,299000,0.34
2011-07-14,0.34,0.34,0.34,0.34,1703000,0.34
2011-07-13,0.34,0.34,0.34,0.34,500000,0.34
2011-07-12,0.35,0.35,0.33,0.34,1925000,0.34
2011-07-11,0.35,0.35,0.35,0.35,959000,0.35
2011-07-08,0.36,0.36,0.35,0.35,696000,0.35
2011-07-07,0.36,0.36,0.35,0.35,1347000,0.35
2011-07-06,0.34,0.37,0.34,0.36,11210000,0.36
2011-07-05,0.34,0.34,0.33,0.34,460000,0.34
2011-07-04,0.34,0.34,0.33,0.34,431000,0.34
2011-07-01,0.34,0.34,0.34,0.34,417000,0.34
2011-06-30,0.33,0.34,0.33,0.34,2316000,0.34
2011-06-29,0.33,0.33,0.33,0.33,500000,0.33
2011-06-28,0.33,0.33,0.32,0.32,261000,0.32
2011-06-27,0.32,0.32,0.32,0.32,15000,0.32
2011-06-24,0.33,0.33,0.32,0.33,63000,0.33
2011-06-23,0.33,0.33,0.33,0.33,33000,0.33
2011-06-22,0.34,0.34,0.33,0.33,855000,0.33
2011-06-21,0.32,0.34,0.32,0.34,414000,0.34
2011-06-20,0.32,0.32,0.32,0.32,958000,0.32
2011-06-17,0.32,0.32,0.31,0.31,606000,0.31
2011-06-16,0.33,0.33,0.32,0.32,1405000,0.32
2011-06-15,0.33,0.33,0.33,0.33,290000,0.33
2011-06-14,0.33,0.34,0.33,0.34,662000,0.34
2011-06-13,0.34,0.34,0.33,0.33,893000,0.33
2011-06-10,0.34,0.35,0.34,0.34,936000,0.34
2011-06-09,0.34,0.34,0.34,0.34,870000,0.34
2011-06-08,0.34,0.35,0.34,0.34,831000,0.34
2011-06-07,0.34,0.34,0.34,0.34,222000,0.34
2011-06-06,0.34,0.34,0.34,0.34,1082000,0.34
2011-06-03,0.34,0.35,0.34,0.35,624000,0.35
2011-06-02,0.34,0.34,0.34,0.34,540000,0.34
2011-06-01,0.35,0.35,0.34,0.34,1369000,0.34
2011-05-31,0.34,0.35,0.34,0.34,637000,0.34
2011-05-30,0.34,0.36,0.34,0.35,3986000,0.35
2011-05-27,0.34,0.34,0.33,0.34,997000,0.34
2011-05-26,0.32,0.34,0.32,0.34,2886000,0.34
2011-05-25,0.32,0.32,0.31,0.31,896000,0.31
2011-05-24,0.31,0.32,0.31,0.32,368000,0.32
2011-05-23,0.31,0.31,0.31,0.31,1101000,0.31
2011-05-20,0.31,0.31,0.31,0.31,651000,0.31
2011-05-19,0.31,0.31,0.31,0.31,330000,0.31
2011-05-18,0.31,0.31,0.31,0.31,533000,0.31
2011-05-16,0.31,0.31,0.31,0.31,130000,0.31
2011-05-13,0.31,0.31,0.31,0.31,545000,0.31
2011-05-12,0.31,0.31,0.31,0.31,695000,0.31
2011-05-11,0.31,0.31,0.31,0.31,145000,0.31
2011-05-10,0.32,0.32,0.31,0.31,640000,0.31
2011-05-09,0.31,0.32,0.31,0.31,610000,0.31
2011-05-06,0.32,0.32,0.31,0.31,180000,0.31
2011-05-05,0.32,0.32,0.31,0.31,566000,0.31
2011-05-04,0.34,0.34,0.32,0.32,1021000,0.32
2011-05-03,0.34,0.34,0.34,0.34,491000,0.34
2011-04-29,0.34,0.34,0.34,0.34,590000,0.34
2011-04-28,0.34,0.34,0.34,0.34,70000,0.34
2011-04-27,0.34,0.34,0.34,0.34,676000,0.34
2011-04-26,0.34,0.34,0.34,0.34,325000,0.34
2011-04-25,0.33,0.34,0.33,0.34,798000,0.34
2011-04-21,0.33,0.33,0.33,0.33,273000,0.33
2011-04-20,0.33,0.33,0.32,0.33,250000,0.33
2011-04-19,0.33,0.33,0.32,0.33,250000,0.33
2011-04-18,0.32,0.34,0.32,0.34,1889000,0.34
2011-04-15,0.32,0.32,0.32,0.32,448000,0.32
2011-04-14,0.32,0.32,0.31,0.32,1179000,0.32
2011-04-13,0.32,0.32,0.32,0.32,226000,0.32
2011-04-12,0.32,0.32,0.32,0.32,110000,0.32
2011-04-11,0.32,0.33,0.32,0.33,310000,0.33
2011-04-08,0.33,0.33,0.32,0.33,498000,0.33
2011-04-07,0.34,0.34,0.33,0.34,270000,0.34
2011-04-06,0.32,0.33,0.32,0.33,284000,0.33
2011-04-05,0.32,0.33,0.32,0.33,158000,0.33
2011-04-04,0.32,0.32,0.32,0.32,200000,0.32
2011-04-01,0.32,0.32,0.32,0.32,15000,0.32
2011-03-31,0.32,0.32,0.32,0.32,298000,0.32
2011-03-30,0.32,0.32,0.32,0.32,164000,0.32
2011-03-29,0.32,0.32,0.31,0.31,220000,0.31
2011-03-28,0.31,0.32,0.31,0.32,45000,0.32
2011-03-25,0.32,0.32,0.32,0.32,251000,0.32
2011-03-24,0.32,0.32,0.32,0.32,445000,0.32
2011-03-23,0.32,0.32,0.31,0.31,90000,0.31
2011-03-22,0.32,0.32,0.31,0.31,156000,0.31
2011-03-21,0.31,0.31,0.31,0.31,232000,0.31
2011-03-18,0.31,0.31,0.31,0.31,154000,0.31
2011-03-17,0.30,0.31,0.30,0.31,367000,0.31
2011-03-16,0.30,0.31,0.30,0.31,249000,0.31
2011-03-15,0.31,0.31,0.30,0.31,741000,0.31
2011-03-14,0.32,0.32,0.32,0.32,90000,0.32
2011-03-11,0.32,0.32,0.31,0.31,216000,0.31
2011-03-10,0.32,0.32,0.32,0.32,52000,0.32
2011-03-09,0.32,0.33,0.32,0.33,31000,0.33
2011-03-08,0.32,0.32,0.32,0.32,40000,0.32
2011-03-07,0.32,0.32,0.32,0.32,101000,0.32
2011-03-04,0.32,0.33,0.32,0.33,174000,0.33
2011-03-03,0.32,0.32,0.32,0.32,131000,0.32
2011-03-02,0.32,0.32,0.31,0.32,376000,0.32
2011-03-01,0.32,0.32,0.31,0.32,498000,0.32
2011-02-28,0.32,0.33,0.32,0.33,32000,0.33
2011-02-25,0.31,0.33,0.31,0.33,101000,0.33
2011-02-24,0.32,0.32,0.31,0.31,166000,0.31
2011-02-23,0.32,0.32,0.31,0.32,392000,0.32
2011-02-22,0.34,0.34,0.32,0.32,837000,0.32
2011-02-21,0.34,0.34,0.34,0.34,42000,0.34
2011-02-18,0.34,0.34,0.34,0.34,98000,0.34
2011-02-17,0.34,0.34,0.34,0.34,78000,0.34
2011-02-16,0.34,0.34,0.34,0.34,143000,0.34
2011-02-15,0.34,0.34,0.33,0.34,202000,0.34
2011-02-14,0.34,0.34,0.33,0.33,272000,0.33
2011-02-11,0.34,0.34,0.33,0.33,280000,0.33
2011-02-10,0.34,0.34,0.34,0.34,267000,0.34
2011-02-09,0.34,0.34,0.34,0.34,53000,0.34
2011-02-08,0.34,0.34,0.34,0.34,61000,0.34
2011-02-07,0.35,0.35,0.34,0.35,215000,0.35
2011-02-02,0.35,0.35,0.34,0.35,79000,0.35
2011-02-01,0.34,0.34,0.34,0.34,105000,0.34
2011-01-31,0.34,0.34,0.34,0.34,567000,0.34
2011-01-28,0.34,0.34,0.34,0.34,104000,0.34
2011-01-27,0.34,0.34,0.34,0.34,100000,0.34
2011-01-26,0.34,0.34,0.34,0.34,22000,0.34
2011-01-25,0.34,0.34,0.34,0.34,73000,0.34
2011-01-24,0.34,0.34,0.34,0.34,134000,0.34
2011-01-21,0.34,0.34,0.34,0.34,9000,0.34
2011-01-20,0.34,0.34,0.34,0.34,399000,0.34
2011-01-19,0.34,0.34,0.34,0.34,382000,0.34
2011-01-18,0.34,0.34,0.34,0.34,631000,0.34
2011-01-17,0.35,0.35,0.34,0.34,1729000,0.34
2011-01-14,0.36,0.37,0.35,0.36,1751000,0.36
2011-01-13,0.38,0.38,0.37,0.37,544000,0.37
2011-01-12,0.38,0.38,0.38,0.38,827000,0.38
2011-01-11,0.38,0.38,0.37,0.38,390000,0.38
2011-01-10,0.38,0.38,0.38,0.38,2246000,0.38
