Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.11,0.11,0.11,0.11,391000,0.11
2011-08-03,0.11,0.12,0.11,0.11,000,0.11
2011-08-02,0.11,0.12,0.11,0.11,000,0.11
2011-08-01,0.11,0.11,0.11,0.11,350000,0.11
2011-07-29,0.12,0.12,0.12,0.12,311000,0.12
2011-07-28,0.11,0.11,0.11,0.11,10000,0.11
2011-07-27,0.12,0.12,0.12,0.12,000,0.12
2011-07-26,0.12,0.12,0.12,0.12,30000,0.12
2011-07-25,0.11,0.12,0.11,0.11,000,0.11
2011-07-22,0.12,0.12,0.12,0.12,75000,0.12
2011-07-21,0.12,0.12,0.12,0.12,40000,0.12
2011-07-20,0.12,0.12,0.12,0.12,160000,0.12
2011-07-19,0.12,0.12,0.12,0.12,20000,0.12
2011-07-18,0.12,0.13,0.12,0.12,000,0.12
2011-07-15,0.12,0.13,0.12,0.12,000,0.12
2011-07-14,0.11,0.13,0.11,0.11,000,0.11
2011-07-13,0.12,0.13,0.12,0.12,000,0.12
2011-07-12,0.12,0.14,0.12,0.12,000,0.12
2011-07-11,0.12,0.14,0.12,0.12,000,0.12
2011-07-08,0.12,0.14,0.12,0.12,000,0.12
2011-07-07,0.12,0.12,0.12,0.12,000,0.12
2011-07-06,0.12,0.13,0.12,0.12,000,0.12
2011-07-05,0.12,0.12,0.12,0.12,124000,0.12
2011-07-04,0.13,0.13,0.10,0.12,621000,0.12
2011-07-01,0.12,0.12,0.12,0.12,4000,0.12
2011-06-30,0.12,0.14,0.12,0.12,000,0.12
2011-06-29,0.13,0.13,0.13,0.13,50000,0.13
2011-06-28,0.12,0.13,0.12,0.12,000,0.12
2011-06-27,0.13,0.13,0.12,0.12,64000,0.12
2011-06-24,0.12,0.12,0.12,0.12,50000,0.12
2011-06-23,0.12,0.14,0.12,0.12,000,0.12
2011-06-22,0.12,0.14,0.12,0.12,000,0.12
2011-06-21,0.12,0.13,0.12,0.12,000,0.12
2011-06-20,0.12,0.14,0.12,0.12,000,0.12
2011-06-17,0.12,0.12,0.12,0.12,25000,0.12
2011-06-16,0.12,0.15,0.12,0.12,000,0.12
2011-06-15,0.13,0.14,0.13,0.13,140000,0.13
2011-06-14,0.14,0.14,0.12,0.12,263000,0.12
2011-06-13,0.14,0.14,0.14,0.14,000,0.14
2011-06-10,0.14,0.15,0.14,0.15,29000,0.15
2011-06-09,0.16,0.18,0.14,0.15,95000,0.15
2011-06-08,0.16,0.16,0.16,0.16,2000,0.16
2011-06-07,0.13,0.14,0.13,0.13,000,0.13
2011-06-06,0.14,0.15,0.14,0.15,15000,0.15
2011-06-03,0.13,0.14,0.13,0.14,15000,0.14
2011-06-02,0.13,0.14,0.13,0.14,107000,0.14
2011-06-01,0.13,0.14,0.13,0.13,000,0.13
2011-05-31,0.13,0.14,0.13,0.13,000,0.13
2011-05-30,0.13,0.14,0.13,0.13,000,0.13
2011-05-27,0.14,0.14,0.14,0.14,000,0.14
2011-05-26,0.13,0.14,0.13,0.14,200000,0.14
2011-05-25,0.14,0.14,0.14,0.14,130000,0.14
2011-05-24,0.14,0.14,0.14,0.14,140000,0.14
2011-05-23,0.14,0.14,0.14,0.14,70000,0.14
2011-05-20,0.14,0.14,0.14,0.14,140000,0.14
2011-05-19,0.14,0.15,0.14,0.14,000,0.14
2011-05-18,0.14,0.14,0.14,0.14,150000,0.14
2011-05-16,0.14,0.15,0.14,0.14,000,0.14
2011-05-13,0.14,0.15,0.14,0.14,000,0.14
2011-05-12,0.15,0.16,0.15,0.16,105000,0.16
2011-05-11,0.16,0.16,0.16,0.16,200000,0.16
2011-05-10,0.15,0.16,0.15,0.15,000,0.15
2011-05-09,0.15,0.17,0.14,0.16,392000,0.16
2011-05-06,0.15,0.16,0.15,0.16,25000,0.16
2011-05-05,0.15,0.16,0.15,0.15,000,0.15
2011-05-04,0.15,0.16,0.15,0.16,119000,0.16
2011-05-03,0.14,0.16,0.14,0.16,15000,0.16
2011-04-29,0.15,0.15,0.15,0.15,150000,0.15
2011-04-28,0.15,0.16,0.15,0.15,000,0.15
2011-04-27,0.15,0.16,0.15,0.15,000,0.15
2011-04-26,0.15,0.16,0.15,0.15,000,0.15
2011-04-25,0.16,0.16,0.16,0.16,80000,0.16
2011-04-21,0.16,0.17,0.16,0.16,000,0.16
2011-04-20,0.15,0.16,0.15,0.15,000,0.15
2011-04-19,0.15,0.16,0.15,0.15,000,0.15
2011-04-18,0.16,0.16,0.16,0.16,110000,0.16
2011-04-15,0.15,0.15,0.15,0.15,30000,0.15
2011-04-14,0.16,0.16,0.16,0.16,170000,0.16
2011-04-13,0.15,0.15,0.15,0.15,42000,0.15
2011-04-12,0.16,0.16,0.16,0.16,58000,0.16
2011-04-11,0.16,0.16,0.16,0.16,200000,0.16
2011-04-08,0.16,0.17,0.16,0.16,000,0.16
2011-04-07,0.16,0.17,0.16,0.16,000,0.16
2011-04-06,0.16,0.17,0.16,0.16,199000,0.16
2011-04-05,0.16,0.16,0.16,0.16,11000,0.16
2011-04-04,0.16,0.17,0.16,0.17,190000,0.17
2011-04-01,0.16,0.17,0.16,0.16,66000,0.16
2011-03-31,0.16,0.16,0.16,0.16,267000,0.16
2011-03-30,0.16,0.16,0.16,0.16,18000,0.16
2011-03-29,0.15,0.16,0.15,0.16,101000,0.16
2011-03-28,0.14,0.15,0.14,0.15,70000,0.15
2011-03-25,0.14,0.14,0.14,0.14,65000,0.14
2011-03-24,0.16,0.16,0.16,0.16,15000,0.16
2011-03-23,0.14,0.15,0.14,0.14,000,0.14
2011-03-22,0.13,0.16,0.13,0.13,000,0.13
2011-03-21,0.14,0.15,0.14,0.14,000,0.14
2011-03-18,0.13,0.16,0.13,0.13,000,0.13
2011-03-17,0.12,0.14,0.12,0.14,40000,0.14
2011-03-16,0.14,0.15,0.14,0.14,000,0.14
2011-03-15,0.14,0.14,0.14,0.14,10000,0.14
2011-03-14,0.14,0.15,0.14,0.14,000,0.14
2011-03-11,0.14,0.15,0.14,0.14,000,0.14
2011-03-10,0.15,0.15,0.15,0.15,20000,0.15
