Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.21,0.22,0.20,0.20,538000,0.20
2011-08-03,0.20,0.21,0.20,0.21,636000,0.21
2011-08-02,0.22,0.22,0.21,0.21,196000,0.21
2011-08-01,0.22,0.22,0.22,0.22,600000,0.22
2011-07-29,0.22,0.23,0.22,0.22,4479000,0.22
2011-07-28,0.20,0.22,0.20,0.22,4699000,0.22
2011-07-27,0.21,0.22,0.20,0.20,908000,0.20
2011-07-26,0.20,0.22,0.20,0.20,849000,0.20
2011-07-25,0.21,0.21,0.20,0.20,337000,0.20
2011-07-22,0.21,0.22,0.20,0.21,829000,0.21
2011-07-21,0.20,0.22,0.20,0.21,4421000,0.21
2011-07-20,0.21,0.21,0.20,0.20,1051000,0.20
2011-07-19,0.20,0.20,0.20,0.20,597000,0.20
2011-07-18,0.20,0.20,0.20,0.20,574000,0.20
2011-07-15,0.21,0.21,0.20,0.20,1797000,0.20
2011-07-14,0.22,0.22,0.21,0.21,4880000,0.21
2011-07-13,0.20,0.23,0.20,0.22,3095000,0.22
2011-07-12,0.21,0.21,0.20,0.20,1403000,0.20
2011-07-11,0.22,0.22,0.21,0.21,896000,0.21
2011-07-08,0.22,0.22,0.22,0.22,1113000,0.22
2011-07-07,0.22,0.23,0.22,0.22,17736000,0.22
2011-07-06,0.21,0.22,0.21,0.22,2090000,0.22
2011-07-05,0.22,0.22,0.21,0.22,1476000,0.22
2011-07-04,0.22,0.22,0.22,0.22,1348000,0.22
2011-07-01,0.19,0.22,0.19,0.22,2641000,0.22
2011-06-30,0.19,0.20,0.19,0.19,563000,0.19
2011-06-29,0.19,0.19,0.19,0.19,20000,0.19
2011-06-28,0.19,0.19,0.19,0.19,346000,0.19
2011-06-27,0.19,0.19,0.19,0.19,180000,0.19
2011-06-24,0.19,0.19,0.19,0.19,112000,0.19
2011-06-23,0.19,0.19,0.19,0.19,200000,0.19
2011-06-22,0.19,0.20,0.19,0.19,000,0.19
2011-06-21,0.19,0.19,0.19,0.19,74000,0.19
2011-06-20,0.19,0.19,0.19,0.19,46000,0.19
2011-06-17,0.19,0.19,0.19,0.19,310000,0.19
2011-06-16,0.19,0.19,0.19,0.19,613000,0.19
2011-06-15,0.19,0.19,0.19,0.19,146000,0.19
2011-06-14,0.19,0.19,0.19,0.19,408000,0.19
2011-06-13,0.19,0.19,0.19,0.19,311000,0.19
2011-06-10,0.19,0.19,0.19,0.19,95000,0.19
2011-06-09,0.19,0.19,0.19,0.19,133000,0.19
2011-06-08,0.19,0.19,0.19,0.19,31000,0.19
2011-06-07,0.19,0.19,0.19,0.19,206000,0.19
2011-06-06,0.19,0.19,0.19,0.19,26000,0.19
2011-06-03,0.20,0.20,0.20,0.20,20000,0.20
2011-06-02,0.20,0.20,0.19,0.19,300000,0.19
2011-06-01,0.20,0.20,0.20,0.20,50000,0.20
2011-05-31,0.20,0.20,0.20,0.20,20000,0.20
2011-05-30,0.20,0.20,0.19,0.19,34000,0.19
2011-05-27,0.19,0.20,0.19,0.20,350000,0.20
2011-05-26,0.19,0.20,0.19,0.20,191000,0.20
2011-05-25,0.19,0.19,0.19,0.19,52000,0.19
2011-05-24,0.19,0.20,0.19,0.20,33000,0.20
2011-05-23,0.20,0.20,0.19,0.20,205000,0.20
2011-05-20,0.20,0.20,0.19,0.20,284000,0.20
2011-05-19,0.19,0.20,0.19,0.19,000,0.19
2011-05-18,0.20,0.20,0.20,0.20,313000,0.20
2011-05-16,0.20,0.20,0.20,0.20,198000,0.20
2011-05-13,0.19,0.20,0.19,0.20,11000,0.20
2011-05-12,0.20,0.20,0.19,0.19,61000,0.19
2011-05-11,0.20,0.20,0.20,0.20,140000,0.20
2011-05-10,0.19,0.20,0.19,0.19,52000,0.19
2011-05-09,0.20,0.20,0.19,0.19,142000,0.19
2011-05-06,0.20,0.20,0.19,0.19,162000,0.19
2011-05-05,0.20,0.20,0.20,0.20,38000,0.20
2011-05-04,0.20,0.20,0.19,0.20,239000,0.20
2011-05-03,0.20,0.20,0.20,0.20,12000,0.20
2011-04-29,0.20,0.21,0.20,0.21,606000,0.21
2011-04-28,0.20,0.20,0.20,0.20,29000,0.20
2011-04-27,0.20,0.21,0.20,0.21,221000,0.21
2011-04-26,0.21,0.22,0.21,0.21,65000,0.21
2011-04-25,0.22,0.22,0.21,0.21,184000,0.21
2011-04-21,0.22,0.22,0.22,0.22,240000,0.22
2011-04-20,0.22,0.22,0.22,0.22,340000,0.22
2011-04-19,0.22,0.22,0.22,0.22,237000,0.22
2011-04-18,0.22,0.22,0.22,0.22,413000,0.22
2011-04-15,0.22,0.22,0.22,0.22,867000,0.22
2011-04-14,0.22,0.22,0.21,0.22,276000,0.22
2011-04-13,0.21,0.21,0.21,0.21,446000,0.21
2011-04-12,0.20,0.20,0.20,0.20,281000,0.20
2011-04-11,0.20,0.20,0.20,0.20,507000,0.20
2011-04-08,0.20,0.20,0.20,0.20,87000,0.20
2011-04-07,0.21,0.21,0.20,0.20,34000,0.20
2011-04-06,0.20,0.20,0.20,0.20,65000,0.20
2011-04-05,0.21,0.21,0.20,0.21,53000,0.21
2011-04-04,0.21,0.21,0.20,0.20,270000,0.20
2011-04-01,0.20,0.20,0.20,0.20,87000,0.20
2011-03-31,0.20,0.20,0.20,0.20,31000,0.20
2011-03-30,0.20,0.21,0.20,0.20,273000,0.20
2011-03-29,0.20,0.20,0.20,0.20,61000,0.20
2011-03-28,0.20,0.20,0.19,0.20,292000,0.20
2011-03-25,0.20,0.20,0.19,0.20,44000,0.20
2011-03-24,0.20,0.20,0.20,0.20,120000,0.20
2011-03-23,0.20,0.20,0.20,0.20,51000,0.20
2011-03-22,0.20,0.20,0.20,0.20,112000,0.20
2011-03-21,0.20,0.20,0.20,0.20,202000,0.20
