Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.29,0.29,0.29,0.29,274000,0.29
2011-08-03,0.29,0.30,0.29,0.29,000,0.29
2011-08-02,0.29,0.29,0.29,0.29,90000,0.29
2011-08-01,0.29,0.30,0.29,0.29,000,0.29
2011-07-29,0.29,0.30,0.29,0.29,000,0.29
2011-07-28,0.29,0.30,0.29,0.29,000,0.29
2011-07-27,0.29,0.30,0.29,0.30,188000,0.30
2011-07-26,0.29,0.29,0.29,0.29,20000,0.29
2011-07-25,0.29,0.30,0.29,0.29,000,0.29
2011-07-22,0.29,0.30,0.29,0.29,000,0.29
2011-07-21,0.29,0.30,0.29,0.29,000,0.29
2011-07-20,0.29,0.30,0.29,0.30,31000,0.30
2011-07-19,0.29,0.29,0.29,0.29,20000,0.29
2011-07-18,0.29,0.29,0.29,0.29,260000,0.29
2011-07-15,0.29,0.29,0.29,0.29,70000,0.29
2011-07-14,0.29,0.29,0.29,0.29,10000,0.29
2011-07-13,0.29,0.29,0.29,0.29,309000,0.29
2011-07-12,0.29,0.29,0.29,0.29,80000,0.29
2011-07-11,0.29,0.29,0.29,0.29,10000,0.29
2011-07-08,0.29,0.29,0.29,0.29,70000,0.29
2011-07-07,0.30,0.30,0.29,0.29,259000,0.29
2011-07-06,0.29,0.31,0.29,0.30,822000,0.30
2011-07-05,0.30,0.31,0.29,0.29,3482000,0.29
2011-07-04,0.30,0.31,0.30,0.31,290000,0.31
2011-07-01,0.30,0.31,0.30,0.30,229000,0.30
2011-06-30,0.30,0.30,0.30,0.30,11000,0.30
2011-06-29,0.31,0.31,0.31,0.31,230000,0.31
2011-06-28,0.30,0.31,0.30,0.31,331000,0.31
2011-06-27,0.29,0.29,0.29,0.29,140000,0.29
2011-06-24,0.30,0.31,0.30,0.31,201000,0.31
2011-06-23,0.29,0.31,0.29,0.29,000,0.29
2011-06-22,0.30,0.30,0.30,0.30,30000,0.30
2011-06-21,0.30,0.30,0.30,0.30,115000,0.30
2011-06-20,0.30,0.30,0.30,0.30,313000,0.30
2011-06-17,0.29,0.31,0.29,0.30,4400000,0.30
2011-06-16,0.29,0.29,0.29,0.29,487000,0.29
2011-06-15,0.30,0.30,0.29,0.29,111000,0.29
2011-06-14,0.30,0.31,0.29,0.31,837000,0.31
2011-06-13,0.30,0.30,0.29,0.30,91000,0.30
2011-06-10,0.31,0.31,0.30,0.30,4624000,0.30
2011-06-09,0.31,0.31,0.30,0.31,330000,0.31
2011-06-08,0.30,0.30,0.30,0.30,340000,0.30
2011-06-07,0.29,0.31,0.29,0.31,346000,0.31
2011-06-06,0.30,0.30,0.29,0.29,1885000,0.29
2011-06-03,0.31,0.32,0.31,0.31,8570000,0.31
2011-06-02,0.28,0.33,0.28,0.31,2642000,0.31
2011-06-01,0.29,0.29,0.29,0.29,715000,0.29
2011-05-31,0.29,0.29,0.29,0.29,353000,0.29
2011-05-30,0.28,0.29,0.28,0.29,1107000,0.29
2011-05-27,0.28,0.28,0.28,0.28,928000,0.28
2011-05-26,0.28,0.28,0.28,0.28,281000,0.28
2011-05-25,0.28,0.28,0.28,0.28,882000,0.28
2011-05-24,0.28,0.28,0.28,0.28,1255000,0.28
2011-05-23,0.28,0.28,0.28,0.28,1130000,0.28
2011-05-20,0.29,0.29,0.28,0.28,1878000,0.28
2011-05-19,0.29,0.29,0.28,0.28,1979000,0.28
2011-05-18,0.29,0.30,0.29,0.30,2895000,0.30
2011-05-16,0.28,0.28,0.28,0.28,2484000,0.28
2011-05-13,0.27,0.29,0.27,0.28,1458000,0.28
2011-05-12,0.26,0.28,0.26,0.28,1532000,0.28
2011-05-11,0.26,0.26,0.25,0.25,500000,0.25
2011-05-10,0.25,0.26,0.25,0.25,000,0.25
2011-05-09,0.26,0.26,0.26,0.26,70000,0.26
2011-05-06,0.26,0.26,0.25,0.26,566000,0.26
2011-05-05,0.25,0.26,0.25,0.26,570000,0.26
2011-05-04,0.25,0.26,0.25,0.26,1152000,0.26
2011-05-03,0.25,0.25,0.25,0.25,272000,0.25
2011-04-29,0.24,0.25,0.24,0.25,85000,0.25
2011-04-28,0.23,0.25,0.23,0.23,000,0.23
2011-04-27,0.25,0.25,0.25,0.25,22000,0.25
2011-04-26,0.23,0.25,0.23,0.23,000,0.23
2011-04-25,0.23,0.25,0.23,0.23,000,0.23
2011-04-21,0.23,0.25,0.23,0.23,000,0.23
2011-04-20,0.23,0.23,0.23,0.23,5000,0.23
2011-04-19,0.23,0.25,0.23,0.23,000,0.23
2011-04-18,0.23,0.25,0.23,0.23,000,0.23
2011-04-15,0.25,0.25,0.25,0.25,20000,0.25
2011-04-14,0.23,0.25,0.23,0.23,000,0.23
2011-04-13,0.24,0.25,0.22,0.25,277000,0.25
2011-04-12,0.22,0.24,0.22,0.22,000,0.22
2011-04-11,0.23,0.23,0.23,0.23,20000,0.23
2011-04-08,0.23,0.25,0.23,0.23,000,0.23
2011-04-07,0.23,0.23,0.23,0.23,9000,0.23
2011-04-06,0.23,0.23,0.23,0.23,78000,0.23
2011-04-05,0.22,0.23,0.22,0.22,000,0.22
2011-04-04,0.22,0.25,0.22,0.22,000,0.22
2011-04-01,0.22,0.24,0.22,0.22,000,0.22
2011-03-31,0.25,0.25,0.25,0.25,5000,0.25
2011-03-30,0.22,0.25,0.22,0.22,000,0.22
2011-03-29,0.22,0.22,0.22,0.22,9000,0.22
2011-03-28,0.22,0.25,0.22,0.22,000,0.22
2011-03-25,0.22,0.25,0.22,0.22,000,0.22
2011-03-24,0.22,0.24,0.22,0.22,000,0.22
