Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.32,0.37,0.32,0.32,000,0.32
2011-08-03,0.32,0.37,0.32,0.32,000,0.32
2011-08-02,0.32,0.37,0.32,0.32,000,0.32
2011-08-01,0.31,0.36,0.31,0.31,000,0.31
2011-07-29,0.32,0.37,0.32,0.32,000,0.32
2011-07-28,0.31,0.37,0.31,0.31,000,0.31
2011-07-27,0.34,0.37,0.34,0.34,000,0.34
2011-07-26,0.33,0.36,0.33,0.33,000,0.33
2011-07-25,0.36,0.40,0.36,0.36,000,0.36
2011-07-22,0.31,0.41,0.31,0.31,000,0.31
2011-07-21,0.36,0.36,0.36,0.36,10000,0.36
2011-07-20,0.31,0.41,0.31,0.31,000,0.31
2011-07-19,0.33,0.41,0.33,0.33,000,0.33
2011-07-18,0.31,0.41,0.31,0.31,000,0.31
2011-07-15,0.34,0.38,0.34,0.34,000,0.34
2011-07-14,0.35,0.35,0.34,0.34,294000,0.34
2011-07-13,0.38,0.38,0.34,0.34,1037000,0.34
2011-07-12,0.38,0.41,0.38,0.38,000,0.38
2011-07-11,0.35,0.41,0.35,0.35,000,0.35
2011-07-08,0.34,0.34,0.34,0.34,240000,0.34
2011-07-07,0.34,0.34,0.34,0.34,594000,0.34
2011-07-06,0.33,0.41,0.33,0.33,000,0.33
2011-07-05,0.31,0.41,0.31,0.31,000,0.31
2011-07-04,0.31,0.38,0.31,0.31,000,0.31
2011-07-01,0.32,0.38,0.32,0.32,000,0.32
2011-06-30,0.35,0.35,0.35,0.35,50000,0.35
2011-06-29,0.32,0.35,0.32,0.32,000,0.32
2011-06-28,0.31,0.38,0.31,0.31,000,0.31
2011-06-27,0.36,0.41,0.36,0.36,000,0.36
2011-06-24,0.26,0.38,0.26,0.26,000,0.26
2011-06-23,0.31,0.39,0.31,0.31,000,0.31
2011-06-22,0.32,0.38,0.32,0.32,000,0.32
2011-06-21,0.34,0.38,0.34,0.34,000,0.34
2011-06-20,0.31,0.40,0.31,0.31,000,0.31
2011-06-17,0.31,0.40,0.31,0.31,000,0.31
2011-06-16,0.31,0.38,0.31,0.31,000,0.31
2011-06-15,0.35,0.38,0.35,0.35,000,0.35
2011-06-14,0.37,0.37,0.36,0.36,12000,0.36
2011-06-13,0.37,0.38,0.37,0.37,000,0.37
2011-06-10,0.37,0.37,0.37,0.37,000,0.37
2011-06-09,0.38,0.38,0.38,0.38,266000,0.38
2011-06-08,0.38,0.38,0.38,0.38,34000,0.38
2011-06-07,0.37,0.38,0.37,0.37,000,0.37
2011-06-06,0.37,0.38,0.37,0.37,000,0.37
2011-06-03,0.38,0.38,0.38,0.38,18000,0.38
2011-06-02,0.38,0.38,0.38,0.38,42000,0.38
2011-06-01,0.38,0.38,0.38,0.38,30000,0.38
2011-05-31,0.36,0.40,0.36,0.36,000,0.36
2011-05-30,0.36,0.38,0.36,0.36,000,0.36
2011-05-27,0.37,0.38,0.37,0.37,60000,0.37
2011-05-26,0.40,0.40,0.40,0.40,24000,0.40
2011-05-25,0.41,0.41,0.38,0.40,243000,0.40
2011-05-24,0.44,0.45,0.44,0.45,60000,0.45
2011-05-23,0.44,0.45,0.44,0.45,258000,0.45
2011-05-20,0.44,0.44,0.44,0.44,40000,0.44
2011-05-19,0.38,0.38,0.38,0.38,000,0.38
2011-05-18,0.37,0.44,0.37,0.37,000,0.37
2011-05-16,0.34,0.44,0.34,0.34,000,0.34
2011-05-13,0.34,0.43,0.34,0.34,000,0.34
2011-05-12,0.34,0.44,0.34,0.34,000,0.34
2011-05-11,0.38,0.40,0.38,0.38,000,0.38
2011-05-10,0.39,0.40,0.39,0.40,48000,0.40
2011-05-09,0.34,0.41,0.34,0.34,000,0.34
2011-05-06,0.34,0.44,0.34,0.34,000,0.34
2011-05-05,0.34,0.40,0.34,0.34,000,0.34
2011-05-04,0.34,0.44,0.34,0.34,000,0.34
2011-05-03,0.34,0.44,0.34,0.34,000,0.34
2011-04-29,0.34,0.41,0.34,0.34,000,0.34
2011-04-28,0.34,0.44,0.34,0.34,000,0.34
2011-04-27,0.37,0.44,0.37,0.37,000,0.37
2011-04-26,0.34,0.40,0.34,0.34,000,0.34
2011-04-25,0.34,0.44,0.34,0.34,000,0.34
2011-04-21,0.39,0.40,0.39,0.39,000,0.39
2011-04-20,0.37,0.44,0.37,0.37,000,0.37
2011-04-19,0.37,0.41,0.37,0.37,000,0.37
2011-04-18,0.39,0.44,0.39,0.39,000,0.39
2011-04-15,0.36,0.44,0.36,0.36,000,0.36
2011-04-14,0.34,0.40,0.34,0.34,000,0.34
2011-04-13,0.38,0.39,0.38,0.38,000,0.38
2011-04-12,0.38,0.44,0.38,0.38,000,0.38
2011-04-11,0.39,0.41,0.39,0.39,000,0.39
2011-04-08,0.39,0.39,0.39,0.39,1000,0.39
2011-04-07,0.37,0.40,0.37,0.37,000,0.37
2011-04-06,0.37,0.48,0.37,0.37,000,0.37
2011-04-05,0.37,0.40,0.37,0.37,000,0.37
2011-04-04,0.37,0.40,0.37,0.37,000,0.37
2011-04-01,0.37,0.48,0.37,0.37,000,0.37
2011-03-31,0.37,0.37,0.37,0.37,10000,0.37
2011-03-30,0.38,0.41,0.38,0.38,000,0.38
2011-03-29,0.36,0.36,0.36,0.36,20000,0.36
2011-03-28,0.36,0.48,0.36,0.36,000,0.36
2011-03-25,0.39,0.39,0.39,0.39,1000,0.39
2011-03-24,0.39,0.40,0.39,0.39,000,0.39
2011-03-23,0.39,0.48,0.39,0.39,000,0.39
2011-03-22,0.39,0.48,0.39,0.39,000,0.39
2011-03-21,0.40,0.48,0.40,0.40,000,0.40
2011-03-18,0.40,0.41,0.40,0.40,117000,0.40
2011-03-17,0.39,0.48,0.39,0.39,000,0.39
2011-03-16,0.44,0.44,0.40,0.40,16000,0.40
2011-03-15,0.28,0.42,0.28,0.28,000,0.28
2011-03-14,0.40,0.45,0.40,0.40,000,0.40
2011-03-11,0.40,0.47,0.40,0.40,000,0.40
2011-03-10,0.30,0.48,0.30,0.30,000,0.30
2011-03-09,0.48,0.48,0.48,0.48,13000,0.48
2011-03-08,0.43,0.48,0.43,0.48,12000,0.48
2011-03-07,0.43,0.43,0.43,0.43,15000,0.43
2011-03-04,0.41,0.45,0.41,0.41,000,0.41
2011-03-03,0.41,0.41,0.41,0.41,6000,0.41
2011-03-02,0.40,0.40,0.40,0.40,25000,0.40
2011-03-01,0.39,0.39,0.39,0.39,000,0.39
2011-02-28,0.40,0.44,0.40,0.40,000,0.40
2011-02-25,0.39,0.44,0.39,0.39,000,0.39
2011-02-24,0.39,0.44,0.39,0.39,000,0.39
2011-02-23,0.39,0.44,0.39,0.39,000,0.39
2011-02-22,0.38,0.44,0.38,0.38,000,0.38
2011-02-21,0.39,0.39,0.39,0.39,3000,0.39
2011-02-18,0.38,0.38,0.38,0.38,000,0.38
2011-02-17,0.38,0.45,0.38,0.38,000,0.38
2011-02-16,0.38,0.40,0.38,0.38,000,0.38
2011-02-15,0.40,0.42,0.40,0.40,000,0.40
2011-02-14,0.39,0.45,0.39,0.39,000,0.39
2011-02-11,0.38,0.38,0.38,0.38,000,0.38
