Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.00,0.01,0.00,0.01,100000,0.01
2011-08-03,0.00,0.01,0.00,0.00,000,0.00
2011-08-02,0.01,0.01,0.01,0.01,165000,0.01
2011-08-01,0.01,0.01,0.01,0.01,1000000,0.01
2011-07-29,0.00,0.00,0.00,0.00,125000,0.00
2011-07-28,0.00,0.01,0.00,0.00,000,0.00
2011-07-27,0.00,0.01,0.00,0.00,000,0.00
2011-07-26,0.00,0.00,0.00,0.00,24000,0.00
2011-07-25,0.00,0.00,0.00,0.00,626000,0.00
2011-07-22,0.00,0.01,0.00,0.00,000,0.00
2011-07-21,0.00,0.01,0.00,0.00,000,0.00
2011-07-20,0.00,0.01,0.00,0.00,000,0.00
2011-07-19,0.00,0.01,0.00,0.00,000,0.00
2011-07-18,0.00,0.01,0.00,0.01,1478000,0.01
2011-07-15,0.00,0.01,0.00,0.00,000,0.00
2011-07-14,0.00,0.01,0.00,0.01,1998000,0.01
2011-07-13,0.01,0.01,0.00,0.01,2125000,0.01
2011-07-12,0.00,0.01,0.00,0.00,000,0.00
2011-07-11,0.00,0.01,0.00,0.00,000,0.00
2011-07-08,0.00,0.01,0.00,0.00,000,0.00
2011-07-07,0.00,0.00,0.00,0.00,87000,0.00
2011-07-06,0.00,0.01,0.00,0.00,000,0.00
2011-07-05,0.00,0.01,0.00,0.00,000,0.00
2011-07-04,0.00,0.01,0.00,0.00,000,0.00
2011-07-01,0.00,0.01,0.00,0.00,000,0.00
2011-06-30,0.00,0.01,0.00,0.00,000,0.00
2011-06-29,0.00,0.01,0.00,0.00,000,0.00
2011-06-28,0.00,0.00,0.00,0.00,1205000,0.00
2011-06-27,0.01,0.01,0.01,0.01,000,0.01
2011-06-24,0.01,0.01,0.01,0.01,000,0.01
2011-06-23,0.00,0.01,0.00,0.00,000,0.00
2011-06-22,0.00,0.00,0.00,0.00,15000,0.00
2011-06-21,0.00,0.00,0.00,0.00,10000,0.00
2011-06-20,0.00,0.00,0.00,0.00,13000,0.00
2011-06-17,0.01,0.01,0.01,0.01,000,0.01
2011-06-16,0.00,0.01,0.00,0.00,000,0.00
2011-06-15,0.00,0.01,0.00,0.00,000,0.00
2011-06-14,0.00,0.01,0.00,0.00,000,0.00
2011-06-13,0.00,0.00,0.00,0.00,758000,0.00
2011-06-10,0.00,0.00,0.00,0.00,868000,0.00
2011-06-09,0.00,0.00,0.00,0.00,1000,0.00
2011-06-08,0.00,0.01,0.00,0.00,000,0.00
2011-06-07,0.00,0.01,0.00,0.00,000,0.00
2011-06-06,0.00,0.00,0.00,0.00,5278000,0.00
2011-06-03,0.00,0.01,0.00,0.00,000,0.00
2011-06-02,0.00,0.01,0.00,0.00,000,0.00
2011-06-01,0.00,0.01,0.00,0.00,000,0.00
2011-05-31,0.00,0.01,0.00,0.00,000,0.00
2011-05-30,0.00,0.00,0.00,0.00,4000,0.00
2011-05-27,0.00,0.01,0.00,0.00,000,0.00
