Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.06,0.07,0.06,0.06,000,0.06
2011-08-03,0.06,0.07,0.06,0.06,000,0.06
2011-08-02,0.06,0.07,0.06,0.06,000,0.06
2011-08-01,0.06,0.07,0.06,0.06,000,0.06
2011-07-29,0.06,0.06,0.06,0.06,7000,0.06
2011-07-28,0.06,0.06,0.06,0.06,100000,0.06
2011-07-27,0.06,0.06,0.06,0.06,280000,0.06
2011-07-26,0.06,0.06,0.06,0.06,160000,0.06
2011-07-25,0.06,0.06,0.06,0.06,93000,0.06
2011-07-22,0.06,0.09,0.06,0.06,000,0.06
2011-07-21,0.06,0.09,0.06,0.06,000,0.06
2011-07-20,0.06,0.06,0.06,0.06,17000,0.06
2011-07-19,0.06,0.09,0.06,0.06,000,0.06
2011-07-18,0.06,0.09,0.06,0.06,000,0.06
2011-07-15,0.06,0.09,0.06,0.06,000,0.06
2011-07-14,0.06,0.09,0.06,0.06,000,0.06
2011-07-13,0.06,0.09,0.06,0.06,000,0.06
2011-07-12,0.07,0.07,0.07,0.07,50000,0.07
2011-07-11,0.07,0.07,0.07,0.07,50000,0.07
2011-07-08,0.07,0.07,0.07,0.07,1000,0.07
2011-07-07,0.06,0.09,0.06,0.06,000,0.06
2011-07-06,0.07,0.09,0.07,0.07,000,0.07
2011-07-05,0.07,0.09,0.07,0.07,000,0.07
2011-07-04,0.07,0.09,0.07,0.07,000,0.07
2011-07-01,0.07,0.09,0.07,0.07,000,0.07
2011-06-30,0.08,0.09,0.08,0.08,000,0.08
2011-06-29,0.08,0.08,0.08,0.08,8000,0.08
2011-06-28,0.07,0.09,0.07,0.07,000,0.07
2011-06-27,0.07,0.09,0.07,0.07,000,0.07
2011-06-24,0.07,0.09,0.07,0.07,000,0.07
2011-06-23,0.07,0.09,0.07,0.07,000,0.07
2011-06-22,0.07,0.09,0.07,0.07,000,0.07
2011-06-21,0.07,0.09,0.07,0.07,000,0.07
2011-06-20,0.07,0.09,0.07,0.07,000,0.07
2011-06-17,0.06,0.08,0.06,0.06,000,0.06
2011-06-16,0.07,0.08,0.07,0.07,000,0.07
2011-06-15,0.07,0.09,0.07,0.07,000,0.07
2011-06-14,0.07,0.09,0.07,0.07,000,0.07
2011-06-13,0.07,0.09,0.07,0.07,000,0.07
2011-06-10,0.09,0.09,0.08,0.08,37000,0.08
2011-06-09,0.08,0.09,0.08,0.08,000,0.08
2011-06-08,0.08,0.09,0.08,0.08,000,0.08
2011-06-07,0.09,0.09,0.09,0.09,000,0.09
2011-06-06,0.09,0.09,0.09,0.09,25000,0.09
2011-06-03,0.09,0.10,0.09,0.09,000,0.09
2011-06-02,0.09,0.10,0.09,0.09,000,0.09
2011-06-01,0.09,0.09,0.09,0.09,000,0.09
2011-05-31,0.09,0.10,0.09,0.09,000,0.09
2011-05-30,0.09,0.09,0.09,0.09,000,0.09
2011-05-27,0.09,0.10,0.09,0.09,000,0.09
2011-05-26,0.09,0.10,0.09,0.09,000,0.09
2011-05-25,0.09,0.10,0.09,0.09,000,0.09
2011-05-24,0.09,0.10,0.09,0.09,000,0.09
2011-05-23,0.09,0.09,0.09,0.09,113000,0.09
2011-05-20,0.09,0.10,0.09,0.09,000,0.09
2011-05-19,0.09,0.09,0.09,0.09,5000,0.09
2011-05-18,0.09,0.10,0.09,0.09,000,0.09
2011-05-16,0.10,0.10,0.10,0.10,100000,0.10
2011-05-13,0.09,0.10,0.09,0.09,000,0.09
2011-05-12,0.09,0.10,0.09,0.09,000,0.09
2011-05-11,0.10,0.10,0.10,0.10,100000,0.10
2011-05-10,0.10,0.11,0.10,0.10,000,0.10
2011-05-09,0.10,0.11,0.10,0.10,000,0.10
2011-05-06,0.10,0.10,0.10,0.10,50000,0.10
2011-05-05,0.10,0.12,0.10,0.10,000,0.10
2011-05-04,0.10,0.12,0.10,0.10,000,0.10
2011-05-03,0.11,0.11,0.11,0.11,25000,0.11
2011-04-29,0.11,0.12,0.11,0.12,66000,0.12
2011-04-28,0.11,0.12,0.11,0.11,000,0.11
2011-04-27,0.12,0.13,0.12,0.13,24000,0.13
2011-04-26,0.11,0.12,0.11,0.12,33000,0.12
2011-04-25,0.10,0.10,0.10,0.10,20000,0.10
2011-04-21,0.10,0.11,0.10,0.10,000,0.10
2011-04-20,0.10,0.10,0.10,0.10,80000,0.10
2011-04-19,0.10,0.12,0.10,0.10,000,0.10
2011-04-18,0.10,0.11,0.10,0.10,000,0.10
2011-04-15,0.10,0.10,0.10,0.10,24000,0.10
2011-04-14,0.10,0.12,0.10,0.10,000,0.10
2011-04-13,0.10,0.12,0.10,0.10,000,0.10
2011-04-12,0.11,0.12,0.11,0.11,000,0.11
2011-04-11,0.11,0.12,0.11,0.11,000,0.11
2011-04-08,0.10,0.12,0.10,0.10,000,0.10
2011-04-07,0.11,0.11,0.11,0.11,12000,0.11
2011-04-06,0.11,0.11,0.11,0.11,128000,0.11
2011-04-05,0.10,0.11,0.10,0.10,000,0.10
2011-04-04,0.11,0.11,0.11,0.11,91000,0.11
2011-04-01,0.12,0.12,0.11,0.11,230000,0.11
2011-03-31,0.12,0.13,0.12,0.12,000,0.12
2011-03-30,0.12,0.12,0.12,0.12,000,0.12
2011-03-29,0.12,0.13,0.12,0.12,000,0.12
2011-03-28,0.12,0.12,0.12,0.12,21000,0.12
2011-03-25,0.13,0.13,0.13,0.13,1000,0.13
2011-03-24,0.13,0.13,0.13,0.13,1000,0.13
2011-03-23,0.12,0.13,0.12,0.13,13000,0.13
2011-03-22,0.12,0.13,0.12,0.12,000,0.12
2011-03-21,0.12,0.12,0.12,0.12,5000,0.12
2011-03-18,0.12,0.12,0.12,0.12,000,0.12
2011-03-17,0.12,0.13,0.12,0.12,000,0.12
2011-03-16,0.12,0.12,0.12,0.12,000,0.12
2011-03-15,0.12,0.12,0.12,0.12,000,0.12
2011-03-14,0.12,0.13,0.12,0.12,000,0.12
2011-03-11,0.12,0.12,0.12,0.12,32000,0.12
2011-03-10,0.12,0.13,0.12,0.12,000,0.12
2011-03-09,0.12,0.12,0.12,0.12,12000,0.12
2011-03-08,0.12,0.13,0.12,0.12,000,0.12
2011-03-07,0.12,0.13,0.12,0.12,000,0.12
2011-03-04,0.12,0.15,0.12,0.12,000,0.12
2011-03-03,0.12,0.15,0.12,0.12,000,0.12
2011-03-02,0.12,0.15,0.12,0.12,000,0.12
2011-03-01,0.12,0.15,0.12,0.12,000,0.12
2011-02-28,0.12,0.12,0.12,0.12,1000,0.12
2011-02-25,0.12,0.15,0.12,0.12,000,0.12
2011-02-24,0.12,0.14,0.12,0.12,000,0.12
2011-02-23,0.14,0.14,0.14,0.14,2000,0.14
2011-02-22,0.12,0.12,0.12,0.12,12000,0.12
2011-02-21,0.12,0.12,0.12,0.12,5000,0.12
2011-02-18,0.12,0.14,0.12,0.12,000,0.12
2011-02-17,0.14,0.14,0.14,0.14,16000,0.14
2011-02-16,0.12,0.15,0.12,0.12,000,0.12
2011-02-15,0.12,0.15,0.12,0.12,000,0.12
2011-02-14,0.12,0.12,0.12,0.12,2000,0.12
2011-02-11,0.14,0.14,0.14,0.14,3000,0.14
2011-02-10,0.14,0.14,0.14,0.14,000,0.14
2011-02-09,0.14,0.14,0.14,0.14,000,0.14
2011-02-08,0.14,0.14,0.14,0.14,000,0.14
2011-02-07,0.14,0.14,0.14,0.14,20000,0.14
2011-02-02,0.14,0.17,0.14,0.14,000,0.14
2011-02-01,0.14,0.16,0.14,0.14,000,0.14
2011-01-31,0.14,0.17,0.14,0.14,000,0.14
2011-01-28,0.15,0.15,0.15,0.15,20000,0.15
2011-01-27,0.14,0.16,0.14,0.14,000,0.14
2011-01-26,0.17,0.17,0.17,0.17,1000,0.17
2011-01-25,0.17,0.17,0.13,0.14,231000,0.14
2011-01-24,0.14,0.14,0.14,0.14,152000,0.14
