Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.01,0.01,0.01,0.01,000,0.01
2011-08-03,0.01,0.01,0.01,0.01,600000,0.01
2011-08-02,0.01,0.01,0.01,0.01,50000,0.01
2011-08-01,0.01,0.01,0.01,0.01,1045000,0.01
2011-07-29,0.01,0.01,0.01,0.01,150000,0.01
2011-07-28,0.01,0.01,0.01,0.01,300000,0.01
2011-07-27,0.01,0.01,0.01,0.01,220000,0.01
2011-07-26,0.01,0.01,0.01,0.01,200000,0.01
2011-07-25,0.01,0.01,0.01,0.01,300000,0.01
2011-07-22,0.01,0.01,0.01,0.01,000,0.01
2011-07-21,0.01,0.01,0.01,0.01,1418000,0.01
2011-07-20,0.02,0.02,0.01,0.02,955000,0.02
2011-07-19,0.01,0.01,0.01,0.01,000,0.01
2011-07-18,0.01,0.01,0.01,0.01,106000,0.01
2011-07-15,0.01,0.02,0.01,0.01,209000,0.01
2011-07-14,0.01,0.02,0.01,0.01,000,0.01
2011-07-13,0.01,0.02,0.01,0.01,368000,0.01
2011-07-12,0.01,0.02,0.01,0.01,000,0.01
2011-07-11,0.01,0.02,0.01,0.01,000,0.01
2011-07-08,0.01,0.02,0.01,0.01,000,0.01
2011-07-07,0.01,0.02,0.01,0.01,000,0.01
2011-07-06,0.02,0.02,0.02,0.02,177000,0.02
2011-07-05,0.02,0.02,0.02,0.02,221000,0.02
2011-07-04,0.02,0.02,0.02,0.02,000,0.02
2011-07-01,0.03,0.03,0.03,0.03,5000,0.03
2011-06-30,0.01,0.03,0.01,0.01,721000,0.01
2011-06-29,0.02,0.02,0.02,0.02,109000,0.02
2011-06-28,0.02,0.03,0.02,0.03,171000,0.03
2011-06-27,0.02,0.03,0.02,0.02,000,0.02
2011-06-24,0.03,0.03,0.02,0.03,2370000,0.03
2011-06-23,0.03,0.04,0.03,0.03,000,0.03
2011-06-22,0.03,0.03,0.03,0.03,000,0.03
2011-06-21,0.03,0.04,0.03,0.03,000,0.03
2011-06-20,0.03,0.03,0.03,0.03,000,0.03
2011-06-17,0.03,0.03,0.03,0.03,000,0.03
2011-06-16,0.03,0.04,0.03,0.04,480000,0.04
2011-06-15,0.03,0.03,0.03,0.03,30000,0.03
2011-06-14,0.03,0.04,0.03,0.04,310000,0.04
2011-06-13,0.03,0.04,0.03,0.03,000,0.03
2011-06-10,0.04,0.04,0.04,0.04,80000,0.04
2011-06-09,0.04,0.04,0.04,0.04,205000,0.04
2011-06-08,0.03,0.04,0.03,0.03,000,0.03
2011-06-07,0.03,0.04,0.03,0.03,000,0.03
2011-06-06,0.03,0.04,0.03,0.03,000,0.03
2011-06-03,0.03,0.04,0.03,0.03,000,0.03
2011-06-02,0.03,0.03,0.03,0.03,275000,0.03
2011-06-01,0.03,0.04,0.03,0.03,000,0.03
2011-05-31,0.03,0.04,0.03,0.03,000,0.03
2011-05-30,0.03,0.04,0.03,0.03,000,0.03
2011-05-27,0.04,0.04,0.04,0.04,20000,0.04
2011-05-26,0.04,0.04,0.04,0.04,185000,0.04
2011-05-25,0.03,0.04,0.03,0.03,000,0.03
2011-05-24,0.03,0.04,0.03,0.03,000,0.03
2011-05-23,0.04,0.04,0.04,0.04,35000,0.04
2011-05-20,0.04,0.04,0.04,0.04,000,0.04
2011-05-19,0.03,0.04,0.03,0.03,000,0.03
2011-05-18,0.03,0.04,0.03,0.03,000,0.03
2011-05-16,0.04,0.04,0.04,0.04,100000,0.04
2011-05-13,0.04,0.04,0.04,0.04,000,0.04
2011-05-12,0.03,0.04,0.03,0.03,000,0.03
2011-05-11,0.04,0.04,0.04,0.04,000,0.04
2011-05-10,0.04,0.04,0.04,0.04,120000,0.04
2011-05-09,0.03,0.03,0.03,0.03,86000,0.03
2011-05-06,0.03,0.04,0.03,0.04,136000,0.04
2011-05-05,0.03,0.04,0.03,0.03,000,0.03
2011-05-04,0.04,0.04,0.04,0.04,000,0.04
2011-05-03,0.03,0.04,0.03,0.03,000,0.03
2011-04-29,0.04,0.04,0.04,0.04,399000,0.04
2011-04-28,0.04,0.04,0.04,0.04,000,0.04
2011-04-27,0.04,0.04,0.04,0.04,000,0.04
2011-04-26,0.04,0.05,0.04,0.04,000,0.04
2011-04-25,0.04,0.05,0.04,0.04,000,0.04
2011-04-21,0.05,0.05,0.05,0.05,50000,0.05
2011-04-20,0.04,0.05,0.04,0.04,000,0.04
2011-04-19,0.04,0.05,0.04,0.04,000,0.04
2011-04-18,0.04,0.04,0.04,0.04,185000,0.04
2011-04-15,0.04,0.04,0.04,0.04,000,0.04
2011-04-14,0.04,0.05,0.04,0.04,000,0.04
2011-04-13,0.04,0.04,0.04,0.04,1079000,0.04
2011-04-12,0.04,0.05,0.04,0.04,000,0.04
2011-04-11,0.04,0.05,0.04,0.04,000,0.04
2011-04-08,0.04,0.05,0.04,0.04,000,0.04
2011-04-07,0.05,0.05,0.05,0.05,100000,0.05
2011-04-06,0.05,0.05,0.05,0.05,244000,0.05
2011-04-05,0.05,0.05,0.05,0.05,000,0.05
2011-04-04,0.05,0.05,0.05,0.05,000,0.05
2011-04-01,0.05,0.05,0.05,0.05,000,0.05
2011-03-31,0.05,0.05,0.05,0.05,000,0.05
2011-03-30,0.05,0.05,0.05,0.05,000,0.05
2011-03-29,0.05,0.05,0.05,0.05,98000,0.05
2011-03-28,0.05,0.05,0.05,0.05,148000,0.05
2011-03-25,0.05,0.05,0.05,0.05,159000,0.05
2011-03-24,0.05,0.06,0.05,0.05,000,0.05
2011-03-23,0.05,0.05,0.05,0.05,98000,0.05
2011-03-22,0.05,0.06,0.05,0.05,000,0.05
2011-03-21,0.05,0.06,0.05,0.05,000,0.05
2011-03-18,0.05,0.05,0.05,0.05,2000000,0.05
2011-03-17,0.05,0.06,0.05,0.05,000,0.05
2011-03-16,0.05,0.05,0.05,0.05,1000,0.05
2011-03-15,0.05,0.05,0.05,0.05,140000,0.05
2011-03-14,0.05,0.05,0.05,0.05,000,0.05
2011-03-11,0.05,0.06,0.05,0.05,000,0.05
2011-03-10,0.05,0.06,0.05,0.05,000,0.05
2011-03-09,0.05,0.06,0.05,0.05,000,0.05
2011-03-08,0.05,0.06,0.05,0.05,000,0.05
2011-03-07,0.05,0.05,0.05,0.05,000,0.05
2011-03-04,0.05,0.05,0.05,0.05,000,0.05
2011-03-03,0.05,0.05,0.05,0.05,000,0.05
2011-03-02,0.05,0.06,0.05,0.05,000,0.05
2011-03-01,0.05,0.05,0.05,0.05,16000,0.05
2011-02-28,0.05,0.05,0.05,0.05,000,0.05
2011-02-25,0.05,0.06,0.05,0.05,000,0.05
2011-02-24,0.05,0.05,0.05,0.05,000,0.05
2011-02-23,0.05,0.05,0.05,0.05,000,0.05
2011-02-22,0.05,0.05,0.05,0.05,50000,0.05
2011-02-21,0.05,0.05,0.05,0.05,30000,0.05
2011-02-18,0.05,0.05,0.05,0.05,000,0.05
2011-02-17,0.05,0.05,0.05,0.05,32000,0.05
2011-02-16,0.05,0.07,0.05,0.05,000,0.05
2011-02-15,0.05,0.05,0.05,0.05,96000,0.05
2011-02-14,0.05,0.05,0.05,0.05,000,0.05
2011-02-11,0.05,0.05,0.05,0.05,50000,0.05
2011-02-10,0.05,0.06,0.05,0.05,000,0.05
2011-02-09,0.05,0.06,0.05,0.05,000,0.05
2011-02-08,0.05,0.06,0.05,0.05,000,0.05
2011-02-07,0.05,0.06,0.05,0.05,000,0.05
2011-02-02,0.05,0.05,0.05,0.05,50000,0.05
2011-02-01,0.05,0.05,0.05,0.05,000,0.05
2011-01-31,0.05,0.05,0.05,0.05,000,0.05
2011-01-28,0.05,0.05,0.05,0.05,000,0.05
2011-01-27,0.05,0.05,0.05,0.05,000,0.05
2011-01-26,0.05,0.05,0.05,0.05,55000,0.05
2011-01-25,0.05,0.05,0.05,0.05,63000,0.05
2011-01-24,0.05,0.05,0.05,0.05,000,0.05
2011-01-21,0.05,0.05,0.05,0.05,000,0.05
2011-01-20,0.05,0.05,0.05,0.05,000,0.05
2011-01-19,0.05,0.05,0.05,0.05,000,0.05
2011-01-18,0.05,0.05,0.05,0.05,000,0.05
2011-01-17,0.05,0.05,0.05,0.05,000,0.05
2011-01-14,0.05,0.05,0.05,0.05,000,0.05
2011-01-13,0.05,0.05,0.05,0.05,000,0.05
2011-01-12,0.05,0.05,0.05,0.05,34000,0.05
2011-01-11,0.05,0.05,0.05,0.05,000,0.05
2011-01-10,0.05,0.05,0.05,0.05,000,0.05
2011-01-07,0.05,0.05,0.05,0.05,238000,0.05
2011-01-06,0.05,0.06,0.05,0.05,000,0.05
2011-01-05,0.05,0.06,0.05,0.05,000,0.05
2011-01-04,0.05,0.06,0.05,0.05,000,0.05
2011-01-03,0.05,0.05,0.05,0.05,30000,0.05
2010-12-31,0.05,0.05,0.05,0.05,4000,0.05
2010-12-30,0.05,0.05,0.05,0.05,000,0.05
2010-12-29,0.05,0.06,0.05,0.06,136000,0.06
2010-12-28,0.05,0.09,0.05,0.05,660000,0.05
2010-12-27,0.05,0.05,0.05,0.05,000,0.05
2010-12-24,0.05,0.05,0.05,0.05,000,0.05
2010-12-23,0.05,0.05,0.05,0.05,50000,0.05
2010-12-22,0.05,0.05,0.05,0.05,160000,0.05
2010-12-21,0.04,0.05,0.04,0.04,000,0.04
2010-12-20,0.04,0.05,0.04,0.04,000,0.04
2010-12-17,0.04,0.05,0.04,0.04,000,0.04
2010-12-16,0.04,0.05,0.04,0.04,000,0.04
2010-12-15,0.04,0.05,0.04,0.04,000,0.04
2010-12-14,0.04,0.05,0.04,0.04,000,0.04
2010-12-13,0.04,0.05,0.04,0.04,000,0.04
2010-12-10,0.04,0.04,0.04,0.04,30000,0.04
2010-12-09,0.04,0.05,0.04,0.04,000,0.04
2010-12-08,0.04,0.05,0.04,0.04,000,0.04
2010-12-07,0.04,0.04,0.04,0.04,000,0.04
2010-12-06,0.04,0.04,0.04,0.04,170000,0.04
2010-12-03,0.05,0.05,0.04,0.05,528000,0.05
2010-12-02,0.05,0.05,0.05,0.05,30000,0.05
2010-12-01,0.05,0.05,0.05,0.05,205000,0.05
2010-11-30,0.05,0.05,0.05,0.05,40000,0.05
2010-11-29,0.06,0.06,0.05,0.05,109000,0.05
2010-11-26,0.06,0.06,0.06,0.06,000,0.06
2010-11-25,0.05,0.07,0.05,0.05,000,0.05
2010-11-24,0.05,0.06,0.05,0.05,000,0.05
2010-11-23,0.06,0.06,0.06,0.06,000,0.06
2010-11-22,0.06,0.06,0.06,0.06,000,0.06
2010-11-19,0.06,0.06,0.06,0.06,56000,0.06
2010-11-18,0.06,0.06,0.06,0.06,000,0.06
2010-11-16,0.05,0.06,0.05,0.05,000,0.05
2010-11-15,0.06,0.07,0.06,0.06,000,0.06
2010-11-12,0.06,0.06,0.06,0.06,5000,0.06
2010-11-11,0.06,0.06,0.06,0.06,250000,0.06
2010-11-10,0.06,0.07,0.06,0.06,000,0.06
2010-11-09,0.06,0.07,0.06,0.06,000,0.06
2010-11-08,0.06,0.07,0.06,0.06,000,0.06
2010-11-04,0.06,0.07,0.06,0.06,000,0.06
2010-11-03,0.06,0.07,0.06,0.06,000,0.06
2010-11-02,0.06,0.07,0.06,0.06,000,0.06
2010-11-01,0.06,0.06,0.06,0.06,200000,0.06
2010-10-29,0.07,0.07,0.07,0.07,193000,0.07
2010-10-28,0.07,0.07,0.07,0.07,150000,0.07
2010-10-27,0.08,0.08,0.08,0.08,160000,0.08
2010-10-26,0.08,0.09,0.08,0.08,000,0.08
2010-10-25,0.08,0.09,0.08,0.08,000,0.08
2010-10-22,0.09,0.09,0.08,0.08,338000,0.08
2010-10-21,0.09,0.09,0.09,0.09,150000,0.09
2010-10-20,0.09,0.09,0.09,0.09,000,0.09
2010-10-19,0.09,0.09,0.09,0.09,000,0.09
2010-10-18,0.09,0.09,0.09,0.09,80000,0.09
2010-10-15,0.10,0.10,0.09,0.09,178000,0.09
2010-10-14,0.10,0.10,0.10,0.10,85000,0.10
2010-10-13,0.12,0.12,0.11,0.11,258000,0.11
2010-10-12,0.12,0.12,0.12,0.12,100000,0.12
2010-10-11,0.12,0.12,0.12,0.12,80000,0.12
2010-10-08,0.14,0.14,0.14,0.14,20000,0.14
2010-10-07,0.12,0.14,0.12,0.12,000,0.12
2010-10-06,0.14,0.14,0.14,0.14,5000,0.14
2010-10-05,0.14,0.14,0.14,0.14,21000,0.14
2010-10-04,0.14,0.14,0.13,0.13,85000,0.13
2010-10-01,0.14,0.16,0.14,0.14,000,0.14
2010-09-30,0.14,0.16,0.14,0.14,000,0.14
2010-09-29,0.14,0.16,0.14,0.14,000,0.14
2010-09-28,0.14,0.14,0.14,0.14,115000,0.14
2010-09-27,0.14,0.16,0.14,0.14,000,0.14
2010-09-24,0.16,0.16,0.16,0.16,42000,0.16
2010-09-23,0.16,0.16,0.15,0.15,34000,0.15
2010-09-22,0.16,0.18,0.16,0.16,000,0.16
2010-09-21,0.16,0.18,0.16,0.16,000,0.16
2010-09-20,0.16,0.17,0.16,0.16,000,0.16
2010-09-17,0.17,0.17,0.16,0.16,22000,0.16
2010-09-16,0.17,0.19,0.17,0.17,000,0.17
2010-09-15,0.17,0.19,0.17,0.17,000,0.17
2010-09-14,0.17,0.19,0.17,0.17,000,0.17
2010-09-13,0.16,0.19,0.16,0.16,000,0.16
2010-09-09,0.18,0.19,0.18,0.18,000,0.18
2010-09-08,0.19,0.19,0.17,0.18,70000,0.18
2010-09-07,0.18,0.18,0.18,0.18,8000,0.18
2010-09-06,0.17,0.19,0.17,0.17,000,0.17
2010-09-03,0.19,0.19,0.19,0.19,15000,0.19
2010-09-02,0.17,0.19,0.17,0.17,000,0.17
2010-09-01,0.17,0.19,0.17,0.17,000,0.17
2010-08-31,0.19,0.19,0.18,0.18,32000,0.18
2010-08-30,0.19,0.20,0.19,0.19,000,0.19
2010-08-27,0.19,0.20,0.19,0.20,25000,0.20
2010-08-26,0.22,0.22,0.19,0.22,70000,0.22
2010-08-25,0.19,0.22,0.19,0.19,000,0.19
2010-08-24,0.19,0.19,0.19,0.19,65000,0.19
2010-08-23,0.19,0.22,0.19,0.19,000,0.19
2010-08-20,0.19,0.22,0.19,0.19,000,0.19
2010-08-19,0.19,0.22,0.19,0.19,000,0.19
2010-08-18,0.22,0.22,0.22,0.22,5000,0.22
2010-08-17,0.21,0.21,0.21,0.21,52000,0.21
2010-08-16,0.23,0.23,0.22,0.22,170000,0.22
2010-08-13,0.23,0.26,0.23,0.23,000,0.23
2010-08-12,0.23,0.26,0.23,0.23,000,0.23
2010-08-11,0.25,0.25,0.25,0.25,6000,0.25
2010-08-10,0.25,0.26,0.25,0.26,33000,0.26
2010-08-06,0.20,0.28,0.20,0.20,000,0.20
2010-08-05,0.20,0.28,0.20,0.20,000,0.20
2010-08-04,0.30,0.30,0.30,0.30,5000,0.30
2010-08-03,2.40,2.68,2.40,2.40,000,0.24
2010-08-02,2.38,2.52,2.38,2.38,000,0.24
2010-07-30,2.43,2.50,2.43,2.43,000,0.24
2010-07-29,2.45,2.45,2.42,2.42,50000,0.24
2010-07-28,2.38,2.68,2.38,2.38,000,0.24
2010-07-27,2.30,2.70,2.30,2.30,000,0.23
2010-07-26,2.35,2.35,2.35,2.35,10000,0.23
2010-07-23,2.25,2.25,2.25,2.25,10000,0.22
2010-07-22,2.28,2.80,2.28,2.28,000,0.23
2010-07-21,2.88,2.88,2.88,2.88,10000,0.29
2010-07-20,3.00,3.00,3.00,3.00,10000,0.30
2010-07-19,2.02,2.30,2.02,2.02,000,0.20
2010-07-16,2.00,2.40,2.00,2.00,000,0.20
2010-07-15,2.00,2.50,2.00,2.00,000,0.20
2010-07-14,2.00,2.50,2.00,2.00,000,0.20
2010-07-13,2.00,2.40,2.00,2.00,000,0.20
2010-07-12,2.00,2.18,2.00,2.00,000,0.20
2010-07-09,2.00,2.20,2.00,2.00,000,0.20
2010-07-08,2.00,2.20,2.00,2.00,000,0.20
2010-07-07,2.10,2.10,2.10,2.10,50000,0.21
2010-07-06,2.00,2.40,2.00,2.00,000,0.20
2010-07-05,2.40,2.40,2.40,2.40,50000,0.24
2010-07-02,2.42,2.60,2.42,2.42,000,0.24
2010-07-01,2.20,2.65,2.20,2.20,000,0.22
2010-06-30,2.50,2.50,2.50,2.50,10000,0.25
2010-06-29,2.59,2.59,2.59,2.59,10000,0.26
2010-06-28,2.65,2.65,2.65,2.65,10000,0.26
2010-06-25,2.68,2.68,2.68,2.68,10000,0.27
2010-06-24,3.30,3.30,3.30,3.30,10000,0.33
2010-06-23,2.20,2.55,2.20,2.20,000,0.22
2010-06-22,2.10,2.55,2.10,2.10,000,0.21
2010-06-21,2.30,2.30,2.30,2.30,10000,0.23
2010-06-18,2.60,2.61,2.60,2.60,60000,0.26
2010-06-17,2.80,2.80,2.60,2.60,20000,0.26
2010-06-16,2.80,3.50,2.80,2.80,000,0.28
2010-06-15,2.80,3.46,2.80,2.80,000,0.28
2010-06-14,0.09,3.50,0.09,0.09,000,0.01
2010-06-11,0.10,3.45,0.10,0.10,000,0.01
2010-06-10,3.00,3.45,3.00,3.00,000,0.30
2010-06-09,3.60,3.60,3.55,3.55,40000,0.35
2010-06-08,3.10,3.60,3.10,3.10,000,0.31
2010-06-07,3.60,3.70,3.60,3.70,70000,0.37
2010-06-04,2.90,3.70,2.90,3.60,300000,0.36
2010-06-03,2.00,2.80,2.00,2.80,130000,0.28
2010-06-02,1.46,1.90,1.46,1.90,90000,0.19
2010-06-01,1.38,1.42,1.38,1.42,30000,0.14
2010-05-31,1.20,1.88,1.20,1.20,000,0.12
2010-05-28,1.20,1.20,1.20,1.20,000,0.12
2010-05-27,1.20,1.20,1.20,1.20,150000,0.12
2010-05-26,1.00,1.12,1.00,1.11,100000,0.11
2010-05-25,2.50,3.00,2.50,2.50,58200,25.00
2010-05-24,3.00,3.00,2.50,2.50,45900,25.00
2010-05-21,2.50,3.00,2.50,3.00,32000,30.00
2010-05-20,3.00,3.00,3.00,3.00,8000,30.00
2010-05-19,3.00,3.50,3.00,3.00,39300,30.00
2010-05-18,3.00,3.50,3.00,3.00,000,30.00
2010-05-17,3.00,3.50,3.00,3.50,4300,35.00
2010-05-14,3.50,3.50,3.00,3.00,7300,30.00
