Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.35,0.35,0.34,0.35,158000,0.35
2011-08-03,0.35,0.35,0.35,0.35,223000,0.35
2011-08-02,0.35,0.35,0.35,0.35,79000,0.35
2011-08-01,0.35,0.35,0.35,0.35,141000,0.35
2011-07-29,0.35,0.35,0.35,0.35,153000,0.35
2011-07-28,0.35,0.35,0.35,0.35,176000,0.35
2011-07-27,0.36,0.36,0.35,0.35,33000,0.35
2011-07-26,0.35,0.37,0.35,0.37,316000,0.37
2011-07-25,0.35,0.35,0.35,0.35,132000,0.35
2011-07-22,0.35,0.35,0.35,0.35,67000,0.35
2011-07-21,0.35,0.35,0.35,0.35,221000,0.35
2011-07-20,0.36,0.36,0.34,0.35,459000,0.35
2011-07-19,0.35,0.36,0.35,0.36,135000,0.36
2011-07-18,0.36,0.36,0.34,0.36,97000,0.36
2011-07-15,0.35,0.35,0.35,0.35,140000,0.35
2011-07-14,0.35,0.35,0.35,0.35,248000,0.35
2011-07-13,0.35,0.35,0.35,0.35,154000,0.35
2011-07-12,0.36,0.36,0.35,0.35,450000,0.35
2011-07-11,0.37,0.37,0.37,0.37,85000,0.37
2011-07-08,0.37,0.37,0.37,0.37,102000,0.37
2011-07-07,0.37,0.37,0.37,0.37,285000,0.37
2011-07-06,0.37,0.37,0.37,0.37,927000,0.37
2011-07-05,0.37,0.37,0.37,0.37,333000,0.37
2011-07-04,0.37,0.37,0.37,0.37,218000,0.37
2011-07-01,0.37,0.37,0.36,0.37,1538000,0.37
2011-06-30,0.36,0.37,0.36,0.37,336000,0.37
2011-06-29,0.36,0.37,0.36,0.37,312000,0.37
2011-06-28,0.35,0.37,0.35,0.36,1843000,0.36
2011-06-27,0.35,0.37,0.35,0.35,1588000,0.35
2011-06-24,0.35,0.36,0.35,0.35,118000,0.35
2011-06-23,0.35,0.36,0.35,0.36,72000,0.36
2011-06-22,0.36,0.36,0.35,0.35,135000,0.35
2011-06-21,0.35,0.36,0.35,0.36,943000,0.36
2011-06-20,0.37,0.37,0.35,0.35,156000,0.35
2011-06-17,0.35,0.37,0.35,0.37,440000,0.37
2011-06-16,0.34,0.35,0.34,0.35,317000,0.35
2011-06-15,0.35,0.36,0.35,0.35,241000,0.35
2011-06-14,0.36,0.36,0.35,0.35,210000,0.35
2011-06-13,0.35,0.35,0.35,0.35,194000,0.35
2011-06-10,0.36,0.36,0.35,0.35,281000,0.35
2011-06-09,0.35,0.37,0.35,0.37,392000,0.37
2011-06-08,0.37,0.37,0.36,0.36,140000,0.36
2011-06-07,0.37,0.37,0.36,0.37,215000,0.37
2011-06-06,0.36,0.36,0.36,0.36,2000,0.36
2011-06-03,0.38,0.38,0.37,0.37,578000,0.37
2011-06-02,0.37,0.38,0.36,0.38,38000,0.38
2011-06-01,0.38,0.38,0.37,0.37,640000,0.37
2011-05-31,0.37,0.38,0.37,0.38,1917000,0.38
2011-05-30,0.37,0.37,0.37,0.37,308000,0.37
2011-05-27,0.37,0.37,0.36,0.37,363000,0.37
2011-05-26,0.37,0.38,0.36,0.36,528000,0.36
2011-05-25,0.36,0.37,0.36,0.37,307000,0.37
2011-05-24,0.37,0.37,0.36,0.37,303000,0.37
2011-05-23,0.37,0.37,0.35,0.37,540000,0.37
2011-05-20,0.37,0.38,0.37,0.38,714000,0.38
2011-05-19,0.38,0.38,0.37,0.38,1276000,0.38
2011-05-18,0.35,0.38,0.35,0.38,1295000,0.38
2011-05-16,0.37,0.37,0.34,0.34,509000,0.34
2011-05-13,0.37,0.37,0.36,0.37,400000,0.37
2011-05-12,0.36,0.37,0.36,0.37,700000,0.37
2011-05-11,0.38,0.38,0.37,0.37,913000,0.37
2011-05-10,0.38,0.39,0.38,0.38,2908000,0.38
2011-05-09,0.34,0.38,0.34,0.38,3837000,0.38
2011-05-06,0.33,0.34,0.32,0.34,1715000,0.34
2011-05-05,0.33,0.34,0.33,0.34,542000,0.34
2011-05-04,0.34,0.34,0.31,0.33,3102000,0.33
2011-05-03,0.35,0.35,0.34,0.34,2491000,0.34
2011-04-29,0.37,0.37,0.35,0.35,1298000,0.35
2011-04-28,0.38,0.38,0.37,0.37,659000,0.37
2011-04-27,0.39,0.39,0.38,0.38,1169000,0.38
2011-04-26,0.39,0.39,0.38,0.39,3152000,0.39
2011-04-25,0.38,0.40,0.38,0.39,8299000,0.39
2011-04-21,0.37,0.38,0.37,0.38,4272000,0.38
2011-04-20,0.36,0.37,0.36,0.37,250000,0.37
2011-04-19,0.37,0.37,0.36,0.36,178000,0.36
2011-04-18,0.37,0.37,0.37,0.37,601000,0.37
2011-04-15,0.37,0.37,0.37,0.37,366000,0.37
2011-04-14,0.37,0.38,0.37,0.37,1748000,0.37
2011-04-13,0.36,0.37,0.36,0.37,650000,0.37
2011-04-12,0.36,0.36,0.35,0.36,728000,0.36
2011-04-11,0.35,0.36,0.35,0.35,360000,0.35
2011-04-08,0.36,0.36,0.35,0.35,200000,0.35
2011-04-07,0.35,0.37,0.35,0.36,1210000,0.36
2011-04-06,0.35,0.36,0.35,0.35,257000,0.35
2011-04-05,0.35,0.37,0.35,0.36,1370000,0.36
2011-04-04,0.35,0.35,0.35,0.35,512000,0.35
2011-04-01,0.35,0.35,0.34,0.35,1355000,0.35
2011-03-31,0.36,0.37,0.36,0.36,1069000,0.36
2011-03-30,0.34,0.36,0.34,0.36,2068000,0.36
2011-03-29,0.34,0.34,0.34,0.34,748000,0.34
2011-03-28,0.33,0.35,0.33,0.34,1092000,0.34
2011-03-25,0.32,0.33,0.32,0.33,950000,0.33
2011-03-24,0.31,0.32,0.31,0.32,480000,0.32
2011-03-23,0.31,0.31,0.31,0.31,87000,0.31
2011-03-22,0.31,0.31,0.31,0.31,529000,0.31
2011-03-21,0.32,0.32,0.31,0.31,635000,0.31
2011-03-18,0.31,0.31,0.31,0.31,764000,0.31
2011-03-17,0.31,0.31,0.31,0.31,205000,0.31
2011-03-16,0.32,0.32,0.31,0.31,40000,0.31
2011-03-15,0.32,0.32,0.31,0.31,1005000,0.31
