Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.96,1.96,1.95,1.95,557000,1.95
2011-08-03,1.95,1.96,1.94,1.96,838000,1.96
2011-08-02,1.98,1.98,1.96,1.96,653000,1.96
2011-08-01,1.98,1.98,1.97,1.98,893000,1.98
2011-07-29,1.98,1.98,1.96,1.96,3433000,1.96
2011-07-28,1.99,2.00,1.99,2.00,449000,2.00
2011-07-27,1.99,2.01,1.99,2.00,1002000,2.00
2011-07-26,2.03,2.03,2.00,2.00,1374000,2.00
2011-07-25,2.03,2.04,2.01,2.03,814000,2.03
2011-07-22,2.05,2.07,2.04,2.04,498000,2.04
2011-07-21,2.04,2.07,2.01,2.02,850000,2.02
2011-07-20,2.00,2.02,1.99,2.02,808000,2.02
2011-07-19,1.99,2.03,1.99,2.00,632000,2.00
2011-07-18,2.06,2.06,2.01,2.01,408000,2.01
2011-07-15,2.08,2.08,2.06,2.06,378000,2.06
2011-07-14,2.08,2.08,2.06,2.08,485000,2.08
2011-07-13,2.08,2.08,2.06,2.06,736000,2.06
2011-07-12,2.08,2.09,2.06,2.07,626000,2.07
2011-07-11,2.09,2.10,2.07,2.08,806000,2.08
2011-07-08,2.08,2.09,2.06,2.09,1698000,2.09
2011-07-07,2.09,2.09,2.06,2.07,747000,2.07
2011-07-06,2.04,2.09,2.04,2.09,2290000,2.09
2011-07-05,2.00,2.04,2.00,2.03,812000,2.03
2011-07-04,2.01,2.02,2.00,2.00,134000,2.00
2011-07-01,2.00,2.01,1.99,2.01,480000,2.01
2011-06-30,1.98,2.00,1.98,1.99,548000,1.99
2011-06-29,2.00,2.01,1.98,1.98,730000,1.98
2011-06-28,2.01,2.02,1.99,2.00,282000,2.00
2011-06-27,2.02,2.02,1.99,1.99,99000,1.99
2011-06-24,2.00,2.02,1.98,2.02,748000,2.02
2011-06-23,2.02,2.05,1.99,2.00,350000,2.00
2011-06-22,2.00,2.02,1.99,2.00,563000,2.00
2011-06-21,1.98,2.00,1.96,1.99,443000,1.99
2011-06-20,2.00,2.00,1.98,1.98,420000,1.98
2011-06-17,1.97,1.98,1.96,1.96,1017000,1.96
2011-06-16,1.96,2.00,1.95,1.99,1087000,1.99
2011-06-15,1.99,2.01,1.96,1.97,453000,1.97
2011-06-14,1.99,2.00,1.98,2.00,581000,2.00
2011-06-13,1.99,2.01,1.98,1.99,751000,1.99
2011-06-10,2.02,2.03,1.99,1.99,458000,1.99
2011-06-09,2.02,2.03,2.02,2.02,363000,2.02
2011-06-08,2.02,2.03,2.02,2.02,385000,2.02
2011-06-07,2.01,2.03,2.01,2.01,585000,2.01
2011-06-06,2.01,2.04,2.01,2.02,680000,2.02
2011-06-03,2.00,2.03,2.00,2.01,562000,2.01
2011-06-02,2.01,2.03,2.01,2.02,497000,2.02
2011-06-01,2.04,2.05,2.04,2.05,526000,2.05
2011-05-31,2.04,2.06,2.04,2.04,381000,2.04
2011-05-30,2.07,2.07,2.04,2.05,330000,2.05
2011-05-27,2.04,2.06,2.04,2.06,952000,2.06
2011-05-26,2.05,2.05,2.03,2.03,424000,2.03
2011-05-25,2.05,2.06,2.04,2.05,380000,2.05
2011-05-24,2.05,2.07,2.04,2.05,827000,2.05
2011-05-23,2.08,2.08,2.04,2.07,551000,2.07
2011-05-20,2.06,2.08,2.05,2.08,453000,2.08
2011-05-19,2.08,2.09,2.06,2.07,525000,2.07
2011-05-18,2.04,2.07,2.04,2.07,1037000,2.07
2011-05-16,2.09,2.09,2.05,2.05,917000,2.05
2011-05-13,2.10,2.10,2.08,2.09,598000,2.09
2011-05-12,2.08,2.09,2.08,2.08,554000,2.08
2011-05-11,2.11,2.11,2.08,2.08,1357000,2.08
2011-05-10,2.10,2.10,2.08,2.10,545000,2.10
2011-05-09,2.08,2.11,2.08,2.09,1901000,2.09
2011-05-06,2.02,2.07,2.00,2.06,1639000,2.06
2011-05-05,2.07,2.07,1.96,1.98,4766000,1.98
2011-05-04,2.10,2.10,2.04,2.04,1536000,2.04
2011-05-03,2.13,2.13,2.10,2.11,650000,2.11
2011-04-29,2.15,2.17,2.14,2.15,648000,2.15
2011-04-28,2.17,2.19,2.16,2.16,742000,2.16
2011-04-27,2.18,2.19,2.15,2.18,918000,2.18
2011-04-26,2.18,2.19,2.16,2.19,530000,2.19
2011-04-25,2.19,2.19,2.16,2.18,520000,2.18
2011-04-21,2.19,2.19,2.17,2.19,860000,2.19
2011-04-20,2.15,2.19,2.15,2.19,670000,2.19
2011-04-19,2.16,2.17,2.14,2.17,1211000,2.17
2011-04-18,2.19,2.19,2.15,2.18,982000,2.18
2011-04-15,2.19,2.19,2.17,2.19,1211000,2.19
2011-04-14,2.19,2.22,2.18,2.19,2010000,2.19
2011-04-13,2.13,2.19,2.09,2.19,2013000,2.19
2011-04-12,2.11,2.16,2.11,2.16,1092000,2.16
2011-04-11,2.18,2.18,2.14,2.14,1267000,2.14
2011-04-08,2.17,2.18,2.16,2.16,1805000,2.16
2011-04-07,2.18,2.19,2.16,2.19,1765000,2.19
2011-04-06,2.17,2.17,2.14,2.15,2001000,2.15
2011-04-05,2.16,2.19,2.14,2.16,1061000,2.16
2011-04-04,2.18,2.19,2.16,2.17,1256000,2.17
2011-04-01,2.15,2.17,2.14,2.15,1449000,2.15
2011-03-31,2.14,2.17,2.10,2.16,2931000,2.16
2011-03-30,2.09,2.13,2.08,2.13,2989000,2.13
2011-03-29,2.06,2.12,2.06,2.10,1186000,2.10
2011-03-28,2.11,2.12,2.06,2.08,1439000,2.08
2011-03-25,2.07,2.12,2.06,2.11,7157000,2.11
2011-03-24,2.05,2.07,2.04,2.06,1459000,2.06
2011-03-23,2.04,2.07,2.04,2.05,847000,2.05
2011-03-22,2.06,2.06,2.03,2.04,1300000,2.04
2011-03-21,1.97,2.09,1.96,2.07,4217000,2.07
2011-03-18,1.95,1.97,1.94,1.95,1295000,1.95
2011-03-17,1.94,1.96,1.93,1.93,988000,1.93
2011-03-16,1.94,1.98,1.94,1.95,2407000,1.95
2011-03-15,1.94,1.95,1.90,1.91,3030000,1.91
2011-03-14,2.00,2.01,1.97,1.97,3805000,1.97
2011-03-11,2.05,2.05,2.02,2.03,2940000,2.03
2011-03-10,2.11,2.11,2.07,2.08,4003000,2.08
2011-03-09,2.08,2.15,2.07,2.12,11185000,2.12
2011-03-08,1.94,2.09,1.93,2.05,14961000,2.05
2011-03-07,2.01,1.48,2.01,2.01,000,2.01
2011-03-04,1.85,1.86,1.81,1.83,5199000,1.83
2011-03-03,1.81,1.88,1.78,1.86,3990000,1.86
2011-03-02,1.91,1.93,1.80,1.81,6368000,1.81
2011-03-01,1.92,1.96,1.90,1.93,3658000,1.93
2011-02-28,1.94,1.96,1.90,1.92,2482000,1.92
2011-02-25,1.98,1.99,1.94,1.94,4981000,1.94
2011-02-24,1.98,2.02,1.98,1.99,3071000,1.99
2011-02-23,1.97,1.99,1.92,1.98,4310000,1.98
2011-02-22,2.01,2.04,1.92,1.95,4601000,1.95
2011-02-21,2.20,2.21,2.09,2.10,1705000,2.10
2011-02-18,2.24,2.27,2.20,2.21,1133000,2.21
2011-02-17,2.19,2.25,2.19,2.25,1008000,2.25
2011-02-16,2.24,2.26,2.23,2.26,640000,2.26
2011-02-15,2.27,2.27,2.23,2.23,944000,2.23
2011-02-14,2.28,2.29,2.26,2.27,478000,2.27
2011-02-11,2.27,2.28,2.25,2.27,497000,2.27
2011-02-10,2.30,2.31,2.25,2.25,575000,2.25
2011-02-09,2.35,2.35,2.28,2.28,529000,2.28
2011-02-08,2.33,2.33,2.30,2.32,675000,2.32
2011-02-07,2.32,2.32,2.28,2.31,1927000,2.31
2011-02-02,2.30,2.34,2.30,2.31,1598000,2.31
2011-02-01,2.25,2.27,2.24,2.24,910000,2.24
2011-01-31,2.27,2.27,2.23,2.23,1040000,2.23
2011-01-28,2.33,2.33,2.27,2.27,1533000,2.27
2011-01-27,2.36,2.36,2.33,2.34,350000,2.34
2011-01-26,2.34,2.34,2.30,2.33,1627000,2.33
2011-01-25,2.29,2.32,2.29,2.32,685000,2.32
2011-01-24,2.31,2.35,2.27,2.28,2039000,2.28
2011-01-21,2.36,2.37,2.30,2.30,1591000,2.30
2011-01-20,2.39,2.40,2.36,2.36,1808000,2.36
2011-01-19,2.37,2.39,2.37,2.39,1022000,2.39
2011-01-18,2.37,2.38,2.34,2.34,730000,2.34
2011-01-17,2.38,2.39,2.37,2.37,554000,2.37
2011-01-14,2.40,2.40,2.34,2.38,1019000,2.38
2011-01-13,2.41,2.42,2.37,2.37,1799000,2.37
2011-01-12,2.38,2.41,2.37,2.38,2573000,2.38
2011-01-11,2.34,2.35,2.32,2.34,1451000,2.34
2011-01-10,2.34,2.34,2.31,2.31,697000,2.31
2011-01-07,2.35,2.35,2.32,2.32,632000,2.32
2011-01-06,2.35,2.35,2.33,2.33,1016000,2.33
2011-01-05,2.34,2.35,2.32,2.34,908000,2.34
2011-01-04,2.33,2.34,2.32,2.34,1491000,2.34
2011-01-03,2.33,2.34,2.32,2.33,821000,2.33
2010-12-31,2.32,2.32,2.31,2.32,313000,2.32
2010-12-30,2.33,2.33,2.30,2.33,1626000,2.33
2010-12-29,2.30,2.33,2.30,2.33,720000,2.33
2010-12-28,2.28,2.32,2.26,2.30,1245000,2.30
