Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,190000,0.03
2011-08-03,0.03,0.03,0.03,0.03,15000,0.03
2011-08-02,0.03,0.03,0.02,0.03,286000,0.03
2011-08-01,0.03,0.03,0.03,0.03,16000,0.03
2011-07-29,0.03,0.03,0.03,0.03,5000,0.03
2011-07-28,0.03,0.03,0.02,0.02,54000,0.02
2011-07-27,0.03,0.03,0.03,0.03,119000,0.03
2011-07-26,0.03,0.03,0.03,0.03,210000,0.03
2011-07-25,0.02,0.03,0.02,0.03,569000,0.03
2011-07-22,0.03,0.03,0.03,0.03,34000,0.03
2011-07-21,0.03,0.03,0.03,0.03,39000,0.03
2011-07-20,0.02,0.03,0.02,0.03,74000,0.03
2011-07-19,0.03,0.03,0.03,0.03,160000,0.03
2011-07-18,0.03,0.03,0.03,0.03,1300000,0.03
2011-07-15,0.02,0.03,0.02,0.03,7000,0.03
2011-07-14,0.02,0.03,0.02,0.02,000,0.02
2011-07-13,0.02,0.02,0.02,0.02,218000,0.02
2011-07-12,0.03,0.03,0.03,0.03,200000,0.03
2011-07-11,0.02,0.03,0.02,0.03,231000,0.03
2011-07-08,0.03,0.03,0.03,0.03,130000,0.03
2011-07-07,0.02,0.03,0.02,0.03,367000,0.03
2011-07-06,0.02,0.03,0.02,0.03,605000,0.03
2011-07-05,0.02,0.03,0.02,0.02,000,0.02
2011-07-04,0.03,0.03,0.03,0.03,10000,0.03
2011-07-01,0.03,0.03,0.03,0.03,5000,0.03
2011-06-30,0.03,0.03,0.03,0.03,483000,0.03
2011-06-29,0.03,0.03,0.03,0.03,100000,0.03
2011-06-28,0.02,0.03,0.02,0.02,000,0.02
2011-06-27,0.02,0.03,0.02,0.02,000,0.02
2011-06-24,0.02,0.03,0.02,0.03,15000,0.03
2011-06-23,0.02,0.03,0.02,0.02,000,0.02
2011-06-22,0.03,0.03,0.03,0.03,650000,0.03
2011-06-21,0.03,0.03,0.03,0.03,760000,0.03
2011-06-20,0.03,0.03,0.03,0.03,100000,0.03
2011-06-17,0.03,0.03,0.03,0.03,870000,0.03
2011-06-16,0.03,0.03,0.03,0.03,493000,0.03
2011-06-15,0.03,0.03,0.03,0.03,650000,0.03
2011-06-14,0.03,0.03,0.03,0.03,60000,0.03
2011-06-13,0.03,0.03,0.03,0.03,250000,0.03
2011-06-10,0.03,0.03,0.03,0.03,305000,0.03
2011-06-09,0.02,0.03,0.02,0.02,000,0.02
2011-06-08,0.02,0.03,0.02,0.03,274000,0.03
2011-06-07,0.02,0.02,0.02,0.02,20000,0.02
2011-06-06,0.03,0.03,0.03,0.03,300000,0.03
2011-06-03,0.03,0.03,0.03,0.03,9000,0.03
2011-06-02,0.03,0.03,0.03,0.03,49000,0.03
2011-06-01,0.03,0.03,0.02,0.03,722000,0.03
2011-05-31,0.03,0.03,0.03,0.03,480000,0.03
