Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.12,0.12,0.12,0.12,000,0.12
2011-08-03,0.12,0.12,0.12,0.12,10000,0.12
2011-08-02,0.11,0.12,0.11,0.11,000,0.11
2011-08-01,0.12,0.12,0.12,0.12,000,0.12
2011-07-29,0.12,0.12,0.12,0.12,10000,0.12
2011-07-28,0.12,0.12,0.12,0.12,000,0.12
2011-07-27,0.12,0.12,0.12,0.12,50000,0.12
2011-07-26,0.12,0.12,0.12,0.12,000,0.12
2011-07-25,0.12,0.12,0.12,0.12,30000,0.12
2011-07-22,0.12,0.12,0.12,0.12,000,0.12
2011-07-21,0.12,0.12,0.12,0.12,000,0.12
2011-07-20,0.11,0.12,0.11,0.11,000,0.11
2011-07-19,0.12,0.12,0.12,0.12,20000,0.12
2011-07-18,0.12,0.12,0.12,0.12,90000,0.12
2011-07-15,0.12,0.12,0.12,0.12,000,0.12
2011-07-14,0.12,0.12,0.12,0.12,000,0.12
2011-07-13,0.12,0.12,0.12,0.12,000,0.12
2011-07-12,0.12,0.12,0.12,0.12,100000,0.12
2011-07-11,0.12,0.12,0.12,0.12,45000,0.12
2011-07-08,0.12,0.13,0.12,0.12,000,0.12
2011-07-07,0.12,0.13,0.12,0.12,000,0.12
2011-07-06,0.12,0.13,0.12,0.12,000,0.12
2011-07-05,0.12,0.13,0.12,0.12,000,0.12
2011-07-04,0.12,0.13,0.12,0.12,000,0.12
2011-07-01,0.12,0.13,0.12,0.12,000,0.12
2011-06-30,0.12,0.12,0.12,0.12,75000,0.12
2011-06-29,0.12,0.12,0.12,0.12,000,0.12
2011-06-28,0.12,0.12,0.12,0.12,19000,0.12
2011-06-27,0.12,0.12,0.12,0.12,000,0.12
2011-06-24,0.12,0.12,0.12,0.12,15000,0.12
2011-06-23,0.12,0.12,0.12,0.12,000,0.12
2011-06-22,0.12,0.12,0.12,0.12,195000,0.12
2011-06-21,0.12,0.12,0.12,0.12,84000,0.12
2011-06-20,0.12,0.12,0.12,0.12,000,0.12
2011-06-17,0.12,0.12,0.12,0.12,570000,0.12
2011-06-16,0.12,0.12,0.12,0.12,418000,0.12
2011-06-15,0.12,0.12,0.12,0.12,50000,0.12
2011-06-14,0.12,0.12,0.12,0.12,100000,0.12
2011-06-13,0.12,0.12,0.12,0.12,100000,0.12
2011-06-10,0.12,0.12,0.12,0.12,20000,0.12
2011-06-09,0.12,0.12,0.12,0.12,000,0.12
2011-06-08,0.12,0.12,0.12,0.12,155000,0.12
2011-06-07,0.12,0.12,0.12,0.12,598000,0.12
2011-06-06,0.12,0.12,0.12,0.12,000,0.12
2011-06-03,0.12,0.12,0.12,0.12,000,0.12
2011-06-02,0.12,0.12,0.12,0.12,121000,0.12
2011-06-01,0.12,0.12,0.12,0.12,000,0.12
2011-05-31,0.12,0.13,0.12,0.12,000,0.12
2011-05-30,0.12,0.12,0.12,0.12,000,0.12
2011-05-27,0.12,0.12,0.12,0.12,715000,0.12
2011-05-26,0.12,0.12,0.12,0.12,10000,0.12
2011-05-25,0.12,0.12,0.12,0.12,422000,0.12
2011-05-24,0.12,0.12,0.12,0.12,265000,0.12
2011-05-23,0.12,0.12,0.12,0.12,85000,0.12
2011-05-20,0.12,0.12,0.12,0.12,165000,0.12
2011-05-19,0.13,0.13,0.12,0.12,397000,0.12
2011-05-18,0.13,0.13,0.13,0.13,35000,0.13
2011-05-16,0.13,0.13,0.13,0.13,10000,0.13
2011-05-13,0.14,0.14,0.13,0.13,590000,0.13
2011-05-12,0.14,0.14,0.13,0.13,609000,0.13
2011-05-11,0.14,0.14,0.14,0.14,153000,0.14
2011-05-10,0.14,0.14,0.14,0.14,213000,0.14
2011-05-09,0.14,0.14,0.14,0.14,280000,0.14
2011-05-06,0.14,0.14,0.14,0.14,467000,0.14
2011-05-05,0.14,0.15,0.14,0.15,270000,0.15
2011-05-04,0.14,0.14,0.14,0.14,420000,0.14
2011-05-03,0.15,0.15,0.15,0.15,451000,0.15
2011-04-29,0.15,0.15,0.15,0.15,30000,0.15
2011-04-28,0.15,0.15,0.14,0.14,80000,0.14
2011-04-27,0.15,0.15,0.15,0.15,760000,0.15
2011-04-26,0.14,0.16,0.14,0.15,1838000,0.15
2011-04-25,0.14,0.14,0.14,0.14,28000,0.14
2011-04-21,0.14,0.14,0.14,0.14,5000,0.14
2011-04-20,0.14,0.14,0.14,0.14,2615000,0.14
2011-04-19,0.15,0.15,0.14,0.14,1634000,0.14
2011-04-18,0.14,0.16,0.14,0.14,000,0.14
2011-04-15,0.15,0.15,0.15,0.15,497000,0.15
2011-04-14,0.15,0.15,0.15,0.15,346000,0.15
2011-04-13,0.15,0.15,0.15,0.15,10000,0.15
2011-04-12,0.15,0.15,0.15,0.15,755000,0.15
2011-04-11,0.15,0.16,0.15,0.16,105000,0.16
2011-04-08,0.15,0.15,0.15,0.15,200000,0.15
2011-04-07,0.15,0.15,0.15,0.15,131000,0.15
2011-04-06,0.15,0.15,0.15,0.15,125000,0.15
2011-04-05,0.15,0.16,0.15,0.16,206000,0.16
2011-04-04,0.15,0.15,0.15,0.15,30000,0.15
2011-04-01,0.15,0.15,0.15,0.15,20000,0.15
2011-03-31,0.15,0.15,0.15,0.15,313000,0.15
2011-03-30,0.15,0.15,0.15,0.15,1307000,0.15
2011-03-29,0.15,0.15,0.14,0.14,167000,0.14
2011-03-28,0.15,0.15,0.14,0.14,231000,0.14
2011-03-25,0.15,0.15,0.15,0.15,355000,0.15
2011-03-24,0.14,0.15,0.14,0.14,000,0.14
2011-03-23,0.15,0.15,0.14,0.14,115000,0.14
2011-03-22,0.15,0.15,0.15,0.15,225000,0.15
2011-03-21,0.14,0.15,0.14,0.14,000,0.14
2011-03-18,0.14,0.14,0.14,0.14,132000,0.14
2011-03-17,0.14,0.14,0.14,0.14,140000,0.14
2011-03-16,0.14,0.14,0.14,0.14,210000,0.14
2011-03-15,0.14,0.14,0.14,0.14,710000,0.14
2011-03-14,0.14,0.15,0.14,0.15,389000,0.15
2011-03-11,0.14,0.15,0.14,0.15,145000,0.15
2011-03-10,0.15,0.15,0.14,0.14,81000,0.14
2011-03-09,0.15,0.15,0.14,0.15,2184000,0.15
2011-03-08,0.14,0.15,0.14,0.15,170000,0.15
2011-03-07,0.15,0.15,0.14,0.15,221000,0.15
2011-03-04,0.15,0.15,0.15,0.15,144000,0.15
2011-03-03,0.14,0.15,0.14,0.14,540000,0.14
2011-03-02,0.15,0.15,0.14,0.14,156000,0.14
2011-03-01,0.15,0.15,0.15,0.15,690000,0.15
2011-02-28,0.15,0.15,0.15,0.15,1230000,0.15
2011-02-25,0.15,0.15,0.15,0.15,671000,0.15
