Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.31,0.31,0.30,0.31,75000,0.31
2011-08-03,0.30,0.31,0.29,0.31,54000,0.31
2011-08-02,0.31,0.31,0.30,0.30,211000,0.30
2011-08-01,0.31,0.32,0.31,0.31,253000,0.31
2011-07-29,0.31,0.32,0.31,0.32,100000,0.32
2011-07-28,0.31,0.32,0.30,0.32,487000,0.32
2011-07-27,0.31,0.32,0.31,0.31,58000,0.31
2011-07-26,0.31,0.31,0.31,0.31,42000,0.31
2011-07-25,0.31,0.31,0.31,0.31,148000,0.31
2011-07-22,0.30,0.32,0.30,0.32,394000,0.32
2011-07-21,0.29,0.31,0.29,0.29,156000,0.29
2011-07-20,0.28,0.29,0.28,0.28,183000,0.28
2011-07-19,0.27,0.27,0.27,0.27,2000,0.27
2011-07-18,0.29,0.29,0.28,0.28,91000,0.28
2011-07-15,0.29,0.29,0.29,0.29,74000,0.29
2011-07-14,0.29,0.30,0.29,0.29,94000,0.29
2011-07-13,0.29,0.30,0.29,0.29,169000,0.29
2011-07-12,0.30,0.30,0.30,0.30,131000,0.30
2011-07-11,0.30,0.31,0.30,0.30,107000,0.30
2011-07-08,0.30,0.31,0.30,0.31,44000,0.31
2011-07-07,0.29,0.31,0.29,0.30,186000,0.30
2011-07-06,0.29,0.30,0.29,0.29,196000,0.29
2011-07-05,0.29,0.31,0.29,0.29,000,0.29
2011-07-04,0.31,0.31,0.30,0.30,112000,0.30
2011-07-01,0.31,0.31,0.31,0.31,223000,0.31
2011-06-30,0.32,0.33,0.31,0.31,290000,0.31
2011-06-29,0.31,0.31,0.31,0.31,95000,0.31
2011-06-28,0.31,0.31,0.31,0.31,147000,0.31
2011-06-27,0.30,0.30,0.30,0.30,1000,0.30
2011-06-24,0.30,0.30,0.30,0.30,243000,0.30
2011-06-23,0.30,0.30,0.30,0.30,47000,0.30
2011-06-22,0.31,0.31,0.30,0.30,51000,0.30
2011-06-21,0.29,0.31,0.29,0.31,196000,0.31
2011-06-20,0.30,0.30,0.29,0.29,151000,0.29
2011-06-17,0.30,0.30,0.29,0.30,95000,0.30
2011-06-16,0.29,0.30,0.29,0.30,112000,0.30
2011-06-15,0.30,0.30,0.29,0.29,25000,0.29
2011-06-14,0.31,0.31,0.31,0.31,2000,0.31
2011-06-13,0.29,0.31,0.29,0.31,12000,0.31
2011-06-10,0.31,0.31,0.31,0.31,17000,0.31
2011-06-09,0.31,0.31,0.31,0.31,136000,0.31
2011-06-08,0.31,0.31,0.31,0.31,000,0.31
2011-06-07,0.31,0.31,0.31,0.31,92000,0.31
2011-06-06,0.31,0.32,0.31,0.31,174000,0.31
2011-06-03,0.31,0.31,0.31,0.31,30000,0.31
2011-06-02,0.31,0.32,0.31,0.31,000,0.31
2011-06-01,0.31,0.33,0.31,0.32,214000,0.32
2011-05-31,0.31,0.32,0.31,0.32,84000,0.32
2011-05-30,0.31,0.32,0.31,0.31,70000,0.31
2011-05-27,0.32,0.32,0.31,0.32,85000,0.32
2011-05-26,0.32,0.32,0.32,0.32,45000,0.32
2011-05-25,0.31,0.32,0.31,0.32,203000,0.32
2011-05-24,0.31,0.32,0.31,0.31,268000,0.31
2011-05-23,0.31,0.32,0.31,0.31,281000,0.31
2011-05-20,0.33,0.33,0.32,0.32,175000,0.32
2011-05-19,0.34,0.34,0.34,0.34,72000,0.34
2011-05-18,0.34,0.34,0.34,0.34,28000,0.34
2011-05-16,0.33,0.34,0.33,0.33,000,0.33
2011-05-13,0.34,0.34,0.34,0.34,68000,0.34
2011-05-12,0.35,0.35,0.34,0.34,44000,0.34
2011-05-11,0.35,0.35,0.35,0.35,23000,0.35
2011-05-10,0.34,0.34,0.34,0.34,40000,0.34
2011-05-09,0.34,0.34,0.34,0.34,136000,0.34
2011-05-06,0.34,0.34,0.34,0.34,12000,0.34
2011-05-05,0.34,0.34,0.34,0.34,120000,0.34
2011-05-04,0.34,0.34,0.34,0.34,309000,0.34
2011-05-03,0.35,0.35,0.34,0.34,291000,0.34
2011-04-29,0.37,0.37,0.35,0.35,199000,0.35
2011-04-28,0.36,0.37,0.36,0.37,11000,0.37
2011-04-27,0.37,0.37,0.36,0.36,154000,0.36
2011-04-26,0.37,0.37,0.36,0.36,150000,0.36
2011-04-25,0.38,0.38,0.37,0.38,173000,0.38
2011-04-21,0.38,0.38,0.37,0.37,247000,0.37
2011-04-20,0.37,0.38,0.37,0.38,383000,0.38
2011-04-19,0.36,0.37,0.35,0.37,141000,0.37
2011-04-18,0.38,0.38,0.37,0.37,270000,0.37
2011-04-15,0.38,0.39,0.38,0.38,648000,0.38
