Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.37,0.37,0.36,0.36,107000,0.36
2011-08-03,0.37,0.37,0.36,0.37,120000,0.37
2011-08-02,0.38,0.38,0.37,0.38,37000,0.38
2011-08-01,0.38,0.38,0.38,0.38,297000,0.38
2011-07-29,0.37,0.37,0.37,0.37,100000,0.37
2011-07-28,0.37,0.37,0.37,0.37,90000,0.37
2011-07-27,0.37,0.37,0.37,0.37,336000,0.37
2011-07-26,0.37,0.37,0.36,0.37,360000,0.37
2011-07-25,0.37,0.37,0.37,0.37,92000,0.37
2011-07-22,0.37,0.37,0.36,0.37,212000,0.37
2011-07-21,0.37,0.37,0.36,0.37,128000,0.37
2011-07-20,0.37,0.37,0.36,0.37,343000,0.37
2011-07-19,0.37,0.39,0.37,0.37,90000,0.37
2011-07-18,0.36,0.37,0.36,0.36,85000,0.36
2011-07-15,0.37,0.37,0.37,0.37,10000,0.37
2011-07-14,0.37,0.38,0.37,0.37,67000,0.37
2011-07-13,0.37,0.38,0.37,0.37,280000,0.37
2011-07-12,0.37,0.37,0.37,0.37,372000,0.37
2011-07-11,0.38,0.38,0.37,0.38,154000,0.38
2011-07-08,0.38,0.38,0.38,0.38,235000,0.38
2011-07-07,0.38,0.38,0.37,0.38,199000,0.38
2011-07-06,0.38,0.38,0.38,0.38,50000,0.38
2011-07-05,0.38,0.38,0.38,0.38,315000,0.38
2011-07-04,0.38,0.39,0.38,0.38,196000,0.38
2011-07-01,0.38,0.39,0.38,0.39,469000,0.39
2011-06-30,0.38,0.40,0.38,0.40,32000,0.40
2011-06-29,0.39,0.39,0.39,0.39,25000,0.39
2011-06-28,0.38,0.38,0.38,0.38,20000,0.38
2011-06-27,0.39,0.40,0.39,0.39,000,0.39
2011-06-24,0.38,0.40,0.38,0.40,7000,0.40
2011-06-23,0.38,0.38,0.38,0.38,20000,0.38
2011-06-22,0.38,0.38,0.38,0.38,24000,0.38
2011-06-21,0.38,0.39,0.38,0.39,68000,0.39
2011-06-20,0.38,0.38,0.38,0.38,20000,0.38
2011-06-17,0.38,0.38,0.38,0.38,61000,0.38
2011-06-16,0.39,0.39,0.38,0.38,182000,0.38
2011-06-15,0.40,0.40,0.40,0.40,20000,0.40
2011-06-14,0.38,0.40,0.38,0.38,000,0.38
2011-06-13,0.40,0.40,0.40,0.40,25000,0.40
2011-06-10,0.40,0.41,0.40,0.40,000,0.40
2011-06-09,0.40,0.41,0.40,0.41,72000,0.41
2011-06-08,0.40,0.41,0.40,0.41,16000,0.41
2011-06-07,0.40,0.40,0.40,0.40,117000,0.40
2011-06-06,0.41,0.41,0.40,0.41,185000,0.41
2011-06-03,0.41,0.41,0.41,0.41,33000,0.41
2011-06-02,0.41,0.41,0.40,0.41,68000,0.41
2011-06-01,0.41,0.41,0.41,0.41,131000,0.41
2011-05-31,0.40,0.41,0.40,0.41,110000,0.41
2011-05-30,0.40,0.41,0.40,0.41,174000,0.41
2011-05-27,0.41,0.41,0.40,0.40,240000,0.40
2011-05-26,0.41,0.41,0.41,0.41,178000,0.41
2011-05-25,0.40,0.40,0.40,0.40,314000,0.40
2011-05-24,0.41,0.41,0.40,0.40,417000,0.40
2011-05-23,0.41,0.41,0.40,0.40,398000,0.40
2011-05-20,0.41,0.41,0.41,0.41,448000,0.41
2011-05-19,0.41,0.42,0.41,0.41,205000,0.41
2011-05-18,0.41,0.42,0.41,0.42,383000,0.42
2011-05-16,0.41,0.41,0.41,0.41,189000,0.41
2011-05-13,0.41,0.42,0.41,0.42,132000,0.42
2011-05-12,0.42,0.43,0.41,0.43,73000,0.43
2011-05-11,0.42,0.42,0.42,0.42,10000,0.42
2011-05-10,0.43,0.43,0.42,0.42,60000,0.42
2011-05-09,0.44,0.44,0.42,0.42,139000,0.42
2011-05-06,0.43,0.43,0.42,0.43,121000,0.43
2011-05-05,0.43,0.43,0.42,0.42,24000,0.42
2011-05-04,0.43,0.43,0.43,0.43,10000,0.43
2011-05-03,0.43,0.43,0.42,0.42,23000,0.42
2011-04-29,0.44,0.44,0.43,0.43,451000,0.43
2011-04-28,0.43,0.44,0.43,0.43,000,0.43
2011-04-27,0.44,0.44,0.44,0.44,39000,0.44
2011-04-26,0.44,0.44,0.43,0.43,89000,0.43
2011-04-25,0.43,0.43,0.43,0.43,51000,0.43
2011-04-21,0.45,0.45,0.44,0.44,25000,0.44
2011-04-20,0.43,0.45,0.43,0.45,70000,0.45
2011-04-19,0.44,0.44,0.44,0.44,34000,0.44
2011-04-18,0.44,0.44,0.44,0.44,293000,0.44
2011-04-15,0.44,0.44,0.44,0.44,4000,0.44
2011-04-14,0.43,0.44,0.43,0.44,91000,0.44
2011-04-13,0.44,0.44,0.43,0.44,56000,0.44
2011-04-12,0.44,0.44,0.44,0.44,329000,0.44
2011-04-11,0.45,0.45,0.44,0.44,14000,0.44
2011-04-08,0.44,0.45,0.44,0.45,20000,0.45
2011-04-07,0.44,0.45,0.44,0.44,91000,0.44
2011-04-06,0.44,0.44,0.44,0.44,137000,0.44
2011-04-05,0.44,0.45,0.44,0.44,212000,0.44
2011-04-04,0.43,0.44,0.43,0.44,70000,0.44
2011-04-01,0.43,0.44,0.43,0.43,90000,0.43
2011-03-31,0.44,0.44,0.43,0.44,65000,0.44
2011-03-30,0.43,0.44,0.43,0.43,000,0.43
2011-03-29,0.42,0.44,0.42,0.42,000,0.42
2011-03-28,0.44,0.44,0.44,0.44,25000,0.44
2011-03-25,0.44,0.44,0.44,0.44,79000,0.44
2011-03-24,0.43,0.44,0.43,0.44,76000,0.44
2011-03-23,0.43,0.43,0.43,0.43,32000,0.43
2011-03-22,0.42,0.43,0.42,0.43,31000,0.43
2011-03-21,0.42,0.42,0.42,0.42,55000,0.42
2011-03-18,0.41,0.42,0.41,0.42,20000,0.42
2011-03-17,0.41,0.41,0.41,0.41,29000,0.41
2011-03-16,0.44,0.44,0.42,0.42,41000,0.42
2011-03-15,0.43,0.44,0.41,0.43,419000,0.43
2011-03-14,0.43,0.43,0.43,0.43,2000,0.43
2011-03-11,0.42,0.42,0.42,0.42,10000,0.42
2011-03-10,0.43,0.46,0.43,0.43,000,0.43
2011-03-09,0.43,0.44,0.43,0.44,12000,0.44
2011-03-08,0.44,0.44,0.44,0.44,22000,0.44
2011-03-07,0.43,0.43,0.43,0.43,40000,0.43
2011-03-04,0.44,0.44,0.44,0.44,24000,0.44
2011-03-03,0.43,0.43,0.43,0.43,40000,0.43
2011-03-02,0.43,0.44,0.43,0.43,000,0.43
2011-03-01,0.43,0.43,0.43,0.43,86000,0.43
2011-02-28,0.43,0.43,0.43,0.43,23000,0.43
2011-02-25,0.44,0.44,0.44,0.44,35000,0.44
2011-02-24,0.44,0.44,0.44,0.44,25000,0.44
2011-02-23,0.43,0.44,0.43,0.44,49000,0.44
2011-02-22,0.44,0.44,0.44,0.44,15000,0.44
2011-02-21,0.44,0.44,0.44,0.44,3000,0.44
2011-02-18,0.46,0.46,0.45,0.46,34000,0.46
2011-02-17,0.47,0.47,0.46,0.46,154000,0.46
2011-02-16,0.44,0.44,0.44,0.44,71000,0.44
2011-02-15,0.46,0.46,0.45,0.45,51000,0.45
2011-02-14,0.45,0.45,0.45,0.45,24000,0.45
2011-02-11,0.46,0.46,0.46,0.46,46000,0.46
2011-02-10,0.46,0.46,0.46,0.46,105000,0.46
2011-02-09,0.46,0.46,0.46,0.46,11000,0.46
2011-02-08,0.46,0.47,0.46,0.47,45000,0.47
2011-02-07,0.47,0.47,0.47,0.47,58000,0.47
2011-02-02,0.47,0.47,0.47,0.47,41000,0.47
2011-02-01,0.47,0.47,0.47,0.47,34000,0.47
2011-01-31,0.46,0.47,0.46,0.47,43000,0.47
2011-01-28,0.47,0.47,0.47,0.47,20000,0.47
2011-01-27,0.47,0.48,0.47,0.47,28000,0.47
2011-01-26,0.47,0.47,0.47,0.47,24000,0.47
2011-01-25,0.47,0.48,0.47,0.48,33000,0.48
2011-01-24,0.47,0.49,0.47,0.47,000,0.47
2011-01-21,0.47,0.47,0.47,0.47,44000,0.47
2011-01-20,0.47,0.47,0.47,0.47,12000,0.47
2011-01-19,0.49,0.49,0.47,0.49,80000,0.49
2011-01-18,0.49,0.49,0.49,0.49,86000,0.49
2011-01-17,0.49,0.49,0.48,0.49,80000,0.49
2011-01-14,0.50,0.50,0.50,0.50,205000,0.50
2011-01-13,0.50,0.50,0.50,0.50,200000,0.50
2011-01-12,0.50,0.50,0.50,0.50,380000,0.50
2011-01-11,0.50,0.50,0.50,0.50,192000,0.50
2011-01-10,0.51,0.51,0.50,0.50,349000,0.50
2011-01-07,0.50,0.50,0.50,0.50,377000,0.50
2011-01-06,0.50,0.51,0.50,0.50,960000,0.50
2011-01-05,0.47,0.50,0.47,0.50,1389000,0.50
2011-01-04,0.47,0.48,0.47,0.48,400000,0.48
2011-01-03,0.47,0.47,0.47,0.47,244000,0.47
2010-12-31,0.46,0.47,0.46,0.46,52000,0.46
2010-12-30,0.46,0.46,0.46,0.46,32000,0.46
2010-12-29,0.46,0.47,0.46,0.47,241000,0.47
2010-12-28,0.46,0.46,0.46,0.46,7000,0.46
2010-12-27,0.46,0.46,0.46,0.46,22000,0.46
2010-12-24,0.46,0.46,0.46,0.46,5000,0.46
2010-12-23,0.46,0.46,0.46,0.46,79000,0.46
2010-12-22,0.47,0.47,0.46,0.46,71000,0.46
2010-12-21,0.46,0.47,0.46,0.47,90000,0.47
2010-12-20,0.46,0.46,0.45,0.46,107000,0.46
2010-12-17,0.46,0.47,0.45,0.47,75000,0.47
2010-12-16,0.46,0.46,0.46,0.46,55000,0.46
2010-12-15,0.47,0.47,0.46,0.46,281000,0.46
2010-12-14,0.45,0.47,0.45,0.47,255000,0.47
2010-12-13,0.46,0.46,0.46,0.46,65000,0.46
2010-12-10,0.46,0.46,0.46,0.46,2000,0.46
2010-12-09,0.44,0.46,0.44,0.46,71000,0.46
2010-12-08,0.45,0.45,0.44,0.44,27000,0.44
2010-12-07,0.45,0.45,0.45,0.45,25000,0.45
2010-12-06,0.46,0.46,0.46,0.46,20000,0.46
2010-12-03,0.46,0.46,0.46,0.46,30000,0.46
2010-12-02,0.46,0.46,0.46,0.46,75000,0.46
2010-12-01,0.45,0.46,0.45,0.46,39000,0.46
2010-11-30,0.45,0.45,0.45,0.45,64000,0.45
2010-11-29,0.46,0.46,0.46,0.46,20000,0.46
2010-11-26,0.44,0.44,0.44,0.44,22000,0.44
2010-11-25,0.44,0.44,0.44,0.44,45000,0.44
2010-11-24,0.44,0.44,0.44,0.44,23000,0.44
2010-11-23,0.45,0.46,0.44,0.44,281000,0.44
2010-11-22,0.46,0.46,0.46,0.46,15000,0.46
2010-11-19,0.46,0.47,0.46,0.46,576000,0.46
2010-11-18,0.46,0.46,0.45,0.45,319000,0.45
2010-11-16,0.45,0.45,0.45,0.45,95000,0.45
2010-11-15,0.44,0.46,0.44,0.46,93000,0.46
2010-11-12,0.45,0.47,0.45,0.45,206000,0.45
2010-11-11,0.47,0.47,0.46,0.46,242000,0.46
2010-11-10,0.47,0.47,0.47,0.47,133000,0.47
2010-11-09,0.46,0.47,0.46,0.47,814000,0.47
2010-11-08,0.46,0.46,0.46,0.46,148000,0.46
2010-11-04,0.46,0.46,0.46,0.46,224000,0.46
2010-11-03,0.45,0.46,0.45,0.45,73000,0.45
2010-11-02,0.45,0.45,0.45,0.45,122000,0.45
2010-11-01,0.44,0.45,0.44,0.45,73000,0.45
2010-10-29,0.44,0.44,0.44,0.44,10000,0.44
2010-10-28,0.44,0.45,0.44,0.44,95000,0.44
2010-10-27,0.46,0.46,0.44,0.44,77000,0.44
2010-10-26,0.46,0.46,0.45,0.45,115000,0.45
2010-10-25,0.46,0.46,0.46,0.46,93000,0.46
2010-10-22,0.47,0.47,0.46,0.47,179000,0.47
2010-10-21,0.45,0.48,0.44,0.47,503000,0.47
2010-10-20,0.45,0.46,0.45,0.45,88000,0.45
2010-10-19,0.45,0.45,0.45,0.45,45000,0.45
2010-10-18,0.46,0.46,0.45,0.45,123000,0.45
2010-10-15,0.45,0.46,0.44,0.46,180000,0.46
2010-10-14,0.46,0.46,0.45,0.45,91000,0.45
2010-10-13,0.44,0.45,0.44,0.44,75000,0.44
2010-10-12,0.44,0.45,0.44,0.45,75000,0.45
2010-10-11,0.44,0.45,0.44,0.44,50000,0.44
2010-10-08,0.44,0.44,0.44,0.44,13000,0.44
2010-10-07,0.46,0.46,0.44,0.44,151000,0.44
2010-10-06,0.45,0.46,0.45,0.46,38000,0.46
2010-10-05,0.46,0.46,0.46,0.46,23000,0.46
2010-10-04,0.45,0.46,0.44,0.46,145000,0.46
2010-10-01,0.44,0.44,0.44,0.44,47000,0.44
2010-09-30,0.44,0.44,0.44,0.44,40000,0.44
2010-09-29,0.45,0.46,0.44,0.44,33000,0.44
2010-09-28,0.46,0.46,0.44,0.45,198000,0.45
2010-09-27,0.46,0.47,0.46,0.47,136000,0.47
2010-09-24,0.47,0.47,0.45,0.45,157000,0.45
2010-09-23,0.47,0.47,0.46,0.47,132000,0.47
2010-09-22,0.47,0.47,0.46,0.47,407000,0.47
2010-09-21,0.47,0.47,0.47,0.47,1043000,0.47
2010-09-20,0.44,0.47,0.44,0.46,1772000,0.46
2010-09-17,0.43,0.44,0.43,0.44,350000,0.44
2010-09-16,0.43,0.43,0.43,0.43,160000,0.43
2010-09-15,0.43,0.43,0.43,0.43,130000,0.43
2010-09-14,0.43,0.43,0.43,0.43,135000,0.43
2010-09-13,0.43,0.43,0.43,0.43,87000,0.43
2010-09-09,0.43,0.44,0.43,0.44,178000,0.44
2010-09-08,0.42,0.43,0.42,0.42,60000,0.42
2010-09-07,0.42,0.43,0.42,0.42,99000,0.42
2010-09-06,0.41,0.43,0.41,0.43,121000,0.43
2010-09-03,0.42,0.43,0.42,0.42,88000,0.42
2010-09-02,0.42,0.43,0.42,0.42,155000,0.42
2010-09-01,0.41,0.41,0.41,0.41,87000,0.41
2010-08-31,0.43,0.43,0.41,0.41,76000,0.41
2010-08-30,0.43,0.43,0.43,0.43,130000,0.43
2010-08-27,0.43,0.43,0.43,0.43,36000,0.43
2010-08-26,0.42,0.43,0.42,0.43,65000,0.43
2010-08-25,0.43,0.43,0.42,0.43,94000,0.43
2010-08-24,0.43,0.43,0.43,0.43,245000,0.43
2010-08-23,0.44,0.44,0.42,0.43,55000,0.43
2010-08-20,0.44,0.44,0.43,0.43,59000,0.43
2010-08-19,0.44,0.44,0.44,0.44,42000,0.44
2010-08-18,0.43,0.43,0.43,0.43,26000,0.43
2010-08-17,0.44,0.44,0.43,0.43,184000,0.43
2010-08-16,0.44,0.44,0.43,0.43,224000,0.43
2010-08-13,0.44,0.44,0.44,0.44,53000,0.44
2010-08-12,0.44,0.44,0.44,0.44,89000,0.44
2010-08-11,0.44,0.44,0.44,0.44,297000,0.44
2010-08-10,0.44,0.45,0.44,0.45,27000,0.45
2010-08-06,0.45,0.46,0.45,0.46,97000,0.46
2010-08-05,0.46,0.46,0.45,0.46,232000,0.46
2010-08-04,0.47,0.47,0.45,0.46,188000,0.46
2010-08-03,0.48,0.48,0.47,0.47,492000,0.47
2010-08-02,0.46,0.47,0.46,0.47,906000,0.47
2010-07-30,0.44,0.46,0.44,0.46,4000,0.46
2010-07-29,0.46,0.46,0.45,0.46,138000,0.46
2010-07-28,0.45,0.46,0.45,0.46,72000,0.46
2010-07-27,0.46,0.46,0.45,0.45,10000,0.45
2010-07-26,0.46,0.46,0.45,0.45,53000,0.45
2010-07-23,0.46,0.46,0.45,0.46,61000,0.46
2010-07-22,0.46,0.46,0.46,0.46,10000,0.46
2010-07-21,0.45,0.45,0.45,0.45,101000,0.45
2010-07-20,0.45,0.45,0.45,0.45,30000,0.45
2010-07-19,0.44,0.45,0.44,0.44,13000,0.44
2010-07-16,0.44,0.46,0.44,0.46,51000,0.46
2010-07-15,0.44,0.44,0.44,0.44,38000,0.44
2010-07-14,0.44,0.45,0.44,0.44,43000,0.44
2010-07-13,0.44,0.44,0.44,0.44,70000,0.44
2010-07-12,0.44,0.44,0.44,0.44,32000,0.44
2010-07-09,0.44,0.44,0.44,0.44,85000,0.44
2010-07-08,0.43,0.44,0.43,0.44,63000,0.44
2010-07-07,0.44,0.45,0.44,0.44,23000,0.44
2010-07-06,0.46,0.46,0.44,0.44,40000,0.44
2010-07-05,0.43,0.45,0.43,0.43,000,0.43
2010-07-02,0.44,0.46,0.44,0.46,21000,0.46
2010-07-01,0.43,0.44,0.43,0.44,64000,0.44
2010-06-30,0.43,0.45,0.43,0.44,29000,0.44
2010-06-29,0.44,0.45,0.44,0.44,125000,0.44
2010-06-28,0.44,0.45,0.44,0.44,000,0.44
2010-06-25,0.44,0.44,0.44,0.44,63000,0.44
2010-06-24,0.45,0.45,0.44,0.44,43000,0.44
2010-06-23,0.43,0.44,0.43,0.43,19000,0.43
2010-06-22,0.44,0.44,0.44,0.44,40000,0.44
2010-06-21,0.44,0.44,0.44,0.44,46000,0.44
2010-06-18,0.44,0.44,0.42,0.43,320000,0.43
2010-06-17,0.44,0.44,0.44,0.44,13000,0.44
2010-06-16,0.45,0.45,0.44,0.44,120000,0.44
2010-06-15,0.44,0.45,0.44,0.45,54000,0.45
2010-06-14,0.44,0.44,0.44,0.44,45000,0.44
2010-06-11,0.44,0.44,0.44,0.44,43000,0.43
2010-06-10,0.44,0.44,0.44,0.44,48000,0.43
2010-06-09,0.44,0.44,0.44,0.44,69000,0.43
2010-06-08,0.44,0.44,0.44,0.44,90000,0.43
2010-06-07,0.44,0.44,0.44,0.44,75000,0.43
2010-06-04,0.44,0.45,0.44,0.45,88000,0.44
2010-06-03,0.44,0.44,0.44,0.44,59000,0.43
2010-06-02,0.43,0.43,0.43,0.43,10000,0.43
2010-06-01,0.44,0.44,0.43,0.44,76000,0.43
2010-05-31,0.43,0.44,0.43,0.44,58000,0.43
2010-05-27,0.42,0.44,0.42,0.43,117000,0.43
2010-05-26,0.44,0.44,0.43,0.44,301000,0.43
2010-05-25,0.46,0.46,0.44,0.44,86000,0.43
2010-05-24,0.45,0.45,0.44,0.45,108000,0.44
2010-05-21,0.44,0.44,0.43,0.44,35000,0.43
2010-05-20,0.47,0.47,0.46,0.46,186000,0.45
2010-05-19,0.48,0.48,0.47,0.47,106000,0.46
2010-05-18,0.48,0.49,0.48,0.49,31000,0.48
2010-05-17,0.48,0.48,0.47,0.47,25000,0.47
2010-05-14,0.49,0.49,0.49,0.49,94000,0.48
2010-05-13,0.48,0.49,0.48,0.48,66000,0.47
2010-05-12,0.47,0.48,0.47,0.48,45000,0.47
2010-05-11,0.49,0.49,0.47,0.47,100000,0.46
2010-05-10,0.47,0.49,0.47,0.49,171000,0.48
2010-05-07,0.47,0.47,0.44,0.47,275000,0.46
2010-05-06,0.49,0.49,0.48,0.49,144000,0.48
2010-05-05,0.49,0.49,0.49,0.49,361000,0.48
2010-05-04,0.50,0.50,0.50,0.50,107000,0.49
2010-05-03,0.51,0.51,0.50,0.50,58000,0.49
2010-04-30,0.51,0.51,0.50,0.51,141000,0.50
2010-04-29,0.50,0.50,0.50,0.50,35000,0.50
2010-04-28,0.50,0.50,0.49,0.49,102000,0.48
2010-04-27,0.50,0.50,0.50,0.50,70000,0.49
2010-04-26,0.50,0.50,0.50,0.50,44000,0.50
2010-04-23,0.50,0.50,0.50,0.50,80000,0.49
2010-04-22,0.51,0.51,0.50,0.50,128000,0.49
2010-04-21,0.51,0.51,0.50,0.51,86000,0.50
2010-04-20,0.51,0.51,0.50,0.50,124000,0.50
2010-04-19,0.51,0.51,0.50,0.50,297000,0.49
2010-04-16,0.52,0.52,0.51,0.51,140000,0.51
2010-04-15,0.52,0.52,0.52,0.52,454000,0.51
2010-04-14,0.51,0.52,0.51,0.52,306000,0.51
2010-04-13,0.52,0.52,0.51,0.51,139000,0.50
2010-04-12,0.52,0.52,0.51,0.52,454000,0.51
2010-04-09,0.51,0.52,0.50,0.51,39000,0.50
2010-04-08,0.51,0.51,0.51,0.51,80000,0.50
2010-04-07,0.51,0.51,0.51,0.51,225000,0.51
2010-04-06,0.51,0.52,0.51,0.51,67000,0.50
2010-04-05,0.51,0.51,0.51,0.51,278000,0.50
2010-04-01,0.50,0.50,0.50,0.50,166000,0.50
2010-03-31,0.51,0.51,0.50,0.50,104000,0.49
2010-03-30,0.51,0.51,0.50,0.50,89000,0.50
2010-03-29,0.50,0.51,0.50,0.50,45000,0.50
2010-03-26,0.51,0.51,0.51,0.51,94000,0.50
2010-03-25,0.49,0.51,0.49,0.50,235000,0.50
2010-03-24,0.51,0.52,0.51,0.52,25000,0.51
2010-03-23,0.51,0.51,0.51,0.51,64000,0.50
2010-03-22,0.51,0.51,0.51,0.51,17000,0.50
2010-03-19,0.52,0.52,0.52,0.52,123000,0.51
2010-03-18,0.52,0.52,0.51,0.52,193000,0.51
2010-03-17,0.51,0.52,0.51,0.52,228000,0.51
2010-03-16,0.51,0.51,0.50,0.50,229000,0.50
2010-03-15,0.51,0.51,0.50,0.50,184000,0.49
2010-03-12,0.51,0.51,0.51,0.51,32000,0.50
2010-03-11,0.52,0.52,0.52,0.52,95000,0.51
2010-03-10,0.54,0.54,0.52,0.52,116000,0.51
2010-03-09,0.50,0.55,0.50,0.54,2566000,0.53
2010-03-08,0.49,0.50,0.49,0.50,122000,0.49
2010-03-05,0.48,0.49,0.48,0.49,143000,0.48
2010-03-04,0.49,0.49,0.48,0.49,95000,0.48
2010-03-03,0.48,0.49,0.48,0.49,70000,0.48
2010-03-02,0.49,0.49,0.49,0.49,191000,0.48
2010-03-01,0.49,0.50,0.49,0.50,195000,0.49
2010-02-26,0.49,0.49,0.48,0.49,45000,0.48
2010-02-25,0.50,0.50,0.49,0.49,45000,0.48
2010-02-24,0.49,0.50,0.49,0.49,42000,0.48
2010-02-23,0.48,0.49,0.48,0.49,65000,0.48
2010-02-22,0.49,0.49,0.49,0.49,144000,0.48
2010-02-19,0.50,0.50,0.49,0.50,120000,0.49
2010-02-18,0.50,0.50,0.50,0.50,137000,0.49
2010-02-17,0.50,0.50,0.50,0.50,85000,0.49
2010-02-12,0.51,0.51,0.50,0.50,18000,0.50
2010-02-11,0.50,0.50,0.50,0.50,265000,0.50
2010-02-10,0.50,0.50,0.50,0.50,147000,0.49
2010-02-09,0.50,0.51,0.50,0.50,86000,0.49
2010-02-08,0.51,0.51,0.50,0.50,350000,0.49
2010-02-05,0.50,0.51,0.49,0.51,144000,0.51
2010-02-04,0.52,0.52,0.50,0.50,125000,0.50
2010-02-03,0.51,0.52,0.50,0.52,226000,0.52
2010-02-02,0.51,0.52,0.50,0.50,165000,0.50
2010-02-01,0.51,0.51,0.50,0.51,102000,0.50
2010-01-29,0.52,0.52,0.50,0.51,233000,0.50
2010-01-28,0.50,0.52,0.50,0.51,183000,0.50
2010-01-27,0.52,0.52,0.50,0.50,161000,0.49
2010-01-26,0.53,0.53,0.51,0.51,258000,0.51
2010-01-25,0.53,0.55,0.53,0.55,31000,0.54
2010-01-22,0.53,0.54,0.51,0.54,224000,0.53
2010-01-21,0.55,0.56,0.54,0.55,407000,0.54
2010-01-20,0.57,0.57,0.56,0.56,371000,0.55
2010-01-19,0.57,0.57,0.56,0.57,166000,0.56
2010-01-18,0.56,0.57,0.56,0.56,267000,0.56
2010-01-15,0.57,0.58,0.56,0.58,445000,0.57
2010-01-14,0.56,0.58,0.56,0.57,391000,0.57
2010-01-13,0.57,0.57,0.56,0.56,381000,0.56
2010-01-12,0.59,0.59,0.57,0.57,335000,0.56
2010-01-11,0.57,0.59,0.57,0.58,509000,0.57
2010-01-08,0.57,0.57,0.56,0.56,204000,0.56
2010-01-07,0.57,0.58,0.56,0.57,215000,0.56
