Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,28.00,28.50,28.00,28.10,7000,28.10
2011-08-03,27.70,28.00,27.70,27.70,000,27.70
2011-08-02,28.50,28.50,28.40,28.50,4000,28.50
2011-08-01,28.00,28.50,28.00,28.00,000,28.00
2011-07-29,28.70,28.70,28.50,28.50,2000,28.50
2011-07-28,28.50,28.50,28.50,28.50,2000,28.50
2011-07-27,28.00,28.00,28.00,28.00,2000,28.00
2011-07-26,27.50,27.60,27.50,27.60,4000,27.60
2011-07-25,27.50,27.50,27.50,27.50,1000,27.50
2011-07-22,27.50,28.50,27.50,27.50,000,27.50
2011-07-21,27.22,27.23,27.21,27.22,7000,27.22
2011-07-20,27.30,27.30,27.22,27.22,2000,27.22
2011-07-19,27.80,27.80,27.30,27.30,2000,27.30
2011-07-18,26.04,28.50,26.04,26.04,000,26.04
2011-07-15,27.70,28.50,27.70,27.70,000,27.70
2011-07-14,28.00,28.00,28.00,28.00,1000,28.00
2011-07-13,27.80,28.80,27.80,27.80,000,27.80
2011-07-12,28.12,28.12,28.00,28.00,2000,28.00
2011-07-11,28.80,28.80,28.50,28.50,5000,28.50
2011-07-08,29.00,29.00,29.00,29.00,7000,29.00
2011-07-07,27.00,29.00,27.00,27.00,000,27.00
2011-07-06,28.00,29.00,28.00,28.00,000,28.00
2011-07-05,28.00,29.50,28.00,28.00,000,28.00
2011-07-04,29.00,29.00,29.00,29.00,11000,29.00
2011-07-01,29.10,29.50,29.10,29.10,000,29.10
2011-06-30,29.00,29.00,29.00,29.00,4000,29.00
2011-06-29,29.20,29.20,28.80,28.80,65000,28.80
2011-06-28,29.30,29.30,29.30,29.30,3000,29.30
2011-06-27,29.90,29.90,29.00,29.50,56000,29.50
2011-06-24,29.90,29.90,29.90,29.90,2000,29.90
2011-06-23,29.10,30.00,29.10,29.10,000,29.10
2011-06-22,29.10,30.00,29.10,29.10,000,29.10
2011-06-21,29.98,30.00,29.90,30.00,12000,30.00
2011-06-20,30.00,30.00,29.80,30.00,29000,30.00
2011-06-17,29.00,29.80,29.00,29.80,15000,29.80
