Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.04,0.04,0.04,135000,0.04
2011-08-03,0.04,0.04,0.04,0.04,120000,0.04
2011-08-02,0.04,0.04,0.04,0.04,175000,0.04
2011-08-01,0.04,0.04,0.04,0.04,225000,0.04
2011-07-29,0.04,0.04,0.04,0.04,25000,0.04
2011-07-28,0.04,0.04,0.04,0.04,765000,0.04
2011-07-27,0.04,0.04,0.04,0.04,910000,0.04
2011-07-26,0.04,0.04,0.04,0.04,685000,0.04
2011-07-25,0.04,0.04,0.04,0.04,100000,0.04
2011-07-22,0.04,0.04,0.04,0.04,750000,0.04
2011-07-21,0.03,0.03,0.03,0.03,14000,0.03
2011-07-20,0.04,0.04,0.04,0.04,100000,0.04
2011-07-19,0.04,0.04,0.04,0.04,213000,0.04
2011-07-18,0.04,0.04,0.04,0.04,150000,0.04
2011-07-15,0.04,0.04,0.03,0.03,600000,0.03
2011-07-14,0.04,0.04,0.04,0.04,000,0.04
2011-07-13,0.04,0.04,0.04,0.04,60000,0.04
2011-07-12,0.04,0.04,0.04,0.04,500000,0.04
2011-07-11,0.04,0.04,0.04,0.04,550000,0.04
2011-07-08,0.04,0.04,0.04,0.04,670000,0.04
2011-07-07,0.04,0.04,0.04,0.04,650000,0.04
2011-07-06,0.04,0.04,0.04,0.04,150000,0.04
2011-07-05,0.04,0.04,0.04,0.04,000,0.04
2011-07-04,0.04,0.04,0.04,0.04,1560000,0.04
2011-07-01,0.04,0.04,0.04,0.04,322000,0.04
2011-06-30,0.04,0.04,0.04,0.04,000,0.04
2011-06-29,0.04,0.04,0.04,0.04,128000,0.04
2011-06-28,0.04,0.04,0.04,0.04,000,0.04
2011-06-27,0.04,0.04,0.04,0.04,50000,0.04
2011-06-24,0.04,0.04,0.04,0.04,50000,0.04
2011-06-23,0.04,0.04,0.04,0.04,000,0.04
2011-06-22,0.04,0.04,0.04,0.04,35000,0.04
2011-06-21,0.04,0.04,0.04,0.04,40000,0.04
2011-06-20,0.04,0.04,0.04,0.04,000,0.04
2011-06-17,0.04,0.04,0.04,0.04,000,0.04
2011-06-16,0.04,0.04,0.04,0.04,000,0.04
2011-06-15,0.04,0.04,0.04,0.04,124000,0.04
2011-06-14,0.04,0.04,0.04,0.04,40000,0.04
2011-06-13,0.04,0.04,0.04,0.04,2662000,0.04
2011-06-10,0.04,0.04,0.04,0.04,000,0.04
2011-06-09,0.04,0.04,0.04,0.04,55000,0.04
2011-06-08,0.04,0.05,0.04,0.04,1850000,0.04
2011-06-07,0.04,0.04,0.04,0.04,000,0.04
2011-06-06,0.04,0.04,0.04,0.04,70000,0.04
2011-06-03,0.04,0.04,0.04,0.04,400000,0.04
2011-06-02,0.04,0.04,0.04,0.04,82000,0.04
2011-06-01,0.04,0.04,0.04,0.04,99000,0.04
2011-05-31,0.04,0.04,0.04,0.04,142000,0.04
2011-05-30,0.04,0.04,0.04,0.04,49000,0.04
2011-05-27,0.04,0.04,0.04,0.04,100000,0.04
2011-05-26,0.04,0.04,0.04,0.04,165000,0.04
2011-05-25,0.04,0.04,0.04,0.04,29000,0.04
2011-05-24,0.04,0.04,0.04,0.04,11000,0.04
2011-05-23,0.04,0.05,0.04,0.04,000,0.04
2011-05-20,0.04,0.05,0.04,0.04,000,0.04
2011-05-19,0.04,0.04,0.04,0.04,000,0.04
2011-05-18,0.04,0.05,0.04,0.04,000,0.04
2011-05-16,0.04,0.05,0.04,0.04,000,0.04
2011-05-13,0.04,0.04,0.04,0.04,25000,0.04
2011-05-12,0.04,0.04,0.04,0.04,105000,0.04
2011-05-11,0.04,0.04,0.04,0.04,369000,0.04
2011-05-10,0.04,0.04,0.04,0.04,20000,0.04
2011-05-09,0.04,0.04,0.04,0.04,8000,0.04
2011-05-06,0.05,0.05,0.04,0.05,155000,0.05
2011-05-05,0.05,0.05,0.05,0.05,8000,0.05
2011-05-04,0.05,0.05,0.04,0.05,260000,0.05
2011-05-03,0.04,0.05,0.04,0.04,000,0.04
2011-04-29,0.05,0.05,0.05,0.05,110000,0.05
2011-04-28,0.05,0.05,0.05,0.05,100000,0.05
2011-04-27,0.05,0.05,0.05,0.05,000,0.05
2011-04-26,0.05,0.05,0.05,0.05,000,0.05
2011-04-25,0.05,0.05,0.05,0.05,000,0.05
2011-04-21,0.05,0.05,0.05,0.05,000,0.05
2011-04-20,0.05,0.05,0.05,0.05,60000,0.05
2011-04-19,0.05,0.05,0.05,0.05,000,0.05
2011-04-18,0.05,0.05,0.05,0.05,000,0.05
2011-04-15,0.05,0.05,0.05,0.05,642000,0.05
2011-04-14,0.05,0.05,0.05,0.05,17000,0.05
2011-04-13,0.05,0.05,0.05,0.05,66000,0.05
2011-04-12,0.05,0.05,0.05,0.05,111000,0.05
2011-04-11,0.05,0.06,0.05,0.05,000,0.05
2011-04-08,0.05,0.05,0.05,0.05,10000,0.05
2011-04-07,0.05,0.05,0.05,0.05,50000,0.05
2011-04-06,0.05,0.05,0.05,0.05,689000,0.05
2011-04-05,0.05,0.06,0.05,0.05,000,0.05
2011-04-04,0.05,0.05,0.05,0.05,100000,0.05
2011-04-01,0.05,0.06,0.05,0.05,000,0.05
2011-03-31,0.05,0.06,0.05,0.05,000,0.05
2011-03-30,0.05,0.06,0.05,0.05,000,0.05
2011-03-29,0.05,0.06,0.05,0.05,279000,0.05
2011-03-28,0.05,0.06,0.05,0.05,000,0.05
2011-03-25,0.05,0.06,0.05,0.06,411000,0.06
2011-03-24,0.06,0.06,0.06,0.06,60000,0.06
2011-03-23,0.06,0.06,0.06,0.06,471000,0.06
2011-03-22,0.06,0.06,0.05,0.05,518000,0.05
2011-03-21,0.06,0.06,0.06,0.06,150000,0.06
2011-03-18,0.06,0.06,0.06,0.06,130000,0.06
2011-03-17,0.06,0.06,0.05,0.05,129000,0.05
2011-03-16,0.05,0.07,0.05,0.05,000,0.05
2011-03-15,0.06,0.06,0.06,0.06,151000,0.06
2011-03-14,0.06,0.07,0.06,0.06,000,0.06
2011-03-11,0.06,0.07,0.06,0.06,000,0.06
2011-03-10,0.06,0.07,0.06,0.06,000,0.06
2011-03-09,0.05,0.07,0.05,0.05,000,0.05
2011-03-08,0.06,0.07,0.06,0.07,31000,0.07
2011-03-07,0.06,0.07,0.06,0.06,000,0.06
2011-03-04,0.06,0.07,0.06,0.06,000,0.06
2011-03-03,0.06,0.06,0.06,0.06,000,0.06
2011-03-02,0.06,0.07,0.06,0.06,000,0.06
2011-03-01,0.06,0.07,0.06,0.06,000,0.06
2011-02-28,0.07,0.07,0.07,0.07,60000,0.07
2011-02-25,0.06,0.06,0.06,0.06,22000,0.06
2011-02-24,0.06,0.06,0.06,0.06,71000,0.06
2011-02-23,0.06,0.06,0.06,0.06,000,0.06
2011-02-22,0.06,0.06,0.06,0.06,80000,0.06
2011-02-21,0.06,0.08,0.06,0.06,000,0.06
2011-02-18,0.06,0.08,0.06,0.06,000,0.06
2011-02-17,0.06,0.08,0.06,0.08,51000,0.08
2011-02-16,0.06,0.07,0.06,0.06,000,0.06
2011-02-15,0.06,0.08,0.06,0.06,000,0.06
2011-02-14,0.07,0.07,0.07,0.07,50000,0.07
2011-02-11,0.06,0.07,0.06,0.07,391000,0.07
2011-02-10,0.06,0.08,0.06,0.06,000,0.06
2011-02-09,0.06,0.08,0.06,0.06,000,0.06
2011-02-08,0.07,0.07,0.07,0.07,50000,0.07
2011-02-07,0.07,0.08,0.07,0.08,130000,0.08
2011-02-02,0.06,0.07,0.06,0.06,000,0.06
2011-02-01,0.06,0.07,0.06,0.06,000,0.06
2011-01-31,0.06,0.08,0.06,0.06,000,0.06
2011-01-28,0.07,0.08,0.07,0.07,000,0.07
2011-01-27,0.07,0.07,0.07,0.07,155000,0.07
2011-01-26,0.07,0.08,0.07,0.07,000,0.07
2011-01-25,0.07,0.08,0.07,0.07,000,0.07
2011-01-24,0.07,0.08,0.07,0.08,51000,0.08
2011-01-21,0.07,0.08,0.07,0.07,000,0.07
2011-01-20,0.07,0.08,0.07,0.07,000,0.07
2011-01-19,0.07,0.07,0.07,0.07,7000,0.07
2011-01-18,0.07,0.08,0.07,0.07,000,0.07
2011-01-17,0.07,0.08,0.07,0.07,000,0.07
2011-01-14,0.08,0.08,0.08,0.08,240000,0.08
2011-01-13,0.08,0.08,0.08,0.08,110000,0.08
2011-01-12,0.08,0.08,0.08,0.08,148000,0.08
2011-01-11,0.08,0.08,0.08,0.08,000,0.08
2011-01-10,0.08,0.08,0.08,0.08,35000,0.08
2011-01-07,0.07,0.08,0.07,0.07,000,0.07
2011-01-06,0.08,0.08,0.08,0.08,260000,0.08
