Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.83,0.84,0.83,0.83,7205000,0.83
2011-08-03,0.83,0.84,0.83,0.83,6467000,0.83
2011-08-02,0.84,0.84,0.83,0.83,6168000,0.83
2011-08-01,0.83,0.84,0.83,0.84,6116000,0.84
2011-07-29,0.83,0.84,0.83,0.83,6134000,0.83
2011-07-28,0.83,0.84,0.83,0.84,7755000,0.84
2011-07-27,0.83,0.85,0.83,0.83,6486000,0.83
2011-07-26,0.83,0.84,0.82,0.83,6765000,0.83
2011-07-25,0.82,0.82,0.82,0.82,5586000,0.82
2011-07-22,0.82,0.83,0.82,0.83,6056000,0.83
2011-07-21,0.82,0.83,0.82,0.82,7547000,0.82
2011-07-20,0.82,0.82,0.82,0.82,2752000,0.82
2011-07-19,0.82,0.82,0.81,0.82,7106000,0.82
2011-07-18,0.82,0.82,0.81,0.82,5114000,0.82
2011-07-15,0.81,0.82,0.81,0.81,5424000,0.81
2011-07-14,0.81,0.82,0.81,0.82,7782000,0.82
2011-07-13,0.81,0.82,0.81,0.81,3002000,0.81
2011-07-12,0.82,0.82,0.81,0.81,5851000,0.81
2011-07-11,0.82,0.83,0.82,0.82,6898000,0.82
2011-07-08,0.82,0.83,0.82,0.83,7873000,0.83
2011-07-07,0.82,0.83,0.76,0.82,12929000,0.82
2011-07-06,0.86,0.87,0.82,0.83,8073000,0.83
2011-07-05,0.83,0.89,0.83,0.87,17427000,0.87
2011-07-04,0.83,0.84,0.83,0.84,4988000,0.84
2011-07-01,0.82,0.83,0.82,0.83,8128000,0.83
2011-06-30,0.82,0.82,0.82,0.82,7171000,0.82
2011-06-29,0.82,0.82,0.82,0.82,5307000,0.82
2011-06-28,0.82,0.82,0.81,0.82,4440000,0.82
2011-06-27,0.82,0.82,0.81,0.81,6110000,0.81
2011-06-24,0.82,0.82,0.82,0.82,4661000,0.82
2011-06-23,0.82,0.82,0.81,0.81,7306000,0.81
2011-06-22,0.82,0.82,0.82,0.82,6120000,0.82
2011-06-21,0.82,0.82,0.81,0.82,5230000,0.82
2011-06-20,0.82,0.82,0.81,0.82,6968000,0.82
2011-06-17,0.82,0.82,0.81,0.81,5832000,0.81
2011-06-16,0.82,0.82,0.81,0.82,6614000,0.82
2011-06-15,0.82,0.83,0.82,0.82,6588000,0.82
2011-06-14,0.82,0.83,0.82,0.82,6775000,0.82
2011-06-13,0.82,0.82,0.82,0.82,6916000,0.82
2011-06-10,0.83,0.83,0.82,0.82,5783000,0.82
2011-06-09,0.83,0.83,0.82,0.83,5843000,0.83
2011-06-08,0.82,0.83,0.82,0.82,7647000,0.82
2011-06-07,0.81,0.82,0.81,0.82,5744000,0.82
2011-06-06,0.81,0.82,0.81,0.81,7426000,0.81
2011-06-03,0.82,0.82,0.81,0.81,5705000,0.81
2011-06-02,0.81,0.82,0.81,0.82,5455000,0.82
2011-06-01,0.82,0.82,0.81,0.82,8247000,0.82
2011-05-31,0.82,0.82,0.81,0.82,7177000,0.82
2011-05-30,0.81,0.82,0.81,0.82,8182000,0.82
2011-05-27,0.81,0.81,0.81,0.81,6461000,0.81
2011-05-26,0.81,0.81,0.81,0.81,6334000,0.81
2011-05-25,0.81,0.81,0.81,0.81,4036000,0.81
2011-05-24,0.81,0.81,0.80,0.81,6638000,0.81
2011-05-23,0.81,0.81,0.81,0.81,5984000,0.81
2011-05-20,0.81,0.81,0.81,0.81,5651000,0.81
2011-05-19,0.82,0.82,0.81,0.81,5150000,0.81
2011-05-18,0.82,0.82,0.81,0.82,3797000,0.82
2011-05-16,0.82,0.83,0.82,0.82,5525000,0.82
2011-05-13,0.82,0.82,0.82,0.82,5421000,0.82
2011-05-12,0.83,0.83,0.82,0.82,4782000,0.82
2011-05-11,0.83,0.83,0.83,0.83,4800000,0.83
2011-05-10,0.83,0.83,0.82,0.83,5183000,0.83
2011-05-09,0.82,0.83,0.82,0.83,5848000,0.83
2011-05-06,0.83,0.83,0.82,0.82,5069000,0.82
2011-05-05,0.83,0.83,0.82,0.82,6863000,0.82
2011-05-04,0.83,0.83,0.82,0.83,6628000,0.83
2011-05-03,0.84,0.84,0.83,0.83,8567000,0.83
2011-04-29,0.83,0.84,0.83,0.83,5518000,0.83
2011-04-28,0.83,0.84,0.83,0.84,6567000,0.84
2011-04-27,0.84,0.84,0.83,0.83,7074000,0.83
2011-04-26,0.83,0.85,0.83,0.83,7741000,0.83
2011-04-25,0.82,0.83,0.82,0.83,10902000,0.83
2011-04-21,0.84,0.84,0.81,0.82,12537000,0.82
2011-04-20,0.85,0.85,0.84,0.84,7402000,0.84
2011-04-19,0.85,0.85,0.84,0.85,7922000,0.85
2011-04-18,0.83,0.85,0.83,0.85,6826000,0.85
