Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.67,0.67,0.64,0.64,3860000,0.64
2011-08-03,0.63,0.67,0.62,0.67,6492000,0.67
2011-08-02,0.68,0.68,0.64,0.65,6318000,0.65
2011-08-01,0.68,0.69,0.68,0.68,4723000,0.68
2011-07-29,0.68,0.68,0.67,0.67,2328000,0.67
2011-07-28,0.67,0.68,0.66,0.68,3775000,0.68
2011-07-27,0.68,0.69,0.67,0.68,9862000,0.68
2011-07-26,0.65,0.68,0.65,0.68,12438000,0.68
2011-07-25,0.66,0.66,0.65,0.65,3216000,0.65
2011-07-22,0.66,0.68,0.66,0.67,8013000,0.67
2011-07-21,0.65,0.67,0.65,0.65,5716000,0.65
2011-07-20,0.67,0.68,0.65,0.65,8557000,0.65
2011-07-19,0.62,0.67,0.62,0.66,12916000,0.66
2011-07-18,0.69,0.69,0.63,0.63,8007000,0.63
2011-07-15,0.69,0.69,0.68,0.68,2617000,0.68
2011-07-14,0.70,0.70,0.69,0.69,2751000,0.69
2011-07-13,0.69,0.70,0.69,0.69,9550000,0.69
2011-07-12,0.70,0.70,0.68,0.69,4369000,0.69
2011-07-11,0.71,0.72,0.70,0.70,2240000,0.70
2011-07-08,0.72,0.73,0.71,0.71,3911000,0.71
2011-07-07,0.71,0.72,0.71,0.71,4457000,0.71
2011-07-06,0.70,0.73,0.70,0.71,7108000,0.71
2011-07-05,0.72,0.72,0.70,0.70,5301000,0.70
2011-07-04,0.73,0.74,0.72,0.73,3785000,0.73
2011-07-01,0.74,0.74,0.73,0.73,3708000,0.73
2011-06-30,0.73,0.74,0.73,0.73,9075000,0.73
2011-06-29,0.73,0.74,0.73,0.73,3129000,0.73
2011-06-28,0.73,0.74,0.72,0.73,8574000,0.73
2011-06-27,0.70,0.73,0.69,0.73,16133000,0.73
2011-06-24,0.69,0.71,0.69,0.71,7281000,0.71
2011-06-23,0.69,0.70,0.69,0.69,6532000,0.69
2011-06-22,0.71,0.71,0.69,0.69,4712000,0.69
2011-06-21,0.69,0.71,0.69,0.70,6977000,0.70
2011-06-20,0.69,0.70,0.68,0.68,6716000,0.68
2011-06-17,0.71,0.71,0.68,0.68,7967000,0.68
2011-06-16,0.71,0.72,0.70,0.70,9041000,0.70
2011-06-15,0.75,0.75,0.72,0.72,4792000,0.72
2011-06-14,0.72,0.74,0.72,0.73,4238000,0.73
2011-06-13,0.73,0.74,0.71,0.72,9779000,0.72
2011-06-10,0.77,0.77,0.73,0.74,11165000,0.74
2011-06-09,0.77,0.78,0.76,0.77,7627000,0.77
2011-06-08,0.78,0.78,0.76,0.76,4516000,0.76
2011-06-07,0.77,0.79,0.77,0.78,8607000,0.78
2011-06-06,0.78,0.79,0.77,0.77,5396000,0.77
2011-06-03,0.77,0.79,0.77,0.78,8174000,0.78
2011-06-02,0.76,0.77,0.73,0.77,6214000,0.77
2011-06-01,0.79,0.80,0.78,0.78,3035000,0.78
2011-05-31,0.80,0.80,0.78,0.80,5428000,0.80
2011-05-30,0.80,0.81,0.80,0.80,8126000,0.80
2011-05-27,0.78,0.80,0.78,0.80,10709000,0.80
2011-05-26,0.78,0.79,0.77,0.77,4852000,0.77
2011-05-25,0.79,0.79,0.76,0.77,4586000,0.77
2011-05-24,0.77,0.80,0.77,0.79,5171000,0.79
2011-05-23,0.80,0.80,0.77,0.77,10139000,0.77
2011-05-20,0.81,0.82,0.80,0.80,9985000,0.80
2011-05-19,0.81,0.82,0.80,0.80,8163000,0.80
2011-05-18,0.82,0.83,0.81,0.81,8133000,0.81
2011-05-16,0.83,0.83,0.82,0.82,4328000,0.82
2011-05-13,0.85,0.85,0.82,0.84,14391000,0.84
2011-05-12,0.83,0.86,0.83,0.83,22120000,0.83
2011-05-11,0.85,0.85,0.82,0.83,9214000,0.83
2011-05-10,0.81,0.85,0.81,0.84,29791000,0.84
2011-05-09,0.79,0.81,0.79,0.81,14903000,0.81
2011-05-06,0.79,0.80,0.78,0.78,11347000,0.78
2011-05-05,0.77,0.80,0.76,0.79,14190000,0.79
2011-05-04,0.79,0.79,0.77,0.79,6931000,0.79
2011-05-03,0.81,0.81,0.79,0.79,7579000,0.79
2011-04-29,0.82,0.82,0.81,0.81,18285000,0.81
2011-04-28,0.81,0.82,0.81,0.81,16161000,0.81
2011-04-27,0.80,0.82,0.80,0.81,26303000,0.81
2011-04-26,0.77,0.80,0.77,0.79,23522000,0.79
2011-04-25,0.77,0.78,0.77,0.78,11825000,0.78
2011-04-21,0.77,0.78,0.76,0.76,18240000,0.76
2011-04-20,0.75,0.77,0.75,0.76,16986000,0.76
2011-04-19,0.74,0.75,0.74,0.75,11422000,0.75
2011-04-18,0.77,0.77,0.75,0.75,10879000,0.75
2011-04-15,0.76,0.77,0.75,0.76,10531000,0.76
2011-04-14,0.78,0.79,0.75,0.75,26857000,0.75
2011-04-13,0.76,0.79,0.76,0.77,32892000,0.77
2011-04-12,0.74,0.76,0.73,0.76,14537000,0.76
2011-04-11,0.75,0.75,0.74,0.74,4816000,0.74
2011-04-08,0.74,0.76,0.74,0.75,16848000,0.75
2011-04-07,0.75,0.75,0.74,0.74,4679000,0.74
2011-04-06,0.74,0.75,0.74,0.75,10951000,0.75
2011-04-05,0.74,0.75,0.73,0.74,6405000,0.74
2011-04-04,0.73,0.75,0.73,0.74,9185000,0.74
2011-04-01,0.71,0.73,0.71,0.73,9291000,0.73
2011-03-31,0.72,0.73,0.70,0.71,6910000,0.71
2011-03-30,0.73,0.73,0.71,0.73,11218000,0.73
2011-03-29,0.68,0.72,0.67,0.72,18599000,0.72
2011-03-28,0.69,0.70,0.68,0.68,5607000,0.68
2011-03-25,0.69,0.70,0.69,0.69,7888000,0.69
2011-03-24,0.69,0.70,0.68,0.69,12119000,0.69
2011-03-23,0.66,0.69,0.66,0.68,17789000,0.68
2011-03-22,0.66,0.67,0.65,0.66,14723000,0.66
2011-03-21,0.65,0.67,0.65,0.65,8284000,0.65
2011-03-18,0.67,0.67,0.64,0.64,5685000,0.64
