Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.20,0.26,0.20,0.20,000,0.20
2011-08-03,0.19,0.28,0.19,0.19,000,0.19
2011-08-02,0.21,0.28,0.21,0.21,000,0.21
2011-08-01,0.20,0.28,0.20,0.20,000,0.20
2011-07-29,0.21,0.27,0.21,0.21,000,0.21
2011-07-28,0.20,0.28,0.20,0.20,000,0.20
2011-07-27,0.18,0.28,0.18,0.18,000,0.18
2011-07-26,0.20,0.26,0.20,0.20,000,0.20
2011-07-25,0.23,0.23,0.23,0.23,8000,0.23
2011-07-22,0.23,0.27,0.23,0.23,000,0.23
2011-07-21,0.23,0.27,0.23,0.23,000,0.23
2011-07-20,0.23,0.26,0.23,0.23,000,0.23
2011-07-19,0.23,0.26,0.23,0.23,000,0.23
2011-07-18,0.23,0.25,0.23,0.23,000,0.23
2011-07-15,0.23,0.23,0.23,0.23,2000,0.23
2011-07-14,0.23,0.28,0.23,0.23,000,0.23
2011-07-13,0.23,0.27,0.23,0.23,000,0.23
2011-07-12,0.23,0.26,0.23,0.23,000,0.23
2011-07-11,0.25,0.25,0.25,0.25,91000,0.25
2011-07-08,0.23,0.27,0.23,0.23,000,0.23
2011-07-07,0.23,0.26,0.23,0.23,000,0.23
2011-07-06,0.23,0.27,0.23,0.23,000,0.23
2011-07-05,0.26,0.26,0.26,0.26,71000,0.26
2011-07-04,0.25,0.26,0.25,0.26,16000,0.26
2011-07-01,0.22,0.25,0.22,0.22,000,0.22
2011-06-30,0.22,0.25,0.22,0.22,000,0.22
2011-06-29,0.23,0.25,0.23,0.23,000,0.23
2011-06-28,0.25,0.25,0.25,0.25,55000,0.25
2011-06-27,0.22,0.25,0.22,0.22,000,0.22
2011-06-24,0.25,0.25,0.25,0.25,4000,0.25
2011-06-23,0.25,0.25,0.25,0.25,6000,0.25
2011-06-22,0.24,0.25,0.24,0.24,000,0.24
2011-06-21,0.24,0.25,0.24,0.25,12000,0.25
2011-06-20,0.25,0.25,0.25,0.25,37000,0.25
2011-06-17,0.22,0.25,0.22,0.25,12000,0.25
2011-06-16,0.22,0.25,0.22,0.22,000,0.22
2011-06-15,0.23,0.25,0.23,0.23,000,0.23
2011-06-14,0.25,0.25,0.25,0.25,78000,0.25
2011-06-13,0.25,0.25,0.25,0.25,30000,0.25
2011-06-10,0.22,0.25,0.22,0.22,000,0.22
2011-06-09,0.24,0.27,0.24,0.24,000,0.24
2011-06-08,0.25,0.28,0.25,0.25,000,0.25
2011-06-07,0.25,0.27,0.25,0.25,000,0.25
2011-06-06,0.25,0.25,0.25,0.25,25000,0.25
2011-06-03,0.25,0.25,0.25,0.25,101000,0.25
2011-06-02,0.25,0.25,0.25,0.25,127000,0.25
2011-06-01,0.25,0.27,0.25,0.25,000,0.25
2011-05-31,0.25,0.25,0.25,0.25,40000,0.25
2011-05-30,0.25,0.26,0.25,0.25,000,0.25
2011-05-27,0.25,0.25,0.25,0.25,315000,0.25
2011-05-26,0.25,0.26,0.25,0.25,000,0.25
2011-05-25,0.25,0.25,0.25,0.25,5000,0.25
2011-05-24,0.25,0.27,0.25,0.25,000,0.25
2011-05-23,0.26,0.26,0.26,0.26,22000,0.26
2011-05-20,0.26,0.27,0.26,0.26,000,0.26
2011-05-19,0.26,0.26,0.26,0.26,000,0.26
2011-05-18,0.26,0.28,0.26,0.28,190000,0.28
2011-05-16,0.26,0.27,0.26,0.26,000,0.26
2011-05-13,0.26,0.28,0.26,0.26,000,0.26
2011-05-12,0.26,0.26,0.26,0.26,238000,0.26
2011-05-11,0.25,0.26,0.25,0.26,460000,0.26
2011-05-10,0.25,0.26,0.25,0.25,000,0.25
2011-05-09,0.25,0.25,0.25,0.25,234000,0.25
2011-05-06,0.25,0.25,0.25,0.25,136000,0.25
2011-05-05,0.24,0.25,0.24,0.25,1114000,0.25
2011-05-04,0.24,0.25,0.24,0.24,000,0.24
2011-05-03,0.25,0.25,0.25,0.25,670000,0.25
2011-04-29,0.25,0.25,0.25,0.25,37000,0.25
2011-04-28,0.25,0.26,0.25,0.26,225000,0.26
2011-04-27,0.25,0.26,0.25,0.26,675000,0.26
2011-04-26,0.25,0.25,0.25,0.25,10000,0.25
2011-04-25,0.25,0.25,0.25,0.25,205000,0.25
2011-04-21,0.25,0.25,0.25,0.25,262000,0.25
2011-04-20,0.25,0.25,0.25,0.25,15000,0.25
2011-04-19,0.25,0.25,0.25,0.25,52000,0.25
2011-04-18,0.25,0.25,0.25,0.25,000,0.25
2011-04-15,0.25,0.26,0.25,0.25,435000,0.25
2011-04-14,0.25,0.25,0.25,0.25,000,0.25
2011-04-13,0.25,0.25,0.25,0.25,52000,0.25
2011-04-12,0.24,0.25,0.24,0.24,000,0.24
2011-04-11,0.25,0.25,0.25,0.25,50000,0.25
2011-04-08,0.25,0.25,0.25,0.25,218000,0.25
2011-04-07,0.25,0.26,0.25,0.25,000,0.25
2011-04-06,0.25,0.25,0.25,0.25,150000,0.25
2011-04-05,0.25,0.25,0.25,0.25,40000,0.25
2011-04-04,0.25,0.26,0.25,0.25,000,0.25
2011-04-01,0.25,0.26,0.25,0.26,60000,0.26
2011-03-31,0.26,0.26,0.26,0.26,110000,0.26
2011-03-30,0.26,0.26,0.26,0.26,114000,0.26
2011-03-29,0.25,0.26,0.25,0.26,213000,0.26
