Date,Open,High,Low,Close,Volume,Adj Close
2011-04-18,0.09,0.06,0.09,0.09,000,0.09
2011-04-15,0.04,0.06,0.04,0.04,000,0.04
2011-04-14,0.08,0.06,0.08,0.08,000,0.08
2011-04-13,0.09,0.09,0.09,0.09,96000,0.09
2011-04-12,0.08,0.09,0.08,0.08,000,0.08
2011-04-11,0.09,0.09,0.09,0.09,406000,0.09
2011-04-08,0.09,0.09,0.09,0.09,732000,0.09
2011-04-07,0.09,0.09,0.08,0.09,63000,0.09
2011-04-06,0.09,0.09,0.09,0.09,35000,0.09
2011-04-05,0.09,0.09,0.09,0.09,311000,0.09
2011-04-04,0.09,0.09,0.09,0.09,255000,0.09
2011-04-01,0.08,0.09,0.08,0.09,262000,0.09
2011-03-31,0.09,0.09,0.08,0.08,701000,0.08
2011-03-30,0.08,0.09,0.08,0.09,150000,0.09
2011-03-29,0.08,0.09,0.08,0.09,217000,0.09
2011-03-28,0.08,0.08,0.08,0.08,95000,0.08
2011-03-25,0.08,0.09,0.08,0.08,118000,0.08
2011-03-24,0.08,0.09,0.08,0.08,495000,0.08
2011-03-23,0.08,0.09,0.08,0.09,238000,0.09
2011-03-22,0.08,0.08,0.08,0.08,434000,0.08
2011-03-21,0.08,0.09,0.08,0.09,35000,0.09
2011-03-18,0.09,0.09,0.09,0.09,127000,0.09
2011-03-17,0.09,0.09,0.09,0.09,000,0.09
2011-03-16,0.09,0.09,0.09,0.09,155000,0.09
2011-03-15,0.09,0.09,0.08,0.09,1207000,0.09
2011-03-14,0.08,0.09,0.08,0.09,17000,0.09
2011-03-11,0.09,0.09,0.09,0.09,827000,0.09
2011-03-10,0.09,0.09,0.09,0.09,000,0.09
2011-03-09,0.09,0.09,0.09,0.09,153000,0.09
2011-03-08,0.09,0.09,0.09,0.09,43000,0.09
2011-03-07,0.09,0.09,0.09,0.09,272000,0.09
2011-03-04,0.09,0.09,0.09,0.09,593000,0.09
2011-03-03,0.09,0.09,0.09,0.09,90000,0.09
2011-03-02,0.09,0.09,0.09,0.09,537000,0.09
2011-03-01,0.09,0.09,0.09,0.09,376000,0.09
2011-02-28,0.09,0.09,0.09,0.09,594000,0.09
2011-02-25,0.09,0.09,0.09,0.09,404000,0.09
2011-02-24,0.09,0.09,0.09,0.09,36000,0.09
2011-02-23,0.09,0.09,0.09,0.09,100000,0.09
2011-02-22,0.09,0.10,0.09,0.10,570000,0.10
2011-02-21,0.10,0.10,0.10,0.10,830000,0.10
2011-02-18,0.10,0.10,0.10,0.10,490000,0.10
2011-02-17,0.10,0.10,0.10,0.10,20000,0.10
2011-02-16,0.10,0.10,0.10,0.10,2110000,0.10
2011-02-15,0.10,0.10,0.10,0.10,641000,0.10
2011-02-14,0.10,0.10,0.10,0.10,169000,0.10
2011-02-11,0.10,0.10,0.10,0.10,000,0.10
2011-02-10,0.10,0.10,0.10,0.10,174000,0.10
2011-02-09,0.10,0.10,0.10,0.10,1700000,0.10
2011-02-08,0.10,0.11,0.10,0.10,000,0.10
2011-02-07,0.11,0.11,0.11,0.11,250000,0.11
2011-02-02,0.10,0.11,0.10,0.11,315000,0.11
2011-02-01,0.10,0.10,0.10,0.10,3000,0.10
2011-01-31,0.10,0.11,0.10,0.11,879000,0.11
2011-01-28,0.11,0.11,0.11,0.11,158000,0.11
2011-01-27,0.11,0.11,0.11,0.11,64000,0.11
2011-01-26,0.11,0.12,0.11,0.12,143000,0.12
2011-01-25,0.11,0.12,0.10,0.12,1138000,0.12
2011-01-24,0.11,0.11,0.11,0.11,247000,0.11
2011-01-21,0.11,0.11,0.11,0.11,757000,0.11
2011-01-20,0.12,0.12,0.11,0.11,231000,0.11
2011-01-19,0.12,0.12,0.12,0.12,1817000,0.12
2011-01-18,0.12,0.12,0.11,0.12,1100000,0.12
2011-01-17,0.12,0.12,0.12,0.12,715000,0.12
2011-01-14,0.12,0.12,0.11,0.12,543000,0.12
2011-01-13,0.12,0.12,0.12,0.12,20000,0.12
2011-01-12,0.12,0.12,0.12,0.12,907000,0.12
2011-01-11,0.12,0.12,0.11,0.12,540000,0.12
2011-01-10,0.12,0.12,0.12,0.12,746000,0.12
2011-01-07,0.12,0.12,0.12,0.12,669000,0.12
2011-01-06,0.12,0.12,0.11,0.12,1491000,0.12
2011-01-05,0.11,0.12,0.11,0.12,105000,0.12
2011-01-04,0.12,0.12,0.11,0.12,816000,0.12
2011-01-03,0.12,0.12,0.11,0.12,3196000,0.12
2010-12-31,0.11,0.12,0.11,0.12,300000,0.12
2010-12-30,0.11,0.12,0.11,0.11,1048000,0.11
2010-12-29,0.11,0.12,0.10,0.12,1288000,0.12
2010-12-28,0.10,0.11,0.10,0.10,000,0.10
2010-12-27,0.10,0.11,0.10,0.11,99000,0.11
2010-12-24,0.10,0.10,0.10,0.10,123000,0.10
2010-12-23,0.10,0.10,0.10,0.10,291000,0.10
2010-12-22,0.10,0.10,0.10,0.10,90000,0.10
2010-12-21,0.10,0.11,0.10,0.11,481000,0.11
2010-12-20,0.10,0.10,0.10,0.10,572000,0.10
2010-12-17,0.10,0.11,0.10,0.10,000,0.10
2010-12-16,0.10,0.10,0.10,0.10,1760000,0.10
2010-12-15,0.12,0.12,0.11,0.11,2153000,0.11
2010-12-14,0.11,0.12,0.11,0.12,1200000,0.12
2010-12-13,0.10,0.11,0.10,0.11,355000,0.11
2010-12-10,0.10,0.11,0.10,0.11,1170000,0.11
2010-12-09,0.10,0.10,0.10,0.10,1204000,0.10
2010-12-08,0.09,0.10,0.09,0.10,388000,0.10
2010-12-07,0.10,0.10,0.10,0.10,2088000,0.10
2010-12-06,0.10,0.10,0.10,0.10,483000,0.10
2010-12-03,0.10,0.10,0.10,0.10,485000,0.10
2010-12-02,0.10,0.10,0.10,0.10,1799000,0.10
2010-12-01,0.10,0.10,0.10,0.10,252000,0.10
2010-11-30,0.10,0.10,0.10,0.10,265000,0.10
2010-11-29,0.09,0.10,0.09,0.10,248000,0.10
2010-11-26,0.09,0.10,0.09,0.10,576000,0.10
2010-11-25,0.10,0.10,0.10,0.10,145000,0.10
2010-11-24,0.09,0.10,0.09,0.10,991000,0.10
2010-11-23,0.10,0.10,0.09,0.09,836000,0.09
2010-11-22,0.10,0.10,0.10,0.10,975000,0.10
2010-11-19,0.10,0.10,0.10,0.10,000,0.10
2010-11-18,0.10,0.10,0.10,0.10,114000,0.10
2010-11-16,0.10,0.10,0.10,0.10,129000,0.10
2010-11-15,0.10,0.10,0.10,0.10,717000,0.10
2010-11-12,0.10,0.10,0.10,0.10,662000,0.10
2010-11-11,0.10,0.11,0.10,0.10,634000,0.10
2010-11-10,0.10,0.10,0.10,0.10,182000,0.10
2010-11-09,0.10,0.10,0.10,0.10,170000,0.10
2010-11-08,0.11,0.11,0.10,0.10,3075000,0.10
2010-11-04,0.11,0.11,0.10,0.11,1940000,0.11
2010-11-03,0.10,0.12,0.10,0.12,927000,0.12
2010-11-02,0.10,0.11,0.10,0.10,584000,0.10
2010-11-01,0.10,0.11,0.10,0.10,254000,0.10
2010-10-29,0.10,0.10,0.10,0.10,976000,0.10
