Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.38,0.38,0.38,0.38,29000,0.38
2011-08-03,0.37,0.38,0.37,0.38,16000,0.38
2011-08-02,0.38,0.38,0.38,0.38,8000,0.38
2011-08-01,0.38,0.38,0.38,0.38,6000,0.38
2011-07-29,0.38,0.38,0.38,0.38,15000,0.38
2011-07-28,0.37,0.38,0.37,0.38,16000,0.38
2011-07-27,0.38,0.38,0.38,0.38,21000,0.38
2011-07-26,0.38,0.38,0.38,0.38,6000,0.38
2011-07-25,0.38,0.38,0.38,0.38,54000,0.38
2011-07-22,0.38,0.38,0.38,0.38,26000,0.38
2011-07-21,0.38,0.38,0.38,0.38,39000,0.38
2011-07-20,0.38,0.39,0.38,0.39,30000,0.39
2011-07-19,0.39,0.39,0.39,0.39,9000,0.39
2011-07-18,0.38,0.40,0.38,0.40,23000,0.40
2011-07-15,0.38,0.39,0.38,0.39,6000,0.39
2011-07-14,0.38,0.39,0.38,0.39,116000,0.39
2011-07-13,0.39,0.39,0.39,0.39,5000,0.39
2011-07-12,0.40,0.40,0.39,0.39,31000,0.39
2011-07-11,0.39,0.40,0.39,0.40,50000,0.40
2011-07-08,0.40,0.40,0.40,0.40,25000,0.40
2011-07-07,0.40,0.40,0.38,0.40,55000,0.40
2011-07-06,0.40,0.40,0.39,0.40,25000,0.40
2011-07-05,0.40,0.40,0.40,0.40,10000,0.40
2011-07-04,0.40,0.40,0.40,0.40,25000,0.40
2011-07-01,0.40,0.41,0.40,0.41,57000,0.41
2011-06-30,0.40,0.41,0.40,0.41,8000,0.41
2011-06-29,0.40,0.40,0.40,0.40,60000,0.40
2011-06-28,0.40,0.40,0.40,0.40,15000,0.40
2011-06-27,0.40,0.41,0.40,0.41,35000,0.41
2011-06-24,0.40,0.41,0.40,0.41,45000,0.41
2011-06-23,0.41,0.41,0.41,0.41,30000,0.41
2011-06-22,0.40,0.41,0.40,0.41,12000,0.41
2011-06-21,0.41,0.41,0.41,0.41,5000,0.41
2011-06-20,0.41,0.41,0.41,0.41,5000,0.41
2011-06-17,0.40,0.41,0.40,0.41,85000,0.41
2011-06-16,0.41,0.41,0.41,0.41,5000,0.41
2011-06-15,0.41,0.41,0.41,0.41,7000,0.41
2011-06-14,0.41,0.41,0.41,0.41,5000,0.41
2011-06-13,0.41,0.41,0.40,0.41,52000,0.41
2011-06-10,0.41,0.41,0.41,0.41,6000,0.41
2011-06-09,0.41,0.41,0.41,0.41,4000,0.41
2011-06-08,0.42,0.42,0.41,0.41,19000,0.41
2011-06-07,0.41,0.42,0.41,0.42,96000,0.42
2011-06-06,0.42,0.43,0.41,0.41,41000,0.41
2011-06-03,0.43,0.43,0.43,0.43,5000,0.43
2011-06-02,0.42,0.43,0.42,0.43,119000,0.43
2011-06-01,0.43,0.44,0.43,0.44,68000,0.44
2011-05-31,0.44,0.44,0.44,0.44,11000,0.44
2011-05-30,0.44,0.44,0.43,0.44,40000,0.44
2011-05-27,0.44,0.44,0.43,0.44,41000,0.44
2011-05-26,0.44,0.44,0.44,0.44,22000,0.44
2011-05-25,0.44,0.44,0.44,0.44,12000,0.44
2011-05-24,0.44,0.44,0.44,0.44,12000,0.44
2011-05-23,0.45,0.45,0.44,0.44,56000,0.44
2011-05-20,0.44,0.44,0.44,0.44,47000,0.44
2011-05-19,0.44,0.44,0.44,0.44,28000,0.44
2011-05-18,0.45,0.45,0.44,0.45,49000,0.45
2011-05-16,0.45,0.45,0.45,0.45,4000,0.45
2011-05-13,0.45,0.45,0.44,0.45,35000,0.45
2011-05-12,0.45,0.45,0.44,0.45,40000,0.45
2011-05-11,0.45,0.45,0.45,0.45,8000,0.45
2011-05-10,0.44,0.45,0.44,0.45,27000,0.45
2011-05-09,0.44,0.44,0.44,0.44,44000,0.44
2011-05-06,0.44,0.44,0.44,0.44,29000,0.44
2011-05-05,0.45,0.45,0.44,0.45,22000,0.45
2011-05-04,0.44,0.45,0.44,0.45,79000,0.45
2011-05-03,0.46,0.46,0.45,0.45,51000,0.45
2011-04-29,0.46,0.46,0.46,0.46,62000,0.46
2011-04-28,0.46,0.46,0.46,0.46,75000,0.46
2011-04-27,0.46,0.46,0.46,0.46,49000,0.46
2011-04-26,0.47,0.47,0.46,0.46,26000,0.46
2011-04-25,0.47,0.47,0.46,0.46,6000,0.46
2011-04-21,0.47,0.47,0.47,0.47,14000,0.47
2011-04-20,0.47,0.47,0.47,0.47,10000,0.47
2011-04-19,0.47,0.47,0.47,0.47,7000,0.47
2011-04-18,0.47,0.47,0.46,0.47,208000,0.47
2011-04-15,0.47,0.47,0.47,0.47,10000,0.47
2011-04-14,0.47,0.47,0.47,0.47,24000,0.47
2011-04-13,0.47,0.47,0.47,0.47,20000,0.47
2011-04-12,0.47,0.47,0.47,0.47,20000,0.47
2011-04-11,0.47,0.47,0.47,0.47,56000,0.47
2011-04-08,0.47,0.47,0.47,0.47,67000,0.47
2011-04-07,0.48,0.48,0.47,0.47,243000,0.47
2011-04-06,0.48,0.48,0.47,0.47,71000,0.47
2011-04-05,0.48,0.48,0.48,0.48,16000,0.48
2011-04-04,0.48,0.48,0.48,0.48,84000,0.48
