Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,4.08,4.11,4.00,4.00,45000,4.00
2011-08-03,4.20,4.22,4.03,4.03,50000,4.03
2011-08-02,4.24,4.24,4.22,4.22,33000,4.22
2011-08-01,4.20,4.25,4.18,4.23,9000,4.23
2011-07-29,4.23,4.24,4.22,4.24,9000,4.24
2011-07-28,4.24,4.24,4.23,4.23,30000,4.23
2011-07-27,4.24,4.24,4.24,4.24,19000,4.24
2011-07-26,4.25,4.25,4.25,4.25,115000,4.25
2011-07-25,4.25,4.25,4.25,4.25,41000,4.25
2011-07-22,4.25,4.25,4.25,4.25,85000,4.25
2011-07-21,4.26,4.26,4.25,4.25,45000,4.25
2011-07-20,4.29,4.29,4.25,4.25,300000,4.25
2011-07-19,4.28,4.28,4.25,4.26,75000,4.26
2011-07-18,4.28,4.28,4.24,4.27,199000,4.27
2011-07-15,4.27,4.29,4.27,4.28,530000,4.28
2011-07-14,4.26,4.28,4.25,4.28,122000,4.28
2011-07-13,4.29,4.29,4.21,4.28,133000,4.28
2011-07-12,4.21,4.35,4.20,4.29,1121000,4.29
2011-07-11,4.39,4.40,4.29,4.40,416000,4.40
2011-07-01,4.00,4.02,4.00,4.00,51000,4.00
2011-06-30,4.40,4.40,4.00,4.00,41000,4.00
2011-06-29,3.95,4.00,3.95,4.00,50000,4.00
2011-06-28,4.00,4.00,3.90,4.00,76000,4.00
2011-06-27,3.85,4.00,3.85,3.85,8000,3.85
2011-06-24,3.85,3.85,3.85,3.85,5000,3.85
2011-06-23,3.85,4.00,3.85,4.00,33000,4.00
2011-06-22,3.80,3.90,3.80,3.90,10000,3.90
2011-06-21,3.90,3.90,3.85,3.90,29000,3.90
2011-06-20,3.85,3.90,3.80,3.90,43000,3.90
2011-06-17,3.80,3.90,3.80,3.90,31000,3.90
2011-06-16,3.90,4.00,3.88,3.90,22000,3.90
2011-06-15,3.92,3.95,3.68,3.68,82000,3.68
2011-06-14,3.90,3.90,3.90,3.90,5000,3.90
2011-06-13,2.72,3.95,2.72,2.72,000,2.72
2011-06-10,4.00,4.00,3.96,4.00,16000,4.00
2011-06-09,3.98,4.01,3.95,4.00,157000,4.00
2011-06-08,4.00,4.02,3.95,3.96,128000,3.96
2011-06-07,4.00,4.05,4.00,4.05,121000,4.05
2011-06-06,4.01,4.01,4.01,4.01,1000,4.01
2011-06-03,3.98,4.00,3.98,4.00,80000,4.00
2011-06-02,4.11,4.11,3.95,3.98,139000,3.98
2011-06-01,3.94,3.94,3.94,3.94,8000,3.94
2011-05-31,3.92,3.94,3.92,3.94,12000,3.94
2011-05-30,3.85,4.20,3.85,3.85,000,3.85
2011-05-27,3.92,3.92,3.92,3.92,5000,3.92
2011-05-26,3.92,3.94,3.92,3.92,305000,3.92
2011-05-25,3.94,3.94,3.92,3.93,63000,3.93
2011-05-24,4.18,4.18,3.91,3.92,69000,3.92
2011-05-23,3.91,3.92,3.91,3.92,109000,3.92
2011-05-20,3.91,3.91,3.91,3.91,9000,3.91
2011-05-19,4.00,4.00,3.98,3.98,26000,3.98
2011-05-18,3.83,4.35,3.83,4.35,374000,4.35
2011-05-16,3.83,3.83,3.83,3.83,16000,3.83
2011-05-13,3.83,3.84,3.83,3.83,402000,3.83
2011-05-12,3.82,3.83,3.82,3.83,305000,3.83
2011-05-11,3.80,3.82,3.80,3.82,222000,3.82
2011-05-10,3.80,3.82,3.80,3.81,233000,3.81
2011-05-09,3.80,3.82,3.66,3.80,417000,3.80
2011-05-06,3.80,3.80,3.70,3.80,50000,3.80
2011-05-05,3.80,3.80,3.80,3.80,45000,3.80
2011-05-04,3.80,3.80,3.80,3.80,6000,3.80
2011-05-03,3.89,3.89,3.80,3.80,98000,3.80
2011-04-29,3.80,3.80,3.80,3.80,5000,3.80
2011-04-28,3.80,3.80,3.80,3.80,137000,3.80
2011-04-27,3.80,3.80,3.80,3.80,77000,3.80
2011-04-26,3.79,3.80,3.75,3.80,118000,3.80
