Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.29,0.30,0.29,0.30,111000,0.30
2011-08-03,0.30,0.30,0.29,0.29,171000,0.29
2011-08-02,0.30,0.30,0.29,0.30,267000,0.30
2011-08-01,0.30,0.31,0.30,0.30,000,0.30
2011-07-29,0.30,0.31,0.30,0.31,83000,0.31
2011-07-28,0.30,0.30,0.30,0.30,30000,0.30
2011-07-27,0.31,0.31,0.31,0.31,62000,0.31
2011-07-26,0.31,0.31,0.31,0.31,12000,0.31
2011-07-25,0.30,0.30,0.30,0.30,32000,0.30
2011-07-22,0.30,0.30,0.30,0.30,60000,0.30
2011-07-21,0.30,0.31,0.30,0.31,147000,0.31
2011-07-20,0.30,0.30,0.29,0.30,380000,0.30
2011-07-19,0.30,0.30,0.30,0.30,25000,0.30
2011-07-18,0.29,0.31,0.29,0.29,000,0.29
2011-07-15,0.29,0.31,0.29,0.29,000,0.29
2011-07-14,0.29,0.30,0.29,0.30,322000,0.30
2011-07-13,0.29,0.30,0.29,0.30,199000,0.30
2011-07-12,0.30,0.30,0.29,0.30,385000,0.30
2011-07-11,0.30,0.30,0.30,0.30,133000,0.30
2011-07-08,0.30,0.30,0.30,0.30,188000,0.30
2011-07-07,0.30,0.30,0.29,0.30,354000,0.30
2011-07-06,0.29,0.30,0.29,0.30,43000,0.30
2011-07-05,0.29,0.29,0.28,0.29,13000,0.29
2011-07-04,0.28,0.28,0.28,0.28,5000,0.28
2011-07-01,0.28,0.28,0.28,0.28,67000,0.28
2011-06-30,0.28,0.28,0.28,0.28,259000,0.28
2011-06-29,0.28,0.28,0.28,0.28,173000,0.28
2011-06-28,0.29,0.29,0.29,0.29,1000,0.29
2011-06-27,0.28,0.29,0.28,0.28,000,0.28
2011-06-24,0.29,0.29,0.29,0.29,75000,0.29
2011-06-23,0.28,0.29,0.28,0.28,000,0.28
2011-06-22,0.29,0.29,0.29,0.29,7000,0.29
2011-06-21,0.28,0.30,0.28,0.28,13000,0.28
2011-06-20,0.28,0.28,0.28,0.28,77000,0.28
2011-06-17,0.29,0.29,0.28,0.29,169000,0.29
2011-06-16,0.29,0.30,0.29,0.30,162000,0.30
2011-06-15,0.30,0.30,0.30,0.30,58000,0.30
2011-06-14,0.29,0.30,0.29,0.30,102000,0.30
2011-06-13,0.29,0.30,0.29,0.30,80000,0.30
2011-06-10,0.30,0.30,0.30,0.30,220000,0.30
2011-06-09,0.30,0.30,0.30,0.30,21000,0.30
2011-06-08,0.31,0.31,0.30,0.30,100000,0.30
2011-06-07,0.31,0.31,0.31,0.31,39000,0.31
2011-06-06,0.31,0.31,0.31,0.31,62000,0.31
2011-06-03,0.31,0.31,0.31,0.31,252000,0.31
2011-06-02,0.31,0.31,0.31,0.31,57000,0.31
2011-06-01,0.31,0.31,0.30,0.31,249000,0.31
2011-05-31,0.32,0.32,0.30,0.30,2754000,0.30
2011-05-30,0.33,0.33,0.32,0.33,208000,0.33
2011-05-27,0.33,0.33,0.33,0.33,274000,0.33
2011-05-26,0.34,0.34,0.33,0.33,191000,0.33
2011-05-25,0.33,0.34,0.33,0.34,147000,0.34
2011-05-24,0.34,0.34,0.34,0.34,47000,0.34
2011-05-23,0.34,0.34,0.33,0.33,85000,0.33
2011-05-20,0.34,0.34,0.34,0.34,334000,0.34
2011-05-19,0.34,0.34,0.34,0.34,121000,0.34
2011-05-18,0.35,0.35,0.34,0.34,79000,0.34
2011-05-16,0.34,0.34,0.34,0.34,88000,0.34
2011-05-13,0.36,0.36,0.35,0.35,93000,0.35
2011-05-12,0.35,0.35,0.34,0.35,44000,0.35
2011-05-11,0.35,0.35,0.35,0.35,35000,0.35
2011-05-10,0.35,0.35,0.34,0.35,172000,0.35
2011-05-09,0.34,0.35,0.34,0.35,262000,0.35
2011-05-06,0.34,0.35,0.34,0.35,101000,0.35
2011-05-05,0.34,0.35,0.34,0.34,97000,0.34
2011-05-04,0.35,0.35,0.35,0.35,130000,0.35
2011-05-03,0.35,0.35,0.34,0.34,38000,0.34
2011-04-29,0.36,0.37,0.35,0.35,1429000,0.35
2011-04-28,0.34,0.34,0.34,0.34,33000,0.34
2011-04-27,0.34,0.34,0.34,0.34,18000,0.34
2011-04-26,0.34,0.34,0.34,0.34,257000,0.34
2011-04-25,0.34,0.34,0.33,0.34,169000,0.34
2011-04-21,0.34,0.34,0.34,0.34,40000,0.34
2011-04-20,0.34,0.34,0.34,0.34,40000,0.34
2011-04-19,0.34,0.34,0.34,0.34,99000,0.34
2011-04-18,0.34,0.35,0.34,0.34,148000,0.34
2011-04-15,0.34,0.34,0.34,0.34,21000,0.34
2011-04-14,0.34,0.34,0.34,0.34,000,0.34
2011-04-13,0.34,0.34,0.34,0.34,50000,0.34
2011-04-12,0.34,0.35,0.34,0.34,000,0.34
2011-04-11,0.34,0.35,0.34,0.34,000,0.34
2011-04-08,0.34,0.34,0.34,0.34,36000,0.34
2011-04-07,0.34,0.34,0.34,0.34,15000,0.34
2011-04-06,0.34,0.34,0.34,0.34,74000,0.34
2011-04-05,0.35,0.35,0.34,0.34,130000,0.34
2011-04-04,0.36,0.36,0.35,0.35,224000,0.35
2011-04-01,0.35,0.36,0.35,0.36,569000,0.36
2011-03-31,0.34,0.34,0.34,0.34,633000,0.34
2011-03-30,0.34,0.34,0.34,0.34,100000,0.34
2011-03-29,0.33,0.33,0.33,0.33,405000,0.33
2011-03-28,0.31,0.34,0.31,0.33,262000,0.33
2011-03-25,0.31,0.32,0.31,0.31,000,0.31
2011-03-24,0.31,0.31,0.31,0.31,50000,0.31
2011-03-23,0.31,0.31,0.31,0.31,5000,0.31
2011-03-22,0.31,0.31,0.31,0.31,5000,0.31
2011-03-21,0.31,0.31,0.31,0.31,105000,0.31
2011-03-18,0.31,0.31,0.31,0.31,29000,0.31
2011-03-17,0.31,0.31,0.31,0.31,156000,0.31
2011-03-16,0.31,0.31,0.31,0.31,63000,0.31
2011-03-15,0.31,0.31,0.31,0.31,184000,0.31
2011-03-14,0.31,0.31,0.31,0.31,50000,0.31
2011-03-11,0.31,0.31,0.31,0.31,254000,0.31
2011-03-10,0.32,0.33,0.32,0.33,6000,0.33
2011-03-09,0.32,0.32,0.32,0.32,51000,0.32
2011-03-08,0.32,0.32,0.32,0.32,67000,0.32
2011-03-07,0.32,0.32,0.31,0.31,54000,0.31
2011-03-04,0.33,0.33,0.32,0.32,14000,0.32
2011-03-03,0.31,0.34,0.31,0.31,000,0.31
2011-03-02,0.31,0.32,0.31,0.32,160000,0.32
2011-03-01,0.31,0.33,0.31,0.31,000,0.31
2011-02-28,0.32,0.33,0.32,0.33,32000,0.33
2011-02-25,0.31,0.31,0.31,0.31,46000,0.31
2011-02-24,0.32,0.32,0.31,0.31,54000,0.31
2011-02-23,0.32,0.32,0.31,0.32,158000,0.32
2011-02-22,0.32,0.32,0.32,0.32,292000,0.32
2011-02-21,0.32,0.32,0.32,0.32,1000,0.32
2011-02-18,0.33,0.34,0.33,0.34,21000,0.34
2011-02-17,0.34,0.34,0.34,0.34,14000,0.34
2011-02-16,0.34,0.34,0.34,0.34,14000,0.34
2011-02-15,0.34,0.34,0.33,0.33,146000,0.33
2011-02-14,0.33,0.33,0.33,0.33,55000,0.33
2011-02-11,0.34,0.34,0.33,0.33,46000,0.33
2011-02-10,0.34,0.34,0.34,0.34,90000,0.34
2011-02-09,0.34,0.34,0.34,0.34,93000,0.34
2011-02-08,0.34,0.34,0.34,0.34,82000,0.34
2011-02-07,0.35,0.35,0.34,0.34,151000,0.34
2011-02-02,0.36,0.36,0.36,0.36,10000,0.36
2011-02-01,0.35,0.35,0.35,0.35,59000,0.35
2011-01-31,0.35,0.35,0.34,0.34,44000,0.34
2011-01-28,0.35,0.35,0.34,0.34,38000,0.34
2011-01-27,0.35,0.35,0.35,0.35,256000,0.35
2011-01-26,0.35,0.35,0.35,0.35,270000,0.35
2011-01-25,0.35,0.35,0.34,0.35,474000,0.35
2011-01-24,0.35,0.35,0.34,0.34,125000,0.34
2011-01-21,0.34,0.35,0.34,0.34,000,0.34
2011-01-20,0.34,0.34,0.34,0.34,99000,0.34
2011-01-19,0.34,0.35,0.34,0.35,87000,0.35
2011-01-18,0.35,0.35,0.34,0.34,218000,0.34
2011-01-17,0.34,0.34,0.34,0.34,183000,0.34
2011-01-14,0.34,0.35,0.34,0.34,000,0.34
2011-01-13,0.34,0.35,0.34,0.35,227000,0.35
2011-01-12,0.35,0.35,0.34,0.34,392000,0.34
2011-01-11,0.35,0.35,0.35,0.35,192000,0.35
2011-01-10,0.35,0.36,0.35,0.35,562000,0.35
2011-01-07,0.35,0.35,0.35,0.35,902000,0.35
2011-01-06,0.36,0.36,0.35,0.36,497000,0.36
2011-01-05,0.37,0.37,0.37,0.37,11000,0.37
2011-01-04,0.37,0.37,0.37,0.37,936000,0.37
2011-01-03,0.34,0.35,0.34,0.35,145000,0.35
2010-12-31,0.34,0.34,0.34,0.34,123000,0.34
2010-12-30,0.34,0.35,0.34,0.35,212000,0.35
2010-12-29,0.34,0.35,0.34,0.34,117000,0.34
2010-12-28,0.34,0.35,0.34,0.34,34000,0.34
2010-12-27,0.34,0.35,0.34,0.34,000,0.34
2010-12-24,0.34,0.35,0.34,0.34,000,0.34
2010-12-23,0.34,0.35,0.34,0.35,22000,0.35
2010-12-22,0.34,0.34,0.34,0.34,10000,0.34
2010-12-21,0.35,0.35,0.34,0.34,33000,0.34
2010-12-20,0.35,0.35,0.35,0.35,145000,0.35
2010-12-17,0.35,0.35,0.34,0.35,416000,0.35
2010-12-16,0.34,0.36,0.34,0.36,142000,0.36
2010-12-15,0.32,0.36,0.32,0.36,761000,0.36
2010-12-14,0.33,0.33,0.32,0.33,334000,0.33
2010-12-13,0.33,0.34,0.33,0.34,28000,0.34
2010-12-10,0.33,0.33,0.33,0.33,118000,0.33
2010-12-09,0.33,0.33,0.32,0.33,85000,0.33
2010-12-08,0.33,0.33,0.32,0.33,33000,0.33
2010-12-07,0.33,0.33,0.33,0.33,40000,0.33
2010-12-06,0.34,0.34,0.33,0.33,97000,0.33
2010-12-03,0.34,0.34,0.34,0.34,280000,0.34
2010-12-02,0.34,0.34,0.33,0.33,95000,0.33
2010-12-01,0.32,0.33,0.32,0.33,15000,0.33
2010-11-30,0.32,0.33,0.32,0.33,423000,0.33
2010-11-29,0.32,0.33,0.32,0.33,94000,0.33
2010-11-26,0.32,0.34,0.32,0.32,000,0.32
2010-11-25,0.34,0.34,0.34,0.34,27000,0.34
2010-11-24,0.34,0.34,0.34,0.34,83000,0.34
2010-11-23,0.34,0.34,0.34,0.34,145000,0.34
2010-11-22,0.34,0.34,0.34,0.34,3000,0.34
2010-11-19,0.35,0.35,0.34,0.34,155000,0.34
2010-11-18,0.35,0.35,0.35,0.35,109000,0.35
2010-11-16,0.34,0.35,0.34,0.35,67000,0.35
2010-11-15,0.34,0.34,0.34,0.34,50000,0.34
2010-11-12,0.35,0.35,0.34,0.35,133000,0.35
2010-11-11,0.35,0.35,0.34,0.35,493000,0.35
2010-11-10,0.35,0.35,0.35,0.35,624000,0.35
2010-11-09,0.35,0.35,0.35,0.35,402000,0.35
2010-11-08,0.35,0.36,0.35,0.35,213000,0.35
2010-11-04,0.35,0.36,0.35,0.36,206000,0.36
2010-11-03,0.36,0.36,0.35,0.36,290000,0.36
2010-11-02,0.36,0.36,0.35,0.35,649000,0.35
2010-11-01,0.35,0.36,0.35,0.35,430000,0.35
2010-10-29,0.35,0.35,0.35,0.35,193000,0.35
2010-10-28,0.35,0.35,0.34,0.35,154000,0.35
2010-10-27,0.34,0.35,0.34,0.35,253000,0.35
2010-10-26,0.34,0.34,0.34,0.34,175000,0.34
2010-10-25,0.34,0.34,0.33,0.33,40000,0.33
2010-10-22,0.34,0.34,0.33,0.33,48000,0.33
2010-10-21,0.34,0.34,0.33,0.34,351000,0.34
2010-10-20,0.34,0.34,0.34,0.34,244000,0.34
2010-10-19,0.34,0.34,0.34,0.34,213000,0.34
2010-10-18,0.34,0.34,0.34,0.34,283000,0.34
2010-10-15,0.35,0.35,0.34,0.34,81000,0.34
2010-10-14,0.35,0.35,0.35,0.35,136000,0.35
2010-10-13,0.35,0.35,0.35,0.35,189000,0.35
2010-10-12,0.36,0.36,0.35,0.35,301000,0.35
2010-10-11,0.36,0.36,0.35,0.36,32000,0.36
2010-10-08,0.36,0.37,0.36,0.37,209000,0.37
2010-10-07,0.36,0.37,0.36,0.37,246000,0.37
2010-10-06,0.36,0.37,0.35,0.36,826000,0.36
2010-10-05,0.36,0.36,0.35,0.35,119000,0.35
2010-10-04,0.35,0.36,0.35,0.35,125000,0.35
2010-10-01,0.34,0.35,0.34,0.34,000,0.34
2010-09-30,0.36,0.36,0.34,0.35,69000,0.35
2010-09-29,0.34,0.34,0.34,0.34,40000,0.34
2010-09-28,0.35,0.35,0.34,0.34,106000,0.34
2010-09-27,0.35,0.35,0.35,0.35,121000,0.35
2010-09-24,0.36,0.36,0.35,0.35,145000,0.35
2010-09-23,0.35,0.36,0.35,0.36,306000,0.36
2010-09-22,0.34,0.36,0.34,0.35,1292000,0.35
2010-09-21,0.34,0.34,0.34,0.34,425000,0.34
2010-09-20,0.34,0.34,0.34,0.34,97000,0.34
2010-09-17,0.34,0.35,0.34,0.35,265000,0.35
2010-09-16,0.34,0.34,0.34,0.34,523000,0.34
2010-09-15,0.33,0.34,0.33,0.34,187000,0.34
2010-09-14,0.34,0.34,0.33,0.33,115000,0.33
2010-09-13,0.34,0.34,0.34,0.34,138000,0.34
2010-09-09,0.34,0.34,0.34,0.34,169000,0.34
2010-09-08,0.34,0.34,0.34,0.34,468000,0.34
2010-09-07,0.32,0.34,0.32,0.34,228000,0.34
2010-09-06,0.32,0.33,0.32,0.33,20000,0.33
2010-09-03,0.34,0.34,0.32,0.33,120000,0.33
2010-09-02,0.32,0.33,0.32,0.33,56000,0.33
2010-09-01,0.32,0.32,0.32,0.32,30000,0.32
2010-08-31,0.31,0.33,0.31,0.33,180000,0.33
2010-08-30,0.32,0.32,0.31,0.31,65000,0.31
2010-08-27,0.33,0.33,0.32,0.33,89000,0.33
2010-08-26,0.33,0.33,0.33,0.33,25000,0.33
2010-08-25,0.32,0.33,0.32,0.33,25000,0.33
2010-08-24,0.31,0.32,0.31,0.32,176000,0.32
2010-08-23,0.31,0.31,0.31,0.31,50000,0.31
2010-08-20,0.32,0.33,0.32,0.33,32000,0.33
2010-08-19,0.32,0.32,0.32,0.32,37000,0.32
2010-08-18,0.32,0.32,0.32,0.32,35000,0.32
2010-08-17,0.31,0.32,0.31,0.31,000,0.31
2010-08-16,0.32,0.32,0.32,0.32,63000,0.32
2010-08-13,0.33,0.33,0.32,0.32,131000,0.32
2010-08-12,0.32,0.32,0.32,0.32,248000,0.32
2010-08-11,0.33,0.33,0.32,0.32,32000,0.32
2010-08-10,0.33,0.33,0.33,0.33,40000,0.33
2010-08-06,0.33,0.33,0.33,0.33,142000,0.33
2010-08-05,0.33,0.34,0.33,0.33,69000,0.33
2010-08-04,0.33,0.33,0.33,0.33,125000,0.33
2010-08-03,0.33,0.34,0.33,0.33,171000,0.33
2010-08-02,0.33,0.33,0.32,0.33,156000,0.33
2010-07-30,0.33,0.33,0.32,0.32,56000,0.32
2010-07-29,0.33,0.34,0.33,0.33,611000,0.33
2010-07-28,0.33,0.34,0.33,0.34,183000,0.34
2010-07-27,0.33,0.33,0.33,0.33,130000,0.33
2010-07-26,0.34,0.34,0.33,0.34,170000,0.34
2010-07-23,0.33,0.33,0.33,0.33,516000,0.33
2010-07-22,0.33,0.33,0.32,0.32,173000,0.32
2010-07-21,0.32,0.32,0.32,0.32,100000,0.32
2010-07-20,0.33,0.34,0.33,0.34,163000,0.34
2010-07-19,0.33,0.33,0.33,0.33,20000,0.33
2010-07-16,0.33,0.34,0.33,0.34,60000,0.34
2010-07-15,0.33,0.33,0.33,0.33,42000,0.33
2010-07-14,0.33,0.33,0.33,0.33,107000,0.33
2010-07-13,0.33,0.33,0.33,0.33,4000,0.33
2010-07-12,0.32,0.34,0.32,0.34,45000,0.34
2010-07-09,0.32,0.33,0.32,0.33,125000,0.33
2010-07-08,0.34,0.34,0.32,0.33,14000,0.33
2010-07-07,0.32,0.32,0.32,0.32,33000,0.32
2010-07-06,0.32,0.34,0.32,0.34,49000,0.34
