Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,1350000,0.03
2011-08-03,0.03,0.03,0.03,0.03,2829000,0.03
2011-08-02,0.03,0.03,0.03,0.03,18393000,0.03
2011-08-01,0.03,0.03,0.03,0.03,18932000,0.03
2011-07-29,0.03,0.03,0.03,0.03,57141000,0.03
2011-07-28,0.03,0.03,0.03,0.03,91360000,0.03
2011-07-27,0.03,0.03,0.03,0.03,6319000,0.03
2011-07-26,0.03,0.03,0.03,0.03,3843000,0.03
2011-07-25,0.03,0.03,0.03,0.03,5927000,0.03
2011-07-22,0.03,0.03,0.03,0.03,6215000,0.03
2011-07-21,0.03,0.03,0.03,0.03,52788000,0.03
2011-07-20,0.03,0.03,0.02,0.03,61184000,0.03
2011-07-19,0.02,0.03,0.02,0.02,6220000,0.02
2011-07-18,0.02,0.03,0.02,0.02,5014000,0.02
2011-07-15,0.03,0.03,0.02,0.03,4446000,0.03
2011-07-14,0.03,0.03,0.03,0.03,24977000,0.03
2011-07-13,0.02,0.03,0.02,0.03,19611000,0.03
2011-07-12,0.03,0.03,0.02,0.02,51054000,0.02
2011-07-11,0.03,0.03,0.03,0.03,11175000,0.03
2011-07-08,0.03,0.03,0.03,0.03,32252000,0.03
2011-07-07,0.03,0.03,0.03,0.03,98889000,0.03
2011-07-06,0.02,0.03,0.02,0.03,2938000,0.03
2011-07-05,0.02,0.02,0.02,0.02,2999000,0.02
2011-07-04,0.03,0.03,0.02,0.03,76875000,0.03
2011-07-01,0.03,0.03,0.02,0.03,53445000,0.03
2011-06-30,0.03,0.03,0.03,0.03,15748000,0.03
2011-06-29,0.02,0.03,0.02,0.03,2212000,0.03
2011-06-28,0.02,0.03,0.02,0.03,520000,0.03
2011-06-27,0.02,0.03,0.02,0.02,2982000,0.02
2011-06-24,0.02,0.03,0.02,0.02,4133000,0.02
2011-06-23,0.02,0.03,0.02,0.02,4135000,0.02
