Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.13,0.13,4036000,0.13
2011-08-03,0.13,0.14,0.13,0.13,7915000,0.13
2011-08-02,0.13,0.13,0.13,0.13,856000,0.13
2011-08-01,0.13,0.13,0.13,0.13,541000,0.13
2011-07-29,0.13,0.13,0.13,0.13,771000,0.13
2011-07-28,0.13,0.13,0.13,0.13,1865000,0.13
2011-07-27,0.13,0.13,0.13,0.13,3752000,0.13
2011-07-26,0.13,0.13,0.13,0.13,328000,0.13
2011-07-25,0.13,0.13,0.13,0.13,247000,0.13
2011-07-22,0.13,0.13,0.13,0.13,1197000,0.13
2011-07-21,0.12,0.13,0.12,0.13,3714000,0.13
2011-07-20,0.13,0.13,0.12,0.12,779000,0.12
2011-07-19,0.12,0.13,0.12,0.13,160000,0.13
2011-07-18,0.13,0.13,0.12,0.12,1378000,0.12
2011-07-15,0.13,0.13,0.13,0.13,754000,0.13
2011-07-14,0.13,0.13,0.13,0.13,604000,0.13
2011-07-13,0.13,0.13,0.13,0.13,1252000,0.13
2011-07-12,0.13,0.13,0.13,0.13,304000,0.13
2011-07-11,0.14,0.14,0.13,0.13,715000,0.13
2011-07-08,0.14,0.14,0.13,0.13,5290000,0.13
2011-07-07,0.13,0.14,0.12,0.14,4814000,0.14
2011-07-06,0.13,0.13,0.13,0.13,221000,0.13
2011-07-05,0.13,0.13,0.13,0.13,323000,0.13
2011-07-04,0.13,0.13,0.13,0.13,729000,0.13
2011-07-01,0.14,0.14,0.12,0.14,1712000,0.14
2011-06-30,0.13,0.14,0.13,0.14,8280000,0.14
2011-06-29,0.12,0.13,0.12,0.13,686000,0.13
2011-06-28,0.12,0.12,0.12,0.12,1388000,0.12
2011-06-27,0.12,0.12,0.12,0.12,2510000,0.12
2011-06-24,0.13,0.13,0.13,0.13,1286000,0.13
2011-06-23,0.13,0.13,0.12,0.12,469000,0.12
2011-06-22,0.14,0.14,0.13,0.13,591000,0.13
2011-06-21,0.14,0.14,0.13,0.14,13851000,0.14
2011-06-20,0.12,0.14,0.12,0.14,24878000,0.14
2011-06-17,0.12,0.12,0.12,0.12,188000,0.12
2011-06-16,0.12,0.12,0.12,0.12,439000,0.12
2011-06-15,0.12,0.12,0.12,0.12,210000,0.12
2011-06-14,0.12,0.12,0.12,0.12,544000,0.12
2011-06-13,0.12,0.12,0.12,0.12,690000,0.12
2011-06-10,0.13,0.13,0.12,0.12,248000,0.12
