Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.00,1.03,1.00,1.00,000,1.00
2011-08-03,0.99,1.02,0.99,0.99,000,0.99
2011-08-02,1.00,1.02,1.00,1.00,000,1.00
2011-08-01,1.00,1.01,1.00,1.01,11000,1.01
2011-07-29,0.99,1.02,0.99,0.99,000,0.99
2011-07-28,1.00,1.01,1.00,1.00,30000,1.00
2011-07-27,1.00,1.01,1.00,1.01,81000,1.01
2011-07-26,1.01,1.01,1.00,1.00,39000,1.00
2011-07-25,1.02,1.02,1.02,1.02,17000,1.02
2011-07-22,1.02,1.02,1.01,1.01,15000,1.01
2011-07-21,1.02,1.02,1.02,1.02,24000,1.02
2011-07-20,1.02,1.02,1.02,1.02,29000,1.02
2011-07-19,1.00,1.02,1.00,1.00,000,1.00
2011-07-18,1.01,1.02,1.01,1.02,6000,1.02
2011-07-15,1.00,1.02,1.00,1.02,62000,1.02
2011-07-14,1.01,1.01,1.01,1.01,9000,1.01
2011-07-13,1.00,1.00,1.00,1.00,1000,1.00
2011-07-12,1.01,1.01,1.00,1.00,54000,1.00
2011-07-11,1.00,1.01,1.00,1.00,000,1.00
2011-07-08,1.01,1.01,1.00,1.01,47000,1.01
2011-07-07,1.00,1.01,1.00,1.00,000,1.00
2011-07-06,1.02,1.02,1.00,1.00,18000,1.00
2011-07-05,1.00,1.00,1.00,1.00,17000,1.00
2011-07-04,1.01,1.01,1.01,1.01,3000,1.01
2011-07-01,1.01,1.02,1.00,1.01,35000,1.01
2011-06-30,1.01,1.01,1.00,1.00,10000,1.00
2011-06-29,1.01,1.01,1.01,1.01,4000,1.01
2011-06-28,1.01,1.01,1.00,1.00,15000,1.00
2011-06-27,1.00,1.01,1.00,1.00,000,1.00
2011-06-24,1.00,1.01,1.00,1.00,000,1.00
2011-06-23,0.99,1.01,0.99,0.99,000,0.99
2011-06-22,1.00,1.00,1.00,1.00,10000,1.00
2011-06-21,1.00,1.00,0.99,1.00,52000,1.00
2011-06-20,0.99,0.99,0.99,0.99,2000,0.99
2011-06-17,0.99,0.99,0.99,0.99,86000,0.99
2011-06-16,1.00,1.00,1.00,1.00,27000,1.00
2011-06-15,1.01,1.01,1.01,1.01,1000,1.01
2011-06-14,1.01,1.02,1.01,1.02,47000,1.02
2011-06-13,1.01,1.02,1.01,1.02,14000,1.02
2011-06-10,1.03,1.03,1.03,1.03,11000,1.03
2011-06-09,1.03,1.03,1.03,1.03,15000,1.03
2011-06-08,1.02,1.04,1.02,1.02,000,1.02
2011-06-07,1.02,1.02,1.02,1.02,6000,1.02
2011-06-06,1.03,1.03,1.03,1.03,28000,1.03
2011-06-03,1.02,1.04,1.02,1.03,10000,1.03
2011-06-02,1.04,1.04,1.04,1.04,30000,1.04
2011-06-01,1.04,1.05,1.04,1.05,129000,1.05
2011-05-31,1.02,1.04,1.02,1.04,87000,1.04
2011-05-30,1.02,1.05,1.02,1.04,68000,1.04
2011-05-27,1.03,1.03,1.03,1.03,8000,1.03
2011-05-26,1.02,1.02,1.02,1.02,11000,1.02
2011-05-25,1.02,1.02,1.02,1.02,3000,1.02
2011-05-24,1.03,1.03,1.02,1.03,8000,1.03
2011-05-23,1.01,1.02,1.01,1.01,78000,1.01
2011-05-20,1.02,1.02,1.02,1.02,341000,1.02
2011-05-19,1.00,1.00,1.00,1.00,30000,1.00
2011-05-18,1.02,1.03,1.02,1.03,12000,1.03
2011-05-16,1.01,1.03,1.01,1.03,2000,1.03
2011-05-13,1.01,1.04,1.01,1.01,000,1.01
2011-05-12,1.03,1.03,1.03,1.03,10000,1.03
2011-05-11,1.03,1.03,1.03,1.03,39000,1.03
2011-05-10,1.00,1.04,1.00,1.00,000,1.00
2011-05-09,1.02,1.03,1.02,1.03,25000,1.03
2011-05-06,1.01,1.01,1.00,1.00,4000,1.00
2011-05-05,1.01,1.03,1.01,1.01,000,1.01
2011-05-04,1.01,1.05,1.01,1.01,000,1.01
2011-05-03,1.01,1.04,1.01,1.01,000,1.01
2011-04-29,1.02,1.05,1.02,1.02,000,1.02
2011-04-28,1.02,1.05,1.02,1.05,5000,1.05
2011-04-27,1.03,1.03,1.03,1.03,8000,1.03
2011-04-26,1.01,1.04,1.01,1.04,13000,1.04
2011-04-25,1.02,1.03,1.02,1.02,000,1.02
2011-04-21,1.02,1.02,1.02,1.02,10000,1.02
2011-04-20,1.02,1.04,1.02,1.04,12000,1.04
2011-04-19,1.02,1.02,1.02,1.02,10000,1.02
2011-04-18,1.02,1.02,1.02,1.02,4000,1.02
2011-04-15,1.02,1.02,1.02,1.02,11000,1.02
2011-04-14,1.03,1.05,1.03,1.03,000,1.03
2011-04-13,1.02,1.03,1.02,1.03,6000,1.03
2011-04-12,1.04,1.04,1.03,1.03,9000,1.03
2011-04-11,1.02,1.06,1.02,1.02,000,1.02
2011-04-08,1.02,1.05,1.02,1.05,28000,1.05
2011-04-07,1.02,1.04,1.02,1.02,000,1.02
2011-04-06,1.01,1.02,1.01,1.02,6000,1.02
2011-04-05,1.01,1.01,1.01,1.01,14000,1.01
2011-04-04,1.01,1.03,1.01,1.01,000,1.01
2011-04-01,1.01,1.01,1.01,1.01,16000,1.01
2011-03-31,1.02,1.02,1.01,1.01,19000,1.01
2011-03-30,1.01,1.05,1.01,1.01,000,1.01
2011-03-29,1.01,1.06,1.01,1.01,000,1.01
2011-03-28,1.01,1.05,1.01,1.01,000,1.01
2011-03-25,1.01,1.04,1.01,1.01,000,1.01
2011-03-24,1.00,1.03,1.00,1.00,000,1.00
2011-03-23,1.01,1.01,1.01,1.01,21000,1.01
2011-03-22,1.00,1.03,1.00,1.03,15000,1.03
2011-03-21,0.99,0.99,0.99,0.99,5000,0.99
2011-03-18,1.00,1.00,1.00,1.00,24000,1.00
2011-03-17,0.99,1.00,0.99,1.00,68000,1.00
2011-03-16,1.00,1.02,1.00,1.00,000,1.00
2011-03-15,1.02,1.02,0.96,1.00,19000,1.00
2011-03-14,1.02,1.04,1.02,1.02,000,1.02
2011-03-11,1.03,1.03,1.02,1.03,17000,1.03
2011-03-10,1.04,1.04,1.04,1.04,20000,1.04
2011-03-09,1.04,1.04,1.04,1.04,14000,1.04
2011-03-08,1.04,1.04,1.04,1.04,1000,1.04
2011-03-07,1.04,1.04,1.04,1.04,10000,1.04
2011-03-04,1.05,1.05,1.04,1.04,14000,1.04
