Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,2.26,2.42,2.26,2.26,000,2.26
2011-08-03,2.26,2.26,2.26,2.26,5000,2.26
2011-08-02,2.33,2.41,2.28,2.41,88800,2.41
2011-08-01,2.23,2.43,2.23,2.43,5800,2.43
2011-07-29,2.21,2.25,2.21,2.21,000,2.21
2011-07-28,2.08,2.23,2.08,2.23,59000,2.23
2011-07-27,2.07,2.18,2.07,2.18,21200,2.18
2011-07-26,2.26,2.27,2.18,2.20,33600,2.20
2011-07-25,2.16,2.28,2.13,2.28,43200,2.28
2011-07-22,2.06,2.16,2.06,2.06,000,2.06
2011-07-21,2.05,2.11,2.05,2.06,49600,2.06
2011-07-20,1.95,2.02,1.93,2.02,41000,2.02
2011-07-19,1.86,1.88,1.86,1.88,49800,1.88
2011-07-18,1.80,1.92,1.80,1.80,000,1.80
2011-07-15,1.73,1.92,1.73,1.73,000,1.73
2011-07-14,1.79,1.92,1.79,1.79,000,1.79
2011-07-13,1.77,2.00,1.77,1.77,000,1.77
2011-07-12,1.75,1.95,1.75,1.75,000,1.75
2011-07-11,1.76,1.99,1.76,1.76,000,1.76
2011-07-08,1.80,1.96,1.80,1.80,000,1.80
2011-07-07,1.78,1.95,1.78,1.78,000,1.78
2011-07-06,1.83,1.95,1.83,1.83,000,1.83
2011-07-05,1.83,1.99,1.83,1.83,000,1.83
2011-07-04,1.89,1.92,1.89,1.92,17600,1.92
2011-07-01,1.83,1.83,1.83,1.83,3000,1.83
2011-06-30,1.72,1.85,1.72,1.72,000,1.72
2011-06-29,1.70,1.92,1.70,1.70,000,1.70
2011-06-28,1.70,1.90,1.70,1.70,000,1.70
2011-06-27,1.70,1.70,1.70,1.70,000,1.70
2011-06-24,1.71,1.85,1.71,1.71,000,1.71
2011-06-23,1.75,1.75,1.75,1.75,10000,1.75
2011-06-22,1.76,1.76,1.76,1.76,000,1.76
2011-06-21,1.80,1.85,1.80,1.80,000,1.80
2011-06-20,1.80,1.92,1.80,1.80,000,1.80
2011-06-17,1.83,1.85,1.83,1.85,1400,1.85
2011-06-16,1.84,2.02,1.84,1.84,000,1.84
2011-06-15,1.89,1.92,1.89,1.89,000,1.89
2011-06-14,1.90,1.92,1.90,1.92,4000,1.92
2011-06-13,1.86,1.90,1.86,1.86,000,1.86
2011-06-10,1.84,1.93,1.84,1.84,000,1.84
2011-06-09,1.80,1.90,1.80,1.80,000,1.80
2011-06-08,1.83,1.90,1.83,1.90,1200,1.90
2011-06-07,1.83,1.83,1.83,1.83,1000,1.83
2011-06-06,1.87,1.87,1.87,1.87,1000,1.87
2011-06-03,1.84,1.98,1.84,1.84,000,1.84
2011-06-02,1.81,1.90,1.81,1.81,000,1.81
2011-06-01,1.85,1.85,1.85,1.85,1000,1.85
2011-05-31,1.82,1.86,1.82,1.82,000,1.82
2011-05-30,1.84,1.90,1.84,1.84,000,1.84
2011-05-27,1.88,1.88,1.88,1.88,2400,1.88
2011-05-26,1.78,1.78,1.78,1.78,2600,1.78
2011-05-25,1.83,1.90,1.83,1.83,000,1.83
2011-05-24,1.82,1.90,1.82,1.82,000,1.82
2011-05-23,1.81,1.81,1.80,1.80,986800,1.80
2011-05-20,1.79,1.79,1.79,1.79,10000,1.79
2011-05-19,1.72,1.87,1.72,1.72,000,1.72
2011-05-18,1.80,1.80,1.80,1.80,5600,1.80
2011-05-16,1.80,1.87,1.80,1.80,000,1.80
2011-05-13,1.88,1.88,1.88,1.88,3000,1.88
2011-05-12,1.86,1.99,1.86,1.86,000,1.86
2011-05-11,1.90,1.93,1.90,1.91,15000,1.91
2011-05-10,1.83,1.83,1.82,1.83,21600,1.83
2011-05-09,1.79,1.84,1.79,1.82,22000,1.82
2011-05-06,1.73,1.75,1.73,1.75,6400,1.75
2011-05-05,1.69,1.69,1.69,1.69,10000,1.69
2011-05-04,1.69,1.69,1.69,1.69,2000,1.69
2011-05-03,1.74,1.74,1.74,1.74,5000,1.74
2011-04-29,1.61,1.74,1.61,1.61,000,1.61
2011-04-28,1.64,1.64,1.64,1.64,16200,1.64
2011-04-27,1.66,1.66,1.66,1.66,20000,1.66
