Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.16,0.16,0.16,0.16,265000,0.16
2011-08-03,0.16,0.16,0.16,0.16,732000,0.16
2011-08-02,0.16,0.16,0.16,0.16,302000,0.16
2011-08-01,0.16,0.16,0.16,0.16,387000,0.16
2011-07-29,0.16,0.16,0.16,0.16,619000,0.16
2011-07-28,0.16,0.16,0.16,0.16,140000,0.16
2011-07-27,0.16,0.16,0.16,0.16,1295000,0.16
2011-07-26,0.16,0.16,0.16,0.16,291000,0.16
2011-07-25,0.16,0.16,0.16,0.16,63000,0.16
2011-07-22,0.16,0.16,0.16,0.16,104000,0.16
2011-07-21,0.16,0.16,0.16,0.16,57000,0.16
2011-07-20,0.16,0.16,0.16,0.16,261000,0.16
2011-07-19,0.16,0.16,0.16,0.16,23000,0.16
2011-07-18,0.16,0.16,0.16,0.16,320000,0.16
2011-07-15,0.16,0.16,0.16,0.16,554000,0.16
2011-07-14,0.16,0.16,0.16,0.16,257000,0.16
2011-07-13,0.16,0.16,0.16,0.16,148000,0.16
2011-07-12,0.16,0.16,0.16,0.16,655000,0.16
2011-07-11,0.16,0.16,0.16,0.16,378000,0.16
2011-07-08,0.16,0.16,0.16,0.16,729000,0.16
2011-07-07,0.16,0.16,0.16,0.16,2170000,0.16
2011-07-06,0.16,0.16,0.16,0.16,140000,0.16
2011-07-05,0.16,0.16,0.16,0.16,817000,0.16
2011-07-04,0.16,0.16,0.16,0.16,492000,0.16
2011-07-01,0.16,0.16,0.16,0.16,1059000,0.16
2011-06-30,0.16,0.16,0.16,0.16,80000,0.16
2011-06-29,0.16,0.16,0.16,0.16,47000,0.16
2011-06-28,0.16,0.16,0.16,0.16,352000,0.16
2011-06-24,0.16,0.16,0.16,0.16,10000,0.16
2011-06-23,0.16,0.16,0.16,0.16,3234000,0.16
2011-06-22,0.16,0.16,0.16,0.16,250000,0.16
2011-06-21,0.16,0.16,0.16,0.16,100000,0.16
2011-06-20,0.16,0.16,0.16,0.16,80000,0.16
2011-06-17,0.16,0.16,0.16,0.16,205000,0.16
2011-06-16,0.16,0.16,0.16,0.16,3024000,0.16
2011-06-15,0.16,0.16,0.16,0.16,618000,0.16
2011-06-14,0.17,0.17,0.16,0.16,190000,0.16
2011-06-13,0.16,0.17,0.16,0.17,103000,0.17
2011-06-10,0.16,0.17,0.16,0.17,806000,0.17
2011-06-09,0.16,0.16,0.16,0.16,951000,0.16
2011-06-08,0.16,0.17,0.16,0.16,1523000,0.16
2011-06-07,0.16,0.17,0.16,0.16,239000,0.16
2011-06-06,0.17,0.17,0.16,0.16,4077000,0.16
2011-06-03,0.17,0.17,0.17,0.17,145000,0.17
2011-06-02,0.17,0.17,0.17,0.17,399000,0.17
2011-06-01,0.16,0.17,0.16,0.17,142000,0.17
2011-05-31,0.17,0.17,0.17,0.17,268000,0.17
2011-05-30,0.17,0.17,0.17,0.17,356000,0.17
2011-05-27,0.17,0.17,0.17,0.17,47000,0.17
2011-05-26,0.17,0.17,0.16,0.17,699000,0.17
2011-05-25,0.17,0.17,0.16,0.17,523000,0.17
2011-05-24,0.17,0.17,0.17,0.17,183000,0.17
2011-05-23,0.17,0.17,0.16,0.16,655000,0.16
2011-05-20,0.17,0.17,0.17,0.17,448000,0.17
2011-05-19,0.17,0.17,0.17,0.17,116000,0.17
2011-05-18,0.17,0.17,0.17,0.17,118000,0.17
2011-05-16,0.17,0.17,0.17,0.17,935000,0.17
2011-05-13,0.16,0.17,0.16,0.17,666000,0.17
2011-05-12,0.16,0.17,0.16,0.16,442000,0.16
2011-05-11,0.16,0.16,0.16,0.16,163000,0.16
2011-05-10,0.16,0.16,0.16,0.16,149000,0.16
2011-05-09,0.16,0.17,0.16,0.16,197000,0.16
2011-05-06,0.16,0.16,0.16,0.16,699000,0.16
2011-05-05,0.16,0.16,0.16,0.16,112000,0.16
2011-05-04,0.16,0.16,0.16,0.16,676000,0.16
2011-05-03,0.17,0.17,0.16,0.16,1707000,0.16
2011-04-29,0.16,0.17,0.16,0.17,154000,0.17
2011-04-28,0.17,0.17,0.17,0.17,20000,0.17
2011-04-27,0.16,0.17,0.16,0.17,87000,0.17
2011-04-26,0.16,0.16,0.16,0.16,365000,0.16
2011-04-25,0.17,0.17,0.17,0.17,52000,0.17
2011-04-21,0.17,0.17,0.16,0.17,515000,0.17
2011-04-20,0.16,0.17,0.16,0.17,79000,0.17
2011-04-19,0.16,0.17,0.16,0.17,411000,0.17
2011-04-18,0.16,0.17,0.16,0.16,594000,0.16
2011-04-15,0.17,0.17,0.17,0.17,554000,0.17
2011-04-14,0.16,0.17,0.16,0.17,114000,0.17
2011-04-13,0.16,0.17,0.16,0.17,61000,0.17
2011-04-12,0.17,0.17,0.16,0.16,443000,0.16
2011-04-11,0.17,0.17,0.17,0.17,8135000,0.17
2011-04-08,0.16,0.17,0.16,0.17,99000,0.17
2011-04-07,0.16,0.17,0.16,0.16,1213000,0.16
2011-04-06,0.16,0.16,0.16,0.16,1901000,0.16
