Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.25,0.25,0.25,0.25,765000,0.25
2011-08-03,0.26,0.26,0.25,0.25,940000,0.25
2011-08-02,0.26,0.26,0.26,0.26,385000,0.26
2011-08-01,0.26,0.27,0.26,0.26,246000,0.26
2011-07-29,0.26,0.26,0.26,0.26,589000,0.26
2011-07-28,0.28,0.28,0.26,0.26,9259000,0.26
2011-07-27,0.26,0.28,0.25,0.28,1102000,0.28
2011-07-26,0.26,0.26,0.26,0.26,163000,0.26
2011-07-25,0.26,0.26,0.25,0.26,501000,0.26
2011-07-22,0.26,0.26,0.25,0.25,599000,0.25
2011-07-21,0.28,0.28,0.28,0.28,1810000,0.28
2011-07-20,0.28,0.29,0.28,0.28,585000,0.28
2011-07-19,0.28,0.28,0.28,0.28,572000,0.28
2011-07-18,0.29,0.29,0.28,0.29,972000,0.29
2011-07-15,0.28,0.29,0.28,0.29,276000,0.29
2011-07-14,0.29,0.29,0.29,0.29,640000,0.29
2011-07-13,0.29,0.29,0.29,0.29,291000,0.29
2011-07-12,0.30,0.30,0.29,0.29,1505000,0.29
2011-07-11,0.30,0.31,0.29,0.30,3018000,0.30
2011-07-08,0.29,0.30,0.29,0.30,2315000,0.30
2011-07-07,0.29,0.29,0.29,0.29,459000,0.29
2011-07-06,0.29,0.29,0.29,0.29,228000,0.29
2011-07-05,0.29,0.29,0.29,0.29,1747000,0.29
2011-07-04,0.29,0.29,0.28,0.29,445000,0.29
2011-07-01,0.29,0.29,0.29,0.29,2235000,0.29
2011-06-30,0.28,0.28,0.28,0.28,186000,0.28
2011-06-29,0.29,0.29,0.28,0.28,1321000,0.28
2011-06-28,0.28,0.30,0.28,0.29,2453000,0.29
2011-06-27,0.28,0.28,0.28,0.28,308000,0.28
2011-06-24,0.28,0.28,0.28,0.28,399000,0.28
2011-06-23,0.28,0.28,0.28,0.28,495000,0.28
2011-06-22,0.28,0.29,0.28,0.28,991000,0.28
2011-06-21,0.28,0.28,0.28,0.28,1452000,0.28
2011-06-20,0.28,0.28,0.27,0.27,973000,0.27
2011-06-17,0.28,0.28,0.28,0.28,2883000,0.28
2011-06-16,0.28,0.28,0.28,0.28,635000,0.28
2011-06-15,0.28,0.29,0.28,0.28,2198000,0.28
2011-06-14,0.28,0.28,0.28,0.28,1227000,0.28
2011-06-13,0.29,0.29,0.28,0.28,1194000,0.28
2011-06-10,0.31,0.31,0.29,0.29,1133000,0.29
2011-06-09,0.28,0.31,0.28,0.31,3374000,0.31
2011-06-08,0.29,0.29,0.28,0.28,785000,0.28
2011-06-07,0.28,0.29,0.27,0.29,4758000,0.29
2011-06-06,0.26,0.28,0.26,0.27,3735000,0.27
2011-06-03,0.26,0.27,0.26,0.27,1250000,0.27
2011-06-02,0.26,0.26,0.25,0.26,308000,0.26
2011-06-01,0.26,0.26,0.26,0.26,641000,0.26
2011-05-31,0.27,0.27,0.26,0.26,2153000,0.26
2011-05-30,0.26,0.27,0.26,0.27,5263000,0.27
2011-05-27,0.25,0.26,0.25,0.25,1296000,0.25
2011-05-26,0.25,0.25,0.25,0.25,1001000,0.25
2011-05-25,0.25,0.25,0.25,0.25,3882000,0.25
2011-05-24,0.24,0.25,0.24,0.25,2638000,0.25
2011-05-23,0.23,0.23,0.23,0.23,420000,0.23
2011-05-20,0.23,0.23,0.23,0.23,264000,0.23
2011-05-19,0.24,0.24,0.23,0.23,337000,0.23
2011-05-18,0.23,0.23,0.23,0.23,215000,0.23
2011-05-16,0.23,0.23,0.23,0.23,20000,0.23
2011-05-13,0.23,0.23,0.23,0.23,85000,0.23
2011-05-12,0.23,0.23,0.23,0.23,293000,0.23
2011-05-11,0.23,0.23,0.23,0.23,100000,0.23
2011-05-10,0.23,0.23,0.23,0.23,90000,0.23
2011-05-09,0.23,0.24,0.23,0.24,81000,0.24
2011-05-06,0.23,0.23,0.23,0.23,000,0.23
2011-05-05,0.23,0.23,0.23,0.23,50000,0.23
2011-05-04,0.23,0.23,0.23,0.23,60000,0.23
2011-05-03,0.23,0.23,0.23,0.23,269000,0.23
2011-04-29,0.23,0.23,0.23,0.23,760000,0.23
2011-04-28,0.24,0.24,0.23,0.23,170000,0.23
2011-04-27,0.24,0.24,0.24,0.24,70000,0.24
2011-04-26,0.24,0.24,0.24,0.24,926000,0.24
2011-04-25,0.24,0.25,0.24,0.24,000,0.24
2011-04-21,0.24,0.24,0.24,0.24,1560000,0.24
2011-04-20,0.25,0.25,0.24,0.25,2275000,0.25
2011-04-19,0.25,0.25,0.25,0.25,1471000,0.25
2011-04-18,0.25,0.25,0.25,0.25,1584000,0.25
2011-04-15,0.24,0.25,0.24,0.25,4861000,0.25
2011-04-14,0.24,0.24,0.24,0.24,410000,0.24
2011-04-13,0.24,0.24,0.24,0.24,520000,0.24
2011-04-12,0.24,0.24,0.24,0.24,570000,0.24
2011-04-11,0.24,0.25,0.24,0.25,1330000,0.25
2011-04-08,0.24,0.24,0.24,0.24,627000,0.24
2011-04-07,0.24,0.24,0.24,0.24,750000,0.24
2011-04-06,0.23,0.24,0.23,0.24,700000,0.24
2011-04-05,0.24,0.24,0.23,0.23,723000,0.23
2011-04-04,0.24,0.24,0.24,0.24,645000,0.24
2011-04-01,0.23,0.24,0.23,0.24,1025000,0.24
2011-03-31,0.23,0.23,0.23,0.23,183000,0.23
2011-03-30,0.24,0.24,0.24,0.24,903000,0.24
2011-03-29,0.23,0.24,0.23,0.23,240000,0.23
2011-03-28,0.25,0.25,0.23,0.23,208000,0.23
2011-03-25,0.24,0.24,0.24,0.24,647000,0.24
2011-03-24,0.24,0.24,0.24,0.24,805000,0.24
2011-03-23,0.24,0.24,0.23,0.24,259000,0.24
2011-03-22,0.23,0.23,0.23,0.23,682000,0.23
2011-03-21,0.22,0.23,0.22,0.22,630000,0.22
2011-03-18,0.22,0.22,0.22,0.22,90000,0.22
2011-03-17,0.21,0.21,0.21,0.21,65000,0.21
2011-03-16,0.21,0.22,0.20,0.22,389000,0.22
2011-03-15,0.22,0.22,0.21,0.22,635000,0.22
2011-03-14,0.22,0.22,0.22,0.22,422000,0.22
2011-03-11,0.22,0.23,0.22,0.22,189000,0.22
2011-03-10,0.22,0.23,0.22,0.23,212000,0.23
2011-03-09,0.22,0.23,0.22,0.22,000,0.22
2011-03-08,0.22,0.23,0.22,0.22,000,0.22
2011-03-07,0.22,0.22,0.22,0.22,90000,0.22
2011-03-04,0.22,0.22,0.22,0.22,75000,0.22
2011-03-03,0.22,0.22,0.22,0.22,365000,0.22
2011-03-02,0.23,0.23,0.22,0.22,315000,0.22
2011-03-01,0.22,0.23,0.22,0.23,1319000,0.23
2011-02-28,0.22,0.22,0.22,0.22,172000,0.22
2011-02-25,0.22,0.22,0.22,0.22,280000,0.22
2011-02-24,0.22,0.22,0.22,0.22,518000,0.22
2011-02-23,0.23,0.23,0.22,0.22,883000,0.22
2011-02-22,0.22,0.23,0.22,0.23,252000,0.23
2011-02-21,0.23,0.23,0.23,0.23,340000,0.23
2011-02-18,0.23,0.23,0.23,0.23,335000,0.23
2011-02-17,0.24,0.24,0.23,0.23,340000,0.23
2011-02-16,0.23,0.23,0.23,0.23,89000,0.23
2011-02-15,0.23,0.23,0.23,0.23,338000,0.23
2011-02-14,0.23,0.24,0.23,0.24,154000,0.24
2011-02-11,0.23,0.23,0.23,0.23,738000,0.23
2011-02-10,0.24,0.24,0.23,0.23,507000,0.23
2011-02-09,0.24,0.24,0.24,0.24,350000,0.24
2011-02-08,0.25,0.25,0.24,0.24,1157000,0.24
2011-02-07,0.25,0.25,0.24,0.24,160000,0.24
2011-02-02,0.25,0.25,0.25,0.25,345000,0.25
2011-02-01,0.25,0.25,0.24,0.24,684000,0.24
2011-01-31,0.25,0.25,0.24,0.24,633000,0.24
2011-01-28,0.25,0.25,0.25,0.25,1805000,0.25
