Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.00,0.00,0.00,0.00,3201000,0.00
2011-08-03,0.00,0.00,0.00,0.00,501000,0.00
2011-08-02,0.00,0.00,0.00,0.00,1200000,0.00
2011-08-01,0.00,0.00,0.00,0.00,2518000,0.00
2011-07-29,0.00,0.00,0.00,0.00,000,0.00
2011-07-28,0.00,0.00,0.00,0.00,000,0.00
2011-07-27,0.00,0.00,0.00,0.00,20000,0.00
2011-07-26,0.00,0.00,0.00,0.00,515000,0.00
2011-07-25,0.00,0.00,0.00,0.00,000,0.00
2011-07-22,0.00,0.00,0.00,0.00,100000,0.00
2011-07-21,0.00,0.00,0.00,0.00,619000,0.00
2011-07-20,0.00,0.00,0.00,0.00,000,0.00
2011-07-19,0.00,0.00,0.00,0.00,000,0.00
2011-07-18,0.00,0.00,0.00,0.00,100000,0.00
2011-07-15,0.00,0.00,0.00,0.00,000,0.00
2011-07-14,0.00,0.00,0.00,0.00,200000,0.00
2011-07-13,0.00,0.00,0.00,0.00,000,0.00
2011-07-12,0.00,0.00,0.00,0.00,000,0.00
2011-07-11,0.00,0.00,0.00,0.00,150000,0.00
2011-07-08,0.00,0.00,0.00,0.00,100000,0.00
2011-07-07,0.00,0.00,0.00,0.00,300000,0.00
2011-07-06,0.00,0.00,0.00,0.00,000,0.00
2011-07-05,0.00,0.00,0.00,0.00,6300000,0.00
2011-07-04,0.00,0.00,0.00,0.00,7090000,0.00
2011-07-01,0.00,0.00,0.00,0.00,1248000,0.00
2011-06-30,0.00,0.00,0.00,0.00,2350000,0.00
2011-06-29,0.00,0.01,0.00,0.00,000,0.00
2011-06-28,0.00,0.00,0.00,0.00,200000,0.00
2011-06-27,0.01,0.01,0.00,0.00,5651000,0.00
2011-06-24,0.00,0.00,0.00,0.00,2000000,0.00
2011-06-23,0.01,0.01,0.01,0.01,000,0.01
2011-06-22,0.00,0.00,0.00,0.00,2100000,0.00
2011-06-21,0.00,0.00,0.00,0.00,2462000,0.00
2011-06-20,0.00,0.00,0.00,0.00,200000,0.00
2011-06-17,0.00,0.00,0.00,0.00,1426000,0.00
2011-06-16,0.00,0.00,0.00,0.00,4300000,0.00
2011-06-15,0.00,0.00,0.00,0.00,2208000,0.00
2011-06-14,0.01,0.01,0.00,0.00,261000,0.00
2011-06-13,0.00,0.00,0.00,0.00,3030000,0.00
2011-06-10,0.00,0.01,0.00,0.01,205000,0.01
2011-06-09,0.00,0.01,0.00,0.00,000,0.00
2011-06-08,0.00,0.00,0.00,0.00,21025000,0.00
2011-06-07,0.00,0.00,0.00,0.00,33031000,0.00
2011-06-06,0.00,0.00,0.00,0.00,4275000,0.00
2011-06-03,0.00,0.00,0.00,0.00,1274000,0.00
2011-06-02,0.00,0.01,0.00,0.00,000,0.00
2011-06-01,0.00,0.01,0.00,0.00,000,0.00
2011-05-31,0.00,0.00,0.00,0.00,200000,0.00
2011-05-30,0.00,0.01,0.00,0.00,000,0.00
2011-05-27,0.01,0.01,0.01,0.01,237000,0.01
2011-05-26,0.00,0.00,0.00,0.00,2780000,0.00
2011-05-25,0.00,0.01,0.00,0.00,000,0.00
2011-05-24,0.00,0.01,0.00,0.00,000,0.00
2011-05-23,0.00,0.00,0.00,0.00,50000,0.00
2011-05-20,0.00,0.01,0.00,0.00,000,0.00
2011-05-19,0.00,0.01,0.00,0.00,000,0.00
2011-05-18,0.00,0.01,0.00,0.00,000,0.00
2011-05-16,0.00,0.00,0.00,0.00,10000,0.00
2011-05-13,0.00,0.01,0.00,0.00,000,0.00
2011-05-12,0.00,0.00,0.00,0.00,60000,0.00
2011-05-11,0.00,0.00,0.00,0.00,317000,0.00
2011-05-10,0.00,0.01,0.00,0.00,000,0.00
2011-05-09,0.00,0.01,0.00,0.00,000,0.00
2011-05-06,0.00,0.00,0.00,0.00,200000,0.00
2011-05-05,0.00,0.01,0.00,0.00,000,0.00
2011-05-04,0.00,0.01,0.00,0.00,000,0.00
2011-05-03,0.00,0.01,0.00,0.00,000,0.00
2011-04-29,0.00,0.01,0.00,0.00,000,0.00
2011-04-28,0.00,0.01,0.00,0.00,000,0.00
2011-04-27,0.00,0.00,0.00,0.00,230000,0.00
2011-04-26,0.00,0.01,0.00,0.00,000,0.00
2011-04-25,0.00,0.01,0.00,0.00,000,0.00
2011-04-21,0.00,0.01,0.00,0.01,14000,0.01
2011-04-20,0.00,0.00,0.00,0.00,20000,0.00
2011-04-19,0.00,0.01,0.00,0.00,000,0.00
2011-04-18,0.01,0.01,0.00,0.00,450000,0.00
2011-04-15,0.00,0.01,0.00,0.00,000,0.00
2011-04-14,0.01,0.01,0.01,0.01,1000,0.01
2011-04-13,0.00,0.01,0.00,0.00,000,0.00
2011-04-12,0.00,0.00,0.00,0.00,20000,0.00
