Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,2.80,2.83,2.79,2.80,11734000,2.80
2011-08-03,2.81,2.83,2.78,2.80,25003000,2.80
2011-08-02,2.92,2.93,2.86,2.86,14443000,2.86
2011-08-01,2.91,2.96,2.91,2.92,20930000,2.92
2011-07-29,2.90,2.92,2.88,2.90,13807000,2.90
2011-07-28,2.92,2.94,2.90,2.92,5975000,2.92
2011-07-27,2.93,2.95,2.91,2.95,5007000,2.95
2011-07-26,2.93,2.97,2.93,2.93,9548000,2.93
2011-07-25,2.92,2.93,2.90,2.92,4321000,2.92
2011-07-22,2.90,2.95,2.89,2.95,19130000,2.95
2011-07-21,2.89,2.89,2.83,2.88,17536000,2.88
2011-07-20,2.94,2.95,2.88,2.89,14633000,2.89
2011-07-19,2.89,2.92,2.86,2.91,13668000,2.91
2011-07-18,2.91,2.92,2.88,2.90,7281000,2.90
2011-07-15,2.95,2.95,2.92,2.92,8999000,2.92
2011-07-14,2.96,2.96,2.93,2.93,11371000,2.93
2011-07-13,2.89,2.99,2.89,2.95,27506000,2.95
2011-07-12,2.97,2.98,2.86,2.88,39715000,2.88
2011-07-11,3.05,3.05,3.00,3.00,16577000,3.00
2011-07-08,2.98,3.11,2.97,3.07,39731000,3.07
2011-07-07,2.91,2.99,2.91,2.95,16956000,2.95
2011-07-06,2.92,2.94,2.90,2.90,7121000,2.90
2011-07-05,2.95,2.96,2.91,2.91,6658000,2.91
2011-07-04,2.95,2.96,2.93,2.95,12183000,2.95
2011-07-01,2.92,2.93,2.89,2.91,6593000,2.91
2011-06-30,2.87,2.93,2.86,2.91,18122000,2.91
2011-06-29,2.86,2.87,2.84,2.87,9289000,2.87
2011-06-28,2.91,2.91,2.84,2.84,10438000,2.84
2011-06-27,2.88,2.90,2.86,2.88,8944000,2.88
2011-06-24,2.83,2.93,2.82,2.92,16433000,2.92
2011-06-23,2.81,2.84,2.80,2.82,6130000,2.82
2011-06-22,2.88,2.88,2.79,2.80,16716000,2.80
2011-06-21,2.79,2.88,2.79,2.85,15810000,2.85
2011-06-20,2.77,2.81,2.75,2.76,19125000,2.76
2011-06-17,2.82,2.83,2.75,2.75,20948000,2.75
2011-06-16,2.85,2.85,2.79,2.82,21135000,2.82
2011-06-15,2.92,2.92,2.86,2.87,7079000,2.87
2011-06-14,2.91,2.91,2.86,2.91,15319000,2.91
2011-06-13,2.94,2.94,2.84,2.91,20491000,2.91
2011-06-10,3.01,3.02,2.94,2.96,12915000,2.96
2011-06-09,3.01,3.03,3.00,3.00,3408000,3.00
2011-06-08,3.01,3.03,3.00,3.01,5453000,3.01
2011-06-07,3.02,3.04,2.99,3.03,12948000,3.03
2011-06-06,3.05,3.05,3.01,3.02,5617000,3.02
2011-06-03,3.06,3.07,3.04,3.05,11115000,3.05
2011-06-02,3.09,3.11,3.07,3.07,9795000,3.07
2011-06-01,3.10,3.13,3.08,3.11,15253000,3.11
2011-05-31,3.09,3.12,3.08,3.09,15625000,3.09
2011-05-30,3.11,3.13,3.09,3.09,8717000,3.09
2011-05-27,3.11,3.14,3.11,3.11,7941000,3.11
2011-05-26,3.12,3.13,3.09,3.11,8919000,3.11
2011-05-25,3.10,3.11,3.08,3.11,8874000,3.11
2011-05-24,3.10,3.14,3.10,3.10,6818000,3.10
2011-05-23,3.12,3.13,3.09,3.10,12199000,3.10
2011-05-20,3.19,3.19,3.14,3.14,5883000,3.14
2011-05-19,3.17,3.20,3.15,3.17,9511000,3.17
2011-05-18,3.15,3.20,3.14,3.17,11104000,3.17
