Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.06,0.06,0.05,0.06,530000,0.06
2011-08-03,0.06,0.06,0.06,0.06,75000,0.06
2011-08-02,0.06,0.06,0.06,0.06,120000,0.06
2011-08-01,0.06,0.06,0.06,0.06,000,0.06
2011-07-29,0.06,0.06,0.06,0.06,50000,0.06
2011-07-28,0.06,0.06,0.06,0.06,31000,0.06
2011-07-27,0.06,0.06,0.06,0.06,185000,0.06
2011-07-26,0.06,0.06,0.06,0.06,50000,0.06
2011-07-25,0.06,0.06,0.06,0.06,81000,0.06
2011-07-22,0.06,0.06,0.06,0.06,100000,0.06
2011-07-21,0.06,0.06,0.06,0.06,600000,0.06
2011-07-20,0.06,0.06,0.06,0.06,210000,0.06
2011-07-19,0.06,0.06,0.06,0.06,65000,0.06
2011-07-18,0.06,0.06,0.06,0.06,183000,0.06
2011-07-15,0.06,0.07,0.06,0.06,297000,0.06
2011-07-14,0.07,0.07,0.06,0.07,1001000,0.07
2011-07-13,0.06,0.06,0.06,0.06,144000,0.06
2011-07-12,0.06,0.06,0.06,0.06,226000,0.06
2011-07-11,0.07,0.07,0.06,0.06,234000,0.06
2011-07-08,0.07,0.07,0.06,0.07,149000,0.07
2011-07-07,0.07,0.07,0.07,0.07,882000,0.07
2011-07-06,0.06,0.07,0.06,0.06,1082000,0.06
2011-07-05,0.07,0.07,0.07,0.07,825000,0.07
2011-07-04,0.07,0.07,0.07,0.07,590000,0.07
2011-07-01,0.07,0.07,0.07,0.07,285000,0.07
2011-06-30,0.07,0.07,0.07,0.07,2229000,0.07
2011-06-29,0.07,0.07,0.07,0.07,412000,0.07
2011-06-28,0.08,0.08,0.07,0.07,2158000,0.07
2011-06-27,0.08,0.08,0.07,0.07,350000,0.07
2011-06-24,0.08,0.08,0.08,0.08,1457000,0.08
2011-06-23,0.08,0.08,0.07,0.08,2232000,0.08
2011-06-22,0.09,0.09,0.08,0.08,1808000,0.08
