Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.11,0.12,0.11,0.11,000,0.11
2011-08-03,0.11,0.12,0.11,0.12,200000,0.12
2011-08-02,0.11,0.12,0.11,0.12,70000,0.12
2011-08-01,0.12,0.12,0.11,0.12,270000,0.12
2011-07-29,0.12,0.13,0.12,0.12,938000,0.12
2011-07-28,0.11,0.12,0.11,0.11,000,0.11
2011-07-27,0.11,0.12,0.11,0.11,000,0.11
2011-07-26,0.12,0.12,0.12,0.12,000,0.12
2011-07-25,0.12,0.12,0.12,0.12,30000,0.12
2011-07-22,0.11,0.12,0.11,0.12,120000,0.12
2011-07-21,0.12,0.12,0.12,0.12,204000,0.12
2011-07-20,0.12,0.12,0.12,0.12,406000,0.12
2011-07-19,0.12,0.13,0.12,0.12,392000,0.12
2011-07-18,0.11,0.11,0.11,0.11,20000,0.11
2011-07-15,0.12,0.12,0.11,0.12,117000,0.12
2011-07-14,0.12,0.12,0.12,0.12,285000,0.12
2011-07-13,0.13,0.13,0.12,0.12,506000,0.12
2011-07-12,0.12,0.14,0.12,0.13,2992000,0.13
2011-07-11,0.10,0.12,0.10,0.10,000,0.10
2011-07-08,0.12,0.12,0.11,0.11,1000000,0.11
2011-07-07,0.12,0.12,0.12,0.12,333000,0.12
2011-07-06,0.12,0.12,0.11,0.12,2232000,0.12
2011-07-05,0.12,0.12,0.12,0.12,203000,0.12
2011-07-04,0.12,0.12,0.12,0.12,190000,0.12
2011-07-01,0.12,0.12,0.12,0.12,30000,0.12
2011-06-30,0.12,0.12,0.12,0.12,20000,0.12
2011-06-29,0.12,0.12,0.12,0.12,330000,0.12
2011-06-28,0.11,0.12,0.11,0.12,685000,0.12
2011-06-27,0.11,0.12,0.11,0.12,150000,0.12
2011-06-24,0.11,0.11,0.10,0.10,109000,0.10
2011-06-23,0.10,0.10,0.10,0.10,240000,0.10
2011-06-22,0.10,0.10,0.09,0.10,355000,0.10
2011-06-21,0.11,0.11,0.11,0.11,90000,0.11
2011-06-20,0.12,0.12,0.12,0.12,102000,0.12
2011-06-17,0.12,0.12,0.12,0.12,1193000,0.12
2011-06-16,0.10,0.12,0.10,0.12,307000,0.12
2011-06-15,0.11,0.11,0.10,0.10,190000,0.10
2011-06-14,0.10,0.11,0.10,0.11,250000,0.11
2011-06-13,0.11,0.11,0.11,0.11,99000,0.11
2011-06-10,0.11,0.11,0.11,0.11,700000,0.11
2011-06-09,0.11,0.11,0.11,0.11,1165000,0.11
2011-06-08,0.12,0.12,0.11,0.11,1335000,0.11
2011-06-07,0.11,0.11,0.11,0.11,42000,0.11
2011-06-06,0.11,0.11,0.11,0.11,100000,0.11
2011-06-03,0.11,0.11,0.11,0.11,60000,0.11
2011-06-02,0.10,0.11,0.10,0.11,239000,0.11
2011-06-01,0.09,0.10,0.09,0.10,62000,0.10
2011-05-31,0.09,0.09,0.09,0.09,38000,0.09
2011-05-30,0.10,0.10,0.10,0.10,000,0.10
2011-05-27,0.10,0.10,0.10,0.10,100000,0.10
2011-05-26,0.10,0.10,0.10,0.10,5000,0.10
2011-05-25,0.10,0.10,0.10,0.10,67000,0.10
2011-05-24,0.10,0.10,0.10,0.10,200000,0.10
2011-05-23,0.10,0.10,0.10,0.10,231000,0.10
2011-05-20,0.10,0.10,0.10,0.10,61000,0.10
2011-05-19,0.10,0.10,0.10,0.10,205000,0.10
2011-05-18,0.10,0.10,0.10,0.10,60000,0.10
2011-05-16,0.10,0.11,0.10,0.11,55000,0.11
2011-05-13,0.10,0.10,0.10,0.10,385000,0.10
2011-05-12,0.10,0.10,0.10,0.10,220000,0.10
2011-05-11,0.09,0.09,0.09,0.09,70000,0.09
2011-05-10,0.09,0.10,0.09,0.09,000,0.09
2011-05-09,0.10,0.10,0.10,0.10,100000,0.10
2011-05-06,0.11,0.11,0.09,0.10,475000,0.10
2011-05-05,0.10,0.11,0.10,0.11,274000,0.11
2011-05-04,0.10,0.10,0.10,0.10,195000,0.10
2011-05-03,0.10,0.11,0.10,0.10,230000,0.10
2011-04-29,0.11,0.11,0.11,0.11,495000,0.11
2011-04-28,0.12,0.12,0.12,0.12,3595000,0.12
2011-04-27,0.11,0.12,0.11,0.12,620000,0.12
2011-04-26,0.11,0.11,0.11,0.11,170000,0.11
2011-04-25,0.10,0.10,0.10,0.10,57000,0.10
2011-04-21,0.10,0.10,0.10,0.10,134000,0.10
2011-04-20,0.10,0.11,0.10,0.10,000,0.10
2011-04-19,0.10,0.10,0.10,0.10,91000,0.10
2011-04-18,0.10,0.10,0.10,0.10,50000,0.10
2011-04-15,0.10,0.11,0.10,0.10,000,0.10
2011-04-14,0.11,0.11,0.11,0.11,100000,0.11
2011-04-13,0.10,0.10,0.10,0.10,244000,0.10
2011-04-12,0.10,0.11,0.10,0.10,000,0.10
2011-04-11,0.10,0.11,0.10,0.10,78000,0.10
2011-04-08,0.10,0.10,0.10,0.10,20000,0.10
2011-04-07,0.10,0.11,0.10,0.11,138000,0.11
2011-04-06,0.11,0.11,0.11,0.11,120000,0.11
2011-04-05,0.10,0.10,0.10,0.10,15000,0.10
2011-04-04,0.10,0.11,0.10,0.10,000,0.10
2011-04-01,0.11,0.11,0.11,0.11,258000,0.11
2011-03-31,0.11,0.11,0.11,0.11,108000,0.11
2011-03-30,0.11,0.11,0.10,0.11,172000,0.11
2011-03-29,0.10,0.12,0.10,0.11,2151000,0.11
2011-03-28,0.09,0.10,0.09,0.09,000,0.09
2011-03-25,0.09,0.09,0.09,0.09,28000,0.09
2011-03-24,0.10,0.10,0.10,0.10,203000,0.10
2011-03-23,0.10,0.10,0.10,0.10,200000,0.10
2011-03-22,0.09,0.10,0.09,0.10,135000,0.10
2011-03-21,0.09,0.10,0.09,0.09,000,0.09
2011-03-18,0.09,0.10,0.09,0.09,000,0.09
2011-03-17,0.09,0.09,0.09,0.09,000,0.09
2011-03-16,0.09,0.09,0.09,0.09,140000,0.09
2011-03-15,0.10,0.10,0.09,0.10,500000,0.10
2011-03-14,0.10,0.10,0.10,0.10,400000,0.10
2011-03-11,0.11,0.11,0.11,0.11,50000,0.11
2011-03-10,0.10,0.12,0.10,0.10,000,0.10
2011-03-09,0.10,0.11,0.10,0.11,190000,0.11
2011-03-08,0.10,0.10,0.10,0.10,40000,0.10
2011-03-07,0.10,0.10,0.10,0.10,95000,0.10
2011-03-04,0.10,0.10,0.10,0.10,155000,0.10
2011-03-03,0.10,0.11,0.10,0.11,131000,0.11
2011-03-02,0.10,0.10,0.09,0.09,220000,0.09
2011-03-01,0.10,0.10,0.10,0.10,10000,0.10
2011-02-28,0.10,0.10,0.09,0.10,146000,0.10
2011-02-25,0.10,0.10,0.10,0.10,175000,0.10
2011-02-24,0.10,0.10,0.10,0.10,100000,0.10
2011-02-23,0.10,0.10,0.10,0.10,109000,0.10
2011-02-22,0.11,0.11,0.10,0.10,200000,0.10
2011-02-21,0.11,0.11,0.11,0.11,360000,0.11
2011-02-18,0.11,0.12,0.11,0.12,110000,0.12
2011-02-17,0.11,0.12,0.11,0.12,100000,0.12
2011-02-16,0.12,0.12,0.12,0.12,100000,0.12
2011-02-15,0.12,0.12,0.11,0.12,359000,0.12
2011-02-14,0.11,0.12,0.10,0.12,290000,0.12
2011-02-11,0.12,0.12,0.12,0.12,122000,0.12
2011-02-10,0.12,0.12,0.12,0.12,116000,0.12
2011-02-09,0.12,0.12,0.12,0.12,000,0.12
2011-02-08,0.12,0.12,0.12,0.12,100000,0.12
2011-02-07,0.12,0.12,0.12,0.12,170000,0.12
2011-02-02,0.12,0.12,0.12,0.12,200000,0.12
2011-02-01,0.12,0.12,0.12,0.12,286000,0.12
2011-01-31,0.12,0.13,0.12,0.12,114000,0.12
2011-01-28,0.12,0.13,0.12,0.12,000,0.12
2011-01-27,0.12,0.12,0.12,0.12,1699000,0.12
2011-01-26,0.12,0.12,0.12,0.12,646000,0.12
2011-01-25,0.12,0.13,0.12,0.12,2375000,0.12
2011-01-24,0.12,0.12,0.12,0.12,2190000,0.12
2011-01-21,0.11,0.12,0.10,0.12,1981000,0.12
2011-01-20,0.11,0.11,0.10,0.10,897000,0.10
2011-01-19,0.12,0.12,0.11,0.11,1506000,0.11
2011-01-18,0.12,0.12,0.12,0.12,333000,0.12
2011-01-17,0.12,0.12,0.12,0.12,845000,0.12
2011-01-14,0.12,0.12,0.12,0.12,1801000,0.12
2011-01-13,0.12,0.13,0.12,0.13,6876000,0.13
2011-01-12,0.12,0.14,0.12,0.12,18227000,0.12
2011-01-11,0.10,0.12,0.10,0.12,8908000,0.12
2011-01-10,0.10,0.10,0.10,0.10,1770000,0.10
2011-01-07,0.09,0.11,0.09,0.10,3109000,0.10
2011-01-06,0.09,0.09,0.09,0.09,271000,0.09
2011-01-05,0.09,0.09,0.09,0.09,126000,0.09
2011-01-04,0.09,0.09,0.09,0.09,218000,0.09
2011-01-03,0.09,0.09,0.09,0.09,696000,0.09
2010-12-31,0.09,0.10,0.09,0.10,262000,0.10
2010-12-30,0.09,0.09,0.09,0.09,260000,0.09
2010-12-29,0.09,0.09,0.08,0.09,373000,0.09
2010-12-28,0.08,0.08,0.08,0.08,180000,0.08
2010-12-27,0.08,0.08,0.08,0.08,000,0.08
2010-12-24,0.07,0.08,0.07,0.07,000,0.07
2010-12-23,0.08,0.08,0.08,0.08,225000,0.08
2010-12-22,0.07,0.08,0.07,0.07,000,0.07
2010-12-21,0.07,0.08,0.07,0.07,000,0.07
2010-12-20,0.07,0.08,0.07,0.07,000,0.07
2010-12-17,0.08,0.08,0.08,0.08,50000,0.08
2010-12-16,0.08,0.08,0.08,0.08,000,0.08
2010-12-15,0.08,0.08,0.08,0.08,30000,0.08
2010-12-14,0.08,0.08,0.08,0.08,70000,0.08
2010-12-13,0.07,0.09,0.07,0.07,000,0.07
2010-12-10,0.08,0.09,0.08,0.09,385000,0.09
2010-12-09,0.07,0.09,0.07,0.07,000,0.07
2010-12-08,0.08,0.09,0.08,0.08,000,0.08
2010-12-07,0.07,0.07,0.07,0.07,10000,0.07
2010-12-06,0.07,0.09,0.07,0.07,000,0.07
2010-12-03,0.07,0.08,0.07,0.07,000,0.07
2010-12-02,0.08,0.09,0.08,0.08,000,0.08
2010-12-01,0.08,0.09,0.08,0.08,000,0.08
2010-11-30,0.07,0.07,0.07,0.07,2000,0.07
2010-11-29,0.08,0.08,0.08,0.08,130000,0.08
2010-11-26,0.08,0.08,0.08,0.08,435000,0.08
2010-11-25,0.08,0.08,0.08,0.08,226000,0.08
2010-11-24,0.08,0.08,0.08,0.08,151000,0.08
2010-11-23,0.08,0.08,0.08,0.08,467000,0.08
2010-11-22,0.08,0.08,0.08,0.08,180000,0.08
2010-11-19,0.08,0.08,0.08,0.08,327000,0.08
2010-11-18,0.08,0.08,0.08,0.08,229000,0.08
2010-11-16,0.08,0.08,0.08,0.08,213000,0.08
2010-11-15,0.08,0.08,0.08,0.08,264000,0.08
2010-11-12,0.09,0.09,0.08,0.08,327000,0.08
2010-11-11,0.09,0.09,0.08,0.09,165000,0.09
2010-11-10,0.09,0.09,0.09,0.09,457000,0.09
2010-11-09,0.09,0.09,0.09,0.09,673000,0.09
2010-11-08,0.09,0.09,0.08,0.09,500000,0.09
2010-11-04,0.08,0.09,0.08,0.09,310000,0.09
2010-11-03,0.09,0.09,0.08,0.08,600000,0.08
2010-11-02,0.08,0.08,0.08,0.08,382000,0.08
2010-11-01,0.08,0.09,0.08,0.08,275000,0.08
2010-10-29,0.08,0.08,0.08,0.08,150000,0.08
2010-10-28,0.08,0.08,0.08,0.08,210000,0.08
2010-10-27,0.09,0.09,0.08,0.08,750000,0.08
2010-10-26,0.09,0.09,0.08,0.08,820000,0.08
2010-10-25,0.09,0.09,0.08,0.08,250000,0.08
2010-10-22,0.09,0.09,0.09,0.09,212000,0.09
2010-10-21,0.09,0.09,0.09,0.09,356000,0.09
2010-10-20,0.09,0.09,0.09,0.09,743000,0.09
2010-10-19,0.09,0.09,0.09,0.09,1145000,0.09
2010-10-18,0.09,0.09,0.09,0.09,591000,0.09
2010-10-15,0.09,0.09,0.09,0.09,330000,0.09
2010-10-14,0.09,0.09,0.09,0.09,490000,0.09
2010-10-13,0.09,0.09,0.09,0.09,138000,0.09
2010-10-12,0.09,0.09,0.09,0.09,1131000,0.09
2010-10-11,0.10,0.10,0.09,0.09,1881000,0.09
2010-10-08,0.10,0.10,0.10,0.10,75000,0.10
2010-10-07,0.11,0.11,0.10,0.10,1145000,0.10
2010-10-06,0.10,0.10,0.09,0.10,798000,0.10
2010-10-05,0.10,0.11,0.10,0.10,1031000,0.10
2010-10-04,0.09,0.12,0.09,0.10,18040000,0.10
2010-10-01,0.09,0.09,0.09,0.09,715000,0.09
2010-09-30,0.09,0.09,0.09,0.09,130000,0.09
2010-09-29,0.09,0.09,0.09,0.09,894000,0.09
2010-09-28,0.09,0.09,0.09,0.09,655000,0.09
2010-09-27,0.09,0.09,0.09,0.09,430000,0.09
2010-09-24,0.09,0.09,0.08,0.09,665000,0.09
2010-09-23,0.09,0.09,0.08,0.09,480000,0.09
2010-09-22,0.09,0.09,0.09,0.09,746000,0.09
2010-09-21,0.09,0.09,0.09,0.09,420000,0.09
2010-09-20,0.08,0.09,0.08,0.09,694000,0.09
2010-09-17,0.08,0.09,0.08,0.09,393000,0.09
2010-09-16,0.09,0.09,0.08,0.08,576000,0.08
2010-09-15,0.09,0.09,0.08,0.08,348000,0.08
2010-09-14,0.09,0.09,0.09,0.09,1097000,0.09
2010-09-13,0.08,0.08,0.08,0.08,247000,0.08
2010-09-09,0.08,0.09,0.08,0.09,200000,0.09
2010-09-08,0.09,0.09,0.08,0.08,5059000,0.08
2010-09-07,0.08,0.09,0.08,0.09,1396000,0.09
2010-09-06,0.07,0.08,0.07,0.08,413000,0.08
2010-09-03,0.07,0.07,0.07,0.07,330000,0.07
2010-09-02,0.06,0.07,0.06,0.07,141000,0.07
2010-09-01,0.07,0.07,0.07,0.07,108000,0.07
2010-08-31,0.07,0.07,0.06,0.07,385000,0.07
2010-08-30,0.06,0.07,0.06,0.07,193000,0.07
2010-08-27,0.06,0.06,0.06,0.06,3000,0.06
2010-08-26,0.06,0.06,0.06,0.06,20000,0.06
2010-08-25,0.05,0.05,0.05,0.05,27000,0.05
2010-08-24,0.05,0.06,0.05,0.06,340000,0.06
2010-08-23,0.06,0.06,0.06,0.06,140000,0.06
2010-08-20,0.06,0.06,0.06,0.06,50000,0.06
2010-08-19,0.06,0.06,0.06,0.06,20000,0.06
2010-08-18,0.06,0.06,0.06,0.06,5000,0.06
2010-08-17,0.06,0.07,0.06,0.07,192000,0.07
2010-08-16,0.07,0.08,0.07,0.07,000,0.07
2010-08-13,0.06,0.08,0.06,0.06,000,0.06
2010-08-12,0.07,0.08,0.07,0.07,50000,0.07
2010-08-11,0.07,0.07,0.07,0.07,20000,0.07
2010-08-10,0.07,0.07,0.07,0.07,67000,0.07
2010-08-06,0.06,0.08,0.06,0.06,000,0.06
2010-08-05,0.06,0.08,0.06,0.06,000,0.06
2010-08-04,0.06,0.08,0.06,0.06,000,0.06
2010-08-03,0.07,0.07,0.07,0.07,43000,0.07
2010-08-02,0.06,0.08,0.06,0.06,000,0.06
2010-07-30,0.07,0.07,0.07,0.07,60000,0.07
2010-07-29,0.06,0.08,0.06,0.06,000,0.06
2010-07-28,0.06,0.08,0.06,0.08,71000,0.08
2010-07-27,0.07,0.07,0.07,0.07,80000,0.07
2010-07-26,0.07,0.07,0.07,0.07,10000,0.07
2010-07-23,0.08,0.08,0.08,0.08,40000,0.08
2010-07-22,0.08,0.08,0.08,0.08,75000,0.08
2010-07-21,0.08,0.08,0.08,0.08,15000,0.08
2010-07-20,0.07,0.07,0.07,0.07,30000,0.07
2010-07-19,0.07,0.07,0.07,0.07,150000,0.07
2010-07-16,0.06,0.08,0.06,0.06,000,0.06
2010-07-15,0.07,0.07,0.07,0.07,210000,0.07
2010-07-14,0.07,0.08,0.07,0.08,210000,0.08
2010-07-13,0.08,0.08,0.08,0.08,50000,0.08
2010-07-12,0.08,0.08,0.08,0.08,25000,0.08
2010-07-09,0.07,0.08,0.07,0.07,000,0.07
2010-07-08,0.07,0.08,0.07,0.08,215000,0.08
2010-07-07,0.07,0.08,0.07,0.07,000,0.07
2010-07-06,0.08,0.09,0.08,0.09,55000,0.09
2010-07-05,0.08,0.08,0.08,0.08,30000,0.08
2010-07-02,0.07,0.07,0.07,0.07,30000,0.07
2010-07-01,0.07,0.09,0.07,0.07,000,0.07
2010-06-30,0.08,0.08,0.08,0.08,29000,0.08
2010-06-29,0.07,0.08,0.07,0.07,000,0.07
2010-06-28,0.08,0.08,0.08,0.08,6000,0.08
2010-06-25,0.08,0.08,0.08,0.08,60000,0.08
2010-06-24,0.07,0.08,0.07,0.07,000,0.07
2010-06-23,0.08,0.08,0.08,0.08,000,0.08
2010-06-22,0.08,0.08,0.08,0.08,135000,0.08
2010-06-21,0.08,0.08,0.08,0.08,75000,0.08
2010-06-18,0.08,0.08,0.08,0.08,80000,0.08
2010-06-17,0.08,0.08,0.08,0.08,000,0.08
2010-06-16,0.08,0.08,0.08,0.08,90000,0.08
2010-06-15,0.09,0.09,0.09,0.09,165000,0.09
2010-06-14,0.08,0.09,0.08,0.09,165000,0.09
2010-06-11,0.08,0.08,0.08,0.08,000,0.08
2010-06-10,0.09,0.09,0.09,0.09,60000,0.09
2010-06-09,0.07,0.07,0.07,0.07,5000,0.07
2010-06-08,0.07,0.08,0.07,0.07,000,0.07
2010-06-07,0.06,0.08,0.06,0.06,000,0.06
2010-06-04,0.08,0.08,0.08,0.08,000,0.08
2010-06-03,0.07,0.08,0.07,0.07,000,0.07
2010-06-02,0.07,0.08,0.07,0.07,000,0.07
2010-06-01,0.07,0.08,0.07,0.07,000,0.07
2010-05-31,0.07,0.07,0.07,0.07,85000,0.07
2010-05-27,0.06,0.08,0.06,0.06,000,0.06
2010-05-26,0.06,0.08,0.06,0.06,000,0.06
2010-05-25,0.07,0.07,0.07,0.07,20000,0.07
2010-05-24,0.07,0.07,0.07,0.07,100000,0.07
2010-05-21,0.08,0.08,0.08,0.08,73000,0.08
2010-05-20,0.08,0.08,0.08,0.08,150000,0.08
2010-05-19,0.08,0.08,0.08,0.08,170000,0.08
2010-05-18,0.08,0.09,0.08,0.09,50000,0.09
2010-05-17,0.08,0.08,0.08,0.08,314000,0.08
2010-05-14,0.08,0.08,0.08,0.08,10000,0.08
2010-05-13,0.09,0.09,0.09,0.09,123000,0.09
2010-05-12,0.08,0.08,0.08,0.08,113000,0.08
2010-05-11,0.09,0.09,0.08,0.08,120000,0.08
2010-05-10,0.08,0.09,0.08,0.09,161000,0.09
2010-05-07,0.08,0.08,0.08,0.08,390000,0.08
2010-05-06,0.09,0.09,0.09,0.09,218000,0.09
2010-05-05,0.08,0.09,0.08,0.09,110000,0.09
2010-05-04,0.09,0.09,0.09,0.09,155000,0.09
2010-05-03,0.09,0.09,0.09,0.09,70000,0.09
2010-04-30,0.09,0.09,0.09,0.09,324000,0.09
2010-04-29,0.09,0.09,0.09,0.09,560000,0.09
2010-04-28,0.09,0.09,0.09,0.09,517000,0.09
2010-04-27,0.09,0.09,0.09,0.09,120000,0.09
2010-04-26,0.09,0.10,0.09,0.09,000,0.09
2010-04-23,0.09,0.10,0.09,0.09,000,0.09
2010-04-22,0.10,0.10,0.10,0.10,10000,0.10
2010-04-21,0.11,0.12,0.10,0.11,6751000,0.11
2010-04-20,0.09,0.10,0.09,0.10,976000,0.10
2010-04-19,0.09,0.09,0.09,0.09,1183000,0.09
2010-04-16,0.09,0.09,0.09,0.09,413000,0.09
2010-04-15,0.09,0.09,0.09,0.09,138000,0.09
2010-04-14,0.08,0.09,0.08,0.09,285000,0.09
2010-04-13,0.08,0.08,0.08,0.08,130000,0.08
2010-04-12,0.08,0.09,0.08,0.09,6000,0.09
2010-04-09,0.09,0.09,0.09,0.09,409000,0.09
2010-04-08,0.09,0.09,0.09,0.09,145000,0.09
2010-04-07,0.09,0.09,0.09,0.09,310000,0.09
2010-04-06,0.10,0.10,0.10,0.10,12000,0.10
2010-04-05,0.09,0.10,0.09,0.09,000,0.09
2010-04-01,0.09,0.10,0.09,0.10,4150000,0.10
2010-03-31,0.09,0.09,0.08,0.09,1579000,0.09
2010-03-30,0.08,0.09,0.08,0.09,475000,0.09
2010-03-29,0.08,0.08,0.07,0.08,592000,0.08
2010-03-26,0.08,0.08,0.08,0.08,13000,0.08
2010-03-25,0.07,0.07,0.07,0.07,305000,0.07
2010-03-24,0.07,0.08,0.07,0.07,000,0.07
2010-03-23,0.08,0.08,0.08,0.08,102000,0.08
2010-03-22,0.07,0.08,0.07,0.07,000,0.07
2010-03-19,0.07,0.08,0.07,0.08,485000,0.08
2010-03-18,0.08,0.08,0.08,0.08,178000,0.08
2010-03-17,0.08,0.08,0.08,0.08,300000,0.08
2010-03-16,0.09,0.09,0.08,0.09,148000,0.09
2010-03-15,0.08,0.08,0.08,0.08,30000,0.08
2010-03-12,0.08,0.08,0.08,0.08,186000,0.08
2010-03-11,0.09,0.09,0.07,0.08,196000,0.08
2010-03-10,0.09,0.09,0.09,0.09,40000,0.09
2010-03-09,0.08,0.10,0.08,0.08,000,0.08
2010-03-08,0.08,0.10,0.08,0.08,000,0.08
2010-03-05,0.08,0.09,0.08,0.09,15000,0.09
2010-03-04,0.08,0.08,0.08,0.08,71000,0.08
2010-03-03,0.07,0.10,0.07,0.07,000,0.07
2010-03-02,0.09,0.10,0.09,0.09,000,0.09
2010-03-01,0.08,0.09,0.08,0.09,124000,0.09
2010-02-26,0.08,0.11,0.08,0.08,000,0.08
2010-02-25,0.09,0.11,0.09,0.09,000,0.09
2010-02-24,0.08,0.11,0.08,0.08,000,0.08
2010-02-23,0.08,0.08,0.08,0.08,20000,0.08
2010-02-22,0.08,0.08,0.08,0.08,10000,0.08
2010-02-19,0.08,0.08,0.08,0.08,20000,0.08
2010-02-18,0.08,0.10,0.08,0.08,000,0.08
2010-02-17,0.08,0.11,0.08,0.08,000,0.08
2010-02-12,0.08,0.11,0.08,0.08,000,0.08
2010-02-11,0.10,0.10,0.10,0.10,45000,0.10
2010-02-10,0.09,0.10,0.09,0.09,000,0.09
2010-02-09,0.08,0.11,0.08,0.08,000,0.08
2010-02-08,0.09,0.10,0.09,0.10,61000,0.10
2010-02-05,0.10,0.10,0.09,0.09,283000,0.09
2010-02-04,0.09,0.12,0.09,0.09,000,0.09
2010-02-03,0.10,0.12,0.10,0.12,131000,0.12
2010-02-02,0.11,0.11,0.10,0.10,15000,0.10
2010-02-01,0.10,0.10,0.10,0.10,10000,0.10
2010-01-29,0.09,0.12,0.09,0.09,000,0.09
2010-01-28,0.09,0.12,0.09,0.09,000,0.09
2010-01-27,0.09,0.13,0.09,0.09,000,0.09
2010-01-26,0.10,0.10,0.10,0.10,215000,0.10
2010-01-25,0.10,0.12,0.10,0.10,000,0.10
2010-01-22,0.11,0.11,0.11,0.11,10000,0.11
2010-01-21,0.10,0.12,0.10,0.12,15000,0.12
2010-01-20,0.12,0.12,0.12,0.12,000,0.12
2010-01-19,0.12,0.13,0.12,0.13,305000,0.13
2010-01-18,0.11,0.12,0.11,0.11,000,0.11
2010-01-15,0.12,0.12,0.12,0.12,50000,0.12
2010-01-14,0.12,0.12,0.12,0.12,72000,0.12
2010-01-13,0.12,0.12,0.12,0.12,58000,0.12
2010-01-12,0.12,0.12,0.12,0.12,150000,0.12
2010-01-11,0.13,0.13,0.13,0.13,83000,0.13
2010-01-08,0.12,0.13,0.12,0.13,404000,0.13
