Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.14,1.17,1.14,1.14,000,1.14
2011-08-03,1.14,1.18,1.14,1.14,000,1.14
2011-08-02,1.14,1.18,1.14,1.14,000,1.14
2011-08-01,1.14,1.14,1.14,1.14,1000,1.14
2011-07-29,1.15,1.17,1.15,1.15,000,1.15
2011-07-28,1.14,1.18,1.14,1.14,000,1.14
2011-07-27,1.15,1.16,1.15,1.15,000,1.15
2011-07-26,1.15,1.15,1.15,1.15,1000,1.15
2011-07-25,1.14,1.18,1.14,1.14,000,1.14
2011-07-22,1.14,1.18,1.14,1.14,000,1.14
2011-07-21,1.14,1.18,1.14,1.14,000,1.14
2011-07-20,1.14,1.18,1.14,1.14,000,1.14
2011-07-19,1.17,1.17,1.17,1.17,5000,1.17
2011-07-18,1.14,1.17,1.14,1.14,000,1.14
2011-07-15,1.15,1.17,1.15,1.17,16000,1.17
2011-07-14,1.16,1.16,1.14,1.15,79000,1.15
2011-07-13,1.14,1.14,1.14,1.14,59000,1.14
2011-07-12,1.16,1.16,1.14,1.14,20000,1.14
2011-07-11,1.16,1.19,1.16,1.16,000,1.16
2011-07-08,1.16,1.19,1.16,1.16,000,1.16
2011-07-07,1.17,1.17,1.17,1.17,8000,1.17
2011-07-06,1.16,1.16,1.16,1.16,10000,1.16
2011-07-05,1.14,1.14,1.14,1.14,15000,1.14
2011-07-04,1.14,1.18,1.14,1.14,000,1.14
2011-07-01,1.14,1.17,1.14,1.14,000,1.14
2011-06-30,1.15,1.15,1.14,1.14,200000,1.14
2011-06-29,1.15,1.20,1.15,1.15,000,1.15
2011-06-28,1.15,1.20,1.15,1.15,000,1.15
2011-06-27,1.16,1.17,1.16,1.16,27000,1.16
2011-06-24,1.15,1.18,1.15,1.15,000,1.15
2011-06-23,1.14,1.20,1.14,1.14,000,1.14
2011-06-22,1.15,1.20,1.15,1.15,000,1.15
2011-06-21,1.15,1.20,1.15,1.15,000,1.15
