Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,2.88,2.89,2.82,2.83,2615000,2.83
2011-08-03,2.86,2.92,2.85,2.91,3359000,2.91
2011-08-02,2.86,2.89,2.85,2.87,1752000,2.87
2011-08-01,2.85,2.86,2.83,2.84,1530000,2.84
2011-07-29,2.87,2.87,2.82,2.82,1966000,2.82
2011-07-28,2.83,2.86,2.82,2.85,1198000,2.85
2011-07-27,2.86,2.87,2.83,2.85,4095000,2.85
2011-07-26,2.86,2.88,2.86,2.88,1586000,2.88
2011-07-25,2.85,2.86,2.84,2.85,1421000,2.85
2011-07-22,2.85,2.86,2.84,2.86,1852000,2.86
2011-07-21,2.83,2.85,2.82,2.85,2154000,2.85
2011-07-20,2.80,2.84,2.80,2.82,1693000,2.82
2011-07-19,2.79,2.80,2.78,2.80,1099000,2.80
2011-07-18,2.76,2.80,2.76,2.79,901000,2.79
2011-07-15,2.77,2.80,2.76,2.76,2511000,2.76
2011-07-14,2.79,2.79,2.76,2.76,2035000,2.76
2011-07-13,2.78,2.80,2.76,2.77,1408000,2.77
2011-07-12,2.80,2.80,2.75,2.78,2787000,2.78
2011-07-11,2.79,2.80,2.77,2.79,1084000,2.79
2011-07-08,2.79,2.82,2.79,2.80,1985000,2.80
2011-07-07,2.78,2.79,2.77,2.77,1570000,2.77
2011-07-06,2.76,2.78,2.75,2.77,1292000,2.77
2011-07-05,2.77,2.78,2.76,2.76,1710000,2.76
2011-07-04,2.77,2.78,2.75,2.76,1787000,2.76
2011-07-01,2.78,2.79,2.75,2.75,1152000,2.75
2011-06-30,2.76,2.79,2.76,2.79,4024000,2.79
2011-06-29,2.76,2.78,2.75,2.76,2347000,2.76
2011-06-28,2.72,2.76,2.71,2.75,2651000,2.75
2011-06-27,2.72,2.72,2.70,2.72,2069000,2.72
2011-06-24,2.74,2.76,2.70,2.73,3762000,2.73
2011-06-23,2.73,2.76,2.73,2.75,1765000,2.75
2011-06-22,2.72,2.73,2.71,2.73,1628000,2.73
2011-06-21,2.71,2.72,2.70,2.70,920000,2.70
2011-06-20,2.69,2.70,2.68,2.70,766000,2.70
2011-06-17,2.74,2.74,2.66,2.66,2122000,2.66
2011-06-16,2.75,2.75,2.72,2.74,3027000,2.74
2011-06-15,2.74,2.76,2.73,2.74,1435000,2.74
2011-06-14,2.75,2.76,2.73,2.73,2024000,2.73
2011-06-13,2.75,2.75,2.73,2.74,1259000,2.74
2011-06-10,2.77,2.78,2.74,2.74,1248000,2.74
2011-06-09,2.76,2.78,2.76,2.78,2257000,2.78
2011-06-08,2.79,2.80,2.75,2.75,2067000,2.75
2011-06-07,2.75,2.81,2.74,2.78,3642000,2.78
