Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.26,0.26,0.26,0.26,150000,0.26
2011-08-03,0.25,0.25,0.25,0.25,48000,0.25
2011-08-02,0.26,0.26,0.26,0.26,225000,0.26
2011-08-01,0.25,0.25,0.25,0.25,10000,0.25
2011-07-29,0.25,0.25,0.25,0.25,150000,0.25
2011-07-28,0.25,0.25,0.25,0.25,50000,0.25
2011-07-27,0.25,0.25,0.25,0.25,45000,0.25
2011-07-26,0.25,0.25,0.25,0.25,230000,0.25
2011-07-25,0.25,0.25,0.25,0.25,232000,0.25
2011-07-22,0.25,0.25,0.25,0.25,180000,0.25
2011-07-21,0.25,0.25,0.25,0.25,27000,0.25
2011-07-20,0.25,0.25,0.25,0.25,55000,0.25
2011-07-19,0.25,0.25,0.25,0.25,175000,0.25
2011-07-18,0.25,0.25,0.25,0.25,110000,0.25
2011-07-15,0.25,0.25,0.25,0.25,66000,0.25
2011-07-14,0.25,0.26,0.25,0.26,71000,0.26
2011-07-13,0.25,0.26,0.25,0.25,000,0.25
2011-07-12,0.25,0.25,0.25,0.25,80000,0.25
2011-07-11,0.25,0.26,0.25,0.26,609000,0.26
2011-07-08,0.26,0.26,0.25,0.25,451000,0.25
2011-07-07,0.26,0.26,0.25,0.25,170000,0.25
2011-07-06,0.26,0.26,0.25,0.25,265000,0.25
2011-07-05,0.25,0.25,0.25,0.25,50000,0.25
2011-07-04,0.25,0.26,0.25,0.25,278000,0.25
2011-07-01,0.25,0.25,0.25,0.25,35000,0.25
2011-06-30,0.25,0.25,0.25,0.25,30000,0.25
2011-06-29,0.25,0.25,0.25,0.25,181000,0.25
2011-06-28,0.25,0.25,0.25,0.25,000,0.25
2011-06-27,0.25,0.25,0.25,0.25,70000,0.25
2011-06-24,0.24,0.25,0.24,0.24,000,0.24
2011-06-23,0.24,0.25,0.24,0.24,000,0.24
2011-06-22,0.25,0.25,0.25,0.25,155000,0.25
2011-06-21,0.25,0.25,0.25,0.25,25000,0.25
2011-06-20,0.25,0.25,0.25,0.25,94000,0.25
2011-06-17,0.25,0.25,0.25,0.25,113000,0.25
2011-06-16,0.25,0.25,0.25,0.25,190000,0.25
2011-06-15,0.24,0.25,0.24,0.25,396000,0.25
2011-06-14,0.23,0.25,0.23,0.24,131000,0.24
2011-06-13,0.24,0.25,0.24,0.24,000,0.24
2011-06-10,0.25,0.25,0.25,0.25,107000,0.25
2011-06-09,0.25,0.25,0.25,0.25,50000,0.25
2011-06-08,0.24,0.25,0.24,0.25,44000,0.25
2011-06-07,0.25,0.25,0.25,0.25,140000,0.25
2011-06-06,0.25,0.25,0.24,0.24,245000,0.24
2011-06-03,0.25,0.25,0.25,0.25,190000,0.25
2011-06-02,0.25,0.26,0.25,0.25,000,0.25
2011-06-01,0.25,0.26,0.25,0.25,000,0.25
2011-05-31,0.25,0.25,0.25,0.25,84000,0.25
2011-05-30,0.25,0.25,0.25,0.25,1000,0.25
2011-05-27,0.25,0.26,0.25,0.25,200000,0.25
2011-05-26,0.25,0.25,0.25,0.25,40000,0.25
2011-05-25,0.25,0.25,0.25,0.25,000,0.25
2011-05-24,0.25,0.25,0.25,0.25,190000,0.25
2011-05-23,0.25,0.25,0.24,0.24,549000,0.24
2011-05-20,0.25,0.26,0.25,0.25,000,0.25
2011-05-19,0.25,0.25,0.25,0.25,447000,0.25
2011-05-18,0.26,0.26,0.25,0.26,41000,0.26
2011-05-16,0.25,0.25,0.25,0.25,120000,0.25
2011-05-13,0.26,0.26,0.25,0.25,215000,0.25
2011-05-12,0.26,0.26,0.25,0.26,534000,0.26
2011-05-11,0.26,0.26,0.26,0.26,253000,0.26
2011-05-10,0.27,0.27,0.27,0.27,140000,0.27
2011-05-09,0.27,0.27,0.27,0.27,85000,0.27
2011-05-06,0.27,0.27,0.27,0.27,100000,0.27
2011-05-05,0.27,0.28,0.27,0.27,485000,0.27
2011-05-04,0.27,0.27,0.26,0.26,97000,0.26
