Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.15,0.14,0.14,000,0.14
2011-08-03,0.14,0.14,0.14,0.14,70000,0.14
2011-08-02,0.14,0.15,0.14,0.14,000,0.14
2011-08-01,0.14,0.16,0.14,0.14,000,0.14
2011-07-29,0.16,0.16,0.16,0.16,15000,0.16
2011-07-28,0.15,0.15,0.15,0.15,10000,0.15
2011-07-27,0.15,0.15,0.14,0.14,10000,0.14
2011-07-26,0.14,0.15,0.14,0.15,90000,0.15
2011-07-25,0.14,0.14,0.14,0.14,20000,0.14
2011-07-22,0.14,0.16,0.14,0.14,000,0.14
2011-07-21,0.14,0.16,0.14,0.14,000,0.14
2011-07-20,0.14,0.16,0.14,0.14,000,0.14
2011-07-19,0.14,0.17,0.14,0.14,000,0.14
2011-07-18,0.14,0.16,0.14,0.14,000,0.14
2011-07-15,0.14,0.16,0.14,0.14,000,0.14
2011-07-14,0.15,0.17,0.15,0.15,000,0.15
2011-07-13,0.15,0.15,0.15,0.15,10000,0.15
2011-07-12,0.14,0.16,0.14,0.14,000,0.14
2011-07-11,0.14,0.16,0.14,0.14,000,0.14
2011-07-08,0.15,0.16,0.15,0.15,000,0.15
2011-07-07,0.14,0.16,0.14,0.14,000,0.14
2011-07-06,0.11,0.17,0.11,0.11,000,0.11
2011-07-05,0.16,0.16,0.16,0.16,30000,0.16
2011-07-04,0.16,0.17,0.16,0.16,000,0.16
2011-07-01,0.15,0.17,0.15,0.15,000,0.15
2011-06-30,0.16,0.16,0.16,0.16,5000,0.16
2011-06-29,0.15,0.16,0.15,0.15,000,0.15
2011-06-28,0.14,0.16,0.14,0.14,000,0.14
2011-06-27,0.14,0.16,0.14,0.14,000,0.14
2011-06-24,0.14,0.16,0.14,0.14,000,0.14
2011-06-23,0.14,0.16,0.14,0.14,000,0.14
2011-06-22,0.15,0.16,0.15,0.15,000,0.15
2011-06-21,0.15,0.15,0.15,0.15,28000,0.15
2011-06-20,0.14,0.16,0.14,0.14,000,0.14
2011-06-17,0.14,0.14,0.14,0.14,327000,0.14
2011-06-16,0.14,0.14,0.14,0.14,10000,0.14
2011-06-15,0.15,0.17,0.15,0.15,000,0.15
2011-06-14,0.16,0.16,0.16,0.16,25000,0.16
2011-06-13,0.16,0.17,0.16,0.16,000,0.16
2011-06-10,0.17,0.17,0.17,0.17,100000,0.17
2011-06-09,0.16,0.17,0.16,0.16,000,0.16
2011-06-08,0.17,0.17,0.16,0.16,80000,0.16
2011-06-07,0.16,0.17,0.16,0.16,350000,0.16
2011-06-06,0.15,0.17,0.15,0.15,000,0.15
2011-06-03,0.16,0.17,0.16,0.16,000,0.16
2011-06-02,0.14,0.17,0.14,0.14,000,0.14
2011-06-01,0.16,0.17,0.16,0.16,000,0.16
2011-05-31,0.15,0.17,0.15,0.15,000,0.15
2011-05-30,0.15,0.17,0.15,0.15,000,0.15
2011-05-27,0.16,0.17,0.16,0.16,000,0.16
2011-05-26,0.16,0.18,0.16,0.16,000,0.16
2011-05-25,0.16,0.18,0.16,0.16,000,0.16
2011-05-24,0.17,0.17,0.17,0.17,80000,0.17
2011-05-23,0.16,0.17,0.16,0.16,000,0.16
2011-05-20,0.16,0.17,0.16,0.16,000,0.16
2011-05-19,0.16,0.16,0.16,0.16,50000,0.16
2011-05-18,0.16,0.16,0.16,0.16,120000,0.16
2011-05-16,0.16,0.17,0.16,0.16,000,0.16
2011-05-13,0.17,0.17,0.17,0.17,40000,0.17
2011-05-12,0.17,0.18,0.17,0.17,000,0.17
2011-05-11,0.17,0.17,0.17,0.17,6000,0.17
2011-05-10,0.17,0.17,0.17,0.17,65000,0.17
2011-05-09,0.16,0.17,0.16,0.16,000,0.16
2011-05-06,0.16,0.17,0.16,0.16,000,0.16
2011-05-05,0.17,0.17,0.17,0.17,000,0.17
2011-05-04,0.17,0.17,0.17,0.17,55000,0.17
2011-05-03,0.17,0.17,0.17,0.17,000,0.17
2011-04-29,0.17,0.18,0.17,0.17,000,0.17
2011-04-28,0.17,0.17,0.17,0.17,000,0.17
2011-04-27,0.17,0.17,0.17,0.17,269000,0.17
2011-04-26,0.18,0.18,0.18,0.18,20000,0.18
2011-04-25,0.17,0.18,0.17,0.17,000,0.17
2011-04-21,0.18,0.18,0.18,0.18,124000,0.18
2011-04-20,0.17,0.18,0.17,0.17,000,0.17
2011-04-19,0.18,0.18,0.17,0.17,120000,0.17
2011-04-18,0.18,0.18,0.18,0.18,204000,0.18
2011-04-15,0.17,0.18,0.17,0.17,000,0.17
2011-04-14,0.18,0.18,0.18,0.18,129000,0.18
2011-04-13,0.18,0.18,0.17,0.17,80000,0.17
2011-04-12,0.18,0.19,0.18,0.18,175000,0.18
2011-04-11,0.18,0.19,0.18,0.19,476000,0.19
2011-04-08,0.19,0.19,0.19,0.19,56000,0.19
2011-04-07,0.18,0.18,0.18,0.18,176000,0.18
