Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.08,0.08,0.08,0.08,476000,0.08
2011-08-03,0.08,0.08,0.08,0.08,178000,0.08
2011-08-02,0.07,0.08,0.07,0.07,000,0.07
2011-08-01,0.07,0.08,0.07,0.07,000,0.07
2011-07-29,0.07,0.08,0.07,0.07,000,0.07
2011-07-28,0.07,0.09,0.07,0.07,000,0.07
2011-07-27,0.07,0.08,0.07,0.07,000,0.07
2011-07-26,0.07,0.07,0.07,0.07,000,0.07
2011-07-25,0.07,0.09,0.07,0.07,000,0.07
2011-07-22,0.07,0.08,0.07,0.07,000,0.07
2011-07-21,0.07,0.09,0.07,0.07,000,0.07
2011-07-20,0.07,0.08,0.07,0.07,000,0.07
2011-07-19,0.07,0.07,0.07,0.07,335000,0.07
2011-07-18,0.07,0.07,0.07,0.07,205000,0.07
2011-07-15,0.07,0.07,0.07,0.07,000,0.07
2011-07-14,0.07,0.08,0.07,0.07,000,0.07
2011-07-13,0.07,0.07,0.07,0.07,357000,0.07
2011-07-12,0.07,0.07,0.07,0.07,43000,0.07
2011-07-11,0.07,0.07,0.07,0.07,110000,0.07
2011-07-08,0.07,0.08,0.07,0.07,000,0.07
2011-07-07,0.08,0.08,0.08,0.08,94000,0.08
2011-07-06,0.07,0.07,0.07,0.07,75000,0.07
2011-07-05,0.07,0.08,0.07,0.08,123000,0.08
2011-07-04,0.07,0.08,0.07,0.07,000,0.07
2011-07-01,0.06,0.08,0.06,0.06,000,0.06
2011-06-30,0.06,0.07,0.06,0.06,000,0.06
2011-06-29,0.06,0.07,0.06,0.06,000,0.06
2011-06-28,0.06,0.07,0.06,0.06,000,0.06
2011-06-27,0.06,0.06,0.06,0.06,000,0.06
2011-06-24,0.06,0.07,0.06,0.06,000,0.06
2011-06-23,0.06,0.07,0.06,0.06,000,0.06
2011-06-22,0.06,0.07,0.06,0.06,000,0.06
2011-06-21,0.05,0.07,0.05,0.05,500000,0.05
2011-06-20,0.05,0.08,0.05,0.05,000,0.05
2011-06-17,0.07,0.07,0.07,0.07,70000,0.07
2011-06-16,0.07,0.07,0.07,0.07,255000,0.07
2011-06-15,0.06,0.07,0.06,0.07,102000,0.07
2011-06-14,0.06,0.08,0.06,0.06,000,0.06
2011-06-13,0.06,0.08,0.06,0.06,000,0.06
2011-06-10,0.07,0.07,0.07,0.07,170000,0.07
2011-06-09,0.06,0.08,0.06,0.06,000,0.06
2011-06-08,0.07,0.07,0.07,0.07,10000,0.07
2011-06-07,0.07,0.08,0.07,0.07,000,0.07
2011-06-06,0.07,0.07,0.07,0.07,390000,0.07
2011-06-03,0.07,0.07,0.07,0.07,264000,0.07
2011-06-02,0.07,0.07,0.07,0.07,160000,0.07
2011-06-01,0.07,0.07,0.07,0.07,60000,0.07
2011-05-31,0.05,0.08,0.05,0.05,000,0.05
2011-05-30,0.05,0.08,0.05,0.05,000,0.05
2011-05-27,0.06,0.08,0.06,0.06,000,0.06
2011-05-26,0.05,0.08,0.05,0.05,000,0.05
2011-05-25,0.06,0.08,0.06,0.06,000,0.06
2011-05-24,0.06,0.08,0.06,0.06,000,0.06
