Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.08,0.08,0.08,0.08,000,0.08
2011-08-03,0.08,0.08,0.08,0.08,000,0.08
2011-08-02,0.08,0.08,0.08,0.08,200000,0.08
2011-08-01,0.08,0.08,0.08,0.08,7000,0.08
2011-07-29,0.08,0.08,0.08,0.08,30000,0.08
2011-07-28,0.08,0.08,0.08,0.08,34000,0.08
2011-07-27,0.08,0.08,0.08,0.08,000,0.08
2011-07-26,0.08,0.08,0.08,0.08,000,0.08
2011-07-25,0.08,0.08,0.08,0.08,000,0.08
2011-07-22,0.08,0.08,0.08,0.08,267000,0.08
2011-07-21,0.08,0.08,0.08,0.08,000,0.08
2011-07-20,0.08,0.08,0.08,0.08,805000,0.08
2011-07-19,0.08,0.08,0.08,0.08,30000,0.08
2011-07-18,0.08,0.08,0.08,0.08,594000,0.08
2011-07-15,0.08,0.09,0.08,0.08,000,0.08
2011-07-14,0.08,0.09,0.08,0.08,000,0.08
2011-07-13,0.08,0.09,0.08,0.08,000,0.08
2011-07-12,0.08,0.09,0.08,0.08,000,0.08
2011-07-11,0.09,0.09,0.08,0.08,940000,0.08
2011-07-08,0.08,0.09,0.08,0.09,1656000,0.09
2011-07-07,0.08,0.08,0.08,0.08,708000,0.08
2011-07-06,0.08,0.08,0.08,0.08,000,0.08
2011-07-05,0.08,0.08,0.08,0.08,000,0.08
2011-07-04,0.08,0.08,0.08,0.08,77000,0.08
2011-07-01,0.07,0.08,0.07,0.07,000,0.07
2011-06-30,0.08,0.08,0.08,0.08,40000,0.08
2011-06-29,0.07,0.08,0.07,0.07,000,0.07
2011-06-28,0.07,0.08,0.07,0.07,000,0.07
2011-06-27,0.07,0.08,0.07,0.07,000,0.07
2011-06-24,0.08,0.08,0.08,0.08,100000,0.08
2011-06-23,0.08,0.08,0.08,0.08,3000,0.08
2011-06-22,0.07,0.08,0.07,0.08,410000,0.08
2011-06-21,0.08,0.08,0.07,0.08,360000,0.08
2011-06-20,0.08,0.08,0.08,0.08,600000,0.08
2011-06-17,0.07,0.08,0.07,0.07,000,0.07
2011-06-16,0.08,0.08,0.08,0.08,100000,0.08
2011-06-15,0.08,0.08,0.08,0.08,500000,0.08
2011-06-14,0.08,0.08,0.08,0.08,1230000,0.08
2011-06-13,0.08,0.08,0.08,0.08,559000,0.08
2011-06-10,0.08,0.08,0.08,0.08,1580000,0.08
2011-06-09,0.07,0.08,0.07,0.08,1293000,0.08
2011-06-08,0.07,0.07,0.07,0.07,850000,0.07
2011-06-07,0.07,0.08,0.07,0.08,811000,0.08
2011-06-06,0.07,0.08,0.07,0.07,1032000,0.07
2011-06-03,0.08,0.08,0.07,0.07,260000,0.07
2011-06-02,0.07,0.08,0.07,0.07,000,0.07
2011-06-01,0.08,0.08,0.08,0.08,178000,0.08
2011-05-31,0.08,0.08,0.08,0.08,100000,0.08
2011-05-30,0.08,0.08,0.08,0.08,16000,0.08
2011-05-27,0.08,0.08,0.08,0.08,000,0.08
2011-05-26,0.07,0.08,0.07,0.07,000,0.07
2011-05-25,0.08,0.08,0.08,0.08,73000,0.08
2011-05-24,0.07,0.08,0.07,0.07,000,0.07
2011-05-23,0.08,0.08,0.07,0.07,670000,0.07
2011-05-20,0.08,0.08,0.07,0.07,790000,0.07
2011-05-19,0.08,0.08,0.08,0.08,500000,0.08
2011-05-18,0.08,0.08,0.08,0.08,657000,0.08
2011-05-16,0.08,0.08,0.07,0.07,2000,0.07
2011-05-13,0.07,0.07,0.07,0.07,113000,0.07
2011-05-12,0.07,0.07,0.07,0.07,542000,0.07
2011-05-11,0.07,0.08,0.07,0.07,000,0.07
2011-05-10,0.06,0.07,0.06,0.07,800000,0.07
2011-05-09,0.06,0.07,0.06,0.06,000,0.06
2011-05-06,0.06,0.06,0.06,0.06,415000,0.06
2011-05-05,0.06,0.06,0.06,0.06,400000,0.06
2011-05-04,0.06,0.06,0.06,0.06,140000,0.06
2011-05-03,0.06,0.06,0.06,0.06,375000,0.06
2011-04-29,0.06,0.07,0.06,0.06,000,0.06
2011-04-28,0.06,0.07,0.06,0.07,120000,0.07
2011-04-27,0.06,0.07,0.06,0.06,000,0.06
2011-04-26,0.07,0.07,0.07,0.07,150000,0.07
2011-04-25,0.07,0.07,0.06,0.07,695000,0.07
2011-04-21,0.06,0.07,0.06,0.06,000,0.06
2011-04-20,0.06,0.07,0.06,0.06,000,0.06
2011-04-19,0.06,0.08,0.06,0.06,000,0.06
2011-04-18,0.08,0.08,0.07,0.07,2471000,0.07
2011-04-15,0.07,0.08,0.07,0.07,000,0.07
2011-04-14,0.07,0.08,0.07,0.08,459000,0.08
2011-04-13,0.07,0.08,0.07,0.07,000,0.07
2011-04-12,0.07,0.08,0.07,0.07,000,0.07
2011-04-11,0.08,0.08,0.08,0.08,300000,0.08
2011-04-08,0.08,0.08,0.08,0.08,50000,0.08
2011-04-07,0.08,0.08,0.08,0.08,102000,0.08
2011-04-06,0.07,0.08,0.07,0.07,000,0.07
2011-04-05,0.08,0.08,0.08,0.08,100000,0.08
2011-04-04,0.07,0.08,0.07,0.07,000,0.07
2011-04-01,0.07,0.08,0.07,0.07,000,0.07
2011-03-31,0.08,0.08,0.08,0.08,115000,0.08
2011-03-30,0.07,0.08,0.07,0.07,000,0.07
2011-03-29,0.07,0.08,0.07,0.07,000,0.07
2011-03-28,0.07,0.08,0.07,0.07,000,0.07
2011-03-25,0.07,0.08,0.07,0.08,50000,0.08
2011-03-24,0.07,0.08,0.07,0.07,000,0.07
2011-03-23,0.07,0.07,0.07,0.07,62000,0.07
2011-03-22,0.06,0.08,0.06,0.06,000,0.06
2011-03-21,0.07,0.08,0.07,0.07,000,0.07
2011-03-18,0.07,0.08,0.07,0.07,710000,0.07
2011-03-17,0.07,0.07,0.07,0.07,150000,0.07
2011-03-16,0.07,0.07,0.07,0.07,251000,0.07
2011-03-15,0.07,0.07,0.07,0.07,430000,0.07
2011-03-14,0.07,0.08,0.07,0.07,000,0.07
2011-03-11,0.08,0.08,0.08,0.08,20000,0.08
2011-03-10,0.08,0.08,0.08,0.08,124000,0.08
2011-03-09,0.08,0.08,0.07,0.08,269000,0.08
2011-03-08,0.08,0.08,0.08,0.08,185000,0.08
2011-03-07,0.08,0.08,0.08,0.08,000,0.08
2011-03-04,0.08,0.08,0.08,0.08,381000,0.08
2011-03-03,0.08,0.08,0.08,0.08,1216000,0.08
2011-03-02,0.08,0.08,0.08,0.08,210000,0.08
2011-03-01,0.08,0.08,0.08,0.08,199000,0.08
