Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.22,0.22,0.20,0.20,3841000,0.20
2011-08-03,0.22,0.22,0.22,0.22,1207000,0.22
2011-08-02,0.23,0.23,0.22,0.23,923000,0.23
2011-08-01,0.23,0.24,0.23,0.23,654000,0.23
2011-07-29,0.24,0.24,0.23,0.23,816000,0.23
2011-07-28,0.25,0.25,0.24,0.24,17379000,0.24
2011-07-27,0.22,0.25,0.22,0.25,4080000,0.25
2011-07-26,0.22,0.22,0.22,0.22,1137000,0.22
2011-07-25,0.22,0.22,0.22,0.22,793000,0.22
2011-07-22,0.22,0.23,0.22,0.22,1533000,0.22
2011-07-21,0.22,0.22,0.22,0.22,814000,0.22
2011-07-20,0.22,0.22,0.21,0.22,1236000,0.22
2011-07-19,0.20,0.21,0.20,0.21,1471000,0.21
2011-07-18,0.22,0.22,0.20,0.20,1914000,0.20
2011-07-15,0.22,0.22,0.22,0.22,1529000,0.22
2011-07-14,0.23,0.23,0.22,0.23,418000,0.23
2011-07-13,0.23,0.23,0.23,0.23,281000,0.23
2011-07-12,0.23,0.23,0.22,0.23,1121000,0.23
2011-07-11,0.24,0.24,0.23,0.24,1006000,0.24
2011-07-08,0.25,0.26,0.25,0.25,14262000,0.25
2011-07-07,0.22,0.25,0.22,0.25,3923000,0.25
2011-07-06,0.23,0.23,0.22,0.22,1138000,0.22
2011-07-05,0.23,0.23,0.22,0.22,634000,0.22
2011-07-04,0.23,0.23,0.23,0.23,817000,0.23
2011-07-01,0.25,0.25,0.23,0.24,1051000,0.24
2011-06-30,0.24,0.25,0.24,0.25,8380000,0.25
2011-06-29,0.22,0.23,0.22,0.23,1950000,0.23
2011-06-28,0.22,0.23,0.22,0.22,909000,0.22
2011-06-27,0.22,0.22,0.22,0.22,1382000,0.22
2011-06-24,0.22,0.23,0.22,0.22,8648000,0.22
2011-06-23,0.20,0.22,0.20,0.22,1247000,0.22
2011-06-22,0.21,0.21,0.20,0.20,943000,0.20
2011-06-21,0.20,0.21,0.19,0.20,1605000,0.20
2011-06-20,0.20,0.22,0.20,0.20,252000,0.20
2011-06-17,0.20,0.20,0.20,0.20,951000,0.20
2011-06-16,0.20,0.21,0.20,0.20,424000,0.20
2011-06-15,0.22,0.22,0.21,0.21,414000,0.21
2011-06-14,0.21,0.22,0.20,0.22,4181000,0.22
2011-06-13,0.22,0.22,0.21,0.21,812000,0.21
2011-06-10,0.22,0.23,0.22,0.22,298000,0.22
2011-06-09,0.23,0.23,0.22,0.23,272000,0.23
2011-06-08,0.23,0.23,0.22,0.23,1072000,0.23
2011-06-07,0.22,0.23,0.22,0.23,1004000,0.23
2011-06-06,0.23,0.23,0.22,0.22,1112000,0.22
2011-06-03,0.23,0.23,0.23,0.23,295000,0.23
2011-06-02,0.24,0.24,0.23,0.23,520000,0.23
2011-06-01,0.25,0.25,0.24,0.24,482000,0.24
2011-05-31,0.25,0.25,0.25,0.25,541000,0.25
2011-05-30,0.25,0.25,0.25,0.25,282000,0.25
2011-05-27,0.25,0.25,0.25,0.25,130000,0.25
2011-05-26,0.25,0.25,0.25,0.25,583000,0.25
2011-05-25,0.25,0.25,0.25,0.25,588000,0.25
2011-05-24,0.25,0.25,0.25,0.25,198000,0.25
2011-05-23,0.26,0.26,0.25,0.25,628000,0.25
2011-05-20,0.26,0.26,0.25,0.26,590000,0.26
2011-05-19,0.25,0.26,0.25,0.25,922000,0.25
2011-05-18,0.26,0.26,0.25,0.25,801000,0.25
2011-05-16,0.26,0.26,0.26,0.26,650000,0.26
2011-05-13,0.26,0.27,0.26,0.26,649000,0.26
2011-05-12,0.27,0.27,0.26,0.26,357000,0.26
2011-05-11,0.28,0.28,0.27,0.27,1437000,0.27
2011-05-10,0.26,0.28,0.26,0.27,913000,0.27
2011-05-09,0.26,0.27,0.26,0.26,627000,0.26
2011-05-06,0.26,0.26,0.25,0.26,910000,0.26
2011-05-05,0.26,0.26,0.26,0.26,998000,0.26
2011-05-04,0.26,0.26,0.26,0.26,913000,0.26
2011-05-03,0.27,0.28,0.26,0.26,1041000,0.26
2011-04-29,0.28,0.28,0.27,0.27,599000,0.27
2011-04-28,0.28,0.28,0.28,0.28,860000,0.28
2011-04-27,0.28,0.28,0.28,0.28,1245000,0.28
2011-04-26,0.28,0.28,0.28,0.28,857000,0.28
2011-04-25,0.29,0.29,0.28,0.28,1473000,0.28
2011-04-21,0.29,0.29,0.28,0.29,1069000,0.29
2011-04-20,0.29,0.29,0.29,0.29,1372000,0.29
2011-04-19,0.28,0.28,0.28,0.28,1738000,0.28
2011-04-18,0.29,0.30,0.28,0.28,1520000,0.28
2011-04-15,0.30,0.30,0.29,0.29,2052000,0.29
2011-04-14,0.31,0.31,0.29,0.29,1969000,0.29
2011-04-13,0.30,0.31,0.30,0.31,3644000,0.31
2011-04-12,0.31,0.31,0.29,0.30,1696000,0.30
2011-04-11,0.31,0.31,0.31,0.31,1068000,0.31
2011-04-08,0.30,0.32,0.30,0.31,16800000,0.31
2011-04-07,0.30,0.31,0.29,0.31,3395000,0.31
2011-04-06,0.28,0.31,0.28,0.29,6226000,0.29
2011-04-05,0.28,0.28,0.28,0.28,807000,0.28
2011-04-04,0.28,0.29,0.28,0.29,1002000,0.29
2011-04-01,0.28,0.28,0.28,0.28,641000,0.28
2011-03-31,0.28,0.28,0.28,0.28,533000,0.28
2011-03-30,0.28,0.29,0.28,0.29,3103000,0.29
2011-03-29,0.26,0.28,0.26,0.28,2388000,0.28
2011-03-28,0.27,0.27,0.26,0.26,418000,0.26
2011-03-25,0.27,0.28,0.26,0.27,724000,0.27
2011-03-24,0.26,0.28,0.25,0.27,2022000,0.27
2011-03-23,0.25,0.26,0.25,0.26,1575000,0.26
2011-03-22,0.25,0.25,0.25,0.25,882000,0.25
2011-03-21,0.25,0.25,0.25,0.25,608000,0.25
2011-03-18,0.25,0.25,0.25,0.25,643000,0.25
2011-03-17,0.25,0.25,0.24,0.25,734000,0.25
2011-03-16,0.24,0.25,0.24,0.25,1597000,0.25
2011-03-15,0.27,0.28,0.24,0.24,3575000,0.24
2011-03-14,0.28,0.28,0.27,0.27,1110000,0.27
2011-03-11,0.28,0.28,0.28,0.28,758000,0.28
2011-03-10,0.28,0.29,0.28,0.28,436000,0.28
2011-03-09,0.28,0.29,0.28,0.29,971000,0.29
2011-03-08,0.28,0.29,0.28,0.28,822000,0.28
2011-03-07,0.28,0.29,0.28,0.28,1889000,0.28
2011-03-04,0.29,0.29,0.28,0.28,980000,0.28
2011-03-03,0.28,0.29,0.28,0.28,1077000,0.28
2011-03-02,0.28,0.28,0.28,0.28,2186000,0.28
2011-03-01,0.29,0.29,0.28,0.29,1386000,0.29
2011-02-28,0.28,0.29,0.28,0.28,1100000,0.28
2011-02-25,0.28,0.29,0.27,0.29,1823000,0.29
2011-02-24,0.28,0.28,0.28,0.28,1425000,0.28
2011-02-23,0.29,0.29,0.28,0.29,2300000,0.29
2011-02-22,0.31,0.31,0.29,0.29,3851000,0.29
2011-02-21,0.31,0.32,0.31,0.31,838000,0.31
2011-02-18,0.32,0.32,0.31,0.31,42000,0.31
2011-02-17,0.31,0.31,0.31,0.31,408000,0.31
2011-02-16,0.31,0.32,0.31,0.31,1396000,0.31
2011-02-15,0.32,0.32,0.31,0.31,2101000,0.31
2011-02-14,0.32,0.33,0.32,0.32,349000,0.32
2011-02-11,0.33,0.33,0.32,0.32,1527000,0.32
2011-02-10,0.32,0.34,0.32,0.33,408000,0.33
2011-02-09,0.33,0.34,0.32,0.32,413000,0.32
2011-02-08,0.34,0.34,0.33,0.33,989000,0.33
2011-02-07,0.33,0.34,0.33,0.34,1125000,0.34
2011-02-02,0.33,0.34,0.33,0.33,1141000,0.33
2011-02-01,0.32,0.33,0.32,0.32,705000,0.32
2011-01-31,0.32,0.32,0.32,0.32,878000,0.32
2011-01-28,0.33,0.33,0.32,0.33,632000,0.33
2011-01-27,0.33,0.34,0.32,0.32,1183000,0.32
2011-01-26,0.32,0.34,0.32,0.33,1912000,0.33
2011-01-25,0.34,0.34,0.32,0.32,2386000,0.32
2011-01-24,0.34,0.34,0.34,0.34,1369000,0.34
2011-01-21,0.34,0.34,0.34,0.34,1773000,0.34
2011-01-20,0.35,0.35,0.34,0.34,2778000,0.34
2011-01-19,0.35,0.36,0.35,0.35,2155000,0.35
2011-01-18,0.35,0.36,0.35,0.35,1997000,0.35
2011-01-17,0.37,0.37,0.35,0.35,1767000,0.35
2011-01-14,0.37,0.37,0.36,0.36,2851000,0.36
2011-01-13,0.37,0.38,0.37,0.37,3198000,0.37
2011-01-12,0.37,0.37,0.36,0.37,3799000,0.37
2011-01-11,0.36,0.37,0.36,0.36,3119000,0.36
2011-01-10,0.36,0.38,0.36,0.36,7869000,0.36
2011-01-07,0.36,0.36,0.36,0.36,1245000,0.36
2011-01-06,0.36,0.37,0.35,0.36,2576000,0.36
2011-01-05,0.37,0.37,0.35,0.35,2737000,0.35
2011-01-04,0.37,0.38,0.37,0.37,17947000,0.37
2011-01-03,0.35,0.37,0.35,0.36,3410000,0.36
2010-12-31,0.35,0.35,0.35,0.35,531000,0.35
2010-12-30,0.36,0.36,0.35,0.35,3226000,0.35
2010-12-29,0.35,0.37,0.35,0.36,12627000,0.36
2010-12-28,0.34,0.35,0.34,0.34,2375000,0.34
2010-12-27,0.34,0.35,0.34,0.34,2447000,0.34
2010-12-24,0.34,0.34,0.34,0.34,129000,0.34
2010-12-23,0.34,0.34,0.34,0.34,1397000,0.34
2010-12-22,0.34,0.35,0.33,0.34,3576000,0.34
2010-12-21,0.34,0.35,0.34,0.34,4015000,0.34
2010-12-20,0.34,0.34,0.33,0.34,3646000,0.34
2010-12-17,0.35,0.35,0.34,0.34,1527000,0.34
2010-12-16,0.35,0.35,0.34,0.35,1276000,0.35
2010-12-15,0.37,0.37,0.35,0.35,7993000,0.35
2010-12-14,0.32,0.37,0.32,0.37,34964000,0.37
2010-12-13,0.31,0.31,0.31,0.31,490000,0.31
2010-12-10,0.31,0.31,0.31,0.31,899000,0.31
2010-12-09,0.31,0.32,0.31,0.31,1283000,0.31
2010-12-08,0.31,0.31,0.31,0.31,962000,0.31
2010-12-07,0.31,0.31,0.31,0.31,731000,0.31
2010-12-06,0.31,0.31,0.31,0.31,309000,0.31
2010-12-03,0.31,0.32,0.31,0.31,1016000,0.31
2010-12-02,0.31,0.32,0.31,0.31,2897000,0.31
2010-12-01,0.31,0.31,0.31,0.31,2139000,0.31
2010-11-30,0.31,0.31,0.31,0.31,573000,0.31
2010-11-29,0.31,0.31,0.31,0.31,1550000,0.31
2010-11-26,0.31,0.31,0.31,0.31,769000,0.31
2010-11-25,0.31,0.32,0.31,0.31,1160000,0.31
2010-11-24,0.31,0.32,0.31,0.31,4452000,0.31
2010-11-23,0.33,0.33,0.31,0.31,2872000,0.31
2010-11-22,0.34,0.34,0.32,0.33,1536000,0.33
2010-11-19,0.34,0.34,0.33,0.34,1236000,0.34
2010-11-18,0.34,0.34,0.33,0.34,948000,0.34
2010-11-16,0.34,0.34,0.33,0.34,2889000,0.34
2010-11-15,0.34,0.34,0.34,0.34,1849000,0.34
2010-11-12,0.35,0.36,0.34,0.34,7215000,0.34
2010-11-11,0.35,0.35,0.34,0.34,1608000,0.34
2010-11-10,0.35,0.35,0.34,0.35,3124000,0.35
2010-11-09,0.35,0.35,0.34,0.35,3559000,0.35
2010-11-08,0.34,0.36,0.34,0.35,9058000,0.35
2010-11-04,0.34,0.35,0.34,0.34,2934000,0.34
2010-11-03,0.34,0.35,0.34,0.34,2642000,0.34
2010-11-02,0.33,0.35,0.33,0.34,5880000,0.34
2010-11-01,0.34,0.34,0.33,0.33,1053000,0.33
2010-10-29,0.33,0.34,0.32,0.34,1226000,0.34
2010-10-28,0.32,0.33,0.32,0.33,1193000,0.33
2010-10-27,0.34,0.34,0.32,0.32,4425000,0.32
2010-10-26,0.34,0.34,0.34,0.34,1206000,0.34
2010-10-25,0.34,0.34,0.34,0.34,1766000,0.34
2010-10-22,0.34,0.34,0.34,0.34,1144000,0.34
2010-10-21,0.34,0.34,0.34,0.34,1591000,0.34
2010-10-20,0.34,0.35,0.34,0.35,802000,0.35
2010-10-19,0.35,0.35,0.35,0.35,1120000,0.35
2010-10-18,0.35,0.36,0.34,0.34,1908000,0.34
2010-10-15,0.36,0.36,0.35,0.35,1582000,0.35
2010-10-14,0.35,0.37,0.34,0.35,4245000,0.35
2010-10-13,0.35,0.35,0.35,0.35,721000,0.35
2010-10-12,0.35,0.35,0.34,0.35,1610000,0.35
2010-10-11,0.37,0.37,0.35,0.35,2565000,0.35
2010-10-08,0.35,0.37,0.35,0.37,5371000,0.37
2010-10-07,0.34,0.35,0.34,0.35,3286000,0.35
2010-10-06,0.34,0.34,0.34,0.34,3149000,0.34
2010-10-05,0.34,0.34,0.34,0.34,1461000,0.34
2010-10-04,0.35,0.35,0.34,0.34,1736000,0.34
2010-10-01,0.35,0.35,0.34,0.34,2306000,0.34
2010-09-30,0.35,0.35,0.34,0.35,1747000,0.35
2010-09-29,0.37,0.37,0.35,0.35,1421000,0.35
2010-09-28,0.37,0.37,0.35,0.35,1631000,0.35
2010-09-27,0.37,0.38,0.37,0.37,1268000,0.37
2010-09-24,0.37,0.37,0.37,0.37,1418000,0.37
2010-09-23,0.38,0.39,0.38,0.38,2855000,0.38
2010-09-22,0.40,0.40,0.38,0.39,5833000,0.39
2010-09-21,0.38,0.40,0.38,0.39,7782000,0.39
2010-09-20,0.38,0.38,0.38,0.38,2141000,0.38
2010-09-17,0.38,0.38,0.37,0.38,3656000,0.38
2010-09-16,0.38,0.38,0.37,0.38,1612000,0.38
2010-09-15,0.38,0.39,0.38,0.38,2894000,0.38
2010-09-14,0.39,0.39,0.38,0.38,904000,0.38
2010-09-13,0.38,0.40,0.38,0.39,4117000,0.39
2010-09-09,0.35,0.38,0.35,0.38,8816000,0.38
2010-09-08,0.35,0.36,0.35,0.35,1965000,0.35
2010-09-07,0.35,0.35,0.34,0.35,1772000,0.35
2010-09-06,0.35,0.35,0.35,0.35,2026000,0.35
2010-09-03,0.34,0.35,0.34,0.35,2685000,0.35
2010-09-02,0.35,0.35,0.34,0.34,1819000,0.34
2010-09-01,0.35,0.35,0.34,0.34,1173000,0.34
2010-08-31,0.35,0.35,0.34,0.34,3980000,0.34
2010-08-30,0.37,0.37,0.35,0.36,5227000,0.36
2010-08-27,0.37,0.37,0.36,0.37,832000,0.37
2010-08-26,0.37,0.37,0.35,0.37,7729000,0.37
2010-08-25,0.37,0.37,0.36,0.36,2017000,0.36
2010-08-24,0.37,0.38,0.37,0.37,2112000,0.37
2010-08-23,0.38,0.38,0.37,0.37,2226000,0.37
2010-08-20,0.38,0.38,0.38,0.38,824000,0.38
2010-08-19,0.38,0.39,0.38,0.39,1643000,0.39
2010-08-18,0.39,0.39,0.38,0.38,2878000,0.38
2010-08-17,0.40,0.40,0.38,0.39,3541000,0.39
2010-08-16,0.40,0.40,0.40,0.40,2455000,0.40
