Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.19,0.19,0.18,0.18,2144000,0.18
2011-08-03,0.17,0.19,0.17,0.19,1071000,0.19
2011-08-02,0.17,0.17,0.17,0.17,815000,0.17
2011-08-01,0.17,0.17,0.17,0.17,45000,0.17
2011-07-29,0.17,0.17,0.17,0.17,46000,0.17
2011-07-28,0.17,0.17,0.17,0.17,000,0.17
2011-07-27,0.17,0.17,0.17,0.17,625000,0.17
2011-07-26,0.17,0.17,0.16,0.16,231000,0.16
2011-07-25,0.17,0.17,0.17,0.17,125000,0.17
2011-07-22,0.14,0.17,0.14,0.17,65000,0.17
2011-07-21,0.16,0.16,0.16,0.16,160000,0.16
2011-07-20,0.16,0.17,0.16,0.16,000,0.16
2011-07-19,0.16,0.16,0.16,0.16,360000,0.16
2011-07-18,0.16,0.16,0.16,0.16,348000,0.16
2011-07-15,0.15,0.15,0.15,0.15,68000,0.15
2011-07-14,0.15,0.15,0.14,0.15,401000,0.15
2011-07-13,0.14,0.15,0.14,0.14,000,0.14
2011-07-12,0.14,0.15,0.14,0.15,140000,0.15
2011-07-11,0.14,0.15,0.13,0.15,329000,0.15
2011-07-08,0.14,0.15,0.14,0.15,136000,0.15
2011-07-07,0.15,0.15,0.14,0.15,414000,0.15
2011-07-06,0.14,0.14,0.14,0.14,105000,0.14
2011-07-05,0.14,0.14,0.13,0.14,470000,0.14
2011-07-04,0.13,0.13,0.13,0.13,150000,0.13
2011-07-01,0.12,0.14,0.12,0.12,000,0.12
2011-06-30,0.14,0.14,0.14,0.14,20000,0.14
2011-06-29,0.12,0.14,0.12,0.12,000,0.12
2011-06-28,0.14,0.14,0.14,0.14,000,0.14
2011-06-27,0.13,0.14,0.13,0.14,338000,0.14
2011-06-24,0.12,0.13,0.12,0.13,264000,0.13
2011-06-23,0.11,0.12,0.11,0.11,000,0.11
2011-06-22,0.11,0.12,0.11,0.12,826000,0.12
2011-06-21,0.10,0.11,0.10,0.11,140000,0.11
2011-06-20,0.11,0.11,0.11,0.11,100000,0.11
2011-06-17,0.11,0.12,0.10,0.11,5505000,0.11
2011-06-16,0.10,0.11,0.10,0.11,1350000,0.11
2011-06-15,0.11,0.11,0.09,0.10,777000,0.10
2011-06-14,0.12,0.12,0.10,0.11,1271000,0.11
2011-06-13,0.11,0.12,0.11,0.12,81000,0.12
2011-06-10,0.12,0.13,0.12,0.13,11000,0.13
2011-06-09,0.12,0.13,0.10,0.12,105000,0.12
2011-06-08,0.13,0.14,0.13,0.14,52000,0.14
2011-06-07,0.13,0.14,0.13,0.13,000,0.13
2011-06-06,0.12,0.14,0.12,0.12,000,0.12
2011-06-03,0.12,0.13,0.12,0.13,195000,0.13
2011-06-02,0.14,0.14,0.14,0.14,9000,0.14
