Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.34,0.34,0.34,0.34,687000,0.34
2011-08-03,0.34,0.34,0.34,0.34,1146000,0.34
2011-08-02,0.35,0.35,0.34,0.34,941000,0.34
2011-08-01,0.35,0.35,0.34,0.34,168000,0.34
2011-07-29,0.34,0.35,0.34,0.34,234000,0.34
2011-07-28,0.34,0.34,0.34,0.34,378000,0.34
2011-07-27,0.34,0.35,0.34,0.35,324000,0.35
2011-07-26,0.35,0.35,0.34,0.35,113000,0.35
2011-07-25,0.36,0.36,0.35,0.35,1366000,0.35
2011-07-22,0.35,0.36,0.35,0.36,4114000,0.36
2011-07-21,0.34,0.35,0.34,0.35,2522000,0.35
2011-07-20,0.35,0.35,0.34,0.34,242000,0.34
2011-07-19,0.35,0.35,0.34,0.34,620000,0.34
2011-07-18,0.35,0.35,0.34,0.35,57000,0.35
2011-07-15,0.34,0.35,0.34,0.34,355000,0.34
2011-07-14,0.34,0.35,0.34,0.34,340000,0.34
2011-07-13,0.35,0.35,0.34,0.34,665000,0.34
2011-07-12,0.34,0.35,0.34,0.35,61000,0.35
2011-07-11,0.35,0.35,0.34,0.34,439000,0.34
2011-07-08,0.34,0.35,0.34,0.35,277000,0.35
2011-07-07,0.35,0.35,0.35,0.35,37000,0.35
2011-07-06,0.35,0.35,0.34,0.34,423000,0.34
2011-07-05,0.34,0.35,0.34,0.35,725000,0.35
2011-07-04,0.35,0.35,0.34,0.34,1117000,0.34
2011-07-01,0.34,0.35,0.34,0.35,1924000,0.35
2011-06-30,0.35,0.35,0.35,0.35,866000,0.35
2011-06-29,0.35,0.35,0.35,0.35,1880000,0.35
2011-06-28,0.35,0.35,0.34,0.35,1846000,0.35
2011-06-27,0.35,0.35,0.34,0.35,1019000,0.35
2011-06-24,0.35,0.35,0.34,0.35,746000,0.35
2011-06-23,0.35,0.35,0.34,0.35,181000,0.35
2011-06-22,0.35,0.35,0.34,0.35,1378000,0.35
2011-06-21,0.37,0.37,0.32,0.35,4900000,0.35
2011-06-20,0.37,0.37,0.36,0.37,1495000,0.37
2011-06-17,0.38,0.38,0.37,0.38,1447000,0.38
2011-06-16,0.38,0.38,0.37,0.37,1689000,0.37
2011-06-15,0.38,0.38,0.38,0.38,397000,0.38
2011-06-14,0.38,0.38,0.38,0.38,1244000,0.38
2011-06-13,0.38,0.38,0.38,0.38,1474000,0.38
2011-06-10,0.38,0.40,0.38,0.38,3682000,0.38
2011-06-09,0.38,0.38,0.38,0.38,000,0.38
