Date,Open,High,Low,Close,Volume,Adj Close
2009-02-24,0.16,0.16,0.16,0.16,000,0.16
2009-02-23,0.13,0.13,0.11,0.11,300000,0.11
2009-02-20,0.13,0.23,0.13,0.13,000,0.13
2009-02-19,0.13,0.18,0.13,0.13,000,0.13
2009-02-18,0.13,0.18,0.13,0.13,000,0.13
2009-02-17,0.14,0.18,0.14,0.14,000,0.14
2009-02-16,0.14,0.23,0.14,0.14,000,0.14
2009-02-13,0.13,0.18,0.13,0.13,000,0.13
2009-02-12,0.18,0.18,0.18,0.18,50000,0.18
2009-02-11,0.18,0.18,0.18,0.18,56000,0.18
2009-02-10,0.13,0.13,0.13,0.13,000,0.13
2009-02-09,0.12,0.12,0.12,0.12,20000,0.12
2009-02-06,0.12,0.13,0.12,0.12,000,0.12
2009-02-05,0.11,0.11,0.11,0.11,000,0.11
2009-02-04,0.11,0.11,0.11,0.11,000,0.11
2009-02-03,0.12,0.12,0.12,0.12,1000,0.12
2009-02-02,0.12,0.12,0.12,0.12,000,0.12
2009-01-30,0.12,0.12,0.12,0.12,000,0.12
2009-01-29,0.13,0.13,0.13,0.13,000,0.13
2009-01-28,0.11,0.11,0.11,0.11,000,0.11
2009-01-23,0.12,0.12,0.12,0.12,000,0.12
2009-01-22,0.12,0.12,0.12,0.12,000,0.12
2009-01-21,0.13,0.13,0.13,0.13,000,0.13
2009-01-20,0.13,0.13,0.13,0.13,000,0.13
2009-01-19,0.13,0.13,0.13,0.13,14000,0.13
2009-01-15,0.11,0.11,0.11,0.11,000,0.11
2009-01-14,0.12,0.12,0.12,0.12,000,0.12
2009-01-13,0.12,0.12,0.12,0.12,000,0.12
2009-01-12,0.12,0.12,0.12,0.12,000,0.12
2009-01-09,0.11,0.11,0.11,0.11,000,0.11
2009-01-08,0.13,0.13,0.13,0.13,000,0.13
2009-01-07,0.11,0.11,0.11,0.11,000,0.11
2009-01-06,0.11,0.11,0.11,0.11,000,0.11
2009-01-05,0.11,0.11,0.11,0.11,000,0.11
2009-01-02,0.10,0.10,0.10,0.10,000,0.10
2008-12-31,0.10,0.23,0.10,0.10,000,0.10
2008-12-30,0.11,0.11,0.11,0.11,000,0.11
2008-12-29,0.11,0.11,0.11,0.11,000,0.11
2008-12-26,0.11,0.11,0.11,0.11,000,0.11
2008-12-24,0.11,0.11,0.11,0.11,000,0.11
2008-12-23,0.11,0.11,0.11,0.11,000,0.11
2008-12-22,0.11,0.11,0.11,0.11,000,0.11
2008-12-19,0.10,0.10,0.10,0.10,000,0.10
2008-12-17,0.13,0.20,0.13,0.13,000,0.13
2008-12-16,0.14,0.14,0.14,0.14,000,0.14
2008-12-15,0.17,0.20,0.17,0.17,000,0.17
2008-12-12,0.14,0.14,0.14,0.14,000,0.14
2008-12-11,0.14,0.20,0.14,0.14,000,0.14
2008-12-10,0.18,0.18,0.18,0.18,35000,0.18
2008-12-09,0.18,0.18,0.18,0.18,100000,0.18
2008-12-05,0.13,0.13,0.13,0.13,000,0.13
2008-12-04,0.14,0.18,0.14,0.14,000,0.14
2008-12-03,0.13,0.13,0.13,0.13,000,0.13
2008-12-02,0.14,0.14,0.14,0.14,000,0.14
2008-12-01,0.12,0.12,0.12,0.12,000,0.12
2008-11-28,0.14,0.17,0.14,0.14,000,0.14
2008-11-27,0.14,0.17,0.14,0.14,000,0.14
2008-11-26,0.14,0.17,0.14,0.14,000,0.14
2008-11-25,0.14,0.17,0.14,0.14,000,0.14
2008-11-24,0.14,0.17,0.14,0.14,2486000,0.14
2008-11-21,0.14,0.14,0.14,0.14,000,0.14
2008-11-20,0.14,0.21,0.14,0.14,000,0.14
2008-11-19,0.14,0.17,0.14,0.14,000,0.14
2008-11-18,0.14,0.18,0.14,0.14,000,0.14
2008-11-17,0.16,0.16,0.16,0.16,000,0.16
2008-11-14,0.17,0.17,0.17,0.17,70000,0.17
2008-11-13,0.16,0.17,0.16,0.16,000,0.16
2008-11-12,0.16,0.17,0.16,0.16,000,0.16
2008-11-11,0.16,0.16,0.16,0.16,80000,0.16
2008-11-10,0.14,0.16,0.14,0.16,160000,0.16
2008-11-07,0.16,0.16,0.13,0.13,870000,0.13
2008-11-06,0.16,0.17,0.16,0.16,000,0.16
2008-11-05,0.18,0.18,0.16,0.16,165000,0.16
2008-11-04,0.18,0.19,0.18,0.18,2130000,0.18
2008-11-03,0.18,0.18,0.17,0.17,40000,0.17
2008-10-31,0.15,0.15,0.15,0.15,35000,0.15
2008-10-30,0.17,0.18,0.17,0.18,216000,0.18
2008-10-29,0.17,0.17,0.17,0.17,10000,0.17
2008-10-28,0.16,0.16,0.16,0.16,10000,0.16
2008-10-24,0.16,0.16,0.16,0.16,000,0.16
2008-10-23,0.17,0.17,0.17,0.17,88000,0.17
2008-10-22,0.17,0.17,0.17,0.17,000,0.17
2008-10-21,0.18,0.18,0.17,0.17,72000,0.17
2008-10-20,0.18,0.18,0.18,0.18,150000,0.18
2008-10-17,0.19,0.19,0.17,0.17,816000,0.17
2008-10-16,0.14,0.20,0.14,0.14,000,0.14
2008-10-15,0.20,0.20,0.20,0.20,2065000,0.20
2008-10-14,0.22,0.22,0.21,0.22,1262000,0.22
2008-10-13,0.22,0.22,0.22,0.22,100000,0.22
2008-10-10,0.17,0.22,0.12,0.22,30000,0.22
2008-10-09,0.21,0.22,0.20,0.22,41000,0.22
2008-10-08,0.24,0.24,0.22,0.22,423000,0.22
2008-10-07,0.25,0.25,0.25,0.25,34000,0.25
2008-10-06,0.30,0.30,0.24,0.25,354000,0.25
2008-10-03,0.25,0.26,0.25,0.25,372000,0.25
