Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.23,0.23,0.22,0.23,225000,0.23
2011-08-03,0.23,0.23,0.23,0.23,82000,0.23
2011-08-02,0.23,0.23,0.23,0.23,11000,0.23
2011-08-01,0.23,0.23,0.23,0.23,10000,0.23
2011-07-29,0.23,0.23,0.23,0.23,68000,0.23
2011-07-28,0.23,0.23,0.23,0.23,22000,0.23
2011-07-27,0.23,0.24,0.23,0.23,000,0.23
2011-07-26,0.23,0.23,0.23,0.23,100000,0.23
2011-07-25,0.23,0.23,0.23,0.23,28000,0.23
2011-07-22,0.23,0.24,0.23,0.24,10000,0.24
2011-07-21,0.23,0.23,0.23,0.23,2000,0.23
2011-07-20,0.23,0.23,0.23,0.23,38000,0.23
2011-07-19,0.23,0.23,0.23,0.23,166000,0.23
2011-07-18,0.23,0.23,0.23,0.23,40000,0.23
2011-07-15,0.23,0.23,0.23,0.23,95000,0.23
2011-07-14,0.23,0.23,0.23,0.23,60000,0.23
2011-07-13,0.23,0.23,0.23,0.23,90000,0.23
2011-07-12,0.23,0.23,0.22,0.23,427000,0.23
2011-07-11,0.23,0.23,0.23,0.23,81000,0.23
2011-07-08,0.23,0.24,0.23,0.23,154000,0.23
2011-07-07,0.24,0.24,0.23,0.23,197000,0.23
2011-07-06,0.23,0.23,0.23,0.23,180000,0.23
2011-07-05,0.24,0.24,0.23,0.23,350000,0.23
2011-07-04,0.25,0.25,0.24,0.24,122000,0.24
2011-07-01,0.23,0.25,0.23,0.24,256000,0.24
2011-06-30,0.24,0.24,0.24,0.24,182000,0.24
2011-06-29,0.24,0.25,0.24,0.24,151000,0.24
2011-06-28,0.24,0.24,0.24,0.24,81000,0.24
2011-06-27,0.24,0.24,0.24,0.24,120000,0.24
2011-06-24,0.25,0.25,0.24,0.25,261000,0.25
2011-06-23,0.25,0.25,0.25,0.25,33000,0.25
2011-06-22,0.24,0.25,0.24,0.25,14000,0.25
2011-06-21,0.25,0.25,0.25,0.25,21000,0.25
2011-06-20,0.24,0.24,0.24,0.24,89000,0.24
2011-06-17,0.24,0.24,0.24,0.24,33000,0.24
2011-06-16,0.24,0.25,0.24,0.24,000,0.24
2011-06-15,0.25,0.25,0.25,0.25,40000,0.25
2011-06-14,0.25,0.25,0.25,0.25,57000,0.25
2011-06-13,0.24,0.25,0.24,0.25,11000,0.25
2011-06-10,0.25,0.25,0.25,0.25,10000,0.25
2011-06-09,0.25,0.25,0.25,0.25,32000,0.25
2011-06-08,0.25,0.25,0.25,0.25,82000,0.25
2011-06-07,0.25,0.25,0.25,0.25,249000,0.25
2011-06-06,0.25,0.25,0.25,0.25,6000,0.25
2011-06-03,0.25,0.25,0.25,0.25,255000,0.25
2011-06-02,0.25,0.25,0.25,0.25,79000,0.25
2011-06-01,0.25,0.25,0.25,0.25,000,0.25
2011-05-31,0.25,0.25,0.25,0.25,72000,0.25
2011-05-30,0.25,0.25,0.25,0.25,116000,0.25
2011-05-27,0.25,0.25,0.25,0.25,45000,0.25
2011-05-26,0.25,0.25,0.25,0.25,10000,0.25
2011-05-25,0.25,0.25,0.25,0.25,52000,0.25
2011-05-24,0.25,0.25,0.25,0.25,34000,0.25
2011-05-23,0.25,0.25,0.25,0.25,60000,0.25
2011-05-20,0.25,0.25,0.25,0.25,10000,0.25
2011-05-19,0.25,0.25,0.25,0.25,10000,0.25
2011-05-18,0.25,0.25,0.25,0.25,13000,0.25
2011-05-16,0.25,0.25,0.25,0.25,57000,0.25
2011-05-13,0.25,0.25,0.25,0.25,103000,0.25
2011-05-12,0.25,0.26,0.25,0.25,000,0.25
2011-05-11,0.25,0.26,0.25,0.25,101000,0.25
2011-05-10,0.25,0.26,0.25,0.26,57000,0.26
2011-05-09,0.25,0.26,0.25,0.26,50000,0.26
2011-05-06,0.25,0.25,0.25,0.25,7000,0.25
2011-05-05,0.25,0.25,0.25,0.25,104000,0.25
2011-05-04,0.26,0.26,0.26,0.26,124000,0.26
2011-05-03,0.26,0.27,0.26,0.27,312000,0.27
2011-04-29,0.27,0.27,0.26,0.26,20000,0.26
2011-04-28,0.26,0.27,0.26,0.26,207000,0.26
2011-04-27,0.26,0.26,0.26,0.26,46000,0.26
2011-04-26,0.26,0.26,0.26,0.26,486000,0.26
2011-04-25,0.26,0.26,0.26,0.26,75000,0.26
2011-04-21,0.26,0.26,0.26,0.26,104000,0.26
2011-04-20,0.26,0.26,0.26,0.26,66000,0.26
2011-04-19,0.26,0.26,0.26,0.26,54000,0.26
2011-04-18,0.26,0.26,0.26,0.26,35000,0.26
2011-04-15,0.26,0.27,0.26,0.26,000,0.26
2011-04-14,0.26,0.26,0.26,0.26,178000,0.26
2011-04-13,0.28,0.28,0.26,0.26,148000,0.26
2011-04-12,0.26,0.26,0.26,0.26,20000,0.26
2011-04-11,0.26,0.26,0.26,0.26,88000,0.26
2011-04-08,0.27,0.27,0.27,0.27,50000,0.27
2011-04-07,0.28,0.28,0.27,0.27,1644000,0.27
2011-04-06,0.26,0.28,0.26,0.28,3484000,0.28
2011-04-05,0.26,0.26,0.26,0.26,000,0.26
2011-04-04,0.26,0.26,0.26,0.26,20000,0.26
2011-04-01,0.26,0.26,0.26,0.26,27000,0.26
2011-03-31,0.25,0.25,0.25,0.25,2000,0.25
2011-03-30,0.26,0.26,0.26,0.26,45000,0.26
2011-03-29,0.25,0.25,0.25,0.25,10000,0.25
2011-03-28,0.26,0.26,0.26,0.26,16000,0.26
2011-03-25,0.25,0.27,0.25,0.25,000,0.25
2011-03-24,0.26,0.26,0.26,0.26,126000,0.26
2011-03-23,0.26,0.26,0.26,0.26,000,0.26
2011-03-22,0.25,0.26,0.25,0.26,176000,0.26
2011-03-21,0.25,0.25,0.25,0.25,125000,0.25
2011-03-18,0.25,0.26,0.25,0.26,22000,0.26
2011-03-17,0.25,0.26,0.25,0.26,150000,0.26
2011-03-16,0.25,0.26,0.25,0.26,15000,0.26
2011-03-15,0.26,0.26,0.25,0.25,417000,0.25
2011-03-14,0.26,0.26,0.26,0.26,30000,0.26
2011-03-11,0.26,0.26,0.26,0.26,67000,0.26
2011-03-10,0.26,0.27,0.26,0.27,184000,0.27
2011-03-09,0.26,0.26,0.26,0.26,92000,0.26
2011-03-08,0.27,0.27,0.27,0.27,122000,0.27
2011-03-07,0.28,0.28,0.27,0.27,118000,0.27
2011-03-04,0.28,0.28,0.26,0.27,218000,0.27
2011-03-03,0.28,0.28,0.27,0.27,164000,0.27
2011-03-02,0.28,0.28,0.28,0.28,110000,0.28
2011-03-01,0.28,0.28,0.28,0.28,520000,0.28
2011-02-28,0.29,0.29,0.28,0.28,929000,0.28
2011-02-25,0.26,0.27,0.26,0.26,109000,0.26
2011-02-24,0.25,0.25,0.25,0.25,76000,0.25
2011-02-23,0.24,0.26,0.24,0.24,000,0.24
2011-02-22,0.26,0.26,0.26,0.26,174000,0.26
2011-02-21,0.27,0.27,0.26,0.26,105000,0.26
2011-02-18,0.26,0.27,0.26,0.26,10000,0.26
2011-02-17,0.27,0.27,0.27,0.27,102000,0.27
2011-02-16,0.27,0.27,0.27,0.27,35000,0.27
2011-02-15,0.27,0.27,0.27,0.27,105000,0.27
2011-02-14,0.27,0.27,0.27,0.27,195000,0.27
2011-02-11,0.27,0.28,0.27,0.28,155000,0.28
2011-02-10,0.27,0.27,0.27,0.27,41000,0.27
2011-02-09,0.27,0.27,0.27,0.27,2000,0.27
2011-02-08,0.28,0.28,0.27,0.28,218000,0.28
2011-02-07,0.27,0.28,0.27,0.28,30000,0.28
2011-02-02,0.27,0.28,0.27,0.27,000,0.27
2011-02-01,0.27,0.27,0.27,0.27,4000,0.27
2011-01-31,0.27,0.28,0.27,0.28,212000,0.28
2011-01-28,0.27,0.28,0.27,0.27,000,0.27
2011-01-27,0.27,0.28,0.27,0.28,196000,0.28
2011-01-26,0.27,0.28,0.27,0.28,130000,0.28
2011-01-25,0.27,0.27,0.27,0.27,9000,0.27
2011-01-24,0.27,0.27,0.27,0.27,8000,0.27
2011-01-21,0.28,0.28,0.28,0.28,80000,0.28
2011-01-20,0.28,0.28,0.28,0.28,53000,0.28
2011-01-19,0.28,0.28,0.27,0.27,130000,0.27
2011-01-18,0.28,0.28,0.28,0.28,60000,0.28
2011-01-17,0.28,0.28,0.28,0.28,11000,0.28
2011-01-14,0.28,0.28,0.28,0.28,41000,0.28
2011-01-13,0.28,0.28,0.28,0.28,464000,0.28
2011-01-12,0.28,0.28,0.28,0.28,55000,0.28
2011-01-11,0.28,0.28,0.28,0.28,71000,0.28
2011-01-10,0.28,0.28,0.28,0.28,156000,0.28
2011-01-07,0.27,0.27,0.27,0.27,51000,0.27
2011-01-06,0.27,0.28,0.27,0.28,280000,0.28
2011-01-05,0.28,0.28,0.28,0.28,110000,0.28
2011-01-04,0.27,0.28,0.27,0.28,240000,0.28
2011-01-03,0.28,0.28,0.28,0.28,98000,0.28
2010-12-31,0.26,0.26,0.26,0.26,4000,0.26
2010-12-30,0.27,0.27,0.27,0.27,47000,0.27
2010-12-29,0.27,0.27,0.27,0.27,4000,0.27
2010-12-28,0.27,0.27,0.27,0.27,5000,0.27
2010-12-27,0.26,0.28,0.26,0.26,000,0.26
2010-12-24,0.26,0.28,0.26,0.26,000,0.26
2010-12-23,0.28,0.28,0.28,0.28,30000,0.28
2010-12-22,0.27,0.28,0.27,0.28,106000,0.28
2010-12-21,0.27,0.27,0.27,0.27,23000,0.27
2010-12-20,0.26,0.27,0.26,0.27,18000,0.27
2010-12-17,0.27,0.27,0.27,0.27,7000,0.27
2010-12-16,0.27,0.28,0.27,0.28,121000,0.28
2010-12-15,0.27,0.27,0.27,0.27,7000,0.27
2010-12-14,0.27,0.27,0.27,0.27,41000,0.27
2010-12-13,0.27,0.28,0.27,0.28,108000,0.28
2010-12-10,0.26,0.27,0.26,0.27,2000,0.27
2010-12-09,0.26,0.28,0.26,0.27,180000,0.27
2010-12-08,0.26,0.27,0.26,0.27,40000,0.27
2010-12-07,0.26,0.26,0.26,0.26,3000,0.26
2010-12-06,0.26,0.27,0.26,0.27,24000,0.27
2010-12-03,0.26,0.26,0.26,0.26,2000,0.26
2010-12-02,0.27,0.27,0.27,0.27,30000,0.27
2010-12-01,0.27,0.27,0.27,0.27,22000,0.27
2010-11-30,0.27,0.28,0.27,0.27,276000,0.27
2010-11-29,0.27,0.27,0.27,0.27,162000,0.27
2010-11-26,0.26,0.28,0.26,0.26,000,0.26
2010-11-25,0.26,0.28,0.26,0.26,000,0.26
2010-11-24,0.26,0.26,0.26,0.26,35000,0.26
2010-11-23,0.26,0.26,0.26,0.26,126000,0.26
2010-11-22,0.26,0.26,0.26,0.26,9000,0.26
2010-11-19,0.27,0.27,0.27,0.27,4000,0.27
2010-11-18,0.26,0.28,0.26,0.28,32000,0.28
2010-11-16,0.28,0.28,0.26,0.26,306000,0.26
2010-11-15,0.28,0.28,0.27,0.28,103000,0.28
2010-11-12,0.28,0.28,0.27,0.28,64000,0.28
2010-11-11,0.28,0.28,0.28,0.28,65000,0.28
2010-11-10,0.28,0.28,0.28,0.28,90000,0.28
2010-11-09,0.28,0.29,0.28,0.28,212000,0.28
2010-11-08,0.28,0.28,0.28,0.28,125000,0.28
2010-11-04,0.28,0.29,0.28,0.28,153000,0.28
2010-11-03,0.28,0.28,0.28,0.28,132000,0.28
2010-11-02,0.28,0.28,0.28,0.28,128000,0.28
2010-11-01,0.28,0.28,0.28,0.28,298000,0.28
2010-10-29,0.28,0.28,0.28,0.28,118000,0.28
2010-10-28,0.28,0.28,0.28,0.28,95000,0.28
2010-10-27,0.28,0.28,0.28,0.28,94000,0.28
2010-10-26,0.28,0.28,0.28,0.28,44000,0.28
2010-10-25,0.28,0.28,0.28,0.28,22000,0.28
2010-10-22,0.28,0.28,0.28,0.28,59000,0.28
2010-10-21,0.28,0.28,0.28,0.28,143000,0.28
2010-10-20,0.28,0.28,0.28,0.28,57000,0.28
2010-10-19,0.28,0.28,0.28,0.28,233000,0.28
2010-10-18,0.28,0.28,0.28,0.28,102000,0.28
2010-10-15,0.28,0.28,0.28,0.28,342000,0.28
2010-10-14,0.28,0.29,0.28,0.28,105000,0.28
2010-10-13,0.28,0.29,0.28,0.28,251000,0.28
2010-10-12,0.29,0.30,0.28,0.28,113000,0.28
2010-10-11,0.28,0.29,0.28,0.28,73000,0.28
2010-10-08,0.28,0.29,0.28,0.28,362000,0.28
2010-10-07,0.28,0.28,0.28,0.28,196000,0.28
2010-10-06,0.27,0.28,0.27,0.28,111000,0.28
2010-10-05,0.27,0.28,0.27,0.28,28000,0.28
2010-10-04,0.26,0.28,0.26,0.28,459000,0.28
2010-10-01,0.26,0.26,0.26,0.26,76000,0.26
2010-09-30,0.26,0.26,0.26,0.26,56000,0.26
2010-09-29,0.26,0.26,0.26,0.26,15000,0.26
2010-09-28,0.27,0.27,0.26,0.26,136000,0.26
2010-09-27,0.26,0.27,0.26,0.27,40000,0.27
2010-09-24,0.26,0.27,0.26,0.26,000,0.26
2010-09-23,0.26,0.27,0.26,0.27,79000,0.27
2010-09-22,0.26,0.27,0.26,0.27,13000,0.27
2010-09-21,0.28,0.28,0.27,0.28,289000,0.28
2010-09-20,0.26,0.27,0.26,0.27,261000,0.27
2010-09-17,0.25,0.26,0.25,0.25,54000,0.25
2010-09-16,0.26,0.26,0.26,0.26,32000,0.26
2010-09-15,0.26,0.26,0.25,0.25,123000,0.25
2010-09-14,0.25,0.26,0.25,0.26,52000,0.26
2010-09-13,0.25,0.26,0.25,0.25,64000,0.25
2010-09-09,0.25,0.26,0.25,0.25,000,0.25
2010-09-08,0.26,0.26,0.26,0.26,3000,0.26
2010-09-07,0.25,0.26,0.25,0.25,118000,0.25
2010-09-06,0.26,0.26,0.26,0.26,119000,0.26
2010-09-03,0.25,0.26,0.25,0.25,71000,0.25
2010-09-02,0.25,0.26,0.25,0.25,000,0.25
2010-09-01,0.25,0.25,0.25,0.25,88000,0.25
2010-08-31,0.26,0.26,0.25,0.25,58000,0.25
2010-08-30,0.26,0.26,0.26,0.26,30000,0.26
2010-08-27,0.26,0.26,0.26,0.26,159000,0.26
2010-08-26,0.25,0.26,0.25,0.26,45000,0.26
2010-08-25,0.27,0.27,0.26,0.26,148000,0.26
2010-08-24,0.25,0.26,0.25,0.26,65000,0.26
2010-08-23,0.26,0.26,0.26,0.26,105000,0.26
2010-08-20,0.25,0.25,0.25,0.25,10000,0.25
2010-08-19,0.25,0.25,0.25,0.25,44000,0.25
2010-08-18,0.25,0.26,0.25,0.26,23000,0.26
2010-08-17,0.26,0.26,0.25,0.25,112000,0.25
2010-08-16,0.25,0.25,0.25,0.25,30000,0.25
2010-08-13,0.25,0.26,0.25,0.25,160000,0.25
2010-08-12,0.25,0.25,0.25,0.25,35000,0.25
2010-08-11,0.25,0.26,0.25,0.25,7000,0.25
2010-08-10,0.26,0.26,0.25,0.26,211000,0.26
2010-08-06,0.25,0.26,0.25,0.26,90000,0.26
2010-08-05,0.25,0.26,0.25,0.26,119000,0.26
2010-08-04,0.25,0.25,0.25,0.25,76000,0.25
2010-08-03,0.25,0.26,0.25,0.26,167000,0.26
2010-08-02,0.25,0.26,0.25,0.25,112000,0.25
2010-07-30,0.25,0.26,0.25,0.25,000,0.25
2010-07-29,0.25,0.26,0.25,0.26,24000,0.26
2010-07-28,0.25,0.25,0.25,0.25,000,0.25
2010-07-27,0.25,0.25,0.25,0.25,190000,0.25
2010-07-26,0.26,0.26,0.25,0.25,88000,0.25
2010-07-23,0.25,0.26,0.25,0.26,141000,0.26
2010-07-22,0.25,0.25,0.25,0.25,67000,0.25
2010-07-21,0.25,0.25,0.25,0.25,32000,0.25
2010-07-20,0.25,0.25,0.25,0.25,163000,0.25
2010-07-19,0.25,0.25,0.25,0.25,84000,0.25
2010-07-16,0.25,0.25,0.25,0.25,3000,0.25
2010-07-15,0.25,0.25,0.25,0.25,43000,0.25
2010-07-14,0.25,0.25,0.25,0.25,000,0.25
2010-07-13,0.25,0.25,0.25,0.25,12000,0.25
2010-07-12,0.25,0.25,0.25,0.25,100000,0.25
2010-07-09,0.25,0.25,0.25,0.25,5000,0.25
2010-07-08,0.25,0.26,0.25,0.25,000,0.25
2010-07-07,0.25,0.26,0.25,0.25,000,0.25
2010-07-06,0.25,0.26,0.25,0.25,42000,0.25
2010-07-05,0.25,0.26,0.25,0.25,000,0.25
2010-07-02,0.25,0.25,0.25,0.25,28000,0.25
2010-07-01,0.25,0.25,0.25,0.25,28000,0.25
2010-06-30,0.25,0.26,0.25,0.25,000,0.25
2010-06-29,0.25,0.25,0.25,0.25,135000,0.25
2010-06-28,0.25,0.25,0.25,0.25,15000,0.25
2010-06-25,0.25,0.25,0.25,0.25,37000,0.25
2010-06-24,0.26,0.26,0.26,0.26,16000,0.26
2010-06-23,0.25,0.26,0.25,0.25,000,0.25
2010-06-22,0.26,0.26,0.25,0.25,59000,0.25
2010-06-21,0.25,0.25,0.25,0.25,17000,0.25
2010-06-18,0.25,0.26,0.25,0.25,000,0.25
2010-06-17,0.25,0.25,0.25,0.25,71000,0.25
2010-06-16,0.26,0.26,0.25,0.25,63000,0.25
2010-06-15,0.25,0.25,0.25,0.25,12000,0.25
2010-06-14,0.25,0.26,0.25,0.25,000,0.25
