Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,50000,0.03
2011-08-03,0.02,0.03,0.02,0.02,000,0.02
2011-08-02,0.02,0.03,0.02,0.02,000,0.02
2011-08-01,0.02,0.03,0.02,0.02,000,0.02
2011-07-29,0.02,0.03,0.02,0.02,000,0.02
2011-07-28,0.02,0.02,0.02,0.02,114000,0.02
2011-07-27,0.02,0.03,0.02,0.03,308000,0.03
2011-07-26,0.02,0.02,0.02,0.02,000,0.02
2011-07-25,0.02,0.02,0.02,0.02,000,0.02
2011-07-22,0.02,0.02,0.02,0.02,000,0.02
2011-07-21,0.02,0.02,0.02,0.02,000,0.02
2011-07-20,0.02,0.02,0.02,0.02,000,0.02
2011-07-19,0.02,0.02,0.02,0.02,000,0.02
2011-07-18,0.02,0.02,0.02,0.02,000,0.02
2011-07-15,0.02,0.02,0.02,0.02,142000,0.02
2011-07-14,0.02,0.02,0.02,0.02,000,0.02
2011-07-13,0.02,0.02,0.02,0.02,000,0.02
2011-07-12,0.02,0.02,0.02,0.02,000,0.02
2011-07-11,0.02,0.02,0.02,0.02,000,0.02
2011-07-08,0.02,0.02,0.02,0.02,000,0.02
2011-07-07,0.02,0.02,0.02,0.02,000,0.02
2011-07-06,0.02,0.02,0.02,0.02,400000,0.02
2011-07-05,0.02,0.02,0.02,0.02,000,0.02
2011-07-04,0.02,0.02,0.02,0.02,000,0.02
2011-07-01,0.02,0.02,0.02,0.02,114000,0.02
2011-06-30,0.02,0.02,0.02,0.02,420000,0.02
2011-06-29,0.02,0.03,0.02,0.02,000,0.02
2011-06-28,0.02,0.03,0.02,0.02,000,0.02
2011-06-27,0.01,0.03,0.01,0.01,000,0.01
2011-06-24,0.02,0.03,0.02,0.02,000,0.02
2011-06-23,0.02,0.03,0.02,0.02,000,0.02
2011-06-22,0.02,0.03,0.02,0.02,000,0.02
2011-06-21,0.02,0.03,0.02,0.02,000,0.02
2011-06-20,0.02,0.02,0.02,0.02,424000,0.02
2011-06-17,0.02,0.03,0.02,0.02,000,0.02
2011-06-16,0.02,0.03,0.02,0.02,000,0.02
2011-06-15,0.02,0.03,0.02,0.02,000,0.02
2011-06-14,0.02,0.03,0.02,0.02,000,0.02
2011-06-13,0.02,0.03,0.02,0.02,000,0.02
2011-06-10,0.02,0.02,0.02,0.02,39000,0.02
2011-06-09,0.02,0.03,0.02,0.02,000,0.02
2011-06-08,0.02,0.02,0.02,0.02,50000,0.02
2011-06-07,0.03,0.03,0.03,0.03,1003000,0.03
2011-06-06,0.02,0.03,0.02,0.03,175000,0.03
2011-06-03,0.02,0.03,0.02,0.02,000,0.02
2011-06-02,0.03,0.03,0.03,0.03,478000,0.03
2011-06-01,0.02,0.03,0.02,0.02,000,0.02
2011-05-31,0.02,0.03,0.02,0.02,000,0.02
2011-05-30,0.02,0.03,0.02,0.02,000,0.02
2011-05-27,0.03,0.03,0.03,0.03,000,0.03
2011-05-26,0.02,0.03,0.02,0.02,000,0.02
2011-05-25,0.03,0.03,0.03,0.03,50000,0.03
2011-05-24,0.02,0.03,0.02,0.02,000,0.02
2011-05-23,0.03,0.03,0.03,0.03,50000,0.03
2011-05-20,0.02,0.03,0.02,0.02,000,0.02
2011-05-19,0.03,0.03,0.03,0.03,472000,0.03
2011-05-18,0.02,0.03,0.02,0.02,000,0.02
2011-05-16,0.03,0.03,0.03,0.03,29000,0.03
2011-05-13,0.03,0.03,0.03,0.03,30000,0.03
2011-05-12,0.03,0.03,0.03,0.03,000,0.03
2011-05-11,0.03,0.03,0.03,0.03,000,0.03
2011-05-10,0.03,0.03,0.03,0.03,000,0.03
2011-05-09,0.03,0.03,0.03,0.03,50000,0.03
2011-05-06,0.03,0.03,0.03,0.03,000,0.03
2011-05-05,0.03,0.03,0.03,0.03,2000,0.03
2011-05-04,0.03,0.03,0.03,0.03,62000,0.03
2011-05-03,0.03,0.03,0.03,0.03,000,0.03
2011-04-29,0.03,0.03,0.03,0.03,2000,0.03
2011-04-28,0.03,0.03,0.03,0.03,57000,0.03
2011-04-27,0.03,0.03,0.03,0.03,40000,0.03
2011-04-26,0.03,0.03,0.03,0.03,000,0.03
2011-04-25,0.03,0.03,0.03,0.03,000,0.03
2011-04-21,0.03,0.03,0.03,0.03,14000,0.03
2011-04-20,0.03,0.03,0.03,0.03,7000,0.03
2011-04-19,0.03,0.03,0.03,0.03,000,0.03
2011-04-18,0.03,0.03,0.03,0.03,000,0.03
2011-04-15,0.03,0.03,0.03,0.03,000,0.03
2011-04-14,0.03,0.03,0.03,0.03,000,0.03
2011-04-13,0.03,0.03,0.03,0.03,000,0.03
2011-04-12,0.03,0.03,0.03,0.03,000,0.03
2011-04-11,0.03,0.03,0.03,0.03,000,0.03
2011-04-08,0.03,0.03,0.03,0.03,000,0.03
2011-04-07,0.03,0.03,0.03,0.03,000,0.03
2011-04-06,0.03,0.03,0.03,0.03,000,0.03
2011-04-05,0.03,0.03,0.03,0.03,000,0.03
2011-04-04,0.03,0.03,0.03,0.03,17000,0.03
2011-04-01,0.03,0.03,0.03,0.03,000,0.03
2011-03-31,0.03,0.03,0.03,0.03,000,0.03
2011-03-30,0.03,0.03,0.03,0.03,000,0.03
2011-03-29,0.03,0.03,0.03,0.03,000,0.03
2011-03-28,0.03,0.03,0.03,0.03,000,0.03
2011-03-25,0.03,0.03,0.03,0.03,2000,0.03
2011-03-24,0.03,0.03,0.03,0.03,404000,0.03
2011-03-23,0.03,0.03,0.03,0.03,597000,0.03
2011-03-22,0.03,0.03,0.03,0.03,400000,0.03
2011-03-21,0.03,0.03,0.03,0.03,200000,0.03
2011-03-18,0.03,0.04,0.03,0.03,000,0.03
2011-03-17,0.03,0.03,0.03,0.03,000,0.03
2011-03-16,0.04,0.04,0.04,0.04,2000,0.04
2011-03-15,0.03,0.03,0.03,0.03,740000,0.03
2011-03-14,0.03,0.03,0.03,0.03,25000,0.03
2011-03-11,0.03,0.04,0.03,0.03,000,0.03
2011-03-10,0.04,0.04,0.04,0.04,39000,0.04
2011-03-09,0.03,0.04,0.03,0.03,000,0.03
2011-03-08,0.04,0.04,0.04,0.04,14000,0.04
2011-03-07,0.03,0.04,0.03,0.04,25000,0.04
2011-03-04,0.04,0.04,0.04,0.04,000,0.04
2011-03-03,0.04,0.04,0.04,0.04,589000,0.04
2011-03-02,0.04,0.04,0.04,0.04,26000,0.04
2011-03-01,0.04,0.04,0.04,0.04,542000,0.04
2011-02-28,0.04,0.04,0.04,0.04,655000,0.04
2011-02-25,0.04,0.04,0.04,0.04,000,0.04
2011-02-24,0.04,0.04,0.04,0.04,1068000,0.04
2011-02-23,0.04,0.04,0.04,0.04,982000,0.04
2011-02-22,0.04,0.04,0.04,0.04,1018000,0.04
2011-02-21,0.04,0.04,0.04,0.04,331000,0.04
2011-02-18,0.04,0.04,0.04,0.04,597000,0.04
2011-02-17,0.04,0.04,0.04,0.04,110000,0.04
2011-02-16,0.04,0.04,0.04,0.04,265000,0.04
2011-02-15,0.04,0.04,0.04,0.04,475000,0.04
2011-02-14,0.05,0.05,0.04,0.04,585000,0.04
2011-02-11,0.05,0.05,0.05,0.05,2494000,0.05
2011-02-10,0.04,0.05,0.04,0.04,000,0.04
2011-02-09,0.05,0.05,0.05,0.05,600000,0.05
2011-02-08,0.05,0.05,0.05,0.05,1838000,0.05
