Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,0.05,0.04,0.05,0.05,000,0.05
2011-06-08,0.05,0.05,0.05,0.05,000,0.05
2011-06-07,0.05,0.05,0.05,0.05,000,0.05
2011-06-06,0.05,0.05,0.05,0.05,18378000,0.05
2011-06-03,0.05,0.05,0.05,0.05,531000,0.05
2011-06-02,0.05,0.05,0.05,0.05,7312000,0.05
2011-06-01,0.05,0.05,0.05,0.05,3840000,0.05
2011-05-31,0.05,0.05,0.05,0.05,12071000,0.05
2011-05-30,0.05,0.06,0.05,0.05,12630000,0.05
2011-05-27,0.05,0.05,0.05,0.05,706000,0.05
2011-05-26,0.05,0.05,0.05,0.05,15194000,0.05
2011-05-25,0.05,0.06,0.05,0.05,44601000,0.05
2011-05-24,0.05,0.05,0.05,0.05,277000,0.05
2011-05-23,0.05,0.05,0.05,0.05,2091000,0.05
2011-05-20,0.05,0.05,0.05,0.05,24818000,0.05
2011-05-19,0.05,0.05,0.05,0.05,17850000,0.05
2011-05-18,0.05,0.05,0.05,0.05,19883000,0.05
2011-05-16,0.05,0.05,0.05,0.05,570000,0.05
2011-05-13,0.05,0.05,0.05,0.05,3249000,0.05
2011-05-12,0.05,0.05,0.05,0.05,8737000,0.05
2011-05-11,0.05,0.06,0.05,0.05,11335000,0.05
2011-05-10,0.05,0.06,0.05,0.06,13840000,0.06
2011-05-09,0.05,0.05,0.05,0.05,801000,0.05
2011-05-06,0.05,0.05,0.05,0.05,1270000,0.05
2011-05-05,0.05,0.05,0.05,0.05,1880000,0.05
2011-05-04,0.05,0.05,0.05,0.05,11508000,0.05
2011-05-03,0.05,0.05,0.05,0.05,3049000,0.05
2011-04-29,0.05,0.05,0.05,0.05,991000,0.05
2011-04-28,0.05,0.05,0.05,0.05,3527000,0.05
2011-04-27,0.05,0.05,0.05,0.05,5075000,0.05
2011-04-26,0.05,0.05,0.05,0.05,9444000,0.05
2011-04-25,0.05,0.05,0.05,0.05,1031000,0.05
2011-04-21,0.05,0.05,0.05,0.05,14307000,0.05
2011-04-20,0.05,0.06,0.05,0.06,8510000,0.06
2011-04-19,0.05,0.05,0.05,0.05,13947000,0.05
2011-04-18,0.06,0.06,0.05,0.06,2000000,0.06
2011-04-15,0.05,0.06,0.05,0.06,9402000,0.06
2011-04-14,0.05,0.06,0.05,0.06,810000,0.06
2011-04-13,0.05,0.06,0.05,0.05,2726000,0.05
2011-04-12,0.05,0.06,0.05,0.06,10098000,0.06
2011-04-11,0.05,0.06,0.05,0.05,2153000,0.05
2011-04-08,0.06,0.06,0.05,0.05,1279000,0.05
2011-04-07,0.05,0.06,0.05,0.06,24916000,0.06
2011-04-06,0.05,0.06,0.05,0.05,18916000,0.05
2011-04-05,0.06,0.06,0.05,0.05,842000,0.05
