Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,210000,0.03
2011-08-03,0.03,0.03,0.03,0.03,60000,0.03
2011-08-02,0.03,0.03,0.03,0.03,360000,0.03
2011-08-01,0.03,0.03,0.03,0.03,218000,0.03
2011-07-29,0.03,0.03,0.03,0.03,360000,0.03
2011-07-28,0.03,0.03,0.03,0.03,230000,0.03
2011-07-27,0.03,0.03,0.03,0.03,120000,0.03
2011-07-26,0.03,0.03,0.03,0.03,50000,0.03
2011-07-25,0.03,0.03,0.03,0.03,000,0.03
2011-07-22,0.03,0.03,0.03,0.03,000,0.03
2011-07-21,0.03,0.03,0.03,0.03,440000,0.03
2011-07-20,0.03,0.03,0.03,0.03,000,0.03
2011-07-19,0.03,0.03,0.03,0.03,000,0.03
2011-07-18,0.03,0.03,0.03,0.03,24000,0.03
2011-07-15,0.03,0.03,0.03,0.03,000,0.03
2011-07-14,0.03,0.03,0.03,0.03,54000,0.03
2011-07-13,0.03,0.03,0.03,0.03,000,0.03
2011-07-12,0.03,0.03,0.03,0.03,48000,0.03
2011-07-11,0.03,0.03,0.03,0.03,418000,0.03
2011-07-08,0.03,0.03,0.03,0.03,000,0.03
2011-07-07,0.03,0.03,0.03,0.03,000,0.03
2011-07-06,0.03,0.03,0.03,0.03,000,0.03
2011-07-05,0.03,0.03,0.03,0.03,000,0.03
2011-07-04,0.03,0.03,0.03,0.03,000,0.03
2011-07-01,0.03,0.03,0.03,0.03,000,0.03
2011-06-30,0.03,0.03,0.03,0.03,125000,0.03
2011-06-29,0.03,0.03,0.03,0.03,215000,0.03
2011-06-28,0.03,0.03,0.03,0.03,000,0.03
2011-06-27,0.03,0.03,0.03,0.03,1578000,0.03
2011-06-24,0.03,0.04,0.03,0.03,000,0.03
2011-06-23,0.03,0.03,0.03,0.03,000,0.03
2011-06-22,0.03,0.03,0.03,0.03,000,0.03
2011-06-21,0.03,0.04,0.03,0.03,000,0.03
2011-06-20,0.03,0.04,0.03,0.03,000,0.03
2011-06-17,0.03,0.03,0.03,0.03,482000,0.03
2011-06-16,0.03,0.03,0.03,0.03,70000,0.03
2011-06-15,0.03,0.03,0.03,0.03,000,0.03
2011-06-14,0.03,0.04,0.03,0.03,000,0.03
2011-06-13,0.03,0.03,0.03,0.03,000,0.03
2011-06-10,0.03,0.03,0.03,0.03,000,0.03
2011-06-09,0.03,0.03,0.03,0.03,000,0.03
2011-06-08,0.03,0.03,0.03,0.03,000,0.03
2011-06-07,0.03,0.03,0.03,0.03,000,0.03
2011-06-06,0.03,0.03,0.03,0.03,165000,0.03
2011-06-03,0.03,0.03,0.03,0.03,2010000,0.03
2011-06-02,0.03,0.03,0.03,0.03,50000,0.03
2011-06-01,0.03,0.03,0.03,0.03,000,0.03
2011-05-31,0.03,0.03,0.03,0.03,000,0.03
2011-05-30,0.03,0.04,0.03,0.03,000,0.03
2011-05-27,0.03,0.03,0.03,0.03,17000,0.03
2011-05-26,0.03,0.04,0.03,0.03,000,0.03
2011-05-25,0.03,0.04,0.03,0.03,000,0.03
2011-05-24,0.03,0.04,0.03,0.03,000,0.03
2011-05-23,0.03,0.04,0.03,0.03,000,0.03
2011-05-20,0.03,0.04,0.03,0.03,000,0.03
2011-05-19,0.03,0.04,0.03,0.03,000,0.03
2011-05-18,0.03,0.04,0.03,0.03,000,0.03
2011-05-16,0.03,0.04,0.03,0.03,000,0.03
2011-05-13,0.03,0.03,0.03,0.03,8000,0.03
2011-05-12,0.03,0.04,0.03,0.03,000,0.03
2011-05-11,0.03,0.04,0.03,0.03,000,0.03
2011-05-10,0.03,0.03,0.03,0.03,79000,0.03
2011-05-09,0.03,0.03,0.03,0.03,100000,0.03
2011-05-06,0.03,0.04,0.03,0.03,000,0.03
2011-05-05,0.03,0.04,0.03,0.03,000,0.03
2011-05-04,0.03,0.03,0.03,0.03,100000,0.03
2011-05-03,0.03,0.03,0.03,0.03,751000,0.03
2011-04-29,0.03,0.03,0.03,0.03,150000,0.03
2011-04-28,0.04,0.04,0.04,0.04,224000,0.04
2011-04-27,0.04,0.04,0.04,0.04,950000,0.04
2011-04-26,0.03,0.04,0.03,0.03,000,0.03
2011-04-25,0.03,0.04,0.03,0.03,000,0.03
2011-04-21,0.03,0.04,0.03,0.04,196000,0.04
2011-04-20,0.03,0.03,0.03,0.03,33000,0.03
2011-04-19,0.03,0.04,0.03,0.03,000,0.03
2011-04-18,0.03,0.03,0.03,0.03,480000,0.03
2011-04-15,0.03,0.03,0.03,0.03,300000,0.03
2011-04-14,0.03,0.03,0.03,0.03,250000,0.03
2011-04-13,0.03,0.04,0.03,0.03,000,0.03
2011-04-12,0.03,0.03,0.03,0.03,20000,0.03
2011-04-11,0.03,0.04,0.03,0.03,000,0.03
2011-04-08,0.03,0.04,0.03,0.03,000,0.03
2011-04-07,0.03,0.03,0.03,0.03,1140000,0.03
2011-04-06,0.04,0.04,0.03,0.03,500000,0.03
2011-04-05,0.03,0.03,0.03,0.03,662000,0.03
2011-04-04,0.03,0.04,0.03,0.03,000,0.03
2011-04-01,0.03,0.03,0.03,0.03,720000,0.03
2011-03-31,0.03,0.03,0.03,0.03,2070000,0.03
2011-03-30,0.03,0.03,0.03,0.03,100000,0.03
2011-03-29,0.03,0.03,0.03,0.03,1312000,0.03
2011-03-28,0.03,0.03,0.03,0.03,553000,0.03
2011-03-25,0.03,0.03,0.03,0.03,1020000,0.03
2011-03-24,0.03,0.03,0.03,0.03,30000,0.03
2011-03-23,0.03,0.03,0.03,0.03,970000,0.03
2011-03-22,0.03,0.04,0.03,0.03,000,0.03
2011-03-21,0.03,0.04,0.03,0.03,000,0.03
2011-03-18,0.03,0.03,0.03,0.03,557000,0.03
2011-03-17,0.03,0.04,0.03,0.03,563000,0.03
2011-03-16,0.03,0.04,0.03,0.04,50000,0.04
2011-03-15,0.03,0.03,0.03,0.03,903000,0.03
2011-03-14,0.03,0.04,0.03,0.03,1810000,0.03
2011-03-11,0.03,0.04,0.03,0.03,000,0.03
2011-03-10,0.04,0.04,0.04,0.04,100000,0.04
2011-03-09,0.03,0.04,0.03,0.04,220000,0.04
2011-03-08,0.03,0.04,0.03,0.03,000,0.03
2011-03-07,0.04,0.04,0.04,0.04,740000,0.04
2011-03-04,0.03,0.04,0.03,0.04,200000,0.04
2011-03-03,0.03,0.04,0.03,0.03,000,0.03
2011-03-02,0.03,0.04,0.03,0.03,000,0.03
2011-03-01,0.04,0.04,0.04,0.04,280000,0.04
2011-02-28,0.04,0.04,0.04,0.04,440000,0.04
2011-02-25,0.04,0.04,0.04,0.04,200000,0.04
2011-02-24,0.04,0.04,0.04,0.04,1013000,0.04
2011-02-23,0.04,0.04,0.04,0.04,000,0.04
2011-02-22,0.04,0.04,0.04,0.04,000,0.04
2011-02-21,0.04,0.04,0.04,0.04,11000,0.04
2011-02-18,0.04,0.04,0.04,0.04,594000,0.04
2011-02-17,0.04,0.04,0.04,0.04,450000,0.04
2011-02-16,0.04,0.04,0.04,0.04,310000,0.04
2011-02-15,0.04,0.04,0.04,0.04,968000,0.04
2011-02-14,0.04,0.04,0.04,0.04,150000,0.04
2011-02-11,0.04,0.05,0.04,0.05,420000,0.05
2011-02-10,0.04,0.04,0.04,0.04,1403000,0.04
2011-02-09,0.04,0.04,0.04,0.04,300000,0.04
2011-02-08,0.05,0.05,0.05,0.05,15000,0.05
2011-02-07,0.04,0.04,0.04,0.04,80000,0.04
2011-02-02,0.04,0.05,0.04,0.04,000,0.04
2011-02-01,0.04,0.05,0.04,0.04,000,0.04
2011-01-31,0.04,0.04,0.04,0.04,3000,0.04
2011-01-28,0.04,0.05,0.04,0.04,000,0.04
2011-01-27,0.05,0.05,0.05,0.05,950000,0.05
2011-01-26,0.04,0.04,0.04,0.04,60000,0.04
2011-01-25,0.04,0.04,0.04,0.04,10000,0.04
2011-01-24,0.05,0.05,0.05,0.05,440000,0.05
2011-01-21,0.05,0.05,0.05,0.05,432000,0.05
2011-01-20,0.05,0.05,0.05,0.05,1132000,0.05
2011-01-19,0.05,0.05,0.05,0.05,2442000,0.05
2011-01-18,0.05,0.05,0.05,0.05,466000,0.05
2011-01-17,0.04,0.05,0.04,0.04,000,0.04
2011-01-14,0.04,0.05,0.04,0.04,000,0.04
2011-01-13,0.04,0.04,0.04,0.04,50000,0.04
2011-01-12,0.04,0.04,0.04,0.04,50000,0.04
2011-01-11,0.04,0.05,0.04,0.04,314000,0.04
2011-01-10,0.04,0.05,0.04,0.04,000,0.04
2011-01-07,0.04,0.05,0.04,0.05,520000,0.05
2011-01-06,0.04,0.04,0.04,0.04,1430000,0.04
2011-01-05,0.04,0.04,0.04,0.04,20000,0.04
2011-01-04,0.05,0.05,0.05,0.05,200000,0.05
2011-01-03,0.04,0.05,0.04,0.05,250000,0.05
2010-12-31,0.04,0.04,0.04,0.04,700000,0.04
2010-12-30,0.04,0.04,0.04,0.04,2149000,0.04
2010-12-29,0.04,0.05,0.04,0.04,793000,0.04
2010-12-28,0.04,0.04,0.04,0.04,2577000,0.04
2010-12-27,0.04,0.05,0.04,0.04,755000,0.04
2010-12-24,0.05,0.05,0.05,0.05,300000,0.05
2010-12-23,0.04,0.05,0.04,0.04,000,0.04
2010-12-22,0.05,0.05,0.05,0.05,40000,0.05
2010-12-21,0.05,0.05,0.05,0.05,450000,0.05
2010-12-20,0.05,0.05,0.04,0.04,101000,0.04
2010-12-17,0.04,0.05,0.04,0.04,000,0.04
2010-12-16,0.05,0.05,0.05,0.05,80000,0.05
2010-12-15,0.05,0.05,0.05,0.05,611000,0.05
2010-12-14,0.05,0.05,0.05,0.05,950000,0.05
2010-12-13,0.05,0.05,0.05,0.05,1200000,0.05
2010-12-10,0.04,0.04,0.04,0.04,15000,0.04
2010-12-09,0.04,0.04,0.04,0.04,1350000,0.04
2010-12-08,0.04,0.04,0.04,0.04,2000000,0.04
2010-12-07,0.04,0.05,0.04,0.04,000,0.04
2010-12-06,0.04,0.05,0.04,0.04,000,0.04
2010-12-03,0.04,0.05,0.04,0.04,000,0.04
2010-12-02,0.05,0.05,0.05,0.05,000,0.05
2010-12-01,0.05,0.05,0.05,0.05,66000,0.05
2010-11-30,0.05,0.05,0.05,0.05,450000,0.05
2010-11-29,0.05,0.05,0.05,0.05,700000,0.05
2010-11-26,0.05,0.05,0.05,0.05,200000,0.05
2010-11-25,0.05,0.05,0.05,0.05,000,0.05
2010-11-24,0.05,0.05,0.05,0.05,000,0.05
2010-11-23,0.05,0.05,0.05,0.05,000,0.05
2010-11-22,0.05,0.05,0.05,0.05,330000,0.05
2010-11-19,0.05,0.05,0.05,0.05,000,0.05
2010-11-18,0.05,0.05,0.05,0.05,000,0.05
2010-11-16,0.05,0.05,0.05,0.05,000,0.05
2010-11-15,0.05,0.05,0.05,0.05,000,0.05
2010-11-12,0.05,0.05,0.05,0.05,611000,0.05
2010-11-11,0.05,0.05,0.05,0.05,616000,0.05
2010-11-10,0.05,0.05,0.05,0.05,750000,0.05
2010-11-09,0.05,0.05,0.05,0.05,50000,0.05
2010-11-08,0.05,0.05,0.05,0.05,100000,0.05
2010-11-04,0.05,0.05,0.05,0.05,2515000,0.05
2010-11-03,0.05,0.05,0.05,0.05,1818000,0.05
2010-11-02,0.05,0.05,0.05,0.05,000,0.05
2010-11-01,0.05,0.05,0.05,0.05,314000,0.05
2010-10-29,0.05,0.05,0.05,0.05,250000,0.05
2010-10-28,0.05,0.05,0.05,0.05,720000,0.05
2010-10-27,0.05,0.05,0.05,0.05,80000,0.05
2010-10-26,0.05,0.05,0.05,0.05,290000,0.05
2010-10-25,0.05,0.05,0.05,0.05,220000,0.05
