Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.29,0.29,0.28,0.29,3652000,0.29
2011-08-03,0.28,0.29,0.27,0.28,6597000,0.28
2011-08-02,0.31,0.31,0.29,0.29,10414000,0.29
2011-08-01,0.31,0.32,0.31,0.31,34143000,0.31
2011-07-29,0.32,0.32,0.31,0.31,15373000,0.31
2011-07-28,0.31,0.32,0.31,0.32,11236000,0.32
2011-07-27,0.29,0.32,0.29,0.31,7602000,0.31
2011-07-26,0.28,0.29,0.28,0.29,2036000,0.29
2011-07-25,0.29,0.29,0.28,0.28,658000,0.28
2011-07-22,0.28,0.29,0.28,0.29,2751000,0.29
2011-07-21,0.28,0.28,0.28,0.28,824000,0.28
2011-07-20,0.28,0.28,0.28,0.28,1661000,0.28
2011-07-19,0.28,0.28,0.27,0.28,1126000,0.28
2011-07-18,0.28,0.28,0.27,0.27,2004000,0.27
2011-07-15,0.28,0.29,0.28,0.28,1472000,0.28
2011-07-14,0.29,0.29,0.28,0.28,1368000,0.28
2011-07-13,0.29,0.30,0.29,0.29,1692000,0.29
2011-07-12,0.30,0.30,0.29,0.29,1630000,0.29
2011-07-11,0.31,0.31,0.30,0.30,5412000,0.30
2011-07-08,0.30,0.31,0.29,0.31,3192000,0.31
2011-07-07,0.31,0.31,0.29,0.30,2683000,0.30
2011-07-06,0.31,0.32,0.31,0.31,6776000,0.31
2011-07-05,0.31,0.31,0.30,0.31,1965000,0.31
2011-07-04,0.32,0.32,0.31,0.31,6653000,0.31
2011-07-01,0.30,0.33,0.30,0.31,18111000,0.31
2011-06-30,0.26,0.29,0.26,0.29,3720000,0.29
2011-06-29,0.26,0.26,0.25,0.26,354000,0.26
2011-06-28,0.26,0.26,0.25,0.26,267000,0.26
2011-06-27,0.25,0.25,0.25,0.25,500000,0.25
2011-06-24,0.25,0.25,0.25,0.25,90000,0.25
2011-06-23,0.25,0.25,0.25,0.25,270000,0.25
2011-06-22,0.26,0.26,0.25,0.26,1412000,0.26
2011-06-21,0.25,0.26,0.25,0.25,331000,0.25
2011-06-20,0.25,0.25,0.25,0.25,633000,0.25
2011-06-17,0.25,0.25,0.25,0.25,533000,0.25
2011-06-16,0.25,0.25,0.25,0.25,194000,0.25
2011-06-15,0.26,0.26,0.26,0.26,1193000,0.26
2011-06-14,0.26,0.26,0.26,0.26,504000,0.26
2011-06-13,0.26,0.26,0.26,0.26,290000,0.26
2011-06-10,0.26,0.26,0.26,0.26,137000,0.26
2011-06-09,0.26,0.26,0.26,0.26,94000,0.26
2011-06-08,0.26,0.26,0.26,0.26,106000,0.26
2011-06-07,0.26,0.26,0.26,0.26,163000,0.26
2011-06-06,0.26,0.26,0.26,0.26,191000,0.26
2011-06-03,0.26,0.28,0.26,0.26,1775000,0.26
2011-06-02,0.26,0.27,0.26,0.26,18000,0.26
2011-06-01,0.27,0.27,0.26,0.26,216000,0.26
2011-05-31,0.26,0.27,0.26,0.27,200000,0.27
2011-05-30,0.26,0.26,0.26,0.26,30000,0.26
2011-05-27,0.26,0.26,0.26,0.26,50000,0.26
2011-05-26,0.26,0.26,0.26,0.26,77000,0.26
2011-05-25,0.26,0.26,0.26,0.26,80000,0.26
2011-05-24,0.26,0.26,0.26,0.26,170000,0.26
2011-05-23,0.26,0.26,0.26,0.26,68000,0.26
2011-05-20,0.26,0.26,0.26,0.26,75000,0.26
2011-05-19,0.26,0.26,0.26,0.26,152000,0.26
2011-05-18,0.26,0.26,0.26,0.26,169000,0.26
2011-05-16,0.27,0.27,0.26,0.26,455000,0.26
2011-05-13,0.26,0.26,0.26,0.26,50000,0.26
2011-05-12,0.27,0.28,0.26,0.26,1293000,0.26
2011-05-11,0.27,0.27,0.27,0.27,405000,0.27
2011-05-10,0.27,0.28,0.27,0.27,536000,0.27
2011-05-09,0.27,0.28,0.26,0.27,601000,0.27
2011-05-06,0.27,0.28,0.26,0.28,129000,0.28
2011-05-05,0.28,0.28,0.28,0.28,4275000,0.28
2011-05-04,0.28,0.29,0.28,0.29,117000,0.29
2011-05-03,0.28,0.29,0.28,0.28,28000,0.28
2011-04-29,0.29,0.29,0.28,0.28,912000,0.28
2011-04-28,0.29,0.29,0.28,0.28,282000,0.28
2011-04-27,0.29,0.29,0.29,0.29,30000,0.29
2011-04-26,0.29,0.29,0.29,0.29,25000,0.29
2011-04-25,0.29,0.29,0.29,0.29,128000,0.29
2011-04-21,0.28,0.29,0.28,0.28,000,0.28
2011-04-20,0.29,0.29,0.28,0.28,156000,0.28
2011-04-19,0.29,0.29,0.28,0.29,186000,0.29
2011-04-18,0.29,0.29,0.29,0.29,107000,0.29
2011-04-15,0.29,0.29,0.29,0.29,34000,0.29
2011-04-14,0.29,0.29,0.29,0.29,175000,0.29
2011-04-13,0.29,0.29,0.29,0.29,208000,0.29
2011-04-12,0.29,0.29,0.28,0.28,300000,0.28
2011-04-11,0.29,0.29,0.29,0.29,120000,0.29
2011-04-08,0.29,0.29,0.29,0.29,24000,0.29
2011-04-07,0.28,0.29,0.28,0.29,394000,0.29
2011-04-06,0.29,0.29,0.28,0.28,968000,0.28
2011-04-05,0.29,0.29,0.29,0.29,228000,0.29
2011-04-04,0.29,0.29,0.28,0.29,131000,0.29
2011-04-01,0.29,0.29,0.29,0.29,2000,0.29
2011-03-31,0.29,0.29,0.29,0.29,12000,0.29
2011-03-30,0.29,0.29,0.29,0.29,256000,0.29
2011-03-29,0.28,0.29,0.28,0.28,316000,0.28
2011-03-28,0.29,0.29,0.28,0.28,237000,0.28
2011-03-25,0.29,0.29,0.28,0.29,144000,0.29
2011-03-24,0.28,0.29,0.28,0.28,190000,0.28
2011-03-23,0.28,0.28,0.28,0.28,375000,0.28
2011-03-22,0.28,0.28,0.28,0.28,93000,0.28
2011-03-21,0.28,0.28,0.28,0.28,36000,0.28
2011-03-18,0.28,0.28,0.28,0.28,42000,0.28
2011-03-17,0.28,0.28,0.28,0.28,254000,0.28
2011-03-16,0.27,0.28,0.27,0.28,156000,0.28
2011-03-15,0.28,0.28,0.26,0.27,451000,0.27
2011-03-14,0.28,0.28,0.28,0.28,295000,0.28
2011-03-11,0.30,0.30,0.28,0.28,321000,0.28
2011-03-10,0.29,0.31,0.29,0.30,1166000,0.30
2011-03-09,0.29,0.29,0.28,0.29,52000,0.29
2011-03-08,0.29,0.29,0.29,0.29,288000,0.29
2011-03-07,0.29,0.29,0.28,0.28,307000,0.28
2011-03-04,0.29,0.29,0.29,0.29,129000,0.29
2011-03-03,0.29,0.29,0.29,0.29,256000,0.29
2011-03-02,0.29,0.29,0.28,0.28,2051000,0.28
2011-03-01,0.29,0.30,0.29,0.29,632000,0.29
2011-02-28,0.29,0.29,0.28,0.29,619000,0.29
2011-02-25,0.29,0.29,0.29,0.29,312000,0.29
2011-02-24,0.28,0.29,0.28,0.29,668000,0.29
2011-02-23,0.28,0.29,0.28,0.28,331000,0.28
2011-02-22,0.31,0.31,0.28,0.29,473000,0.29
2011-02-21,0.32,0.32,0.31,0.31,176000,0.31
2011-02-18,0.32,0.32,0.31,0.31,469000,0.31
2011-02-17,0.31,0.32,0.31,0.32,1459000,0.32
2011-02-16,0.50,0.50,0.50,0.50,1230000,0.50
2011-02-15,0.52,0.52,0.51,0.51,920000,0.51
2011-02-14,0.52,0.52,0.52,0.52,455000,0.52
2011-02-11,0.52,0.52,0.52,0.52,284000,0.52
2011-02-10,0.53,0.53,0.52,0.52,815000,0.52
2011-02-09,0.51,0.54,0.51,0.53,1229000,0.53
2011-02-08,0.51,0.51,0.51,0.51,172000,0.51
2011-02-07,0.51,0.52,0.51,0.51,211000,0.51
2011-02-02,0.51,0.51,0.51,0.51,126000,0.51
2011-02-01,0.51,0.51,0.51,0.51,306000,0.51
2011-01-31,0.52,0.52,0.50,0.51,485000,0.51
2011-01-28,0.52,0.52,0.52,0.52,362000,0.52
2011-01-27,0.52,0.53,0.52,0.53,535000,0.53
2011-01-26,0.53,0.54,0.52,0.52,284000,0.52
2011-01-25,0.54,0.54,0.52,0.54,551000,0.54
2011-01-24,0.54,0.55,0.54,0.54,1277000,0.54
2011-01-21,0.53,0.54,0.52,0.54,1008000,0.54
2011-01-20,0.54,0.54,0.52,0.53,575000,0.53
2011-01-19,0.54,0.54,0.53,0.53,1164000,0.53
2011-01-18,0.54,0.54,0.54,0.54,448000,0.54
2011-01-17,0.54,0.54,0.53,0.53,428000,0.53
2011-01-14,0.54,0.54,0.52,0.53,869000,0.53
2011-01-13,0.55,0.55,0.54,0.54,943000,0.54
2011-01-12,0.54,0.55,0.53,0.55,838000,0.55
2011-01-11,0.54,0.54,0.54,0.54,350000,0.54
2011-01-10,0.52,0.54,0.52,0.54,2066000,0.54
2011-01-07,0.50,0.52,0.50,0.52,1136000,0.52
2011-01-06,0.51,0.51,0.50,0.51,775000,0.51
2011-01-05,0.50,0.51,0.50,0.51,435000,0.51
2011-01-04,0.51,0.51,0.50,0.51,259000,0.51
2011-01-03,0.50,0.50,0.50,0.50,638000,0.50
2010-12-31,0.50,0.50,0.50,0.50,148000,0.50
2010-12-30,0.49,0.50,0.49,0.50,178000,0.50
2010-12-29,0.49,0.50,0.49,0.49,142000,0.49
2010-12-28,0.49,0.49,0.49,0.49,235000,0.49
2010-12-27,0.50,0.50,0.49,0.49,124000,0.49
2010-12-24,0.49,0.49,0.49,0.49,540000,0.49
2010-12-23,0.49,0.49,0.49,0.49,376000,0.49
2010-12-22,0.50,0.50,0.49,0.49,242000,0.49
2010-12-21,0.50,0.50,0.50,0.50,70000,0.50
2010-12-20,0.50,0.50,0.49,0.49,235000,0.49
2010-12-17,0.49,0.49,0.49,0.49,85000,0.49
2010-12-16,0.50,0.50,0.50,0.50,125000,0.50
2010-12-15,0.50,0.50,0.50,0.50,345000,0.50
2010-12-14,0.50,0.50,0.50,0.50,115000,0.50
2010-12-13,0.50,0.50,0.49,0.50,119000,0.50
2010-12-10,0.50,0.50,0.50,0.50,401000,0.50
2010-12-09,0.49,0.51,0.49,0.50,1069000,0.50
2010-12-08,0.47,0.47,0.47,0.47,317000,0.47
2010-12-07,0.47,0.47,0.47,0.47,154000,0.47
2010-12-06,0.48,0.48,0.47,0.47,566000,0.47
2010-12-03,0.48,0.49,0.47,0.47,142000,0.47
2010-12-02,0.48,0.48,0.47,0.47,410000,0.47
2010-12-01,0.47,0.48,0.47,0.48,326000,0.48
2010-11-30,0.48,0.48,0.47,0.47,712000,0.47
2010-11-29,0.49,0.49,0.48,0.49,359000,0.49
2010-11-26,0.49,0.49,0.49,0.49,97000,0.49
2010-11-25,0.49,0.50,0.49,0.49,911000,0.49
2010-11-24,0.47,0.49,0.47,0.47,377000,0.47
2010-11-23,0.50,0.50,0.47,0.48,3730000,0.48
2010-11-22,0.51,0.51,0.50,0.50,4076000,0.50
2010-11-19,0.51,0.52,0.51,0.51,1558000,0.51
2010-11-18,0.51,0.52,0.51,0.51,2368000,0.51
2010-11-16,0.52,0.52,0.51,0.51,2435000,0.51
2010-11-15,0.52,0.53,0.52,0.52,2904000,0.52
2010-11-12,0.55,0.55,0.51,0.52,5167000,0.52
2010-11-11,0.58,0.58,0.54,0.55,17641000,0.55
2010-11-10,0.56,0.57,0.56,0.56,2228000,0.56
2010-11-09,0.57,0.57,0.56,0.57,4608000,0.57
2010-11-08,0.57,0.57,0.56,0.57,5244000,0.57
2010-11-04,0.57,0.58,0.56,0.57,3839000,0.57
2010-11-03,0.56,0.57,0.56,0.57,8361000,0.57
2010-11-02,0.54,0.56,0.54,0.56,6374000,0.56
2010-11-01,0.54,0.55,0.54,0.54,1383000,0.54
2010-10-29,0.54,0.54,0.53,0.54,708000,0.54
2010-10-28,0.53,0.54,0.53,0.54,281000,0.54
2010-10-27,0.54,0.54,0.53,0.53,654000,0.53
2010-10-26,0.54,0.54,0.54,0.54,4494000,0.54
2010-10-25,0.54,0.54,0.54,0.54,3297000,0.54
2010-10-22,0.52,0.54,0.52,0.54,223000,0.54
2010-10-21,0.54,0.54,0.54,0.54,264000,0.54
2010-10-20,0.52,0.53,0.52,0.53,639000,0.53
2010-10-19,0.52,0.53,0.52,0.52,611000,0.52
2010-10-18,0.54,0.54,0.52,0.53,1620000,0.53
2010-10-15,0.54,0.54,0.54,0.54,1449000,0.54
2010-10-14,0.54,0.54,0.54,0.54,1404000,0.54
2010-10-13,0.54,0.54,0.54,0.54,1048000,0.54
2010-10-12,0.54,0.54,0.54,0.54,2102000,0.54
2010-10-11,0.54,0.54,0.54,0.54,1616000,0.54
2010-10-08,0.55,0.55,0.54,0.54,1142000,0.54
2010-10-07,0.55,0.55,0.54,0.55,835000,0.55
2010-10-06,0.55,0.55,0.54,0.54,1946000,0.54
2010-10-05,0.55,0.56,0.54,0.55,4241000,0.55
2010-10-04,0.54,0.55,0.54,0.55,3334000,0.55
2010-10-01,0.54,0.55,0.54,0.54,1513000,0.54
2010-09-30,0.54,0.55,0.54,0.54,2968000,0.54
2010-09-29,0.55,0.55,0.54,0.54,3071000,0.54
2010-09-28,0.55,0.55,0.54,0.54,3979000,0.54
2010-09-27,0.56,0.56,0.55,0.55,6487000,0.55
2010-09-24,0.56,0.56,0.55,0.56,12429000,0.56
2010-09-23,0.54,0.56,0.54,0.56,7003000,0.56
2010-09-22,0.55,0.55,0.54,0.54,2607000,0.54
2010-09-21,0.55,0.55,0.54,0.55,2293000,0.55
2010-09-20,0.54,0.55,0.54,0.54,3826000,0.54
2010-09-17,0.52,0.54,0.52,0.54,3897000,0.54
2010-09-16,0.52,0.52,0.52,0.52,152000,0.52
2010-09-15,0.52,0.52,0.52,0.52,611000,0.52
2010-09-14,0.51,0.52,0.51,0.51,855000,0.51
2010-09-13,0.52,0.52,0.51,0.51,1609000,0.51
2010-09-09,0.52,0.52,0.52,0.52,744000,0.52
2010-09-08,0.51,0.52,0.51,0.52,559000,0.52
2010-09-07,0.52,0.53,0.51,0.51,1768000,0.51
2010-09-06,0.53,0.53,0.52,0.52,2884000,0.52
2010-09-03,0.54,0.54,0.52,0.52,1172000,0.52
2010-09-02,0.55,0.55,0.54,0.54,1279000,0.54
2010-09-01,0.54,0.55,0.54,0.54,1902000,0.54
2010-08-31,0.55,0.56,0.55,0.55,4306000,0.55
2010-08-30,0.54,0.56,0.54,0.56,10642000,0.56
2010-08-27,0.52,0.52,0.52,0.52,288000,0.52
2010-08-26,0.53,0.54,0.52,0.53,1307000,0.53
2010-08-25,0.51,0.54,0.51,0.54,4585000,0.54
2010-08-24,0.51,0.51,0.51,0.51,1328000,0.51
2010-08-23,0.50,0.51,0.50,0.51,2456000,0.51
2010-08-20,0.49,0.50,0.49,0.49,200000,0.49
2010-08-19,0.49,0.49,0.48,0.48,550000,0.48
2010-08-18,0.48,0.48,0.47,0.48,81000,0.48
2010-08-17,0.47,0.48,0.47,0.47,000,0.47
2010-08-16,0.49,0.49,0.49,0.49,20000,0.49
2010-08-13,0.49,0.49,0.48,0.48,20000,0.48
2010-08-12,0.48,0.48,0.48,0.48,110000,0.48
2010-08-11,0.48,0.49,0.48,0.48,000,0.48
2010-08-10,0.49,0.49,0.49,0.49,81000,0.49
2010-08-06,0.49,0.50,0.49,0.50,117000,0.50
2010-08-05,0.49,0.50,0.49,0.50,112000,0.50
2010-08-04,0.49,0.49,0.48,0.49,210000,0.49
2010-08-03,0.49,0.49,0.48,0.49,586000,0.49
2010-08-02,0.49,0.49,0.49,0.49,262000,0.49
2010-07-30,0.49,0.49,0.49,0.49,101000,0.49
2010-07-29,0.49,0.49,0.49,0.49,287000,0.49
2010-07-28,0.49,0.49,0.49,0.49,131000,0.49
2010-07-27,0.48,0.49,0.48,0.49,224000,0.49
2010-07-26,0.49,0.49,0.48,0.49,90000,0.49
2010-07-23,0.48,0.48,0.47,0.47,94000,0.47
2010-07-22,0.49,0.49,0.49,0.49,56000,0.49
2010-07-21,0.49,0.49,0.49,0.49,15000,0.49
2010-07-20,0.48,0.49,0.48,0.49,90000,0.49
2010-07-19,0.48,0.49,0.48,0.48,90000,0.48
2010-07-16,0.49,0.49,0.49,0.49,000,0.49
2010-07-15,0.49,0.49,0.49,0.49,334000,0.49
2010-07-14,0.49,0.50,0.49,0.50,176000,0.50
2010-07-13,0.49,0.49,0.49,0.49,81000,0.49
2010-07-12,0.49,0.49,0.49,0.49,93000,0.49
2010-07-09,0.49,0.49,0.49,0.49,158000,0.49
2010-07-08,0.49,0.49,0.48,0.48,431000,0.48
2010-07-07,0.49,0.49,0.48,0.49,427000,0.49
2010-07-06,0.49,0.49,0.49,0.49,30000,0.49
2010-07-05,0.50,0.50,0.49,0.49,61000,0.49
2010-07-02,0.50,0.50,0.49,0.49,90000,0.49
2010-07-01,0.50,0.50,0.49,0.50,1054000,0.50
2010-06-30,0.49,0.49,0.49,0.49,201000,0.49
2010-06-29,0.49,0.49,0.49,0.49,280000,0.49
2010-06-28,0.49,0.50,0.49,0.49,429000,0.49
2010-06-25,0.49,0.49,0.49,0.49,30000,0.49
2010-06-24,0.50,0.50,0.49,0.49,427000,0.49
2010-06-23,0.50,0.50,0.49,0.50,282000,0.50
2010-06-22,0.50,0.50,0.50,0.50,730000,0.50
2010-06-21,0.50,0.51,0.50,0.50,3730000,0.50
2010-06-18,0.50,0.50,0.50,0.50,261000,0.50
2010-06-17,0.51,0.51,0.51,0.51,115000,0.51
2010-06-16,0.52,0.52,0.51,0.51,552000,0.51
2010-06-15,0.51,0.51,0.51,0.51,912000,0.51
2010-06-14,0.50,0.52,0.50,0.51,482000,0.51
2010-06-11,0.51,0.51,0.50,0.51,3604000,0.51
2010-06-10,0.49,0.50,0.49,0.50,2112000,0.50
2010-06-09,0.50,0.50,0.50,0.50,265000,0.50
2010-06-08,0.50,0.50,0.50,0.50,222000,0.50
2010-06-07,0.49,0.50,0.49,0.50,395000,0.50
2010-06-04,0.50,0.50,0.50,0.50,90000,0.50
2010-06-03,0.50,0.51,0.50,0.50,582000,0.50
2010-06-02,0.49,0.50,0.49,0.50,461000,0.50
2010-06-01,0.49,0.49,0.47,0.47,126000,0.47
2010-05-31,0.47,0.49,0.47,0.49,361000,0.49
2010-05-27,0.45,0.47,0.45,0.47,41000,0.47
2010-05-26,0.45,0.45,0.45,0.45,100000,0.45
2010-05-25,0.46,0.46,0.44,0.45,714000,0.45
2010-05-24,0.46,0.47,0.46,0.47,1245000,0.47
2010-05-21,0.46,0.46,0.43,0.46,140000,0.46
2010-05-20,0.47,0.48,0.47,0.47,314000,0.47
2010-05-19,0.49,0.50,0.48,0.48,332000,0.48
2010-05-18,0.50,0.50,0.50,0.50,250000,0.50
2010-05-17,0.50,0.50,0.49,0.49,562000,0.49
2010-05-14,0.50,0.50,0.50,0.50,40000,0.50
2010-05-13,0.51,0.51,0.50,0.50,88000,0.50
2010-05-12,0.50,0.51,0.50,0.51,261000,0.51
2010-05-11,0.51,0.51,0.50,0.50,220000,0.50
2010-05-10,0.50,0.51,0.50,0.51,1420000,0.51
2010-05-07,0.49,0.50,0.49,0.50,432000,0.50
2010-05-06,0.50,0.50,0.50,0.50,355000,0.50
2010-05-05,0.50,0.50,0.50,0.50,707000,0.50
2010-05-04,0.52,0.52,0.50,0.50,825000,0.50
2010-05-03,0.54,0.54,0.53,0.53,1087000,0.53
2010-04-30,0.54,0.54,0.54,0.54,284000,0.54
2010-04-29,0.54,0.54,0.54,0.54,809000,0.54
2010-04-28,0.52,0.54,0.52,0.54,674000,0.54
2010-04-27,0.54,0.54,0.53,0.53,926000,0.53
2010-04-26,0.53,0.55,0.53,0.54,2782000,0.54
2010-04-23,0.52,0.53,0.52,0.53,407000,0.53
2010-04-22,0.52,0.52,0.52,0.52,460000,0.52
2010-04-21,0.54,0.54,0.52,0.52,1102000,0.52
2010-04-20,0.55,0.56,0.53,0.53,3383000,0.53
2010-04-19,0.51,0.55,0.51,0.55,4719000,0.55
2010-04-16,0.51,0.51,0.51,0.51,608000,0.51
2010-04-15,0.52,0.52,0.51,0.51,880000,0.51
2010-04-14,0.52,0.52,0.51,0.51,2606000,0.51
2010-04-13,0.52,0.52,0.51,0.52,801000,0.52
2010-04-12,0.51,0.52,0.51,0.51,1301000,0.51
2010-04-09,0.50,0.51,0.50,0.51,1274000,0.51
2010-04-08,0.51,0.51,0.50,0.50,1113000,0.50
2010-04-07,0.51,0.51,0.51,0.51,1501000,0.51
2010-04-06,0.51,0.51,0.50,0.50,1079000,0.50
2010-04-05,0.51,0.51,0.50,0.51,1606000,0.51
2010-04-01,0.50,0.51,0.50,0.51,1804000,0.51
2010-03-31,0.52,0.52,0.50,0.50,3290000,0.50
2010-03-30,0.53,0.53,0.52,0.52,1135000,0.52
2010-03-29,0.54,0.54,0.52,0.54,1092000,0.54
2010-03-26,0.54,0.54,0.52,0.53,2518000,0.53
2010-03-25,0.55,0.56,0.54,0.54,1296000,0.54
2010-03-24,0.56,0.57,0.55,0.55,17854000,0.55
2010-03-23,0.54,0.56,0.54,0.55,1273000,0.55
2010-03-22,0.55,0.55,0.54,0.54,843000,0.54
2010-03-19,0.56,0.56,0.55,0.56,1047000,0.56
2010-03-18,0.55,0.56,0.55,0.56,3050000,0.56
2010-03-17,0.54,0.56,0.54,0.54,1683000,0.54
2010-03-16,0.54,0.55,0.54,0.54,608000,0.54
2010-03-15,0.55,0.55,0.54,0.55,2306000,0.55
2010-03-12,0.49,0.54,0.49,0.54,2765000,0.54
2010-03-11,0.50,0.50,0.49,0.49,239000,0.49
2010-03-10,0.48,0.50,0.48,0.50,1374000,0.50
2010-03-09,0.47,0.48,0.47,0.48,355000,0.48
2010-03-08,0.49,0.49,0.47,0.47,597000,0.47
2010-03-05,0.47,0.49,0.47,0.48,1199000,0.48
2010-03-04,0.49,0.49,0.47,0.47,926000,0.47
2010-03-03,0.50,0.50,0.47,0.49,1875000,0.49
2010-03-02,0.50,0.50,0.50,0.50,770000,0.50
2010-03-01,0.50,0.51,0.50,0.50,1953000,0.50
2010-02-26,0.50,0.51,0.50,0.50,726000,0.50
2010-02-25,0.50,0.50,0.50,0.50,1299000,0.50
2010-02-24,0.50,0.51,0.50,0.51,1778000,0.51
2010-02-23,0.50,0.51,0.50,0.50,1007000,0.50
2010-02-22,0.52,0.52,0.50,0.50,3740000,0.50
2010-02-19,0.51,0.51,0.50,0.51,480000,0.51
2010-02-18,0.52,0.52,0.51,0.51,2285000,0.51
2010-02-17,0.51,0.52,0.51,0.52,2895000,0.52
2010-02-12,0.51,0.51,0.51,0.51,800000,0.51
2010-02-11,0.50,0.51,0.50,0.50,586000,0.50
2010-02-10,0.51,0.51,0.50,0.50,2460000,0.50
