Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.26,0.38,0.26,0.26,000,0.26
2011-08-03,0.26,0.38,0.26,0.26,000,0.26
2011-08-02,0.26,0.38,0.26,0.26,000,0.26
2011-08-01,0.26,0.38,0.26,0.26,000,0.26
2011-07-29,0.26,0.38,0.26,0.26,000,0.26
2011-07-28,0.26,0.38,0.26,0.26,000,0.26
2011-07-27,0.26,0.38,0.26,0.26,000,0.26
2011-07-26,0.26,0.38,0.26,0.26,000,0.26
2011-07-25,0.26,0.38,0.26,0.26,000,0.26
2011-07-22,0.21,0.39,0.21,0.21,000,0.21
2011-07-21,0.21,0.39,0.21,0.21,000,0.21
2011-07-20,0.21,0.40,0.21,0.21,000,0.21
2011-07-19,0.21,0.40,0.21,0.21,000,0.21
2011-07-18,0.21,0.40,0.21,0.21,000,0.21
2011-07-15,0.24,0.36,0.24,0.24,000,0.24
2011-07-14,0.21,0.40,0.21,0.21,000,0.21
2011-07-13,0.21,0.40,0.21,0.21,000,0.21
2011-07-12,0.21,0.40,0.21,0.21,000,0.21
2011-07-11,0.21,0.36,0.21,0.21,5000000,0.21
2011-07-08,0.21,0.36,0.21,0.21,000,0.21
2011-07-07,0.21,0.40,0.21,0.21,000,0.21
2011-07-06,0.21,0.40,0.21,0.21,000,0.21
2011-07-05,0.26,0.40,0.26,0.26,000,0.26
2011-07-04,0.26,0.40,0.26,0.26,000,0.26
2011-07-01,0.26,0.40,0.26,0.26,000,0.26
2011-06-30,0.32,0.39,0.32,0.32,000,0.32
2011-06-29,0.31,0.39,0.31,0.31,000,0.31
2011-06-28,0.30,0.38,0.30,0.30,000,0.30
2011-06-27,0.31,0.39,0.31,0.31,000,0.31
2011-06-24,0.30,0.38,0.30,0.30,000,0.30
2011-06-23,0.31,0.38,0.31,0.31,000,0.31
2011-06-22,0.30,0.38,0.30,0.30,000,0.30
2011-06-21,0.26,0.38,0.26,0.26,000,0.26
2011-06-20,0.28,0.38,0.28,0.28,000,0.28
2011-06-17,0.32,0.39,0.32,0.32,000,0.32
2011-06-16,0.33,0.38,0.33,0.33,000,0.33
2011-06-15,0.31,0.38,0.31,0.31,000,0.31
2011-06-14,0.29,0.38,0.29,0.29,000,0.29
2011-06-13,0.29,0.40,0.29,0.29,000,0.29
2011-06-10,0.29,0.39,0.29,0.29,000,0.29
2011-06-09,0.29,0.39,0.29,0.29,000,0.29
2011-06-08,0.29,0.39,0.29,0.29,000,0.29
2011-06-07,0.29,0.39,0.29,0.29,000,0.29
2011-06-06,0.29,0.39,0.29,0.29,000,0.29
2011-06-03,0.29,0.39,0.29,0.29,000,0.29
2011-06-02,0.26,0.39,0.26,0.26,000,0.26
2011-06-01,0.31,0.40,0.31,0.31,000,0.31
2011-05-31,0.31,0.40,0.31,0.31,000,0.31
2011-05-30,0.26,0.40,0.26,0.26,000,0.26
2011-05-27,0.28,0.38,0.28,0.28,000,0.28
2011-05-26,0.28,0.40,0.28,0.28,000,0.28
2011-05-25,0.28,0.40,0.28,0.28,000,0.28
2011-05-24,0.28,0.40,0.28,0.28,000,0.28
2011-05-23,0.26,0.40,0.26,0.26,000,0.26
2011-05-20,0.26,0.40,0.26,0.26,000,0.26
2011-05-19,0.26,0.36,0.26,0.26,000,0.26
2011-05-18,0.26,0.36,0.26,0.26,000,0.26
2011-05-16,0.28,0.36,0.28,0.28,000,0.28
2011-05-13,0.26,0.36,0.26,0.26,000,0.26
2011-05-12,0.26,0.36,0.26,0.26,000,0.26
2011-05-11,0.30,0.36,0.30,0.30,000,0.30
2011-05-10,0.33,0.39,0.33,0.33,000,0.33
2011-05-09,0.31,0.38,0.31,0.36,6000,0.36
2011-05-06,0.26,0.39,0.26,0.26,000,0.26
2011-05-05,0.26,0.39,0.26,0.26,000,0.26
2011-05-04,0.26,0.39,0.26,0.26,000,0.26
2011-05-03,0.31,0.39,0.31,0.31,000,0.31
2011-04-29,0.31,0.39,0.31,0.31,000,0.31
2011-04-28,0.32,0.33,0.32,0.32,000,0.32
2011-04-27,0.32,0.34,0.32,0.32,000,0.32
2011-04-26,0.33,0.39,0.33,0.33,000,0.33
2011-04-25,0.32,0.34,0.32,0.32,000,0.32
2011-04-21,0.31,0.35,0.31,0.31,000,0.31
2011-04-20,0.30,0.39,0.30,0.30,000,0.30
2011-04-19,0.31,0.39,0.31,0.31,000,0.31
2011-04-18,0.30,0.39,0.30,0.30,000,0.30
2011-04-15,0.30,0.40,0.30,0.30,000,0.30
2011-04-14,0.31,0.35,0.31,0.31,000,0.31
2011-04-13,0.31,0.38,0.31,0.31,000,0.31
2011-04-12,0.30,0.39,0.30,0.30,000,0.30
2011-04-11,0.32,0.36,0.32,0.32,000,0.32
2011-04-08,0.28,0.38,0.28,0.28,000,0.28
2011-04-07,0.28,0.40,0.28,0.28,000,0.28
2011-04-06,0.26,0.40,0.26,0.26,000,0.26
2011-04-05,0.27,0.37,0.27,0.27,000,0.27
2011-04-04,0.21,0.39,0.21,0.21,000,0.21
2011-04-01,0.31,0.39,0.31,0.31,000,0.31
2011-03-31,0.31,0.38,0.31,0.31,000,0.31
2011-03-30,0.28,0.38,0.28,0.28,000,0.28
2011-03-29,0.31,0.40,0.31,0.31,000,0.31
2011-03-28,0.31,0.40,0.31,0.31,000,0.31
2011-03-25,0.31,0.40,0.31,0.31,000,0.31
2011-03-24,0.32,0.40,0.32,0.32,1000000,0.32
2011-03-23,0.31,0.38,0.31,0.31,000,0.31
2011-03-22,0.30,0.39,0.30,0.30,000,0.30
2011-03-21,0.26,0.38,0.26,0.26,000,0.26
2011-03-18,0.30,0.35,0.30,0.30,000,0.30
2011-03-17,0.26,0.40,0.26,0.26,000,0.26
2011-03-16,0.26,0.40,0.26,0.26,000,0.26
2011-03-15,0.28,0.40,0.28,0.28,000,0.28
2011-03-14,0.26,0.39,0.26,0.26,000,0.26
2011-03-11,0.26,0.39,0.26,0.26,000,0.26
2011-03-10,0.26,0.39,0.26,0.26,000,0.26
2011-03-09,0.26,0.39,0.26,0.26,000,0.26
2011-03-08,0.28,0.39,0.28,0.28,000,0.28
2011-03-07,0.28,0.38,0.28,0.28,000,0.28
2011-03-04,0.26,0.38,0.26,0.26,000,0.26
2011-03-03,0.28,0.38,0.28,0.28,000,0.28
2011-03-02,0.26,0.38,0.26,0.26,000,0.26
2011-03-01,0.26,0.39,0.26,0.26,000,0.26
2011-02-28,0.26,0.40,0.26,0.26,000,0.26
2011-02-25,0.30,0.39,0.30,0.30,000,0.30
2011-02-24,0.33,0.39,0.33,0.33,000,0.33
2011-02-23,0.33,0.38,0.33,0.33,000,0.33
2011-02-22,0.30,0.38,0.30,0.30,000,0.30
2011-02-21,0.32,0.39,0.32,0.32,000,0.32
2011-02-18,0.33,0.38,0.33,0.33,000,0.33
2011-02-17,0.33,0.38,0.33,0.33,000,0.33
2011-02-16,0.32,0.40,0.32,0.32,000,0.32
2011-02-15,0.33,0.39,0.33,0.33,000,0.33
2011-02-14,0.32,0.38,0.32,0.32,000,0.32
2011-02-11,0.34,0.38,0.34,0.34,000,0.34
