Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.19,0.19,0.18,0.18,2682000,0.18
2011-08-03,0.18,0.19,0.18,0.19,2502000,0.19
2011-08-02,0.19,0.19,0.19,0.19,1765000,0.19
2011-08-01,0.20,0.20,0.19,0.19,1474000,0.19
2011-07-29,0.20,0.20,0.19,0.19,8269000,0.19
2011-07-28,0.19,0.20,0.19,0.20,10717000,0.20
2011-07-27,0.19,0.19,0.19,0.19,6042000,0.19
2011-07-26,0.19,0.19,0.19,0.19,2187000,0.19
2011-07-25,0.19,0.19,0.19,0.19,1883000,0.19
2011-07-22,0.19,0.19,0.19,0.19,3633000,0.19
2011-07-21,0.19,0.19,0.19,0.19,5152000,0.19
2011-07-20,0.19,0.19,0.19,0.19,8206000,0.19
2011-07-19,0.19,0.19,0.18,0.19,3734000,0.19
2011-07-18,0.19,0.19,0.19,0.19,3119000,0.19
2011-07-15,0.20,0.20,0.19,0.19,5884000,0.19
2011-07-14,0.20,0.21,0.20,0.20,13959000,0.20
2011-07-13,0.20,0.20,0.20,0.20,11660000,0.20
2011-07-12,0.20,0.20,0.20,0.20,3728000,0.20
2011-07-11,0.21,0.21,0.20,0.21,3421000,0.21
2011-07-08,0.21,0.22,0.21,0.22,3199000,0.22
2011-07-07,0.22,0.22,0.21,0.21,9546000,0.21
2011-07-06,0.20,0.23,0.20,0.22,53979000,0.22
2011-07-05,0.21,0.21,0.20,0.20,6856000,0.20
2011-07-04,0.21,0.22,0.20,0.21,5409000,0.21
2011-07-01,0.21,0.21,0.20,0.20,4604000,0.20
2011-06-30,0.20,0.22,0.20,0.21,32035000,0.21
2011-06-29,0.20,0.21,0.20,0.20,17635000,0.20
2011-06-28,0.22,0.22,0.20,0.20,7760000,0.20
2011-06-27,0.20,0.22,0.20,0.22,5544000,0.22
2011-06-24,0.20,0.22,0.20,0.21,5547000,0.21
2011-06-23,0.22,0.22,0.20,0.21,27786000,0.21
2011-06-22,0.19,0.22,0.19,0.22,69239000,0.22
2011-06-21,0.19,0.20,0.19,0.19,6282000,0.19
2011-06-20,0.19,0.19,0.19,0.19,2876000,0.19
2011-06-17,0.20,0.20,0.19,0.19,3814000,0.19
2011-06-16,0.19,0.20,0.19,0.20,8245000,0.20
2011-06-15,0.20,0.21,0.19,0.20,13157000,0.20
2011-06-14,0.20,0.20,0.20,0.20,3989000,0.20
2011-06-13,0.20,0.22,0.20,0.20,6446000,0.20
2011-06-10,0.22,0.22,0.21,0.21,2938000,0.21
2011-06-09,0.23,0.24,0.22,0.22,9330000,0.22
2011-06-08,0.20,0.25,0.20,0.23,72172000,0.23
2011-06-07,0.19,0.20,0.19,0.20,3248000,0.20
2011-06-06,0.19,0.19,0.18,0.19,1197000,0.19
2011-06-03,0.19,0.20,0.19,0.19,954000,0.19
2011-06-02,0.19,0.19,0.19,0.19,3052000,0.19
2011-06-01,0.20,0.20,0.19,0.20,2258000,0.20
2011-05-31,0.20,0.20,0.20,0.20,1087000,0.20
2011-05-30,0.22,0.22,0.19,0.20,1408000,0.20
2011-05-27,0.22,0.22,0.22,0.22,1474000,0.22
2011-05-26,0.22,0.23,0.22,0.22,15175000,0.22
2011-05-25,0.20,0.23,0.20,0.22,17109000,0.22
2011-05-24,0.18,0.20,0.18,0.20,1245000,0.20
2011-05-23,0.19,0.19,0.17,0.18,1016000,0.18
2011-05-20,0.20,0.20,0.19,0.19,1608000,0.19
2011-05-19,0.20,0.20,0.20,0.20,345000,0.20
2011-05-18,0.19,0.21,0.19,0.21,1093000,0.21
2011-05-16,0.19,0.20,0.19,0.19,560000,0.19
2011-05-13,0.19,0.19,0.19,0.19,870000,0.19
2011-05-12,0.20,0.20,0.19,0.19,1319000,0.19
2011-05-11,0.19,0.22,0.19,0.21,2913000,0.21
2011-05-10,0.18,0.19,0.17,0.19,1488000,0.19
2011-05-09,0.18,0.19,0.18,0.19,907000,0.19
2011-05-06,0.20,0.20,0.17,0.17,2414000,0.17
2011-05-05,0.19,0.21,0.19,0.20,1208000,0.20
2011-05-04,0.20,0.22,0.19,0.20,1610000,0.20
2011-05-03,0.23,0.23,0.20,0.20,1487000,0.20
2011-04-29,0.25,0.25,0.22,0.23,2408000,0.23
2011-04-28,0.25,0.26,0.23,0.25,4426000,0.25
2011-04-27,0.23,0.25,0.20,0.24,3247000,0.24
2011-04-26,0.17,0.23,0.17,0.23,4092000,0.23
2011-04-25,0.18,0.18,0.17,0.17,1100000,0.17
2011-04-21,0.16,0.18,0.16,0.18,1623000,0.18
2011-04-20,0.13,0.16,0.13,0.16,4059000,0.16
2011-04-19,0.12,0.13,0.12,0.12,2562000,0.12
2011-04-18,0.12,0.12,0.12,0.12,460000,0.12
2011-04-15,0.12,0.12,0.11,0.12,685000,0.12
2011-04-14,0.12,0.12,0.12,0.12,732000,0.12
2011-04-13,0.10,0.11,0.10,0.11,534000,0.11
2011-04-12,0.11,0.11,0.10,0.10,650000,0.10
2011-04-11,0.10,0.11,0.10,0.11,1065000,0.11
2011-04-08,0.10,0.10,0.10,0.10,500000,0.10
2011-04-07,0.10,0.10,0.10,0.10,677000,0.10
2011-04-06,0.10,0.10,0.09,0.10,1130000,0.10
2011-04-05,0.12,0.12,0.10,0.10,1612000,0.10
2011-04-04,0.10,0.12,0.10,0.11,5726000,0.11
2011-04-01,0.10,0.10,0.10,0.10,570000,0.10
2011-03-31,0.10,0.10,0.09,0.09,115000,0.09
2011-03-30,0.11,0.11,0.10,0.10,1562000,0.10
2011-03-29,0.09,0.11,0.09,0.11,3405000,0.11
2011-03-28,0.09,0.09,0.09,0.09,508000,0.09
2011-03-25,0.09,0.09,0.09,0.09,20000,0.09
2011-03-24,0.09,0.09,0.09,0.09,560000,0.09
2011-03-23,0.09,0.09,0.09,0.09,705000,0.09
2011-03-22,0.09,0.09,0.09,0.09,413000,0.09
2011-03-21,0.09,0.10,0.09,0.09,8026000,0.09
2011-03-18,0.08,0.09,0.08,0.09,360000,0.09
2011-03-17,0.08,0.08,0.08,0.08,950000,0.08
2011-03-16,0.08,0.08,0.08,0.08,130000,0.08
2011-03-15,0.08,0.08,0.07,0.08,810000,0.08
2011-03-14,0.08,0.08,0.08,0.08,610000,0.08
2011-03-11,0.07,0.08,0.07,0.07,000,0.07
2011-03-10,0.07,0.08,0.07,0.07,000,0.07
2011-03-09,0.08,0.08,0.08,0.08,98000,0.08
2011-03-08,0.07,0.07,0.07,0.07,4000,0.07
2011-03-07,0.07,0.08,0.07,0.07,000,0.07
2011-03-04,0.07,0.07,0.07,0.07,100000,0.07
2011-03-03,0.07,0.07,0.07,0.07,40000,0.07
2011-03-02,0.06,0.08,0.06,0.06,000,0.06
2011-03-01,0.07,0.07,0.07,0.07,20000,0.07
2011-02-28,0.06,0.08,0.06,0.08,940000,0.08
2011-02-25,0.06,0.06,0.06,0.06,160000,0.06
2011-02-24,0.07,0.07,0.07,0.07,120000,0.07
2011-02-23,0.06,0.06,0.06,0.06,40000,0.06
2011-02-22,0.07,0.07,0.06,0.06,149000,0.06
2011-02-21,0.07,0.08,0.07,0.07,000,0.07
2011-02-18,0.08,0.08,0.08,0.08,10000,0.08
2011-02-17,0.07,0.08,0.07,0.07,000,0.07
2011-02-16,0.07,0.08,0.07,0.07,000,0.07
2011-02-15,0.08,0.08,0.08,0.08,40000,0.08
2011-02-14,0.08,0.08,0.08,0.08,5000,0.08
2011-02-11,0.08,0.08,0.08,0.08,236000,0.08
2011-02-10,0.08,0.08,0.08,0.08,000,0.08
2011-02-09,0.08,0.08,0.08,0.08,000,0.08
2011-02-08,0.08,0.09,0.08,0.08,000,0.08
2011-02-07,0.08,0.09,0.08,0.08,000,0.08
2011-02-02,0.08,0.08,0.08,0.08,000,0.08
2011-02-01,0.08,0.08,0.08,0.08,000,0.08
2011-01-31,0.08,0.08,0.08,0.08,000,0.08
2011-01-28,0.08,0.08,0.08,0.08,8000,0.08
2011-01-27,0.08,0.08,0.08,0.08,120000,0.08
2011-01-26,0.08,0.08,0.08,0.08,100000,0.08
2011-01-25,0.08,0.08,0.08,0.08,100000,0.08
2011-01-24,0.08,0.09,0.08,0.08,000,0.08
2011-01-21,0.09,0.09,0.09,0.09,50000,0.09
2011-01-20,0.08,0.09,0.08,0.08,301000,0.08
2011-01-19,0.08,0.09,0.08,0.09,1595000,0.09
2011-01-18,0.08,0.08,0.08,0.08,000,0.08
2011-01-17,0.08,0.08,0.08,0.08,41000,0.08
2011-01-14,0.08,0.08,0.08,0.08,000,0.08
2011-01-13,0.08,0.08,0.08,0.08,150000,0.08
2011-01-12,0.08,0.08,0.08,0.08,120000,0.08
2011-01-11,0.08,0.08,0.08,0.08,4000,0.08
2011-01-10,0.08,0.08,0.08,0.08,100000,0.08
2011-01-07,0.08,0.08,0.08,0.08,100000,0.08
2011-01-06,0.08,0.08,0.08,0.08,110000,0.08
2011-01-05,0.07,0.08,0.07,0.08,302000,0.08
2011-01-04,0.07,0.08,0.07,0.07,000,0.07
2011-01-03,0.08,0.08,0.08,0.08,280000,0.08
2010-12-31,0.08,0.08,0.08,0.08,100000,0.08
2010-12-30,0.07,0.08,0.07,0.07,000,0.07
2010-12-29,0.07,0.08,0.07,0.07,000,0.07
2010-12-28,0.07,0.08,0.07,0.07,000,0.07
2010-12-27,0.07,0.08,0.07,0.07,000,0.07
2010-12-24,0.07,0.08,0.07,0.07,000,0.07
2010-12-23,0.07,0.08,0.07,0.07,000,0.07
2010-12-22,0.07,0.08,0.07,0.07,000,0.07
2010-12-21,0.08,0.08,0.08,0.08,50000,0.08
2010-12-20,0.08,0.08,0.08,0.08,130000,0.08
2010-12-17,0.08,0.08,0.08,0.08,100000,0.08
2010-12-16,0.07,0.08,0.07,0.07,000,0.07
2010-12-15,0.07,0.08,0.07,0.07,000,0.07
2010-12-14,0.07,0.08,0.07,0.07,000,0.07
2010-12-13,0.07,0.08,0.07,0.08,746000,0.08
2010-12-10,0.07,0.07,0.07,0.07,1000,0.07
2010-12-09,0.07,0.08,0.07,0.07,000,0.07
2010-12-08,0.07,0.08,0.07,0.07,000,0.07
2010-12-07,0.07,0.08,0.07,0.07,000,0.07
2010-12-06,0.07,0.08,0.07,0.07,000,0.07
2010-12-03,0.07,0.07,0.07,0.07,10000,0.07
2010-12-02,0.08,0.08,0.08,0.08,280000,0.08
2010-12-01,0.07,0.08,0.07,0.08,100000,0.08
2010-11-30,0.07,0.07,0.07,0.07,207000,0.07
2010-11-29,0.07,0.07,0.07,0.07,347000,0.07
2010-11-26,0.08,0.08,0.08,0.08,15000,0.08
2010-11-25,0.07,0.08,0.07,0.07,000,0.07
2010-11-24,0.07,0.07,0.07,0.07,162000,0.07
2010-11-23,0.07,0.08,0.07,0.07,000,0.07
2010-11-22,0.08,0.08,0.07,0.08,1050000,0.08
2010-11-19,0.07,0.08,0.07,0.07,000,0.07
2010-11-18,0.08,0.08,0.08,0.08,50000,0.08
2010-11-16,0.07,0.08,0.07,0.08,1498000,0.08
2010-11-15,0.07,0.07,0.07,0.07,1619000,0.07
2010-11-12,0.07,0.07,0.06,0.06,860000,0.06
2010-11-11,0.06,0.07,0.06,0.06,000,0.06
2010-11-10,0.06,0.07,0.06,0.06,000,0.06
2010-11-09,0.07,0.07,0.07,0.07,30000,0.07
2010-11-08,0.07,0.07,0.07,0.07,70000,0.07
2010-11-04,0.07,0.07,0.07,0.07,10000,0.07
2010-11-03,0.07,0.07,0.07,0.07,51000,0.07
2010-11-02,0.06,0.07,0.06,0.06,000,0.06
2010-11-01,0.07,0.07,0.07,0.07,140000,0.07
2010-10-29,0.07,0.07,0.07,0.07,1565000,0.07
2010-10-28,0.07,0.08,0.07,0.08,3130000,0.08
2010-10-27,0.08,0.08,0.08,0.08,600000,0.08
2010-10-26,0.08,0.08,0.08,0.08,20000,0.08
2010-10-25,0.08,0.08,0.08,0.08,658000,0.08
2010-10-22,0.08,0.08,0.08,0.08,782000,0.08
2010-10-21,0.08,0.08,0.08,0.08,1688000,0.08
2010-10-20,0.06,0.07,0.06,0.06,000,0.06
2010-10-19,0.06,0.07,0.06,0.06,000,0.06
2010-10-18,0.07,0.07,0.07,0.07,55000,0.07
2010-10-15,0.06,0.07,0.06,0.07,84000,0.07
2010-10-14,0.07,0.07,0.07,0.07,363000,0.07
2010-10-13,0.07,0.07,0.07,0.07,192000,0.07
2010-10-12,0.06,0.07,0.06,0.06,000,0.06
2010-10-11,0.07,0.07,0.06,0.06,165000,0.06
2010-10-08,0.06,0.07,0.06,0.06,000,0.06
2010-10-07,0.06,0.06,0.06,0.06,261000,0.06
2010-10-06,0.07,0.07,0.07,0.07,276000,0.07
2010-10-05,0.06,0.07,0.06,0.06,000,0.06
2010-10-04,0.06,0.07,0.06,0.06,000,0.06
2010-10-01,0.06,0.07,0.06,0.07,160000,0.07
2010-09-30,0.06,0.07,0.06,0.06,000,0.06
2010-09-29,0.06,0.07,0.06,0.06,000,0.06
