Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.46,0.47,0.46,0.47,119000,0.47
2011-08-03,0.45,0.47,0.45,0.46,26000,0.46
2011-08-02,0.47,0.47,0.47,0.47,10000,0.47
2011-08-01,0.47,0.48,0.47,0.47,000,0.47
2011-07-29,0.47,0.47,0.47,0.47,11000,0.47
2011-07-28,0.47,0.47,0.47,0.47,164000,0.47
2011-07-27,0.47,0.48,0.47,0.47,208000,0.47
2011-07-26,0.48,0.48,0.48,0.48,101000,0.48
2011-07-25,0.48,0.48,0.48,0.48,80000,0.48
2011-07-22,0.47,0.48,0.47,0.48,220000,0.48
2011-07-21,0.46,0.48,0.46,0.47,507000,0.47
2011-07-20,0.46,0.47,0.46,0.47,180000,0.47
2011-07-19,0.46,0.47,0.46,0.46,000,0.46
2011-07-18,0.46,0.47,0.46,0.47,189000,0.47
2011-07-15,0.47,0.47,0.46,0.47,126000,0.47
2011-07-14,0.47,0.47,0.47,0.47,570000,0.47
2011-07-13,0.47,0.47,0.47,0.47,525000,0.47
2011-07-12,0.47,0.47,0.47,0.47,44000,0.47
2011-07-11,0.47,0.47,0.47,0.47,260000,0.47
2011-07-08,0.47,0.47,0.47,0.47,225000,0.47
2011-07-07,0.47,0.47,0.47,0.47,382000,0.47
2011-07-06,0.45,0.47,0.45,0.47,1237000,0.47
2011-07-05,0.46,0.46,0.44,0.44,99000,0.44
2011-07-04,0.46,0.46,0.46,0.46,530000,0.46
2011-07-01,0.46,0.46,0.46,0.46,45000,0.46
2011-06-30,0.46,0.46,0.46,0.46,208000,0.46
2011-06-29,0.46,0.46,0.46,0.46,110000,0.46
2011-06-28,0.46,0.46,0.46,0.46,230000,0.46
2011-06-27,0.46,0.46,0.46,0.46,15000,0.46
2011-06-24,0.46,0.46,0.46,0.46,37000,0.46
2011-06-23,0.46,0.46,0.46,0.46,224000,0.46
2011-06-22,0.46,0.46,0.46,0.46,105000,0.46
2011-06-21,0.46,0.46,0.46,0.46,25000,0.46
2011-06-20,0.45,0.46,0.45,0.45,170000,0.45
2011-06-17,0.46,0.46,0.45,0.45,140000,0.45
2011-06-16,0.47,0.47,0.46,0.46,277000,0.46
2011-06-15,0.47,0.47,0.47,0.47,220000,0.47
2011-06-14,0.47,0.47,0.46,0.47,130000,0.47
2011-06-13,0.47,0.47,0.47,0.47,329000,0.47
2011-06-10,0.48,0.49,0.47,0.48,1190000,0.48
2011-06-09,0.46,0.49,0.46,0.48,1124000,0.48
2011-06-08,0.46,0.46,0.46,0.46,190000,0.46
2011-06-07,0.46,0.46,0.46,0.46,108000,0.46
2011-06-06,0.46,0.46,0.46,0.46,220000,0.46
2011-06-03,0.46,0.47,0.46,0.46,255000,0.46
2011-06-02,0.45,0.45,0.45,0.45,49000,0.45
2011-06-01,0.46,0.46,0.46,0.46,26000,0.46
2011-05-31,0.45,0.46,0.45,0.45,000,0.45
2011-05-30,0.46,0.46,0.46,0.46,45000,0.46
2011-05-27,0.45,0.46,0.45,0.45,000,0.45
2011-05-26,0.46,0.46,0.46,0.46,000,0.46
2011-05-25,0.45,0.45,0.44,0.45,123000,0.45
2011-05-24,0.45,0.46,0.45,0.45,72000,0.45
2011-05-23,0.46,0.46,0.46,0.46,413000,0.46
2011-05-20,0.47,0.47,0.47,0.47,185000,0.47
2011-05-19,0.46,0.46,0.46,0.46,297000,0.46
2011-05-18,0.44,0.46,0.44,0.46,367000,0.46
2011-05-16,0.44,0.45,0.44,0.44,311000,0.44
2011-05-13,0.44,0.44,0.44,0.44,5000,0.44
2011-05-12,0.45,0.45,0.45,0.45,59000,0.45
2011-05-11,0.45,0.46,0.45,0.45,000,0.45
2011-05-10,0.46,0.46,0.45,0.46,82000,0.46
2011-05-09,0.46,0.46,0.46,0.46,213000,0.46
2011-05-06,0.44,0.46,0.44,0.44,000,0.44
2011-05-05,0.44,0.45,0.44,0.45,2000,0.45
2011-05-04,0.44,0.44,0.44,0.44,208000,0.44
2011-05-03,0.46,0.46,0.45,0.45,174000,0.45
2011-04-29,0.46,0.46,0.46,0.46,234000,0.46
2011-04-28,0.46,0.46,0.46,0.46,91000,0.46
