Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.48,0.48,0.47,0.47,2375000,0.47
2011-08-03,0.47,0.48,0.47,0.47,3272000,0.47
2011-08-02,0.49,0.49,0.47,0.47,18871000,0.47
2011-08-01,0.50,0.45,0.50,0.50,000,0.50
2011-07-29,0.46,0.45,0.46,0.46,000,0.46
2011-07-28,0.45,0.46,0.44,0.45,5587000,0.45
2011-07-27,0.44,0.46,0.44,0.46,4754000,0.46
2011-07-26,0.43,0.46,0.43,0.45,6837000,0.45
2011-07-25,0.43,0.44,0.43,0.43,1631000,0.43
2011-07-22,0.41,0.44,0.41,0.44,10291000,0.44
2011-07-21,0.38,0.40,0.38,0.40,737000,0.40
2011-07-20,0.39,0.40,0.38,0.38,719000,0.38
2011-07-19,0.37,0.38,0.37,0.38,373000,0.38
2011-07-18,0.38,0.39,0.37,0.37,616000,0.37
2011-07-15,0.39,0.39,0.38,0.38,530000,0.38
2011-07-14,0.38,0.41,0.38,0.39,2510000,0.39
2011-07-13,0.37,0.38,0.37,0.38,571000,0.38
2011-07-12,0.37,0.37,0.36,0.37,549000,0.37
2011-07-11,0.35,0.37,0.35,0.37,150000,0.37
2011-07-08,0.35,0.36,0.35,0.36,208000,0.36
2011-07-07,0.35,0.35,0.35,0.35,167000,0.35
2011-07-06,0.35,0.35,0.35,0.35,258000,0.35
2011-07-05,0.35,0.35,0.35,0.35,39000,0.35
2011-07-04,0.35,0.35,0.35,0.35,300000,0.35
2011-07-01,0.34,0.34,0.34,0.34,94000,0.34
2011-06-30,0.35,0.35,0.34,0.34,109000,0.34
2011-06-29,0.35,0.35,0.34,0.34,31000,0.34
2011-06-28,0.34,0.34,0.34,0.34,130000,0.34
2011-06-27,0.33,0.33,0.33,0.33,2000,0.33
2011-06-24,0.34,0.34,0.34,0.34,22000,0.34
2011-06-23,0.34,0.34,0.33,0.34,331000,0.34
2011-06-22,0.34,0.34,0.34,0.34,41000,0.34
2011-06-21,0.32,0.34,0.32,0.34,173000,0.34
2011-06-20,0.34,0.34,0.33,0.33,272000,0.33
2011-06-17,0.33,0.34,0.33,0.33,93000,0.33
2011-06-16,0.34,0.34,0.33,0.33,402000,0.33
2011-06-15,0.34,0.35,0.34,0.34,395000,0.34
2011-06-14,0.34,0.34,0.34,0.34,121000,0.34
2011-06-13,0.34,0.35,0.34,0.34,166000,0.34
2011-06-10,0.35,0.35,0.34,0.34,138000,0.34
2011-06-09,0.35,0.35,0.34,0.35,91000,0.35
2011-06-08,0.35,0.35,0.34,0.34,153000,0.34
2011-06-07,0.34,0.35,0.34,0.35,88000,0.35
2011-06-06,0.35,0.35,0.34,0.34,93000,0.34
2011-06-03,0.35,0.35,0.35,0.35,2000,0.35
2011-06-02,0.36,0.36,0.35,0.35,205000,0.35
2011-06-01,0.36,0.36,0.36,0.36,204000,0.36
2011-05-31,0.36,0.36,0.36,0.36,228000,0.36
2011-05-30,0.35,0.36,0.35,0.36,148000,0.36
2011-05-27,0.35,0.35,0.35,0.35,2000,0.35
2011-05-26,0.35,0.35,0.35,0.35,46000,0.35
2011-05-25,0.35,0.36,0.35,0.36,196000,0.36
2011-05-24,0.36,0.36,0.35,0.35,42000,0.35
2011-05-23,0.36,0.36,0.34,0.34,578000,0.34
2011-05-20,0.36,0.37,0.36,0.37,319000,0.37
2011-05-19,0.36,0.36,0.35,0.36,287000,0.36
2011-05-18,0.37,0.37,0.35,0.35,786000,0.35
2011-05-16,0.38,0.38,0.37,0.37,128000,0.37
2011-05-13,0.38,0.38,0.38,0.38,327000,0.38
2011-05-12,0.38,0.38,0.38,0.38,200000,0.38
2011-05-11,0.38,0.38,0.38,0.38,119000,0.38
2011-05-10,0.38,0.38,0.38,0.38,96000,0.38
