Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.20,0.20,0.19,0.19,325000,0.19
2011-08-03,0.19,0.19,0.19,0.19,344000,0.19
2011-08-02,0.20,0.20,0.20,0.20,258000,0.20
2011-08-01,0.20,0.20,0.20,0.20,284000,0.20
2011-07-29,0.20,0.21,0.20,0.20,1124000,0.20
2011-07-28,0.20,0.20,0.20,0.20,1122000,0.20
2011-07-27,0.21,0.21,0.21,0.21,348000,0.21
2011-07-26,0.21,0.22,0.21,0.21,727000,0.21
2011-07-25,0.21,0.21,0.20,0.21,237000,0.21
2011-07-22,0.22,0.22,0.21,0.22,372000,0.22
2011-07-21,0.22,0.23,0.22,0.22,10091000,0.22
2011-07-20,0.20,0.22,0.19,0.22,2659000,0.22
2011-07-19,0.20,0.20,0.19,0.19,250000,0.19
2011-07-18,0.20,0.20,0.19,0.19,530000,0.19
2011-07-15,0.20,0.20,0.20,0.20,545000,0.20
2011-07-14,0.21,0.22,0.20,0.20,2846000,0.20
2011-07-13,0.20,0.21,0.20,0.21,550000,0.21
2011-07-12,0.20,0.20,0.20,0.20,258000,0.20
2011-07-11,0.21,0.21,0.20,0.20,493000,0.20
2011-07-08,0.20,0.22,0.20,0.21,2738000,0.21
2011-07-07,0.20,0.20,0.20,0.20,250000,0.20
2011-07-06,0.20,0.20,0.20,0.20,695000,0.20
2011-07-05,0.20,0.20,0.20,0.20,469000,0.20
2011-07-04,0.20,0.21,0.20,0.21,40000,0.21
2011-07-01,0.20,0.21,0.20,0.21,501000,0.21
2011-06-30,0.21,0.21,0.20,0.20,1773000,0.20
2011-06-29,0.19,0.20,0.19,0.20,2188000,0.20
2011-06-28,0.19,0.19,0.19,0.19,75000,0.19
2011-06-27,0.19,0.19,0.19,0.19,155000,0.19
2011-06-24,0.19,0.19,0.19,0.19,340000,0.19
2011-06-23,0.19,0.19,0.19,0.19,134000,0.19
2011-06-22,0.19,0.19,0.19,0.19,74000,0.19
2011-06-21,0.18,0.19,0.18,0.19,462000,0.19
2011-06-20,0.19,0.19,0.18,0.18,399000,0.18
2011-06-17,0.19,0.19,0.19,0.19,115000,0.19
2011-06-16,0.19,0.19,0.19,0.19,173000,0.19
2011-06-15,0.19,0.19,0.19,0.19,104000,0.19
2011-06-14,0.19,0.19,0.19,0.19,70000,0.19
2011-06-13,0.19,0.19,0.19,0.19,485000,0.19
2011-06-10,0.20,0.20,0.20,0.20,40000,0.20
2011-06-09,0.20,0.20,0.20,0.20,84000,0.20
2011-06-08,0.20,0.20,0.20,0.20,96000,0.20
2011-06-07,0.21,0.21,0.20,0.20,429000,0.20
2011-06-06,0.20,0.20,0.20,0.20,70000,0.20
2011-06-03,0.20,0.20,0.20,0.20,300000,0.20
2011-06-02,0.20,0.20,0.20,0.20,840000,0.20
2011-06-01,0.21,0.21,0.20,0.20,1001000,0.20
2011-05-31,0.21,0.21,0.21,0.21,53000,0.21
2011-05-30,0.21,0.21,0.21,0.21,5000,0.21
2011-05-27,0.22,0.22,0.21,0.21,165000,0.21
2011-05-26,0.21,0.21,0.21,0.21,50000,0.21
2011-05-25,0.21,0.21,0.21,0.21,156000,0.21
2011-05-24,0.21,0.21,0.21,0.21,100000,0.21
2011-05-23,0.22,0.22,0.21,0.21,298000,0.21
2011-05-20,0.22,0.22,0.22,0.22,53000,0.22
2011-05-19,0.22,0.22,0.22,0.22,30000,0.22
2011-05-18,0.22,0.22,0.22,0.22,254000,0.22
2011-05-16,0.22,0.22,0.22,0.22,57000,0.22
2011-05-13,0.22,0.22,0.22,0.22,421000,0.22
2011-05-12,0.22,0.22,0.22,0.22,210000,0.22
2011-05-11,0.22,0.22,0.22,0.22,65000,0.22
2011-05-10,0.22,0.22,0.22,0.22,315000,0.22
2011-05-09,0.22,0.22,0.22,0.22,72000,0.22
2011-05-06,0.21,0.22,0.21,0.21,000,0.21
2011-05-05,0.22,0.22,0.22,0.22,115000,0.22
2011-05-04,0.22,0.22,0.22,0.22,340000,0.22
2011-05-03,0.22,0.22,0.22,0.22,242000,0.22
2011-04-29,0.22,0.23,0.22,0.23,81000,0.23
2011-04-28,0.22,0.22,0.22,0.22,178000,0.22
2011-04-27,0.22,0.22,0.22,0.22,79000,0.22
2011-04-26,0.23,0.23,0.23,0.23,145000,0.23
2011-04-25,0.23,0.23,0.22,0.22,147000,0.22
2011-04-21,0.23,0.23,0.23,0.23,260000,0.23
2011-04-20,0.22,0.23,0.22,0.23,265000,0.23
2011-04-19,0.22,0.22,0.22,0.22,215000,0.22
2011-04-18,0.22,0.23,0.22,0.22,297000,0.22
2011-04-15,0.23,0.23,0.23,0.23,190000,0.23
2011-04-14,0.23,0.23,0.23,0.23,482000,0.23
2011-04-13,0.23,0.23,0.23,0.23,102000,0.23
2011-04-12,0.23,0.23,0.23,0.23,204000,0.23
2011-04-11,0.24,0.24,0.23,0.23,407000,0.23
2011-04-08,0.24,0.24,0.23,0.23,522000,0.23
2011-04-07,0.23,0.25,0.23,0.24,2727000,0.24
2011-04-06,0.22,0.23,0.22,0.23,165000,0.23
2011-04-05,0.22,0.23,0.22,0.23,1101000,0.23
2011-04-04,0.23,0.23,0.22,0.23,1494000,0.23
2011-04-01,0.23,0.23,0.21,0.22,1474000,0.22
2011-03-31,0.23,0.23,0.23,0.23,320000,0.23
2011-03-30,0.23,0.23,0.23,0.23,521000,0.23
2011-03-29,0.23,0.23,0.23,0.23,476000,0.23
2011-03-28,0.23,0.23,0.23,0.23,533000,0.23
2011-03-25,0.23,0.23,0.23,0.23,793000,0.23
2011-03-24,0.23,0.23,0.22,0.22,742000,0.22
2011-03-23,0.21,0.24,0.21,0.23,8900000,0.23
2011-03-22,0.21,0.22,0.21,0.22,261000,0.22
2011-03-21,0.20,0.21,0.20,0.20,180000,0.20
2011-03-18,0.22,0.22,0.20,0.20,1705000,0.20
2011-03-17,0.21,0.21,0.20,0.20,567000,0.20
