Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.00,0.00,0.00,0.00,200000,0.00
2011-08-03,0.00,0.00,0.00,0.00,19990000,0.00
2011-08-02,0.00,0.00,0.00,0.00,20000,0.00
2011-08-01,0.00,0.00,0.00,0.00,3900000,0.00
2011-07-29,0.00,0.00,0.00,0.00,000,0.00
2011-07-28,0.00,0.00,0.00,0.00,21062000,0.00
2011-07-27,0.00,0.00,0.00,0.00,29902000,0.00
2011-07-26,0.00,0.00,0.00,0.00,1620000,0.00
2011-07-25,0.00,0.00,0.00,0.00,17439000,0.00
2011-07-22,0.00,0.00,0.00,0.00,42769000,0.00
2011-07-21,0.00,0.00,0.00,0.00,5770000,0.00
2011-07-20,0.00,0.00,0.00,0.00,36750000,0.00
2011-07-19,0.00,0.00,0.00,0.00,183807000,0.00
2011-07-18,0.00,0.00,0.00,0.00,19000000,0.00
2011-07-15,0.00,0.00,0.00,0.00,26400000,0.00
2011-07-14,0.00,0.00,0.00,0.00,13551000,0.00
2011-07-13,0.00,0.00,0.00,0.00,20901000,0.00
2011-07-12,0.00,0.00,0.00,0.00,22605000,0.00
2011-07-11,0.00,0.00,0.00,0.00,6901000,0.00
2011-07-08,0.00,0.00,0.00,0.00,46704000,0.00
2011-07-07,0.00,0.00,0.00,0.00,5030000,0.00
2011-07-06,0.00,0.00,0.00,0.00,4880000,0.00
2011-07-05,0.00,0.00,0.00,0.00,7523000,0.00
2011-07-04,0.00,0.00,0.00,0.00,52879000,0.00
2011-07-01,0.00,0.00,0.00,0.00,000,0.00
2011-06-30,0.00,0.00,0.00,0.00,1700000,0.00
2011-06-29,0.00,0.00,0.00,0.00,000,0.00
2011-06-28,0.00,0.00,0.00,0.00,000,0.00
2011-06-27,0.00,0.00,0.00,0.00,000,0.00
2011-06-24,0.00,0.00,0.00,0.00,000,0.00
2011-06-23,0.00,0.00,0.00,0.00,000,0.00
2011-06-22,0.00,0.00,0.00,0.00,000,0.00
2011-06-21,0.00,0.00,0.00,0.00,000,0.00
2011-06-20,0.00,0.00,0.00,0.00,000,0.00
2011-06-17,0.00,0.00,0.00,0.00,000,0.00
2011-06-16,0.00,0.00,0.00,0.00,000,0.00
2011-06-15,0.00,0.00,0.00,0.00,000,0.00
2011-06-14,0.00,0.00,0.00,0.00,300000,0.00
2011-06-13,0.00,0.00,0.00,0.00,000,0.00
2011-06-10,0.00,0.00,0.00,0.00,000,0.00
2011-06-09,0.00,0.00,0.00,0.00,000,0.00
2011-06-08,0.00,0.00,0.00,0.00,000,0.00
2011-06-07,0.00,0.00,0.00,0.00,100000,0.00
2011-06-06,0.00,0.00,0.00,0.00,000,0.00
2011-06-03,0.00,0.00,0.00,0.00,000,0.00
2011-06-02,0.00,0.00,0.00,0.00,000,0.00
2011-06-01,0.00,0.00,0.00,0.00,40000,0.00
2011-05-31,0.00,0.00,0.00,0.00,10000,0.00
2011-05-30,0.00,0.00,0.00,0.00,000,0.00
2011-05-27,0.00,0.00,0.00,0.00,100000,0.00
2011-05-26,0.00,0.00,0.00,0.00,000,0.00
2011-05-25,0.00,0.00,0.00,0.00,000,0.00
2011-05-24,0.00,0.00,0.00,0.00,000,0.00
2011-05-23,0.00,0.00,0.00,0.00,000,0.00
2011-05-20,0.00,0.00,0.00,0.00,700000,0.00
2011-05-19,0.00,0.00,0.00,0.00,3500000,0.00
2011-05-18,0.00,0.00,0.00,0.00,210000,0.00
2011-05-16,0.00,0.00,0.00,0.00,000,0.00
2011-05-13,0.00,0.00,0.00,0.00,200000,0.00
2011-05-12,0.00,0.00,0.00,0.00,000,0.00
2011-05-11,0.00,0.00,0.00,0.00,000,0.00
2011-05-10,0.00,0.00,0.00,0.00,000,0.00
2011-05-09,0.00,0.00,0.00,0.00,000,0.00
2011-05-06,0.00,0.00,0.00,0.00,000,0.00
2011-05-05,0.00,0.00,0.00,0.00,000,0.00
2011-05-04,0.00,0.00,0.00,0.00,000,0.00
2011-05-03,0.00,0.00,0.00,0.00,000,0.00
2011-04-29,0.00,0.00,0.00,0.00,000,0.00
2011-04-28,0.00,0.00,0.00,0.00,000,0.00
2011-04-27,0.00,0.00,0.00,0.00,000,0.00
2011-04-26,0.00,0.00,0.00,0.00,500000,0.00
2011-04-25,0.00,0.00,0.00,0.00,1300000,0.00
2011-04-21,0.00,0.00,0.00,0.00,000,0.00
2011-04-20,0.00,0.00,0.00,0.00,000,0.00
2011-04-19,0.00,0.00,0.00,0.00,000,0.00
2011-04-18,0.00,0.00,0.00,0.00,000,0.00
2011-04-15,0.00,0.00,0.00,0.00,000,0.00
2011-04-14,0.00,0.00,0.00,0.00,000,0.00
2011-04-13,0.00,0.00,0.00,0.00,000,0.00
2011-04-12,0.00,0.00,0.00,0.00,200000,0.00
2011-04-11,0.00,0.00,0.00,0.00,805000,0.00
2011-04-08,0.00,0.00,0.00,0.00,400000,0.00
2011-04-07,0.00,0.00,0.00,0.00,1426000,0.00
2011-04-06,0.00,0.00,0.00,0.00,000,0.00
2011-04-05,0.00,0.00,0.00,0.00,50000,0.00
2011-04-04,0.00,0.00,0.00,0.00,000,0.00
2011-04-01,0.00,0.00,0.00,0.00,30000,0.00
2011-03-31,0.00,0.00,0.00,0.00,000,0.00
2011-03-30,0.00,0.00,0.00,0.00,000,0.00
2011-03-29,0.00,0.00,0.00,0.00,000,0.00
2011-03-28,0.00,0.00,0.00,0.00,000,0.00
2011-03-25,0.00,0.00,0.00,0.00,000,0.00
2011-03-24,0.00,0.00,0.00,0.00,1200000,0.00
2011-03-23,0.00,0.00,0.00,0.00,100000,0.00
2011-03-22,0.00,0.00,0.00,0.00,700000,0.00
2011-03-21,0.00,0.00,0.00,0.00,000,0.00
2011-03-18,0.00,0.00,0.00,0.00,000,0.00
2011-03-17,0.00,0.00,0.00,0.00,000,0.00
2011-03-16,0.00,0.00,0.00,0.00,000,0.00
2011-03-15,0.00,0.00,0.00,0.00,1000000,0.00
2011-03-14,0.00,0.00,0.00,0.00,190000,0.00
2011-03-11,0.00,0.00,0.00,0.00,248000,0.00
2011-03-10,0.00,0.00,0.00,0.00,30000,0.00
2011-03-09,0.00,0.00,0.00,0.00,000,0.00
2011-03-08,0.00,0.00,0.00,0.00,1000000,0.00
2011-03-07,0.00,0.00,0.00,0.00,1600000,0.00
2011-03-04,0.00,0.00,0.00,0.00,000,0.00
2011-03-03,0.00,0.00,0.00,0.00,000,0.00
2011-03-02,0.00,0.00,0.00,0.00,000,0.00
2011-03-01,0.00,0.00,0.00,0.00,000,0.00
2011-02-28,0.00,0.00,0.00,0.00,000,0.00
2011-02-25,0.00,0.00,0.00,0.00,000,0.00
2011-02-24,0.00,0.00,0.00,0.00,000,0.00
2011-02-23,0.00,0.00,0.00,0.00,000,0.00
2011-02-22,0.00,0.00,0.00,0.00,000,0.00
2011-02-21,0.00,0.00,0.00,0.00,1300000,0.00
2011-02-18,0.00,0.00,0.00,0.00,400000,0.00
2011-02-17,0.00,0.00,0.00,0.00,10000,0.00
2011-02-16,0.00,0.00,0.00,0.00,1300000,0.00
2011-02-15,0.00,0.00,0.00,0.00,200000,0.00
2011-02-14,0.00,0.00,0.00,0.00,12604000,0.00
2011-02-11,0.00,0.00,0.00,0.00,11510000,0.00
2011-02-10,0.00,0.00,0.00,0.00,31656000,0.00
2011-02-09,0.00,0.00,0.00,0.00,000,0.00
2011-02-08,0.00,0.00,0.00,0.00,000,0.00
