Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.93,3.93,3.90,3.90,329000,3.90
2011-08-03,3.99,3.99,3.90,3.90,1096000,3.90
2011-08-02,4.10,4.10,4.08,4.09,1239000,4.09
2011-08-01,4.11,4.11,4.08,4.10,781000,4.10
2011-07-29,4.08,4.12,4.08,4.12,3722000,4.12
2011-07-28,4.02,4.08,4.02,4.08,618000,4.08
2011-07-27,4.05,4.07,4.04,4.04,926000,4.04
2011-07-26,4.03,4.07,4.03,4.05,573000,4.05
2011-07-25,4.05,4.08,4.00,4.01,860000,4.01
2011-07-22,4.00,4.04,3.99,4.00,651000,4.00
2011-07-21,3.98,4.00,3.96,3.98,246000,3.98
2011-07-20,3.90,3.98,3.90,3.96,30000,3.96
2011-07-19,3.87,3.90,3.86,3.90,39000,3.90
2011-07-18,3.88,3.90,3.86,3.86,113000,3.86
2011-07-15,3.91,3.91,3.86,3.88,427000,3.88
2011-07-14,3.90,3.92,3.89,3.90,238000,3.90
2011-07-13,3.83,3.89,3.83,3.86,776000,3.86
2011-07-12,3.89,3.89,3.83,3.84,536000,3.84
2011-07-11,3.91,3.91,3.89,3.89,228000,3.89
2011-07-08,3.94,3.94,3.91,3.91,225000,3.91
2011-07-07,3.89,3.92,3.89,3.92,216000,3.92
2011-07-06,3.86,3.89,3.85,3.89,174000,3.89
2011-07-05,3.86,3.86,3.86,3.86,31000,3.86
2011-07-04,3.80,3.84,3.79,3.84,855000,3.84
2011-07-01,3.82,3.83,3.77,3.80,361000,3.80
2011-06-30,3.80,3.83,3.80,3.82,154000,3.82
2011-06-29,3.80,3.80,3.80,3.80,15000,3.80
2011-06-28,3.74,3.80,3.74,3.80,305000,3.80
2011-06-27,3.73,3.75,3.72,3.74,111000,3.74
2011-06-24,3.73,3.75,3.73,3.74,528000,3.74
2011-06-23,3.73,3.76,3.71,3.71,478000,3.71
2011-06-22,3.79,3.79,3.73,3.73,568000,3.73
2011-06-21,3.75,3.75,3.71,3.71,180000,3.71
2011-06-20,3.69,3.76,3.69,3.74,630000,3.74
2011-06-17,3.85,3.85,3.66,3.66,1612000,3.66
2011-06-16,3.84,3.84,3.77,3.84,1105000,3.84
2011-06-15,3.80,3.85,3.78,3.80,284000,3.80
2011-06-14,3.83,3.86,3.81,3.85,112000,3.85
2011-06-13,3.78,3.83,3.76,3.82,128000,3.82
2011-06-10,3.81,3.82,3.78,3.79,800000,3.79
2011-06-09,3.82,3.84,3.80,3.80,725000,3.80
2011-06-08,3.85,3.85,3.82,3.82,92000,3.82
2011-06-07,3.86,3.86,3.83,3.85,855000,3.85
2011-06-06,3.81,3.85,3.81,3.84,105000,3.84
2011-06-03,3.80,3.85,3.80,3.85,248000,3.85
