Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.34,0.35,0.34,0.34,1883000,0.34
2011-08-03,0.34,0.34,0.34,0.34,4455000,0.34
2011-08-02,0.35,0.36,0.35,0.35,1977000,0.35
2011-08-01,0.37,0.37,0.35,0.36,1557000,0.36
2011-07-29,0.37,0.37,0.36,0.36,3798000,0.36
2011-07-28,0.38,0.38,0.37,0.38,2737000,0.38
2011-07-27,0.36,0.38,0.36,0.38,16592000,0.38
2011-07-26,0.35,0.36,0.35,0.36,2763000,0.36
2011-07-25,0.35,0.35,0.34,0.35,715000,0.35
2011-07-22,0.35,0.36,0.35,0.35,1769000,0.35
2011-07-21,0.34,0.36,0.34,0.35,6470000,0.35
2011-07-20,0.34,0.34,0.34,0.34,1108000,0.34
2011-07-19,0.34,0.34,0.33,0.34,768000,0.34
2011-07-18,0.34,0.34,0.33,0.34,849000,0.34
2011-07-15,0.34,0.34,0.34,0.34,1978000,0.34
2011-07-14,0.34,0.35,0.34,0.34,1334000,0.34
2011-07-13,0.34,0.35,0.34,0.34,1156000,0.34
2011-07-12,0.35,0.35,0.34,0.35,1680000,0.35
2011-07-11,0.35,0.35,0.34,0.35,814000,0.35
2011-07-08,0.35,0.36,0.34,0.35,2937000,0.35
2011-07-07,0.35,0.36,0.34,0.35,2340000,0.35
2011-07-06,0.35,0.36,0.34,0.34,1281000,0.34
2011-07-05,0.35,0.35,0.34,0.35,1664000,0.35
2011-07-04,0.37,0.37,0.35,0.36,1052000,0.36
2011-07-01,0.37,0.38,0.36,0.36,2511000,0.36
2011-06-30,0.38,0.38,0.36,0.37,1769000,0.37
2011-06-29,0.34,0.38,0.34,0.37,9839000,0.37
2011-06-28,0.34,0.34,0.34,0.34,2018000,0.34
2011-06-27,0.66,0.67,0.65,0.65,2193000,0.65
2011-06-24,0.66,0.67,0.66,0.66,1087000,0.66
2011-06-23,0.67,0.67,0.66,0.66,729000,0.66
2011-06-22,0.67,0.68,0.66,0.67,879000,0.67
2011-06-21,0.68,0.68,0.67,0.67,1692000,0.67
2011-06-20,0.64,0.68,0.64,0.66,1909000,0.66
2011-06-17,0.66,0.67,0.64,0.64,1391000,0.64
2011-06-16,0.68,0.68,0.65,0.66,1252000,0.66
2011-06-15,0.69,0.70,0.67,0.67,1582000,0.67
2011-06-14,0.69,0.69,0.68,0.69,1100000,0.69
2011-06-13,0.71,0.71,0.68,0.69,2350000,0.69
2011-06-10,0.72,0.73,0.71,0.71,1266000,0.71
2011-06-09,0.71,0.73,0.71,0.71,1517000,0.71
2011-06-08,0.73,0.75,0.72,0.72,6005000,0.72
2011-06-07,0.68,0.73,0.68,0.73,8883000,0.73
2011-06-06,0.69,0.69,0.68,0.68,1204000,0.68
