Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.07,0.07,0.07,0.07,000,0.07
2011-08-03,0.07,0.07,0.07,0.07,300000,0.07
2011-08-02,0.07,0.07,0.07,0.07,340000,0.07
2011-08-01,0.07,0.08,0.07,0.07,000,0.07
2011-07-29,0.07,0.07,0.07,0.07,000,0.07
2011-07-28,0.07,0.07,0.07,0.07,100000,0.07
2011-07-27,0.07,0.07,0.07,0.07,000,0.07
2011-07-26,0.07,0.07,0.07,0.07,20000,0.07
2011-07-25,0.06,0.06,0.06,0.06,40000,0.06
2011-07-22,0.07,0.08,0.07,0.07,000,0.07
2011-07-21,0.07,0.07,0.07,0.07,20000,0.07
2011-07-20,0.06,0.07,0.06,0.07,105000,0.07
2011-07-19,0.07,0.07,0.07,0.07,70000,0.07
2011-07-18,0.06,0.07,0.06,0.07,440000,0.07
2011-07-15,0.07,0.07,0.07,0.07,000,0.07
2011-07-14,0.07,0.07,0.07,0.07,000,0.07
2011-07-13,0.07,0.08,0.07,0.07,000,0.07
2011-07-12,0.07,0.07,0.07,0.07,300000,0.07
2011-07-11,0.07,0.07,0.07,0.07,816000,0.07
2011-07-08,0.07,0.07,0.07,0.07,000,0.07
2011-07-07,0.06,0.07,0.06,0.06,000,0.06
2011-07-06,0.07,0.07,0.07,0.07,50000,0.07
2011-07-05,0.07,0.08,0.07,0.07,000,0.07
2011-07-04,0.07,0.08,0.07,0.07,000,0.07
2011-07-01,0.07,0.08,0.07,0.07,000,0.07
2011-06-30,0.08,0.08,0.08,0.08,50000,0.08
2011-06-29,0.06,0.07,0.06,0.06,000,0.06
2011-06-28,0.06,0.08,0.06,0.06,000,0.06
2011-06-27,0.06,0.08,0.06,0.06,000,0.06
2011-06-24,0.06,0.07,0.06,0.07,188000,0.07
2011-06-23,0.06,0.07,0.06,0.06,000,0.06
2011-06-22,0.06,0.06,0.06,0.06,50000,0.06
2011-06-21,0.06,0.06,0.06,0.06,550000,0.06
2011-06-20,0.06,0.07,0.06,0.06,000,0.06
2011-06-17,0.06,0.06,0.06,0.06,1000000,0.06
2011-06-16,0.06,0.06,0.06,0.06,385000,0.06
2011-06-15,0.07,0.07,0.07,0.07,581000,0.07
2011-06-14,0.07,0.07,0.06,0.06,268000,0.06
2011-06-13,0.07,0.07,0.07,0.07,50000,0.07
2011-06-10,0.08,0.08,0.08,0.08,332000,0.08
2011-06-09,0.08,0.08,0.08,0.08,1150000,0.08
2011-06-08,0.08,0.08,0.08,0.08,295000,0.08
2011-06-07,0.08,0.08,0.08,0.08,700000,0.08
2011-06-06,0.08,0.08,0.08,0.08,188000,0.08
2011-06-03,0.08,0.08,0.08,0.08,000,0.08
2011-06-02,0.08,0.08,0.08,0.08,000,0.08
2011-06-01,0.08,0.08,0.08,0.08,000,0.08
2011-05-31,0.08,0.08,0.08,0.08,752000,0.08
2011-05-30,0.08,0.08,0.08,0.08,000,0.08
2011-05-27,0.08,0.08,0.08,0.08,20000,0.08
2011-05-26,0.08,0.08,0.07,0.08,1368000,0.08
2011-05-25,0.08,0.08,0.08,0.08,000,0.08
2011-05-24,0.08,0.08,0.08,0.08,390000,0.08
2011-05-23,0.08,0.08,0.08,0.08,475000,0.08
2011-05-20,0.08,0.08,0.08,0.08,1225000,0.08
2011-05-19,0.08,0.08,0.08,0.08,150000,0.08
2011-05-18,0.08,0.08,0.08,0.08,625000,0.08
2011-05-16,0.08,0.08,0.08,0.08,292000,0.08
2011-05-13,0.08,0.08,0.08,0.08,308000,0.08
2011-05-12,0.08,0.08,0.08,0.08,738000,0.08
2011-05-11,0.08,0.08,0.08,0.08,615000,0.08
2011-05-10,0.08,0.08,0.08,0.08,90000,0.08
2011-05-09,0.08,0.08,0.08,0.08,60000,0.08
2011-05-06,0.07,0.08,0.07,0.08,398000,0.08
2011-05-05,0.08,0.08,0.08,0.08,469000,0.08
2011-05-04,0.08,0.08,0.08,0.08,458000,0.08
2011-05-03,0.08,0.08,0.08,0.08,695000,0.08
2011-04-29,0.07,0.07,0.07,0.07,30000,0.07
2011-04-28,0.07,0.07,0.07,0.07,135000,0.07
2011-04-27,0.06,0.08,0.06,0.07,763000,0.07
2011-04-26,0.06,0.06,0.06,0.06,50000,0.06
2011-04-25,0.06,0.06,0.06,0.06,100000,0.06
2011-04-21,0.06,0.06,0.06,0.06,1210000,0.06
2011-04-20,0.06,0.08,0.06,0.06,000,0.06
2011-04-19,0.07,0.07,0.07,0.07,150000,0.07
2011-04-18,0.07,0.07,0.06,0.06,3928000,0.06
2011-04-15,0.07,0.07,0.06,0.06,1648000,0.06
2011-04-14,0.07,0.07,0.07,0.07,377000,0.07
2011-04-13,0.07,0.07,0.07,0.07,10000,0.07
