Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.23,0.26,0.23,0.23,000,0.23
2011-08-03,0.23,0.25,0.23,0.25,21000,0.25
2011-08-02,0.25,0.25,0.25,0.25,6000,0.25
2011-08-01,0.28,0.28,0.28,0.28,473000,0.28
2011-07-29,0.28,0.28,0.28,0.28,103000,0.28
2011-07-28,0.28,0.28,0.28,0.28,81000,0.28
2011-07-27,0.28,0.28,0.28,0.28,276000,0.28
2011-07-26,0.28,0.28,0.28,0.28,141000,0.28
2011-07-25,0.28,0.28,0.28,0.28,29000,0.28
2011-07-22,0.28,0.28,0.28,0.28,307000,0.28
2011-07-21,0.28,0.28,0.28,0.28,110000,0.28
2011-07-20,0.28,0.28,0.28,0.28,70000,0.28
2011-07-19,0.28,0.28,0.28,0.28,387000,0.28
2011-07-18,0.28,0.28,0.28,0.28,169000,0.28
2011-07-15,0.28,0.28,0.28,0.28,47000,0.28
2011-07-14,0.28,0.28,0.27,0.27,362000,0.27
2011-07-13,0.28,0.28,0.28,0.28,13000,0.28
2011-07-12,0.25,0.26,0.25,0.26,59000,0.26
2011-07-11,0.26,0.28,0.26,0.26,000,0.26
2011-07-08,0.26,0.26,0.26,0.26,3000,0.26
2011-07-07,0.26,0.27,0.26,0.27,25000,0.27
2011-07-06,0.25,0.30,0.25,0.25,000,0.25
2011-07-05,0.25,0.25,0.25,0.25,6000,0.25
2011-07-04,0.25,0.25,0.25,0.25,1000,0.25
2011-07-01,0.25,0.27,0.25,0.27,28000,0.27
2011-06-30,0.26,0.27,0.26,0.27,49000,0.27
2011-06-29,0.25,0.25,0.25,0.25,7000,0.25
2011-06-28,0.25,0.25,0.25,0.25,3000,0.25
2011-06-27,0.25,0.27,0.25,0.25,000,0.25
2011-06-24,0.25,0.25,0.25,0.25,12000,0.25
2011-06-23,0.26,0.27,0.26,0.27,8000,0.27
2011-06-22,0.26,0.27,0.26,0.27,22000,0.27
2011-06-21,0.26,0.26,0.26,0.26,20000,0.26
2011-06-20,0.26,0.26,0.26,0.26,23000,0.26
2011-06-17,0.27,0.27,0.26,0.26,35000,0.26
2011-06-16,0.26,0.26,0.26,0.26,30000,0.26
2011-06-15,0.26,0.26,0.26,0.26,2000,0.26
2011-06-14,0.26,0.26,0.26,0.26,50000,0.26
2011-06-13,0.28,0.28,0.28,0.28,8000,0.28
2011-06-10,0.26,0.26,0.26,0.26,128000,0.26
2011-06-09,0.26,0.26,0.26,0.26,56000,0.26
2011-06-08,0.27,0.27,0.26,0.26,55000,0.26
2011-06-07,0.27,0.27,0.26,0.26,128000,0.26
2011-06-06,0.25,0.25,0.25,0.25,1000,0.25
2011-06-03,0.27,0.28,0.27,0.27,53000,0.27
2011-06-02,0.27,0.27,0.27,0.27,84000,0.27
2011-06-01,0.26,0.27,0.26,0.26,103000,0.26
2011-05-31,0.26,0.26,0.25,0.25,12000,0.25
2011-05-30,0.26,0.26,0.25,0.26,77000,0.26
2011-05-27,0.26,0.26,0.26,0.26,70000,0.26
2011-05-26,0.26,0.27,0.26,0.26,112000,0.26
2011-05-25,0.25,0.27,0.25,0.26,198000,0.26
2011-05-24,0.23,0.26,0.23,0.23,000,0.23
2011-05-23,0.23,0.23,0.22,0.22,64000,0.22
2011-05-20,0.23,0.23,0.23,0.23,000,0.23
2011-05-19,0.23,0.27,0.23,0.23,000,0.23
2011-05-18,0.23,0.26,0.23,0.23,000,0.23
2011-05-16,0.23,0.23,0.23,0.23,8000,0.23
2011-05-13,0.22,0.22,0.22,0.22,5000,0.22
2011-05-12,0.23,0.26,0.23,0.23,000,0.23
2011-05-11,0.23,0.26,0.23,0.23,000,0.23
2011-05-10,0.24,0.24,0.22,0.22,136000,0.22
2011-05-09,0.23,0.23,0.23,0.23,115000,0.23
2011-05-06,0.25,0.25,0.22,0.22,140000,0.22
2011-05-05,0.22,0.26,0.22,0.22,000,0.22
2011-05-04,0.25,0.28,0.25,0.25,000,0.25
2011-05-03,0.24,0.28,0.24,0.24,000,0.24
2011-04-29,0.23,0.26,0.23,0.26,3000,0.26
2011-04-28,0.24,0.27,0.24,0.24,000,0.24
2011-04-27,0.25,0.25,0.25,0.25,7000,0.25
2011-04-26,0.26,0.26,0.25,0.26,61000,0.26
2011-04-25,0.25,0.25,0.25,0.25,49000,0.25
2011-04-21,0.24,0.24,0.24,0.24,5000,0.24
2011-04-20,0.25,0.25,0.25,0.25,1000,0.25
2011-04-19,0.24,0.24,0.24,0.24,10000,0.24
2011-04-18,0.25,0.27,0.25,0.25,000,0.25
2011-04-15,0.25,0.25,0.25,0.25,6000,0.25
