Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.98,0.99,0.96,0.97,156000,0.97
2011-08-03,0.99,0.99,0.97,0.98,607000,0.98
2011-08-02,1.04,1.04,1.03,1.04,453000,1.04
2011-08-01,1.04,1.04,1.03,1.04,251000,1.04
2011-07-29,1.03,1.04,1.03,1.04,266000,1.04
2011-07-28,1.04,1.04,1.02,1.03,156000,1.03
2011-07-27,1.04,1.04,1.03,1.03,69000,1.03
2011-07-26,1.04,1.04,1.03,1.03,152000,1.03
2011-07-25,1.04,1.04,1.03,1.03,157000,1.03
2011-07-22,1.04,1.04,1.03,1.04,236000,1.04
2011-07-21,1.04,1.04,1.03,1.03,75000,1.03
2011-07-20,1.03,1.04,1.03,1.03,190000,1.03
2011-07-19,1.02,1.03,1.02,1.02,103000,1.02
2011-07-18,1.02,1.03,1.02,1.02,193000,1.02
2011-07-15,1.01,1.02,1.01,1.01,103000,1.01
2011-07-14,1.01,1.01,1.01,1.01,48000,1.01
2011-07-13,1.00,1.01,1.00,1.01,59000,1.01
2011-07-12,1.00,1.00,1.00,1.00,126000,1.00
2011-07-11,1.00,1.00,1.00,1.00,337000,1.00
2011-07-08,1.01,1.01,1.00,1.00,509000,1.00
2011-07-07,1.01,1.01,1.00,1.00,324000,1.00
2011-07-06,1.00,1.00,1.00,1.00,167000,1.00
2011-07-05,1.00,1.00,1.00,1.00,384000,1.00
2011-07-04,1.01,1.01,1.00,1.00,177000,1.00
2011-07-01,1.00,1.00,1.00,1.00,110000,1.00
2011-06-30,1.01,1.01,1.00,1.01,162000,1.01
2011-06-29,1.00,1.00,1.00,1.00,197000,1.00
2011-06-28,1.00,1.00,1.00,1.00,62000,1.00
2011-06-27,1.02,1.02,1.00,1.00,207000,1.00
2011-06-24,1.00,1.01,1.00,1.01,95000,1.01
2011-06-23,0.99,1.00,0.99,1.00,68000,1.00
2011-06-22,1.00,1.00,0.98,0.98,215000,0.98
2011-06-21,0.98,1.00,0.98,1.00,144000,1.00
2011-06-20,0.96,0.99,0.96,0.98,611000,0.98
2011-06-17,1.00,1.00,0.94,0.94,1309000,0.94
2011-06-16,1.01,1.02,1.00,1.00,327000,1.00
2011-06-15,1.02,1.03,1.01,1.03,59000,1.03
2011-06-14,1.02,1.02,1.01,1.01,121000,1.01
2011-06-13,1.02,1.02,1.01,1.02,108000,1.02
2011-06-10,1.03,1.03,1.02,1.03,189000,1.03
2011-06-09,1.03,1.03,1.02,1.02,85000,1.02
2011-06-08,1.04,1.04,1.02,1.02,175000,1.02
2011-06-07,1.03,1.04,1.03,1.03,43000,1.03
2011-06-06,1.04,1.04,1.02,1.02,289000,1.02
2011-06-03,1.03,1.03,1.03,1.03,2000,1.03
2011-06-02,1.04,1.04,1.02,1.04,189000,1.04
2011-06-01,1.04,1.05,1.04,1.05,248000,1.05
2011-05-31,1.03,1.04,1.02,1.04,380000,1.04
2011-05-30,1.03,1.04,1.03,1.03,748000,1.03
2011-05-27,1.03,1.04,1.02,1.03,933000,1.03
2011-05-26,1.00,1.01,1.00,1.00,204000,1.00
2011-05-25,1.00,1.00,0.98,1.00,152000,1.00
2011-05-24,1.00,1.00,1.00,1.00,99000,1.00
2011-05-23,1.00,1.01,0.99,0.99,289000,0.99
2011-05-20,1.01,1.01,1.01,1.01,10000,1.01
2011-05-19,1.00,1.00,1.00,1.00,162000,1.00
2011-05-18,1.00,1.00,0.99,1.00,386000,1.00
2011-05-16,1.01,1.01,1.00,1.00,262000,1.00
2011-05-13,1.00,1.02,1.00,1.01,448000,1.01
2011-05-12,1.01,1.01,1.00,1.00,12000,1.00
2011-05-11,1.01,1.02,1.01,1.02,33000,1.02
2011-05-10,1.01,1.02,1.01,1.01,21000,1.01
2011-05-09,1.02,1.02,1.00,1.00,28000,1.00
2011-05-06,1.01,1.01,1.00,1.00,53000,1.00
2011-05-05,1.00,1.01,1.00,1.01,48000,1.01
2011-05-04,1.00,1.00,1.00,1.00,90000,1.00
