Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.39,0.40,0.39,0.40,275000,0.40
2011-08-03,0.40,0.40,0.40,0.40,270000,0.40
2011-08-02,0.39,0.40,0.39,0.40,198000,0.40
2011-08-01,0.40,0.40,0.40,0.40,203000,0.40
2011-07-29,0.39,0.40,0.39,0.40,79000,0.40
2011-07-28,0.39,0.40,0.38,0.40,365000,0.40
2011-07-27,0.41,0.41,0.39,0.39,442000,0.39
2011-07-26,0.40,0.40,0.40,0.40,000,0.40
2011-07-25,0.40,0.40,0.39,0.39,60000,0.39
2011-07-22,0.41,0.41,0.40,0.40,155000,0.40
2011-07-21,0.40,0.41,0.40,0.41,96000,0.41
2011-07-20,0.39,0.41,0.39,0.41,2374000,0.41
2011-07-19,0.39,0.39,0.38,0.39,199000,0.39
2011-07-18,0.40,0.40,0.39,0.39,175000,0.39
2011-07-15,0.39,0.40,0.39,0.40,143000,0.40
2011-07-14,0.40,0.40,0.39,0.39,55000,0.39
2011-07-13,0.40,0.40,0.40,0.40,5000,0.40
2011-07-12,0.40,0.40,0.40,0.40,528000,0.40
2011-07-11,0.40,0.41,0.40,0.40,63000,0.40
2011-07-08,0.40,0.41,0.40,0.41,879000,0.41
2011-07-07,0.40,0.40,0.40,0.40,721000,0.40
2011-07-06,0.40,0.40,0.40,0.40,214000,0.40
2011-07-05,0.40,0.40,0.40,0.40,334000,0.40
2011-07-04,0.39,0.40,0.39,0.40,613000,0.40
2011-07-01,0.40,0.40,0.40,0.40,247000,0.40
2011-06-30,0.40,0.40,0.40,0.40,20000,0.40
2011-06-29,0.39,0.40,0.39,0.40,123000,0.40
2011-06-28,0.39,0.40,0.39,0.40,11000,0.40
2011-06-27,0.39,0.39,0.39,0.39,13000,0.39
2011-06-24,0.40,0.40,0.40,0.40,195000,0.40
2011-06-23,0.40,0.40,0.39,0.40,403000,0.40
2011-06-22,0.40,0.41,0.40,0.40,319000,0.40
2011-06-21,0.39,0.40,0.39,0.40,383000,0.40
