Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.84,1.86,1.84,1.86,135000,1.86
2011-08-03,1.84,1.85,1.84,1.85,24000,1.85
2011-08-02,1.86,1.87,1.86,1.87,13000,1.87
2011-08-01,1.88,1.90,1.88,1.90,51000,1.90
2011-07-29,1.85,1.89,1.84,1.89,138000,1.89
2011-07-28,1.82,1.87,1.82,1.82,000,1.82
2011-07-27,1.85,1.87,1.85,1.85,250000,1.85
2011-07-26,1.85,1.85,1.85,1.85,222000,1.85
2011-07-25,1.85,1.85,1.85,1.85,258000,1.85
2011-07-22,1.84,1.85,1.84,1.85,342000,1.85
2011-07-21,1.83,1.83,1.83,1.83,822000,1.83
2011-07-20,1.82,1.83,1.82,1.82,330000,1.82
2011-07-19,1.80,1.82,1.80,1.80,123000,1.80
2011-07-18,1.82,1.82,1.82,1.82,178000,1.82
2011-07-15,1.84,1.84,1.84,1.84,42000,1.84
2011-07-14,1.85,1.87,1.85,1.86,53000,1.86
2011-07-13,1.87,1.87,1.85,1.85,142000,1.85
2011-07-12,1.88,1.88,1.84,1.85,233000,1.85
2011-07-11,1.83,1.85,1.83,1.85,21000,1.85
2011-07-08,1.88,1.88,1.85,1.85,79000,1.85
2011-07-07,1.90,1.90,1.85,1.85,85000,1.85
2011-07-06,1.86,1.89,1.86,1.87,53000,1.87
2011-07-05,1.89,1.90,1.86,1.86,169000,1.86
2011-07-04,1.89,1.90,1.89,1.89,136000,1.89
2011-07-01,1.83,1.86,1.83,1.86,278000,1.86
2011-06-30,1.83,1.85,1.80,1.83,774000,1.83
2011-06-29,1.82,1.84,1.80,1.82,145000,1.82
2011-06-28,1.83,1.85,1.83,1.84,53000,1.84
2011-06-27,1.81,1.84,1.81,1.84,63000,1.84
2011-06-24,1.84,1.87,1.84,1.86,29000,1.86
2011-06-23,1.84,1.86,1.82,1.84,174000,1.84
2011-06-22,1.88,1.88,1.83,1.84,57000,1.84
2011-06-21,1.92,1.92,1.86,1.88,278000,1.88
2011-06-20,1.93,1.93,1.88,1.91,211000,1.91
2011-06-17,1.89,1.89,1.87,1.88,152000,1.88
2011-06-16,1.90,1.90,1.88,1.89,201000,1.89
2011-06-15,1.95,1.96,1.92,1.93,178000,1.93
2011-06-14,1.91,1.91,1.90,1.90,37000,1.90
2011-06-13,1.92,1.92,1.90,1.91,129000,1.91
2011-06-10,1.91,1.93,1.91,1.92,1118000,1.92
2011-06-09,1.92,1.94,1.91,1.91,55000,1.91
2011-06-08,1.95,1.98,1.92,1.92,220000,1.92
2011-06-07,1.94,1.96,1.93,1.96,164000,1.96
2011-06-06,1.92,1.92,1.90,1.92,122000,1.92
2011-06-03,1.91,1.93,1.91,1.92,364000,1.92
2011-06-02,1.95,1.97,1.93,1.93,99000,1.93
2011-06-01,1.98,1.98,1.95,1.96,381000,1.96
2011-05-31,1.88,2.05,1.88,2.05,478000,2.05
2011-05-30,1.85,1.86,1.85,1.85,54000,1.85
2011-05-27,1.83,1.84,1.83,1.84,10000,1.84
2011-05-26,1.84,1.85,1.84,1.84,135000,1.84
2011-05-25,1.84,1.85,1.84,1.84,64000,1.84
2011-05-24,1.88,1.88,1.84,1.84,144000,1.84
2011-05-23,1.90,1.90,1.87,1.88,126000,1.88
2011-05-20,1.89,1.89,1.88,1.88,357000,1.88
2011-05-19,1.90,1.90,1.89,1.89,535000,1.89
2011-05-18,1.91,1.91,1.89,1.89,959000,1.89
2011-05-16,1.91,1.91,1.89,1.90,480000,1.90
2011-05-13,1.91,1.93,1.91,1.92,88000,1.92
2011-05-12,1.93,1.94,1.90,1.92,179000,1.92
2011-05-11,1.98,1.99,1.94,1.94,600000,1.94
2011-05-10,1.99,1.99,1.95,1.95,284000,1.95
2011-05-09,1.97,1.99,1.97,1.99,38000,1.99
2011-05-06,1.95,2.00,1.95,1.97,166000,1.97
2011-05-05,1.93,1.95,1.93,1.95,62000,1.95
