Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.51,0.51,0.51,0.51,41000,0.51
2011-08-03,0.51,0.51,0.51,0.51,80000,0.51
2011-08-02,0.51,0.51,0.51,0.51,40000,0.51
2011-08-01,0.52,0.52,0.52,0.52,222000,0.52
2011-07-29,0.52,0.52,0.52,0.52,4000,0.52
2011-07-28,0.51,0.51,0.51,0.51,10000,0.51
2011-07-27,0.51,0.51,0.51,0.51,40000,0.51
2011-07-26,0.51,0.51,0.51,0.51,40000,0.51
2011-07-25,0.51,0.51,0.51,0.51,135000,0.51
2011-07-22,0.52,0.52,0.51,0.51,97000,0.51
2011-07-21,0.52,0.52,0.52,0.52,3000,0.52
2011-07-20,0.52,0.52,0.52,0.52,20000,0.52
2011-07-19,0.52,0.52,0.52,0.52,10000,0.52
2011-07-18,0.51,0.52,0.51,0.51,000,0.51
2011-07-15,0.51,0.51,0.51,0.51,10000,0.51
2011-07-14,0.51,0.52,0.51,0.51,000,0.51
2011-07-13,0.52,0.52,0.52,0.52,240000,0.52
2011-07-12,0.51,0.51,0.51,0.51,24000,0.51
2011-07-11,0.52,0.52,0.51,0.51,29000,0.51
2011-07-08,0.52,0.52,0.51,0.52,53000,0.52
2011-07-07,0.51,0.52,0.51,0.52,15000,0.52
2011-07-06,0.52,0.54,0.52,0.52,55000,0.52
2011-07-05,0.52,0.52,0.52,0.52,21000,0.52
2011-07-04,0.51,0.51,0.51,0.51,10000,0.51
2011-07-01,0.51,0.51,0.51,0.51,10000,0.51
2011-06-30,0.51,0.51,0.51,0.51,549000,0.51
2011-06-29,0.51,0.51,0.51,0.51,51000,0.51
2011-06-28,0.51,0.51,0.51,0.51,52000,0.51
2011-06-27,0.51,0.51,0.51,0.51,87000,0.51
2011-06-24,0.51,0.51,0.51,0.51,90000,0.51
2011-06-23,0.51,0.51,0.51,0.51,255000,0.51
2011-06-22,0.51,0.51,0.51,0.51,55000,0.51
2011-06-21,0.51,0.51,0.50,0.50,26000,0.50
2011-06-20,0.51,0.51,0.51,0.51,85000,0.51
2011-06-17,0.50,0.50,0.50,0.50,38000,0.50
2011-06-16,0.51,0.51,0.51,0.51,13000,0.51
2011-06-15,0.51,0.51,0.51,0.51,10000,0.51
2011-06-14,0.51,0.51,0.51,0.51,70000,0.51
2011-06-13,0.50,0.50,0.50,0.50,38000,0.50
2011-06-10,0.51,0.51,0.51,0.51,000,0.51
2011-06-09,0.51,0.51,0.50,0.51,80000,0.51
2011-06-08,0.51,0.51,0.51,0.51,61000,0.51
2011-06-07,0.51,0.52,0.51,0.51,85000,0.51
2011-06-06,0.52,0.52,0.50,0.50,75000,0.50
2011-06-03,0.51,0.52,0.51,0.51,70000,0.51
2011-06-02,0.52,0.53,0.50,0.51,100000,0.51
2011-06-01,0.53,0.53,0.53,0.53,10000,0.53
2011-05-31,0.52,0.52,0.52,0.52,104000,0.52
2011-05-30,0.50,0.50,0.50,0.50,10000,0.50
2011-05-27,0.52,0.52,0.50,0.50,30000,0.50
2011-05-26,0.52,0.52,0.52,0.52,29000,0.52
2011-05-25,0.52,0.52,0.52,0.52,10000,0.52
2011-05-24,0.50,0.53,0.50,0.50,000,0.50
2011-05-23,0.55,0.55,0.55,0.55,1000,0.55
2011-05-20,0.53,0.53,0.53,0.53,1000,0.53
2011-05-19,0.50,0.50,0.50,0.50,146000,0.50
2011-05-18,0.55,0.55,0.55,0.55,1000,0.55
2011-05-16,0.51,0.51,0.50,0.50,44000,0.50
2011-05-13,0.51,0.51,0.51,0.51,21000,0.51
2011-05-12,0.52,0.52,0.51,0.52,41000,0.52
2011-05-11,0.55,0.55,0.51,0.52,66000,0.52
2011-05-10,0.52,0.52,0.52,0.52,10000,0.52
2011-05-09,0.52,0.54,0.52,0.52,000,0.52
2011-05-06,0.52,0.52,0.52,0.52,20000,0.52
2011-05-05,0.51,0.55,0.51,0.51,000,0.51
2011-05-04,0.55,0.55,0.55,0.55,1000,0.55
2011-05-03,0.55,0.55,0.52,0.53,13000,0.53
2011-04-29,0.51,0.54,0.51,0.54,28000,0.54
2011-04-28,0.51,0.55,0.51,0.51,000,0.51
2011-04-27,0.51,0.55,0.51,0.51,000,0.51
2011-04-26,0.51,0.54,0.51,0.51,000,0.51
2011-04-25,0.52,0.55,0.52,0.52,000,0.52
2011-04-21,0.52,0.55,0.52,0.52,000,0.52
2011-04-20,0.52,0.54,0.52,0.52,000,0.52
2011-04-19,0.55,0.55,0.55,0.55,2000,0.55
2011-04-18,0.53,0.54,0.53,0.54,12000,0.54
2011-04-15,0.53,0.53,0.53,0.53,25000,0.53
2011-04-14,0.52,0.52,0.52,0.52,5000,0.52
2011-04-13,0.52,0.54,0.52,0.53,36000,0.53
2011-04-12,0.52,0.53,0.52,0.53,12000,0.53
2011-04-11,0.55,0.55,0.54,0.54,26000,0.54
2011-04-08,0.53,0.54,0.53,0.54,39000,0.54
2011-04-07,0.53,0.53,0.53,0.53,37000,0.53
2011-04-06,0.53,0.53,0.53,0.53,100000,0.53
2011-04-05,0.55,0.55,0.55,0.55,10000,0.55
2011-04-04,0.54,0.54,0.54,0.54,10000,0.54
2011-04-01,0.54,0.55,0.54,0.54,000,0.54
2011-03-31,0.55,0.55,0.55,0.55,1000,0.55
2011-03-30,0.54,0.55,0.54,0.54,000,0.54
2011-03-29,0.54,0.54,0.54,0.54,10000,0.54
2011-03-28,0.54,0.54,0.54,0.54,3000,0.54
2011-03-25,0.55,0.55,0.55,0.55,12000,0.55
2011-03-24,0.52,0.53,0.52,0.52,000,0.52
2011-03-23,0.55,0.55,0.53,0.53,11000,0.53
2011-03-22,0.52,0.52,0.52,0.52,10000,0.52
