Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.07,0.07,0.07,0.07,460000,0.07
2011-08-03,0.07,0.07,0.07,0.07,60000,0.07
2011-08-02,0.07,0.07,0.07,0.07,20000,0.07
2011-08-01,0.07,0.07,0.07,0.07,50000,0.07
2011-07-29,0.07,0.07,0.07,0.07,183000,0.07
2011-07-28,0.07,0.07,0.07,0.07,500000,0.07
2011-07-27,0.07,0.07,0.07,0.07,850000,0.07
2011-07-26,0.07,0.07,0.07,0.07,200000,0.07
2011-07-25,0.07,0.07,0.07,0.07,100000,0.07
2011-07-22,0.07,0.07,0.07,0.07,000,0.07
2011-07-21,0.07,0.07,0.07,0.07,410000,0.07
2011-07-20,0.07,0.07,0.07,0.07,580000,0.07
2011-07-19,0.07,0.07,0.07,0.07,1695000,0.07
2011-07-18,0.07,0.07,0.07,0.07,40000,0.07
2011-07-15,0.07,0.07,0.07,0.07,11000,0.07
2011-07-14,0.07,0.07,0.07,0.07,30000,0.07
2011-07-13,0.07,0.07,0.07,0.07,241000,0.07
2011-07-12,0.07,0.07,0.07,0.07,180000,0.07
2011-07-11,0.07,0.07,0.07,0.07,10000,0.07
2011-07-08,0.07,0.07,0.07,0.07,51000,0.07
2011-07-07,0.07,0.07,0.07,0.07,1380000,0.07
2011-07-06,0.07,0.07,0.07,0.07,485000,0.07
2011-07-05,0.07,0.07,0.07,0.07,190000,0.07
2011-07-04,0.07,0.07,0.07,0.07,70000,0.07
2011-07-01,0.07,0.07,0.07,0.07,1490000,0.07
2011-06-30,0.06,0.07,0.06,0.07,3849000,0.07
2011-06-29,0.07,0.07,0.07,0.07,26000,0.07
2011-06-28,0.07,0.07,0.06,0.06,329000,0.06
2011-06-27,0.07,0.07,0.07,0.07,34000,0.07
2011-06-24,0.06,0.08,0.06,0.06,52000,0.06
2011-06-23,0.07,0.07,0.07,0.07,80000,0.07
2011-06-22,0.07,0.07,0.07,0.07,19000,0.07
2011-06-21,0.07,0.08,0.07,0.07,000,0.07
2011-06-20,0.06,0.07,0.06,0.07,1140000,0.07
2011-06-17,0.07,0.07,0.07,0.07,100000,0.07
2011-06-16,0.07,0.07,0.07,0.07,3100000,0.07
2011-06-15,0.07,0.07,0.07,0.07,95000,0.07
2011-06-14,0.06,0.07,0.06,0.07,1220000,0.07
2011-06-13,0.07,0.07,0.06,0.07,650000,0.07
2011-06-10,0.07,0.07,0.06,0.07,1255000,0.07
2011-06-09,0.06,0.08,0.06,0.06,000,0.06
2011-06-08,0.06,0.07,0.06,0.07,770000,0.07
2011-06-07,0.07,0.07,0.07,0.07,225000,0.07
2011-06-06,0.06,0.07,0.06,0.06,000,0.06
2011-06-03,0.07,0.07,0.07,0.07,70000,0.07
2011-06-02,0.07,0.07,0.07,0.07,960000,0.07
2011-06-01,0.06,0.07,0.06,0.06,000,0.06
2011-05-31,0.07,0.07,0.07,0.07,220000,0.07
2011-05-30,0.07,0.07,0.07,0.07,100000,0.07
2011-05-27,0.07,0.07,0.07,0.07,608000,0.07
