Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.30,0.31,0.30,0.31,65000,0.31
2011-08-03,0.30,0.30,0.30,0.30,65000,0.30
2011-08-02,0.31,0.31,0.31,0.31,293000,0.31
2011-08-01,0.30,0.32,0.30,0.31,524000,0.31
2011-07-29,0.29,0.29,0.29,0.29,42000,0.29
2011-07-28,0.27,0.29,0.27,0.29,328000,0.29
2011-07-27,0.27,0.28,0.27,0.27,000,0.27
2011-07-26,0.27,0.28,0.26,0.26,210000,0.26
2011-07-25,0.28,0.28,0.27,0.27,225000,0.27
2011-07-22,0.28,0.28,0.28,0.28,100000,0.28
2011-07-21,0.28,0.28,0.28,0.28,265000,0.28
2011-07-20,0.29,0.29,0.29,0.29,000,0.29
2011-07-19,0.28,0.29,0.28,0.29,97000,0.29
2011-07-18,0.29,0.29,0.29,0.29,290000,0.29
2011-07-15,0.29,0.29,0.29,0.29,49000,0.29
2011-07-14,0.29,0.31,0.29,0.29,000,0.29
2011-07-13,0.29,0.29,0.29,0.29,50000,0.29
2011-07-12,0.29,0.29,0.29,0.29,41000,0.29
2011-07-11,0.29,0.30,0.29,0.30,80000,0.30
2011-07-08,0.29,0.30,0.29,0.29,000,0.29
2011-07-07,0.30,0.30,0.30,0.30,60000,0.30
2011-07-06,0.29,0.29,0.29,0.29,47000,0.29
2011-07-05,0.30,0.30,0.29,0.29,138000,0.29
2011-07-04,0.30,0.31,0.30,0.30,000,0.30
2011-07-01,0.31,0.31,0.31,0.31,150000,0.31
2011-06-30,0.30,0.31,0.30,0.31,798000,0.31
2011-06-29,0.29,0.29,0.29,0.29,000,0.29
2011-06-28,0.29,0.29,0.28,0.28,197000,0.28
2011-06-27,0.29,0.29,0.29,0.29,130000,0.29
2011-06-24,0.28,0.29,0.28,0.29,70000,0.29
2011-06-23,0.28,0.29,0.28,0.28,000,0.28
2011-06-22,0.28,0.29,0.28,0.29,93000,0.29
2011-06-21,0.28,0.29,0.28,0.29,32000,0.29
2011-06-20,0.28,0.29,0.28,0.28,151000,0.28
2011-06-17,0.28,0.28,0.28,0.28,37000,0.28
2011-06-16,0.28,0.29,0.28,0.29,127000,0.29
2011-06-15,0.28,0.29,0.28,0.28,000,0.28
2011-06-14,0.28,0.30,0.28,0.30,51000,0.30
2011-06-13,0.28,0.29,0.28,0.29,181000,0.29
2011-06-10,0.29,0.29,0.29,0.29,60000,0.29
2011-06-09,0.30,0.30,0.28,0.28,40000,0.28
2011-06-08,0.29,0.29,0.29,0.29,74000,0.29
2011-06-07,0.28,0.28,0.28,0.28,80000,0.28
2011-06-06,0.28,0.28,0.27,0.27,70000,0.27
2011-06-03,0.28,0.28,0.28,0.28,135000,0.28
2011-06-02,0.27,0.27,0.27,0.27,76000,0.27
2011-06-01,0.26,0.28,0.26,0.28,53000,0.28
2011-05-31,0.26,0.26,0.25,0.26,108000,0.26
2011-05-30,0.27,0.27,0.26,0.26,262000,0.26
2011-05-27,0.28,0.28,0.28,0.28,256000,0.28
2011-05-26,0.29,0.29,0.28,0.28,308000,0.28
2011-05-25,0.28,0.29,0.28,0.29,90000,0.29
2011-05-24,0.29,0.29,0.29,0.29,198000,0.29
2011-05-23,0.32,0.32,0.29,0.29,520000,0.29
2011-05-20,0.31,0.31,0.30,0.31,385000,0.31
2011-05-19,0.28,0.30,0.28,0.30,481000,0.30
2011-05-18,0.28,0.28,0.28,0.28,74000,0.28
2011-05-16,0.27,0.28,0.27,0.28,291000,0.28
2011-05-13,0.25,0.28,0.25,0.28,503000,0.28
2011-05-12,0.22,0.25,0.22,0.25,341000,0.25
2011-05-11,0.23,0.23,0.22,0.22,155000,0.22
2011-05-10,0.23,0.23,0.23,0.23,000,0.23
2011-05-09,0.23,0.23,0.23,0.23,10000,0.23
2011-05-06,0.22,0.22,0.22,0.22,80000,0.22
2011-05-05,0.24,0.24,0.22,0.22,150000,0.22
2011-05-04,0.23,0.23,0.21,0.23,120000,0.23
2011-05-03,0.23,0.24,0.23,0.23,000,0.23
2011-04-29,0.23,0.24,0.23,0.23,000,0.23
2011-04-28,0.23,0.23,0.23,0.23,000,0.23
2011-04-27,0.24,0.24,0.24,0.24,30000,0.24
2011-04-26,0.24,0.24,0.23,0.23,652000,0.23
2011-04-25,0.23,0.24,0.23,0.24,30000,0.24
2011-04-21,0.24,0.24,0.23,0.23,48000,0.23
2011-04-20,0.25,0.25,0.23,0.24,180000,0.24
2011-04-19,0.23,0.23,0.23,0.23,26000,0.23
2011-04-18,0.23,0.23,0.23,0.23,95000,0.23
2011-04-15,0.23,0.23,0.23,0.23,122000,0.23
2011-04-14,0.23,0.23,0.23,0.23,262000,0.23
2011-04-13,0.24,0.25,0.24,0.24,263000,0.24
2011-04-12,0.25,0.25,0.24,0.24,152000,0.24
2011-04-11,0.25,0.25,0.25,0.25,100000,0.25
2011-04-08,0.25,0.25,0.25,0.25,143000,0.25
2011-04-07,0.25,0.25,0.25,0.25,202000,0.25
2011-04-06,0.25,0.26,0.25,0.25,356000,0.25
2011-04-05,0.25,0.25,0.25,0.25,66000,0.25
2011-04-04,0.25,0.25,0.25,0.25,60000,0.25
2011-04-01,0.25,0.25,0.25,0.25,99000,0.25
2011-03-31,0.26,0.26,0.26,0.26,20000,0.26
2011-03-30,0.25,0.26,0.25,0.26,213000,0.26
2011-03-29,0.25,0.26,0.25,0.26,58000,0.26
2011-03-28,0.28,0.28,0.26,0.27,53000,0.27
2011-03-25,0.27,0.27,0.26,0.27,187000,0.27
2011-03-24,0.27,0.28,0.27,0.28,44000,0.28
2011-03-23,0.26,0.26,0.26,0.26,21000,0.26
2011-03-22,0.26,0.26,0.25,0.26,93000,0.26
2011-03-21,0.25,0.25,0.25,0.25,55000,0.25
2011-03-18,0.26,0.28,0.25,0.26,433000,0.26
2011-03-17,0.29,0.29,0.25,0.25,78000,0.25
2011-03-16,0.26,0.28,0.26,0.28,149000,0.28
2011-03-15,0.23,0.26,0.23,0.23,000,0.23
2011-03-14,0.27,0.28,0.27,0.28,84000,0.28
2011-03-11,0.30,0.31,0.27,0.27,40000,0.27
2011-03-10,0.26,0.29,0.26,0.29,1109000,0.29
2011-03-09,0.26,0.27,0.26,0.27,103000,0.27
2011-03-08,0.26,0.26,0.25,0.26,97000,0.26
2011-03-07,0.26,0.27,0.25,0.26,136000,0.26
2011-03-04,0.28,0.28,0.25,0.26,284000,0.26
2011-03-03,0.28,0.28,0.26,0.26,262000,0.26
2011-03-02,0.26,0.26,0.25,0.25,174000,0.25
2011-03-01,0.27,0.28,0.26,0.28,79000,0.28
2011-02-28,0.29,0.29,0.27,0.27,205000,0.27
2011-02-25,0.29,0.29,0.28,0.29,111000,0.29
2011-02-24,0.28,0.28,0.28,0.28,229000,0.28
2011-02-23,0.29,0.30,0.28,0.29,239000,0.29
2011-02-22,0.30,0.32,0.30,0.30,182000,0.30
2011-02-21,0.31,0.31,0.31,0.31,37000,0.31
2011-02-18,0.30,0.31,0.29,0.31,435000,0.31
2011-02-17,0.31,0.31,0.29,0.31,310000,0.31
2011-02-16,0.32,0.33,0.32,0.32,152000,0.32
2011-02-15,0.35,0.35,0.34,0.34,381000,0.34
2011-02-14,0.34,0.34,0.34,0.34,449000,0.34
2011-02-11,0.33,0.33,0.33,0.33,120000,0.33
2011-02-10,0.34,0.34,0.34,0.34,251000,0.34
2011-02-09,0.34,0.34,0.34,0.34,127000,0.34
2011-02-08,0.34,0.34,0.34,0.34,53000,0.34
2011-02-07,0.34,0.34,0.34,0.34,76000,0.34
2011-02-02,0.34,0.34,0.34,0.34,1000,0.34
2011-02-01,0.34,0.34,0.34,0.34,82000,0.34
2011-01-31,0.34,0.34,0.34,0.34,37000,0.34
2011-01-28,0.34,0.34,0.34,0.34,117000,0.34
2011-01-27,0.34,0.35,0.34,0.34,150000,0.34
2011-01-26,0.34,0.35,0.34,0.35,183000,0.35
2011-01-25,0.34,0.35,0.34,0.34,171000,0.34
2011-01-24,0.34,0.34,0.34,0.34,34000,0.34
2011-01-21,0.34,0.35,0.34,0.35,203000,0.35
2011-01-20,0.35,0.35,0.34,0.34,80000,0.34
2011-01-19,0.34,0.34,0.34,0.34,235000,0.34
2011-01-18,0.35,0.35,0.34,0.34,233000,0.34
2011-01-17,0.34,0.35,0.34,0.34,415000,0.34
2011-01-14,0.34,0.34,0.34,0.34,20000,0.34
2011-01-13,0.34,0.34,0.34,0.34,133000,0.34
2011-01-12,0.33,0.34,0.33,0.34,141000,0.34
2011-01-11,0.34,0.34,0.33,0.33,138000,0.33
2011-01-10,0.33,0.33,0.32,0.32,187000,0.32
2011-01-07,0.32,0.33,0.32,0.32,000,0.32
2011-01-06,0.32,0.33,0.32,0.33,39000,0.33
2011-01-05,0.32,0.33,0.32,0.33,90000,0.33
2011-01-04,0.32,0.34,0.32,0.32,000,0.32
2011-01-03,0.32,0.34,0.32,0.34,405000,0.34
2010-12-31,0.31,0.32,0.31,0.31,000,0.31
2010-12-30,0.31,0.31,0.31,0.31,12000,0.31
2010-12-29,0.31,0.31,0.31,0.31,196000,0.31
2010-12-28,0.31,0.31,0.31,0.31,54000,0.31
2010-12-27,0.32,0.32,0.31,0.31,35000,0.31
2010-12-24,0.31,0.31,0.31,0.31,20000,0.31
2010-12-23,0.31,0.31,0.31,0.31,144000,0.31
2010-12-22,0.31,0.32,0.31,0.31,000,0.31
2010-12-21,0.32,0.32,0.31,0.31,101000,0.31
2010-12-20,0.31,0.31,0.31,0.31,5000,0.31
2010-12-17,0.31,0.33,0.31,0.31,000,0.31
2010-12-16,0.31,0.33,0.31,0.31,000,0.31
2010-12-15,0.32,0.33,0.32,0.32,70000,0.32
2010-12-14,0.32,0.32,0.32,0.32,68000,0.32
2010-12-13,0.31,0.31,0.31,0.31,20000,0.31
2010-12-10,0.31,0.31,0.31,0.31,10000,0.31
2010-12-09,0.32,0.32,0.32,0.32,40000,0.32
2010-12-08,0.32,0.32,0.31,0.31,346000,0.31
2010-12-07,0.32,0.32,0.32,0.32,90000,0.32
2010-12-06,0.32,0.32,0.32,0.32,132000,0.32
2010-12-03,0.32,0.32,0.32,0.32,305000,0.32
2010-12-02,0.32,0.32,0.32,0.32,10000,0.32
2010-12-01,0.34,0.34,0.31,0.31,46000,0.31
2010-11-30,0.32,0.33,0.32,0.33,100000,0.33
2010-11-29,0.31,0.33,0.31,0.33,41000,0.33
2010-11-26,0.32,0.32,0.32,0.32,40000,0.32
2010-11-25,0.31,0.31,0.31,0.31,2000,0.31
2010-11-24,0.31,0.31,0.31,0.31,50000,0.31
2010-11-23,0.32,0.32,0.31,0.32,235000,0.32
2010-11-22,0.32,0.34,0.32,0.32,000,0.32
2010-11-19,0.32,0.33,0.32,0.33,55000,0.33
2010-11-18,0.34,0.34,0.33,0.33,45000,0.33
2010-11-16,0.34,0.34,0.34,0.34,362000,0.34
2010-11-15,0.33,0.34,0.33,0.34,829000,0.34
2010-11-12,0.32,0.32,0.32,0.32,164000,0.32
2010-11-11,0.32,0.32,0.32,0.32,422000,0.32
2010-11-10,0.32,0.32,0.31,0.32,508000,0.32
2010-11-09,0.32,0.32,0.32,0.32,102000,0.32
2010-11-08,0.32,0.32,0.32,0.32,40000,0.32
2010-11-04,0.32,0.32,0.32,0.32,61000,0.32
2010-11-03,0.31,0.32,0.31,0.32,101000,0.32
2010-11-02,0.31,0.32,0.31,0.31,212000,0.31
2010-11-01,0.31,0.31,0.31,0.31,94000,0.31
2010-10-29,0.31,0.31,0.31,0.31,000,0.31
